,Concept_ID,be,ka
0,Auge::N,вока,თვალი
1,Ohr::N,вуха,ყური
2,Nase::N,нос,ცხვირი
3,Mund::N,рот,პირი
4,Zahn::N,зуб,კბილი
5,Zunge::N,язык,ენა
6,Lippe::N,губа,ბაგე
7,Wange::N,шчака,ლოყა
8,Gesicht::N,твар,სახე
9,Stirn::N,лоб,შუბლი
10,Haar::N,волас,თმა
11,Haar::N,валасы,თმა
12,Schnurrbart::N,вус,ულვაში
13,Schnurrbart::N,вусы,ულვაში
14,Bart::N,барада,წვერი
15,Kinn::N,падбародак,ნიკაპი
16,Kiefer[Anatomie]::N,сківіца,ყბა
17,Kehle::N,горла,ყელი
18,Hals::N,шыя,ყელი
19,Hals::N,шыя,კისერი
20,Genick::N,патыліца,კეფა
21,Kopf::N,галава,თავი
22,Rücken::N,спіна,ზურგი
23,Bauch::N,жывот,მუცელი
24,Nabel::N,пупок,ჭიპი
25,Busen::N,грудзі,ძუძუ
26,Brust::N,грудзі,მკერდი
27,Schulter::N,плячо,მხარი
28,Schulter::N,плячо,მკლავი
29,Arm::N,рука,ხელი
30,Ellenbogen::N,локаць,იდაყვი
31,Hand::N,кісць,ხელი
32,Handfläche::N,далонь,ნები
33,Handfläche::N,далонь,ხელისგული
34,Finger::N,палец,თითი
35,Fingernagel::N,ногаць,ფრჩხილი
36,Nagel[Anatomie]::N,ногаць,ფრჩხილი
37,Zeh::N,палец,ფეხის თითი
38,Fuß::N,нага,ტერფი
39,Fuß::N,нага,ფეხისგული
40,Ferse::N,пята,ქუსლი
41,Ferse::N,пятка,ქუსლი
42,Knie::N,калена,მუხლი
43,Oberschenkel::N,бядро,ბარძაყი
44,Oberschenkel::N,сцягно,ბარძაყი
45,Bein::N,нага,ფეხი
46,Körper::N,цела,ტანი
47,Körper::N,цела,სხეული
48,Haut::N,скура,კანი
49,Blut::N,кроў,სისხლი
50,Ader::N,вена,ძარღვი
51,Ader::N,сасуд,ძარღვი
52,Sehne::N,жыла,მყესი
53,Sehne::N,цеціва,მყესი
54,Sehne::N,сухажылле,მყესი
55,Knochen::N,косць,ძვალი
56,Gehirn::N,мозг,ტვინი
57,Herz::N,сэрца,გული
58,Magen::N,страўнік,კუჭი
59,Leber::N,печань,ღვიძლი
60,Atem::N,дыханне,სუნთქვა
61,Hunger::N,голад,შიმშილი
62,Träne::N,сляза,ცრემლი
63,Geschmack::N,смак,გემო
64,Geruch::N,пах,სუნი
65,Schlaf::N,сон,ძილი
66,Traum::N,сон,სიზმარი
67,Himmel::N,неба,ცა
68,Sonne::N,сонца,მზე
69,Mond::N,месяц,მთვარე
70,Stern::N,зорка,ვარსკვლავი
71,Luft::N,паветра,ჰაერი
72,Wind::N,вецер,ქარი
73,Welle::N,хваля,ტალღა
74,Wasser::N,вада,წყალი
75,Stein::N,камень,ქვა
76,Boden::N,глеба,მიწა
77,Erde::N,зямля,ნიადაგი
78,Staub::N,пыл,მტვერი
79,Rauch::N,дым,ბოლი
80,Rauch::N,дым,კვამლი
81,Funke::N,іскра,ნაკვესი
82,Feuer::N,агонь,ცეცხლი
83,Licht::N,святло,შუქი
84,Licht::N,святло,სინათლე
85,Schatten::N,цень,ლანდი
86,Schatten::N,цень,ჩრდილი
87,Wetter::N,пагода,ამინდი
88,Wetter::N,надворʼе,ამინდი
89,Nebel::N,туман,ნისლი
90,Wolke::N,воблака,ღრუბელი
91,Regen::N,дождж,წვიმა
92,Schnee::N,снег,თოვლი
93,Eis::N,лёд,თოში
94,Eis::N,лёд,ყინული
95,Frost::N,мароз,ყინვა
96,Kälte::N,холад,სიცივე
97,Hitze::N,спёка,სიცხე
98,Raureif::N,іней,ჭირხლი
99,Raureif::N,іней,თრთვილი
100,Regenbogen::N,вясёлка,ცისარტყელა
101,Donner::N,гром,ქუხილი
102,Strömung::N,цячэнне,დინება
103,Tropfen::N,кропля,წვეთი
104,Schaum::N,пена,ქაფი
105,Schaum::N,пена,დორბლი
106,Schmutz::N,гразь,ჭუჭყი
107,Schmutz::N,гразь,ტალახი
108,See::N,возера,ტბა
109,Sumpf::N,багна,ჭაობი
110,Moor::N,балота,ტორფნარი
111,Wiese::N,луг,ველი
112,Wiese::N,луг,მდელო
113,Wald::N,лес,ტყე
114,Hügel::N,узгорак,ბორცვი
115,Anhöhe::N,узвышша,მაღლობი
116,Berg::N,гара,მთა
117,Gipfel::N,вяршыня,მწვერვალი
118,Höhle::N,пячора,მღვიმე
119,Höhle::N,пячора,გამოქვებული
120,Abhang::N,схіл,ფერდობი
121,Quelle::N,крыніца,წყარო
122,Quelle::N,крыніца,სათავე
123,Bach::N,ручай,რუ
124,Bach::N,ручай,ნაკადული
125,Fluss::N,рака,მდინარე
126,Ufer::N,бераг,კიდე
127,Ufer::N,бераг,ნაპირი
128,Küste::N,узбярэжжа,ნაპირი
129,Festland::N,суша,ხმელეთი
130,Meer::N,мора,ზღვა
131,Bucht::N,бухта,ყურე
132,Insel::N,востраў,კუნძული
133,Blume::N,кветка,ყვავილი
134,Gras::N,трава,ბალახი
135,Wurzel::N,корань,ძირი
136,Wurzel::N,корань,ფესვი
137,Baum::N,дрэва,ხე
138,Stamm::N,ствол,ტანი
139,Rinde::N,кара,ქერქი
140,Ast::N,сук,ტოტი
141,Zweig::N,галіна,შტო
142,Blatt::N,ліст,ფოთოლი
143,Birke::N,бяроза,არყი
144,Kiefer[Baum]::N,хвоя,ფიჭვი
145,Kiefer[Baum]::N,сасна,ფიჭვი
146,Weide[Baum]::N,вярба,ტირიფი
147,Tanne::N,яліна,ნაძვი
148,Horn::N,рог,რქა
149,Feder::N,пяро,ფრთა
150,Fell::N,шкура,ტყავი
151,Flügel::N,крыло,ფრთა
152,Klaue::N,кіпцюр,კლანჭი
153,Kralle::N,лапа,ტორი
154,Schwanz::N,хвост,კუდი
155,Ei::N,яйка,კვერცხი
156,Nest::N,гняздо,ბუდე
157,Bau::N,нара,სორო
158,Tier::N,жывёла,ნადირი
159,Tier::N,жывёла,ცხოველი
160,Herde::N,статак,ფარა
161,Kuh::N,карова,ფური
162,Kuh::N,карова,ძროხა
163,Bulle::N,бык,ხარი
164,Pferd::N,конь,რაში
165,Pferd::N,конь,ცხენი
166,Schaf::N,авечка,ცხვარი
167,Schwein::N,свіння,ღორი
168,Hund::N,сабака,ძაღლი
169,Katze::N,кошка,კატა
170,Bär::N,мядзведзь,დათვი
171,Eichhörnchen::N,вавёрка,ციყვი
172,Elch::N,лось,ცხენ-ირემი
173,Fuchs::N,ліса,მელა
174,Hase::N,заяц,კურდღელი
175,Maus::N,мыш,თაგვი
