,Concept_ID,hy,az
0,Auge::N,աչք,göz
1,Ohr::N,ականջ,qulaq
2,Nase::N,քիթ,burun
3,Mund::N,բերան,ağız
4,Zahn::N,ատամ,diş
5,Zunge::N,լեզու,dil
6,Lippe::N,շրթունք,dodaq
7,Wange::N,այտ,yanaq
8,Wange::N,թուշ,yanaq
9,Gesicht::N,դեմք,üz
10,Stirn::N,ճակատ,alın
11,Haar::N,մազ,saç
12,Schnurrbart::N,բեղ,bığ
13,Bart::N,մորուք,saqqal
14,Kinn::N,կզակ,çənə
15,Kiefer[Anatomie]::N,ծնոտ,çənə
16,Kehle::N,կոկորդ,boğaz
17,Hals::N,վիզ,boyun
18,Hals::N,պարանոց,boyun
19,Genick::N,ծոծրակ,ənsə
20,Kopf::N,գլուխ,baş
21,Rücken::N,մեջք,bel
22,Bauch::N,փոր,qarın
23,Bauch::N,որովայն,qarın
24,Nabel::N,պորտ,göbək
25,Busen::N,ծոց,məmə
26,Brust::N,կուրծք,döş
27,Schulter::N,ուս,çiyin
28,Arm::N,թեւ,qol
29,Arm::N,բազուկ,qol
30,Ellenbogen::N,արմունկ,dirsək
31,Hand::N,ձեռք,əl
32,Handfläche::N,ափ,ovuc
33,Finger::N,մատ,barmaq
34,Fingernagel::N,եղունգ,barmaq dırnağı
35,Nagel[Anatomie]::N,եղունգ,dırnak
36,Zeh::N,ոտքի մատ,ayaq barmağı
37,Fuß::N,ոտք,ayaq
38,Ferse::N,գարշապար,daban
39,Knie::N,ծունկ,diz
40,Oberschenkel::N,ազդր,bud
41,Bein::N,ոտք,qıç
42,Körper::N,մարմին,əndam
43,Haut::N,մաշկ,dəri
44,Blut::N,արյուն,qan
45,Ader::N,երակ,damar
46,Sehne::N,ջիղ,vətər
47,Sehne::N,ձգտան,vətər
48,Knochen::N,ոսկոր,sümük
49,Gehirn::N,խելք,beyin
50,Herz::N,սիրտ,ürək
51,Magen::N,ստամոքս,mədə
52,Leber::N,լյարդ,qara ciyər
53,Atem::N,շունչ,nəfəs
54,Hunger::N,քաղց,aclıq
55,Träne::N,արտասուք,göz yaşı
56,Geschmack::N,համ,tam
57,Geschmack::N,համ,ləzzət
58,Geschmack::N,բուրմունք,tam
59,Geschmack::N,բուրմունք,ləzzət
60,Geruch::N,հոտ,qoxu
61,Geruch::N,բուրում,qoxu
62,Schlaf::N,քուն,yuxu
63,Traum::N,երազ,röya
64,Himmel::N,երկինք,göy
65,Himmel::N,երկինք,səma
66,Sonne::N,արեւ,günəş
67,Mond::N,լուսին,ay
68,Stern::N,աստղ,ulduz
69,Luft::N,օդ,hava
70,Wind::N,քամի,yel
71,Wind::N,քամի,külək
72,Welle::N,ալիք,dalğa
73,Wasser::N,ջուր,su
74,Stein::N,քար,daş
75,Boden::N,գետին,yer
76,Boden::N,գետին,zəmin
77,Erde::N,հող,yer torpaq
78,Staub::N,փոշի,toz
79,Rauch::N,ծուխ,tüstü
80,Funke::N,կայծ,qığılcım
81,Feuer::N,կրակ,od
82,Feuer::N,հրդեհ,od
83,Licht::N,լույս,işıq
84,Schatten::N,ստվեր,kölgə
85,Wetter::N,եղանակ,hava
86,Nebel::N,մեգ,duman
87,Nebel::N,մառախուղ,duman
88,Wolke::N,ամպ,bulud
89,Regen::N,անձրև,yağış
90,Regen::N,անձրև,yağmur
91,Schnee::N,ձյուն,qar
92,Eis::N,սառույց,buz
93,Frost::N,սառնամանիք,ayaz
