,Concept_ID,ml,lt
0,Auge::N,കണ്ണ്,akis
1,Ohr::N,ചെവി,ausis
2,Nase::N,മൂക്ക്,nosis
3,Mund::N,വായ,burna
4,Zahn::N,പല്ല്,dantis
5,Zunge::N,നാക്ക്,liežuvis
6,Lippe::N,ചുണ്ട്,lūpa
7,Wange::N,കവിൾത്തടം,žandas
8,Wange::N,കവിൾത്തടം,skruostas
9,Gesicht::N,മുഖം,veidas
10,Stirn::N,നെറ്റി,kakta
11,Haar::N,തലമുടി,plaukai
12,Schnurrbart::N,മീശ,ūsai
13,Bart::N,താടിരോമം,barzda
14,Kinn::N,താടി,smakras
15,Kiefer[Anatomie]::N,താടിയെല്ല്,žandikaulis
16,Kehle::N,കണ്ഠനാളം,gerklė
17,Hals::N,കഴുത്ത്,kaklas
18,Genick::N,പിടലി,sprandas
19,Kopf::N,തല,galva
20,Rücken::N,മുതുക്,nugara
21,Bauch::N,നയറ്,pilvas
22,Nabel::N,നാഭി,bamba
23,Busen::N,സ്തനം,krūtinė
24,Brust::N,സ്തനം,krūtis
25,Schulter::N,തോൾ,petys
26,Arm::N,കൈ,ranka
27,Ellenbogen::N,കൈമുട്ട്,alkūnė
28,Hand::N,കൈ,ranka
29,Hand::N,കൈ,plaštaka
30,Handfläche::N,ഉള്ളം കൈ,delnas
31,Handfläche::N,ഉള്ളം കൈ,plaštaka
32,Finger::N,വിരൽ,pirštas
33,Fingernagel::N,നഖം,nagas
34,Nagel[Anatomie]::N,നഖം,nagas
35,Zeh::N,കാൽവിരൽ,pirštas
36,Fuß::N,കാൽപ്പാദം,pėda
37,Ferse::N,ഉപ്പൂറ്റി,kulnas
38,Knie::N,കാൽമുട്ട്,kelis
39,Oberschenkel::N,തുട,kulšis
40,Oberschenkel::N,തുട,šlaunis
41,Bein::N,കാൽ,koja
42,Körper::N,ശരീരം,kūnas
43,Haut::N,ചർമ്മം,oda
44,Blut::N,രക്തം,kraujas
45,Ader::N,ഞരമ്പ്,kraujagyslė
46,Sehne::N,സ്നായു,sausgyslė
47,Knochen::N,അസ്ഥി,kaulas
48,Gehirn::N,തലച്ചോറ്,smegenys
49,Herz::N,ഹൃദയം,širdis
50,Magen::N,വയർ,skrandis
51,Leber::N,കരൾ,kepenys
52,Atem::N,ശ്വാസം,kvapas
53,Hunger::N,വിശപ്പ്,badas
54,Hunger::N,വിശപ്പ്,alkis
55,Träne::N,കണ്ണീർ,ašara
56,Geschmack::N,രുചി,skonis
57,Geruch::N,ഗന്ധം,kvapas
58,Schlaf::N,ഉറകും,miegas
59,Traum::N,സ്വപ്നം,sapnas
60,Himmel::N,ആകാശം,dangus
61,Sonne::N,സൂര്യൻ,saulė
62,Mond::N,ചന്ദ്രൻ,mėnulis
63,Stern::N,നക്ഷത്രം,žvaigždė
64,Luft::N,കാറ്റ്,oras
