,Concept_ID,myv,ko
0,Auge::N,сельме,눈
1,Ohr::N,пиле,귀
2,Nase::N,судо,코
3,Mund::N,курго,입
4,Zahn::N,пей,이
5,Zunge::N,кель,혀
6,Lippe::N,турва,입술
7,Wange::N,чамабока,뺨
8,Wange::N,чамаумарь,뺨
9,Gesicht::N,чама,얼굴
10,Stirn::N,коня,이마
11,Haar::N,черь,털
12,Schnurrbart::N,ус,윗수몀
13,Schnurrbart::N,ус,코밑수염
14,Schnurrbart::N,муюк,윗수몀
15,Schnurrbart::N,муюк,코밑수염
16,Bart::N,сакал,수엄
17,Kinn::N,уло,아래턱
18,Kiefer[Anatomie]::N,пейпакар,턱
19,Kiefer[Anatomie]::N,пейловажа,턱
20,Kehle::N,кирьгапарь,인후
21,Hals::N,кирьга,목
22,Genick::N,човонь,먹덜이
23,Kopf::N,пря,머리
24,Rücken::N,копорь,든
25,Bauch::N,пеке,배
26,Nabel::N,почо,배꼽
27,Busen::N,поте,가슴속
28,Brust::N,меште,가슴
29,Schulter::N,лавтов,어깨
30,Arm::N,кедь,팔
31,Ellenbogen::N,кенерепакарь,팔쿰치
32,Hand::N,кедь,손
33,Handfläche::N,кедькуншка,손바닥
34,Handfläche::N,кедьлапушка,손바닥
35,Finger::N,сур,속가락
36,Fingernagel::N,кенже,손톱
37,Nagel[Anatomie]::N,кенже,손톱
38,Zeh::N,пильге сур,발가락
39,Fuß::N,пильге,발
40,Ferse::N,кочкаря,발꿈치
41,Knie::N,эле,무릎
42,Knie::N,эзне,무릎
43,Knie::N,кумажа,무릎
44,Oberschenkel::N,качо,허벅다리
45,Bein::N,пильге,다리
46,Körper::N,рунго,구간
47,Haut::N,киське,살갗
48,Blut::N,верь,피
49,Ader::N,сан,정맥
50,Sehne::N,коське сан,현
51,Knochen::N,пакарь,뼈
52,Gehirn::N,удем,뇌
53,Gehirn::N,удем,뇌수
54,Herz::N,седей,염통
55,Magen::N,пеке,위
56,Leber::N,максо,간
57,Atem::N,лексема,기식
58,Atem::N,оймень таргсема,기식
59,Hunger::N,вачочи,공복
60,Träne::N,селведь,눈물
61,Geschmack::N,тансть,기호
62,Geruch::N,чине,냄새
63,Schlaf::N,удома,수면
64,Traum::N,он,쿰
65,Himmel::N,менель,하늘
66,Sonne::N,чи,해
67,Mond::N,ков,달
68,Stern::N,теште,별
69,Luft::N,кошт,동준
70,Luft::N,кошт,가스채
71,Wind::N,варма,바람
72,Welle::N,толкун,물결
73,Wasser::N,ведь,물
74,Stein::N,кев,돌
75,Boden::N,мода,바닥
76,Erde::N,мастор,흙
77,Staub::N,пуль,먼지
78,Rauch::N,качамо,연기
79,Funke::N,сятко,불티
80,Feuer::N,тол,불
81,Licht::N,валдо,불
82,Schatten::N,сулей,어스레함
83,Schatten::N,сулейкс,어스레함
84,Wetter::N,ушо,기상
85,Nebel::N,сув,안개
86,Wolke::N,пель,구름
87,Regen::N,пиземс,비
88,Schnee::N,лов,눈
89,Eis::N,эй,얼음
90,Frost::N,кельме,혹한
91,Kälte::N,якшамо,추위
92,Kälte::N,якшамо,차가움
93,Hitze::N,пси,고온
94,Hitze::N,пси,더위
95,Raureif::N,лекш,
96,Regenbogen::N,пурьгинечирьке,무지개
97,Regenbogen::N,пурьгинеёнкс,무지개
98,Donner::N,пурьгине,뇌명
99,Strömung::N,чудема,유동
100,Strömung::N,чудевкс,유동
101,Tropfen::N,петнявкс,물방울
102,Schaum::N,чов,포말
103,Schmutz::N,рудаз,때
104,See::N,эрьке,호수
105,Sumpf::N,чей,습지
106,Moor::N,чей,저습지
107,Wiese::N,луга,목초지
108,Wald::N,вирь,숲
109,Hügel::N,губорь,언덕
110,Hügel::N,пандыне,언덕
111,Anhöhe::N,губорь,언덕
112,Anhöhe::N,пандыне,언덕
113,Berg::N,пандо,산
114,Gipfel::N,пря,졀졍
115,Höhle::N,пещера,공동
116,Abhang::N,пандочама,몰매
117,Quelle::N,ушодкс,근원
118,Bach::N,чудикерькс,내
119,Fluss::N,лей,강
120,Ufer::N,чире,강변
121,Ufer::N,чире,바닷가
122,Küste::N,лейчире,해변
123,Küste::N,лейчире,해변가
124,Festland::N,мода,본토
125,Meer::N,моря,바다
126,Bucht::N,усия,협만
127,Insel::N,усия,섬
128,Blume::N,цеця,꽃
129,Gras::N,тикше,풀
130,Wurzel::N,юр,뿌리
131,Wurzel::N,ундокс,뿌리
132,Baum::N,чувто,나무
133,Stamm::N,рунго,대
134,Rinde::N,суд,나무껍질
135,Rinde::N,керь,나무껍질
136,Ast::N,морго,가지
137,Zweig::N,тарад,가지
138,Blatt::N,лопа,잎
139,Birke::N,килей,자작나무
140,Kiefer[Baum]::N,пиче,소나무
141,Weide[Baum]::N,каль,쉬양버들
142,Tanne::N,куз,전나무
143,Horn::N,сюро,뿔
144,Feder::N,толга,깃털
145,Fell::N,пона,피혁모피
146,Flügel::N,сёлмо,날개
147,Klaue::N,кенже,갈고리 발톺
148,Kralle::N,кенже,발툭
149,Schwanz::N,пуло,꼬리
150,Ei::N,ал,알
151,Nest::N,пизэ,보금자리
152,Bau::N,варя,굴
153,Bau::N,пизе,굴
154,Tier::N,ракша,짐승
155,Herde::N,стада,가축의떼
156,Kuh::N,скал,암소
157,Bulle::N,бука,황소
158,Pferd::N,лишме,말
159,Schaf::N,реве,양
160,Schwein::N,туво,돼지
161,Hund::N,пине,개
162,Hund::N,киска,개
163,Katze::N,псака,고양이
164,Bär::N,овто,콤
165,Eichhörnchen::N,ур,다람쥐
166,Elch::N,сярдо,고라니
167,Fuchs::N,ривезь,여우
168,Hase::N,нумоло,토끼
169,Maus::N,чеерь,쥐
170,Wolf::N,верьгиз,늑대
171,Vogel::N,нармунь,새
172,Schwarm::N,полк,뗴
173,Schwarm::N,стада,뗴
174,Huhn::N,сараз,암탉
175,Hahn::N,атякш,수탉
176,Gans::N,гала,거위
177,Gans::N,мацей,거위
178,Adler::N,куцькан,수리
179,Adler::N,тумоатякш,수리
180,Ente::N,яксярго,오리
181,Eule::N,корж,부엉이
182,Kranich::N,карго,두루미
183,Krähe::N,варака,까마귀
184,Kuckuck::N,куко,뻐꾸기
185,Schwan::N,локсей,배조
186,Fisch::N,кал,물고기
187,Barsch::N,окунь,농어
188,Hecht::N,щука,에속스
189,Schlange[Tier]::N,гуй,뱀
190,Wurm::N,сукс,벌레
191,Spinne::N,шанжав,거미
192,Ameise::N,коткудав,개미
193,Laus::N,сий,이
194,Mücke::N,сеське,모기
195,Fliege::N,карво,날기
196,Schmetterling::N,нимиляв,나비
197,Beere::N,умарь,장과
198,Apfel::N,умарь,사과
199,Pilz::N,панго,고방이
200,Zwiebel::N,чурька,양파
201,Saat::N,видьметь,씨
202,Korn::N,сюро,알맹이
203,Heu::N,тикше,건초
204,Schale::N,кедь,피상
205,Schale::N,ваткавкс,피상
206,Grube::N,латко,
207,Falle::N,тувор,함정
208,Falle::N,кундамка,함정
209,Schlinge::N,килькш,올가미
210,Schlinge::N,килькш,멜빵붕대
211,Spur::N,челькс,발지국
212,Spur::N,пильгеки,발지국
213,Asche::N,кулов,재
214,Dreck::N,рудаз,똥
215,Dreck::N,рудаз,오물
216,Eisen::N,кшни,쇠
217,Eisen::N,кшни,철
218,Gold::N,сырне,항금
219,Silber::N,сия,은
220,Kohle::N,сэдь,슻
221,Kohle::N,уголия,슻
222,Glas::N,сулика,유리
223,Lehm::N,сёвонь,찰흙
224,Sand::N,човар,모래
225,Mensch::N,ломань,사람
226,Mann::N,аля,남자
227,Mann::N,цёраломань,남자
228,Frau::N,ава,여자
229,Kind::N,эйкакш,아이
230,Junge::N,цёрыне,소녁
231,Mädchen::N,тейтерне,소녀
232,Familie::N,семия,가족
233,Großvater::N,покштя,할아버지
234,Großmutter::N,баба,할머니
235,Eltern::N,тетят-ават,어버오
236,Vater::N,тетя,아버지
237,Mutter::N,ава,어머니
238,Sohn::N,цёра,아들
239,Tochter::N,тейтерь,딸기
240,Bruder::N,леля,형제
241,Bruder::N,ялакс,형제
242,Schwester::N,сазор,누이
243,Onkel::N,леля,백부
244,Tante::N,патя,아주머니
245,Ehemann::N,мирде,남편
246,Ehefrau::N,ни,아내
247,Freude::N,кеняркс,기쁨
248,Gelächter::N,ракамо,웃음
249,Gelächter::N,пейдема,웃음
250,Glück::N,уцяска,즐거움
251,Kummer::N,рискс,슬픔
252,Kummer::N,мелявкс,슬픔
253,Wunsch::N,мель,소망
254,Wunsch::N,бажамо,소망
255,Lust::N,бажамо,
256,Geist::N,ойме,할기
257,Gedanke::N,мель,상념
258,Gedächtnis::N,мель,기억
259,Verstand::N,прев,분별
260,Verstand::N,прев,지능
261,Sinn::N,толк,센스
262,Sinn::N,смысла,센스
263,Grund::N,тувтал,까닭
