,Concept_ID,udm,en
0,Auge::N,син,eye
1,Ohr::N,пель,ear
2,Nase::N,ныр,nose
3,Mund::N,ым,mouth
4,Zahn::N,пинь,tooth
5,Zunge::N,кыл,tongue
6,Lippe::N,ымдур,lip
7,Wange::N,бам,cheek
8,Gesicht::N,ымныр,face
9,Stirn::N,кымес,forehead
10,Haar::N,йырси,hair
11,Schnurrbart::N,мыйык,moustache
12,Bart::N,туш,beard
13,Kinn::N,ангес,chin
14,Kiefer[Anatomie]::N,ан,jaw
15,Kiefer[Anatomie]::N,анлы,jaw
16,Kehle::N,гульым,throat
17,Hals::N,чырты,neck
18,Genick::N,йырбер,nape
19,Kopf::N,йыр,head
20,Rücken::N,мыш,back
21,Rücken::N,мыш,spine
22,Bauch::N,кӧт,belly
23,Nabel::N,гогы,navel
24,Busen::N,ноны,bosom
25,Brust::N,мӧля,chest
26,Brust::N,мӧля,breast
27,Schulter::N,пельпум,shoulder
28,Arm::N,суй,arm
29,Ellenbogen::N,гырпум,elbow
30,Hand::N,ки,hand
31,Handfläche::N,ки пыдэс,palm
32,Handfläche::N,кырым пыдэс,palm
33,Finger::N,чиньы,finger
34,Fingernagel::N,гижы,fingernail
35,Fingernagel::N,гиждӥнь,fingernail
36,Nagel[Anatomie]::N,гижы,nail
37,Zeh::N,пыдчиньы,toe
38,Fuß::N,пыд,foot
39,Ferse::N,пыдбер,heel
40,Knie::N,пыдес,knee
41,Oberschenkel::N,макес,thigh
42,Bein::N,пыд,leg
43,Körper::N,мугор,body
44,Körper::N,вылтыр,body
45,Haut::N,ку,skin
46,Blut::N,вир,blood
47,Ader::N,вирсэр,vein
48,Sehne::N,вуж,sinew
49,Knochen::N,лы,bone
50,Gehirn::N,вим,brain
51,Herz::N,сюлэм,heart
52,Magen::N,ӝуш,stomach
53,Leber::N,мус,liver
54,Atem::N,лул,breath
55,Atem::N,шокан,breath
56,Hunger::N,кӧтсюман,hunger
57,Träne::N,синкыли,tear
58,Geschmack::N,шӧм,flavour
59,Geschmack::N,шӧм,flavor
60,Geruch::N,зын,odour
61,Geruch::N,зын,odor
62,Schlaf::N,вӧт,sleep
63,Traum::N,уйвӧт,dream
64,Himmel::N,ин,sky
65,Sonne::N,шунды,sun
66,Mond::N,толэзь,moon
67,Stern::N,кизили,star
68,Luft::N,омыр,air
69,Wind::N,тӧл,wind
70,Welle::N,тулкым,wave
71,Wasser::N,ву,water
72,Stein::N,из,stone
73,Boden::N,музъем,soil
74,Boden::N,музъем,ground
75,Erde::N,му,earth
76,Staub::N,пыль,dust
77,Rauch::N,ӵын,smoke
78,Funke::N,гизьы,spark
79,Feuer::N,тыл,fire
80,Licht::N,тыл,light
81,Schatten::N,вужер,shadow
82,Wetter::N,куазь,weather
83,Nebel::N,бус,fog
84,Wolke::N,пилем,cloud
85,Regen::N,зор,rain
86,Schnee::N,лымы,snow
87,Eis::N,йӧ,ice
88,Frost::N,кезьыт,frost
89,Kälte::N,кезьыт,chill
90,Hitze::N,пӧсь,heat
91,Raureif::N,гӧр,hoarfrost
92,Regenbogen::N,вуюись,rainbow
93,Donner::N,гудыри,thunder
94,Strömung::N,бызён,current
95,Tropfen::N,шапык,drop
96,Schaum::N,шукы,foam
97,Schmutz::N,нӧд,dirt
98,Schmutz::N,дэри,dirt
99,See::N,ты,lake
100,Sumpf::N,нюр,swamp
101,Moor::N,нюр,moor
102,Wiese::N,возь,meadow
103,Wiese::N,возьвыл,meadow
104,Wald::N,сик,forest
105,Wald::N,нюлэс,forest
106,Hügel::N,выр,hill
107,Hügel::N,вырйыл,hill
