,Concept_ID,ce,ka
0,Auge::N,бӏаьрг,თვალი
1,Ohr::N,лерг,ყური
2,Nase::N,мара,ცხვირი
3,Mund::N,бага,პირი
4,Zahn::N,церг,კბილი
5,Zunge::N,мотт,ენა
6,Lippe::N,балда,ბაგე
7,Wange::N,бесни,ლოყა
8,Gesicht::N,юьхь,სახე
9,Stirn::N,хьаж,შუბლი
10,Haar::N,мас,თმა
11,Schnurrbart::N,мекх,ულვაში
12,Bart::N,маж,წვერი
13,Kinn::N,чӏениг,ნიკაპი
14,Kiefer[Anatomie]::N,мочхал,ყბა
15,Kehle::N,къамкъарг,ყელი
16,Hals::N,ворта,ყელი
17,Hals::N,ворта,კისერი
18,Genick::N,кӏесаркӏаг,კეფა
19,Kopf::N,корта,თავი
20,Rücken::N,букъ,ზურგი
21,Bauch::N,кийра,მუცელი
22,Nabel::N,цӏонга,ჭიპი
23,Busen::N,зударийн накха,ძუძუ
24,Brust::N,накха,მკერდი
25,Schulter::N,белш,მხარი
26,Schulter::N,белш,მკლავი
27,Arm::N,пхьарс,ხელი
28,Ellenbogen::N,пхьаьрсан гола,იდაყვი
29,Hand::N,куьг,ხელი
30,Handfläche::N,кераюкъ,ნები
31,Handfläche::N,кераюкъ,ხელისგული
32,Finger::N,пӏелг,თითი
33,Fingernagel::N,мӏара,ფრჩხილი
34,Nagel[Anatomie]::N,мӏара,ფრჩხილი
35,Zeh::N,кога пӏелг,ფეხის თითი
36,Fuß::N,ког,ტერფი
37,Fuß::N,ког,ფეხისგული
38,Ferse::N,кӏажа,ქუსლი
39,Knie::N,гола,მუხლი
40,Oberschenkel::N,варе,ბარძაყი
41,Bein::N,ког,ფეხი
42,Körper::N,хӏума,ტანი
43,Körper::N,хӏума,სხეული
44,Haut::N,чкъор,კანი
45,Blut::N,цӏий,სისხლი
46,Ader::N,пха,ძარღვი
47,Sehne::N,хьорзам,მყესი
48,Knochen::N,даьӏахк,ძვალი
49,Gehirn::N,хье,ტვინი
50,Herz::N,дог,გული
51,Magen::N,зорх,კუჭი
52,Leber::N,доӏах,ღვიძლი
53,Atem::N,садеӏар,სუნთქვა
54,Hunger::N,мацалла,შიმშილი
55,Träne::N,бӏаьрхи,ცრემლი
56,Geschmack::N,чам,გემო
57,Geruch::N,хьожа,სუნი
58,Schlaf::N,наб,ძილი
59,Traum::N,гӏан,სიზმარი
60,Himmel::N,стигал,ცა
61,Sonne::N,малх,მზე
62,Mond::N,бутт,მთვარე
63,Stern::N,седа,ვარსკვლავი
64,Luft::N,xӏаваъ,ჰაერი
65,Wind::N,мох,ქარი
66,Welle::N,тулгӏе,ტალღა
67,Wasser::N,хи,წყალი
68,Stein::N,тӏулг,ქვა
69,Boden::N,цӏенкъа,მიწა
70,Erde::N,латта,ნიადაგი
71,Staub::N,чан,მტვერი
72,Rauch::N,кӏур,ბოლი
73,Rauch::N,кӏур,კვამლი
74,Funke::N,суй,ნაკვესი
75,Feuer::N,цӏе,ცეცხლი
76,Licht::N,серло,შუქი
77,Licht::N,серло,სინათლე
78,Schatten::N,ӏиндагӏ,ლანდი
79,Schatten::N,ӏиндагӏ,ჩრდილი
80,Wetter::N,хенан хӏоттам,ამინდი
81,Nebel::N,дохк,ნისლი
82,Wolke::N,марха,ღრუბელი
83,Regen::N,догӏа,წვიმა
84,Schnee::N,ло,თოვლი
85,Eis::N,ша,თოში
86,Eis::N,ша,ყინული
87,Frost::N,шело,ყინვა
88,Kälte::N,шело,სიცივე
89,Hitze::N,йовхо,სიცხე
90,Raureif::N,йис,ჭირხლი
91,Raureif::N,йис,თრთვილი
92,Regenbogen::N,стелаӏад,ცისარტყელა
93,Donner::N,ткъес,ქუხილი
94,Strömung::N,дӏаэхар,დინება
95,Strömung::N,дӏасалелар,დინება
96,Tropfen::N,тӏадам,წვეთი
97,Schaum::N,чопа,ქაფი
98,Schaum::N,чопа,დორბლი
99,Schmutz::N,хатт,ჭუჭყი
100,Schmutz::N,хатт,ტალახი
101,See::N,ӏам,ტბა
102,Sumpf::N,уьшал,ჭაობი
103,Moor::N,уьшал,ტორფნარი
104,Wiese::N,бай,ველი
105,Wiese::N,бай,მდელო
106,Wald::N,хьун,ტყე
107,Hügel::N,гу,ბორცვი
108,Hügel::N,шу,ბორცვი
109,Hügel::N,барз,ბორცვი
110,Anhöhe::N,акъари,მაღლობი
111,Berg::N,лам,მთა
112,Gipfel::N,бохь,მწვერვალი
113,Höhle::N,хьех,მღვიმე
114,Höhle::N,хьех,გამოქვებული
115,Abhang::N,басе,ფერდობი
116,Quelle::N,шовда,წყარო
117,Quelle::N,шовда,სათავე
118,Bach::N,татол,რუ
119,Bach::N,татол,ნაკადული
120,Fluss::N,хи,მდინარე
121,Ufer::N,хийист,კიდე
122,Ufer::N,хийист,ნაპირი
123,Küste::N,йист,ნაპირი
124,Festland::N,латта,ხმელეთი
125,Meer::N,xӏорд,ზღვა
126,Bucht::N,чож,ყურე
127,Insel::N,гӏайре,კუნძული
128,Blume::N,зезаг,ყვავილი
129,Gras::N,буц,ბალახი
130,Wurzel::N,орам,ძირი
131,Wurzel::N,орам,ფესვი
132,Baum::N,дитт,ხე
133,Stamm::N,гӏад,ტანი
134,Stamm::N,тайпа,ტანი
135,Rinde::N,кевстиг,ქერქი
136,Ast::N,га,ტოტი
137,Zweig::N,га,შტო
138,Blatt::N,гӏа,ფოთოლი
139,Birke::N,дакх,არყი
140,Kiefer[Baum]::N,бага,ფიჭვი
141,Weide[Baum]::N,дак,ტირიფი
142,Tanne::N,база,ნაძვი
143,Horn::N,маӏа,რქა
144,Feder::N,пелаг,ფრთა
145,Fell::N,цӏока,ტყავი
146,Flügel::N,тӏам,ფრთა
147,Klaue::N,мӏара,კლანჭი
148,Kralle::N,тlод,ტორი
149,Schwanz::N,цӏога,კუდი
150,Ei::N,xӏoa,კვერცხი
151,Nest::N,бен,ბუდე
152,Bau::N,lуьрг,სორო
153,Tier::N,дийнат,ნადირი
154,Tier::N,дийнат,ცხოველი
155,Herde::N,жа,ფარა
156,Kuh::N,етт,ფური
157,Kuh::N,етт,ძროხა
158,Bulle::N,сту,ხარი
159,Pferd::N,говр,რაში
160,Pferd::N,говр,ცხენი
161,Schaf::N,жий,ცხვარი
162,Schaf::N,уьстагӏ,ცხვარი
163,Schwein::N,хьакха,ღორი
164,Hund::N,жӏаьла,ძაღლი
165,Katze::N,цициг,კატა
166,Bär::N,ча,დათვი
167,Eichhörnchen::N,тарсал,ციყვი
168,Elch::N,сай,ცხენ-ირემი
169,Fuchs::N,цхьогал,მელა
170,Hase::N,пхьагал,კურდღელი
171,Maus::N,дахка,თაგვი
172,Wolf::N,борз,მგელი
173,Vogel::N,олхазар,ჩიტი
174,Vogel::N,олхазар,ფრინველი
175,Huhn::N,котам,დედალი
176,Hahn::N,нӏаьна,მამალი
177,Hahn::N,боргӏал,მამალი
178,Gans::N,гӏаз,ბატი
179,Adler::N,aьрзу,არწივი
180,Ente::N,бад,იხვი
181,Eule::N,бухӏа,ბუ
182,Kranich::N,гӏаргӏули,წერო
183,Krähe::N,къиг,ყვავი
184,Kuckuck::N,aттйокх,გუგული
185,Schwan::N,гӏургӏаз,გედი
186,Fisch::N,чӏара,თევზი
187,Barsch::N,окунь,ქორჭილა
188,Hecht::N,гӏазкхийн чӏара,ქარიყლაპია
189,Schlange[Tier]::N,лаьхьа,გველი
190,Wurm::N,нӏаьна,ჭია
191,Spinne::N,гезг,ობობა
192,Ameise::N,зингат,ჭიანჭველა
193,Laus::N,меза,ტილი
194,Laus::N,меза,მკბენარი
195,Laus::N,гӏениг,ტილი
196,Laus::N,гӏениг,მკბენარი
197,Mücke::N,чуьрк,კოღო
198,Fliege::N,моза,ბუზი
199,Schmetterling::N,полла,პეპელა
200,Beere::N,цӏазам,კენკრა
201,Apfel::N,ӏаж,ვაშლი
202,Pilz::N,жӏаьлин нускал,სოკო
203,Zwiebel::N,xох,ხახვი
204,Saat::N,чlу,თესლი
205,Korn::N,буьртиг,მარცვალი
206,Heu::N,йол,თივა
207,Schale::N,пардо,ჩენჩო
208,Grube::N,ор,ორმო
209,Falle::N,кӏело,ხაფანგი
210,Spur::N,лар,კვალი
211,Asche::N,чим,ფერფლი
212,Dreck::N,мода,ტალახი
213,Dreck::N,мода,სიბინძურე
214,Eisen::N,эчиг,რკინა
215,Gold::N,деши,ოქრო
216,Silber::N,дети,ვერცხლი
217,Kohle::N,кӏора,ნახშირი
218,Glas::N,aнгали,მინა
219,Lehm::N,поппар,თიხა
220,Sand::N,гӏум,ქვიშა
221,Mensch::N,адам,ადამიანი
222,Mann::N,майра,კაცი
223,Frau::N,зуда,ქალი
224,Kind::N,бер,ბავშვი
225,Junge::N,жимха,ვაჟი
226,Mädchen::N,жима йоӏ,გოგო
227,Familie::N,доьзал,ოჯახი
228,Großvater::N,ненада,პაპა
229,Großvater::N,ненада,ბაბუა
230,Großmutter::N,денана,ბებია
231,Großmutter::N,денана,დიდედა
232,Eltern::N,да-нана,მშობლები
233,Vater::N,да,მამა
234,Mutter::N,нана,დედა
235,Sohn::N,кӏант,ვაჟიშვილი
236,Tochter::N,йоӏ,ქალიშვილი
237,Bruder::N,ваша,ძმა
238,Schwester::N,йиша,და
239,Onkel::N,деваша,ბიძა
240,Tante::N,дейиша,დეიდა
241,Tante::N,дейиша,მამიდა
242,Ehemann::N,майра,ქმარი
243,Ehefrau::N,зуда,ცოლი
244,Freude::N,самукъа,სიხარული
245,Freude::N,хазахетар,სიხარული
246,Gelächter::N,белам,სიცილი
247,Glück::N,ирс,ბედნიერება
248,Kummer::N,бала,მწუხარება
249,Wunsch::N,лаам,წადილი
250,Wunsch::N,лаам,სურვილი
251,Lust::N,лаам,წადილი
252,Geist::N,са,სული
253,Gedanke::N,ойла,ფიქრი
254,Gedächtnis::N,диццадалар,მეხსიერება
255,Verstand::N,хьекъал,ჭკუა
256,Verstand::N,хьекъал,გონება
257,Sinn::N,маьӏна,მნიშვნელობა
258,Grund::N,бахьана,მიზეზი
259,Wahrheit::N,бакъдерг,სიმართლე
260,Wahrheit::N,бакъдерг,ჭეშმარიტება
261,Gespräch::N,къамел,ბაასი
262,Gespräch::N,къамел,საუბარი
263,Märchen::N,туьйра,არაკი
264,Märchen::N,туьйра,ზღაპარი
265,Erzählung::N,дийцар,თქმულება
266,Nachricht::N,хаам,ცნობა
267,Nachricht::N,хаам,ამბავი
268,Neuigkeit::N,керланиг,სიახლე
269,Name::N,цӏе,სახელი
270,Rätsel::N,хӏетал-метал,გამოცანა
271,Rede::N,къамел,სიტყვა
272,Sprache::N,мотт,ენა
273,Stimme::N,aз,ხმა
274,Wort::N,дош,სიტყვა
275,Zeichen::N,билгало,ნიშანი
276,Ruf::N,кхайкхар,ძახილი
277,Lärm::N,гӏовгӏа,ხმაური
278,Laut::N,аз,ხმა
279,Laut::N,аз,ბგერა
280,Ton::N,aз,ტონი
281,Lied::N,илли,სიმღერა
282,Ruhe::N,тийналла,სიწყნარე
283,Leute::N,нах,ადამიანები
284,Volk::N,халкъ,ერი
285,Volk::N,халкъ,ხალხი
286,Arbeit::N,болх,მუშაობა
287,Gast::N,хьаша,სტუმარი
288,Geschenk::N,совгӏат,საჩუქარი
289,Spiel::N,ловзар,თამაში
290,Gesellschaft::N,юкъаралла,საზოგადოება
291,Hilfe::N,гӏо,შველა
292,Hilfe::N,гӏо,დახმარება
293,Freund::N,доттагl,მეგობარი
294,Kamerad::N,накъост,ამხანაგი
295,Angelegenheit::N,гӏуллакх,საქმე
296,Anzahl::N,терахь,ოდენობა
297,Stück::N,юьхк,ნატეხი
298,Teil::N,дакъа,წილი
299,Hälfte::N,ах,ნახევარი
300,Kreis::N,го,წრე
301,Kreuz::N,жӏара,ჯვარი
302,Linie::N,сиз,ხაზი
303,Strich::N,сиз,შტრიხი
304,Abstand::N,юкъ,მანძილი
305,Gegend::N,мeттиг,არე
306,Gegend::N,мeттиг,მხარე
307,Platz::N,майда,ფართობი
308,Ort::N,меттиг,ადგილი
309,Seite::N,aгӏo,მხარე
310,Mitte::N,юкъ,შუა
311,Gegenstand::N,хӏума,საგანი
312,Sache::N,хӏума,ნივთი
313,Rand::N,йист,კიდე
314,Kante::N,йист,ნაწიბული
315,Ecke::N,са,კუთხე
316,Spitze::N,ралла,წვეტი
317,Ende::N,юьхьиг,ბოლო
318,Loch::N,ӏуьрг,ხვრელი
319,Winkel::N,са,კუთხე
320,Muster::N,дагар,მოხატულობა
321,Muster::N,тӏамар,მოხატულობა
322,Größe::N,барам,ზომა
323,Größe::N,барам,სიდიდე
324,Länge::N,йохалла,სიგრძე
325,Höhe::N,локхалла,სიმაღლე
326,Gewicht::N,йозалла,წონა
327,Menge::N,дукхалла,რაოდენობა
328,Haufen::N,сал,გროვა
329,Haufen::N,оьла,გროვა
330,Reihe::N,рагӏ,რიგი
331,Reihe::N,рагӏ,წყება
332,Reihe::N,могӏа,რიგი
333,Reihe::N,могӏа,წყება
334,Boot::N,кема,გემი
335,Ruder::N,пийсиг,ხოფი
336,Ruder::N,пийсиг,ნიჩაბი
337,Schlitten::N,салаз,მარხილი
338,Ski::N,когсалаз,თხილამური
339,Lagerfeuer::N,цӏе,კოცონი
340,Last::N,дукъ,ტვირთი
341,Gang::N,лелар,სვლა
342,Schritt::N,гӏулч,ბიჯი
343,Norden::N,къилбаседе,ჩრდილოეთი
344,Süden::N,къилбе,სამხრეთი
345,Westen::N,малхбузе,დასავლეთი
346,Osten::N,малхбале,აღმოსავლეთი
347,Holz::N,дечиг,ხე
348,Brett::N,у,დაფა
349,Brett::N,у,ფიცარი
350,Platte::N,у,თლილი ქვა
351,Stütze::N,гӏopтоp,საყრდენი
352,Stange::N,гӏуркх,ჭოკი
353,Stock::N,ӏаса,კეტი
354,Stab::N,гӏаж,ლატანი
355,Rohr::N,биргӏа,მილაკი
356,Haus::N,цӏа,სახლი
357,Heim::N,кхерч,ოჯახის კერა
358,Ofen::N,кхерч,ღუმელი
359,Fußboden::N,цӏенкъа,იატაკი
360,Tisch::N,шун,სუფრა
361,Tisch::N,шун,მაგიდა
362,Stuhl::N,гӏант,სკამი
363,Wiege::N,ага,აკვანი
364,Bett::N,маьнга,საწოლი
365,Bett::N,маьнга,სარეცელი
366,Regal::N,терхи,თაროები
367,Kiste::N,яьшка,ყუთი
368,Kiste::N,яьшка,სკივრი
369,Fenster::N,кор,ფანჯარა
370,Fenster::N,кор,სარკმელი
371,Tür::N,неӏ,ბჭე
372,Tür::N,неӏ,კარი
373,Tor::N,ков,ჭიშკარი
374,Zaun::N,керт,ღობე
375,Zaun::N,керт,გალავანი
376,Dach::N,тхов,სახურავი
377,Leiter::N,лами,კიბე
378,Besen::N,нуй,ცოცხი
379,Spaten::N,бел,ნიჩაბი
380,Schaufel::N,аьшкал,ბარი
381,Gabel::N,мӏара,ჩანგალი
382,Löffel::N,ӏайг,კოვზი
383,Messer::N,урс,დანა
384,Nagel::N,хьостам,ლურსმანი
385,Netz::N,бой,ბადე
386,Haken::N,мӏара,კავი
387,Haken::N,мӏара,კაუჭი
388,Schloss::N,чӏега,კლიტე
389,Schloss::N,чӏега,საკეტი
390,Bild::N,сурт,სურათი
391,Puppe::N,тайниг,თოჯინა
392,Beutel::N,гали,პარკი
393,Bündel::N,кочар,გალა
394,Bündel::N,кочар,ასხმა
395,Tasche::N,тӏоьрмиг,ჩანთა
396,Eimer::N,чийлик,ჩამჩა
397,Deckel::N,негӏар,ხუფი
398,Deckel::N,негӏар,სარქველი
399,Geschirr::N,пхьегӏа,ჭურჭელი
400,Sack::N,гали,ტომარა
401,Tasse::N,кад,ფინჯანი
402,Topf::N,яй,ქოთანი
403,Kessel::N,яй,ქვაბი
404,Essen::N,юург,ჭამა
405,Nahrung::N,кхача,საზრდო
406,Nahrung::N,кхача,საკვები
407,Speise::N,юург,საჭმელი
408,Fleisch::N,жижиг,ხორცი
409,Getreide::N,буьртиг,მარცვლოვანი
410,Brei::N,xудар,ფაფა
411,Brot::N,бепиг,პური
412,Brot::N,кхаллар,პური
413,Scheibe::N,цастар,ნაჭერი
414,Fett::N,мохь,ქონი
415,Fett::N,мохь,ცხიმი
416,Butter::N,налха,კარაქი
417,Öl::N,даьтта,ზეთი
418,Salz::N,туьха,მარილი
419,Suppe::N,чорпа,სუფი
420,Honig::N,моз,თაფლი
421,Milch::N,шура,რძე
422,Tee::N,чай,ჩაი
423,Leder::N,цӏока,ტყავი
424,Wolle::N,тӏapгӏa,მატყლი
425,Stoff::N,кӏади,ქსოვილი
426,Nadel::N,маха,ნემსი
427,Faden::N,тай,ძაფი
428,Faden::N,тай,მკედი
429,Knopf::N,нуьйда,ღილი
430,Knoten::N,шад,ნასკვი
431,Farbe::N,сир,საღებავი
432,Farbe::N,басар,საღებავი
433,Kleidung::N,бедар,ტანსაცმელი
