,Concept_ID,lbe,fa
0,Auge::N,я,چشم
1,Ohr::N,вичӏи,گوش
2,Nase::N,май,بینی
3,Mund::N,кьацӏ,دهان
4,Zahn::N,ккарччи,دندان
5,Zunge::N,маз,زبان
6,Lippe::N,мурччи,لب
7,Wange::N,чӏав,لپ
8,Gesicht::N,лажин,رو
9,Gesicht::N,лажин,چهره
10,Stirn::N,ненттабакӏ,پیشانی
11,Haar::N,чӏара,مو
12,Schnurrbart::N,ссирссилтту,سبیل
13,Bart::N,чӏири,ریش
14,Kinn::N,лунттубакӏ,چانه
15,Kiefer[Anatomie]::N,ххинчулул,فک
16,Kiefer[Anatomie]::N,ххинчулул,آرواره
17,Kehle::N,кьакьари,حلق
18,Hals::N,ссурссу,گردن
19,Genick::N,махъабакӏ,پشت گردن
20,Kopf::N,бакӏ,سر
21,Kopf::N,бакӏ,کله
22,Rücken::N,ттиликӏ,پشت
23,Bauch::N,лякьа,شکم
24,Nabel::N,цӏумуккутӏ,ناف
25,Busen::N,ккукку,پستان
26,Brust::N,хъазам,سینه
27,Schulter::N,хъачӏ,دوش
28,Schulter::N,хъачӏ,شانه
29,Arm::N,ка,بازو
30,Ellenbogen::N,ссюрхъ,آرنج
31,Hand::N,бартка,دست
32,Handfläche::N,хъат,کف دست
33,Handfläche::N,битӏянхъ,کف دست
34,Finger::N,кӏисса,انگشت
35,Fingernagel::N,михь,ناخن دست
36,Nagel[Anatomie]::N,михь,ناخن
37,Zeh::N,кӏисса,انگشت پا
38,Fuß::N,чӏанччан,پا
39,Ferse::N,никъа,پاشنه
40,Knie::N,ник,زانو
41,Oberschenkel::N,жира,ران
42,Bein::N,ччан,پا
43,Bein::N,ччан,لنگ
44,Körper::N,чурх,تن
45,Körper::N,чурх,بدن
46,Haut::N,бурчу,پوست
47,Blut::N,оь,خون
48,Ader::N,тунну,رگ
49,Sehne::N,хьхьа,زردپی
50,Knochen::N,ттаркӏ,استخوان
51,Gehirn::N,ня,مخ
52,Gehirn::N,ня,مغز
53,Herz::N,дакӏ,دل
54,Herz::N,дакӏ,قلب
55,Herz::N,къюкӏ,دل
56,Herz::N,къюкӏ,قلب
57,Magen::N,лякьа,معده
58,Atem::N,ссихӏ ласаву,نفس
59,Atem::N,ссихӏ бигьаву,نفس
60,Hunger::N,ккаши,گرسنگی
61,Träne::N,макь,اشک
62,Geschmack::N,тӏин,مزه
63,Geschmack::N,тӏааьн,مزه
64,Geruch::N,кьанкь,بو
65,Schlaf::N,шану,خواب
66,Traum::N,макӏру,رؤیا
67,Himmel::N,ссав,فلک
68,Himmel::N,ссав,آسمان
69,Sonne::N,баргъ,آفتاب
70,Sonne::N,баргъ,خورشید
71,Mond::N,барз,ماه
72,Stern::N,цӏуку,ستاره
73,Luft::N,гьава,هوا
74,Wind::N,марч,باد
75,Welle::N,щатӏи,موج
76,Wasser::N,щин,آب
77,Stein::N,чару,سنگ
78,Boden::N,аьрщи,زمین
79,Erde::N,аьрщи,خاک
80,Erde::N,аьрщи,زمین
81,Staub::N,ххит,گرد
82,Staub::N,ххит,غبار
83,Rauch::N,пуркӏу,دود
84,Funke::N,пиягь,جرقه
85,Feuer::N,цӏу,آتش
86,Licht::N,чани,نور
87,Licht::N,чани,روشنی
88,Schatten::N,ххют,سایه
89,Wetter::N,гьава,هوا
90,Nebel::N,шархь ттурлу,مه
91,Wolke::N,ттурлу,ابر
92,Regen::N,гъарал,باران
93,Schnee::N,марххала,برف
94,Eis::N,микӏ,یخ
95,Frost::N,дяркъу,یخبندان
96,Frost::N,замгьар,یخبندان
97,Kälte::N,дяркъу,سرما
98,Hitze::N,кӏиришиву,گرما
99,Hitze::N,кӏиришиву,حرارت
100,Raureif::N,сил,برف ریزه
101,Raureif::N,бурса,برف ریزه
