,Concept_ID,cs,tt
0,Auge::N,oko,күз
1,Ohr::N,ucho,колак
2,Nase::N,nos,борын
3,Mund::N,pusa,авыз
4,Mund::N,pusa,тамак
5,Zahn::N,zub,теш
6,Zunge::N,jazyk,тел
7,Lippe::N,ret,ирен
8,Wange::N,tvář,яңак
9,Gesicht::N,obličej,йөз
10,Stirn::N,čelo,маңгай
11,Haar::N,vlas,чәч
12,Haar::N,vlasy,чәч
13,Schnurrbart::N,kníry,мыек
14,Bart::N,vousy,сакал
15,Kinn::N,brada,ияк
16,Kiefer[Anatomie]::N,čelist,казналык
17,Kehle::N,hrdlo,тамак
18,Hals::N,krk,бугаз
19,Genick::N,týl,җилкә
20,Kopf::N,hlava,баш
21,Rücken::N,záda,сырт
22,Rücken::N,hřbet,сырт
23,Bauch::N,břicho,корсак
24,Nabel::N,pupek,кендек
25,Busen::N,ňadra,түш
26,Brust::N,prsa,имчәк
27,Brust::N,prsa,күкрәк
28,Schulter::N,plece,иңбаш
29,Schulter::N,plece,кулбаш
30,Schulter::N,rameno,иңбаш
31,Schulter::N,rameno,кулбаш
32,Arm::N,ruka,кул
33,Ellenbogen::N,loket,терсәк
34,Hand::N,ruka,кул
35,Handfläche::N,dlaň,уч
36,Finger::N,prst,бармак
37,Fingernagel::N,nehet,тырнак
38,Nagel[Anatomie]::N,nehet,тырнак
39,Zeh::N,prst u nohy,бармак
40,Fuß::N,noha,табан
41,Ferse::N,pata,үкчә
42,Knie::N,koleno,тез
43,Oberschenkel::N,stehno,бот
44,Bein::N,noha,аяк
45,Körper::N,tělo,тән
46,Körper::N,tělo,җисем
47,Haut::N,kůže,тире
48,Blut::N,krev,кан
49,Ader::N,céva,тамыр
50,Sehne::N,šlacha,сеңер
51,Knochen::N,kost,сөяк
52,Gehirn::N,mozek,ми
53,Herz::N,srdce,йөрәк
54,Magen::N,žaludek,ашказаны
55,Leber::N,játra,бавыр
56,Atem::N,dech,сулыш
57,Hunger::N,hlad,ачлык
58,Träne::N,slza,яшь
59,Geschmack::N,vkus,тәм
60,Geschmack::N,vkus,зәвык
61,Geruch::N,vůně,ис
62,Geruch::N,zápach,ис
63,Schlaf::N,spánek,йокы
64,Traum::N,sen,төш
65,Himmel::N,nebe,күк
66,Sonne::N,slunce,кояш
67,Mond::N,měsíc,ай
68,Stern::N,hvězda,йолдыз
69,Luft::N,vzduch,һава
70,Wind::N,vítr,җил
71,Welle::N,vlna,дулкын
72,Wasser::N,voda,су
73,Stein::N,kámen,таш
74,Boden::N,půda,туфрак
75,Erde::N,země,җир
76,Staub::N,prach,тузан
77,Rauch::N,dým,төтен
78,Rauch::N,kouř,төтен
79,Funke::N,jiskra,очкын
80,Feuer::N,oheň,ут
81,Licht::N,světlo,якты
82,Schatten::N,stín,күләгә
83,Wetter::N,počasí,һава
84,Nebel::N,mlha,томан
85,Wolke::N,mrak,болыт
86,Wolke::N,oblak,болыт
87,Regen::N,déšť,яңгыр
88,Schnee::N,sníh,кар
89,Eis::N,led,боз
90,Frost::N,mráz,суык
91,Frost::N,mráz,салкын
92,Kälte::N,chlad,суык
93,Kälte::N,chlad,салкын
94,Hitze::N,horko,эсселек
95,Raureif::N,jinovatka,бәс
96,Raureif::N,jinovatka,сыкы
97,Regenbogen::N,duha,салават күпере
98,Donner::N,hrom,күкрәү
99,Strömung::N,proudění,агыш'агым
100,Tropfen::N,kapka,тамчы
101,Schaum::N,pěna,күбек
102,Schmutz::N,špína,пычрак
103,See::N,jezero,күл
104,Sumpf::N,močál,саз
105,Sumpf::N,bažina,саз
106,Moor::N,bažina,торфлык
107,Moor::N,slatina,торфлык
108,Wiese::N,louka,болын
109,Wald::N,les,урман
110,Hügel::N,kopec,калку
111,Anhöhe::N,pahorek,үр
112,Berg::N,hora,тау
113,Gipfel::N,vrchol,оч
114,Höhle::N,jeskyně,мәгарә
115,Abhang::N,svah,кабырга
116,Abhang::N,stráň,кабырга
117,Quelle::N,pramen,чишмә
118,Bach::N,potok,елга
119,Fluss::N,řeka,дәрья
120,Ufer::N,břeh,су кырые
121,Küste::N,pobřeží,яр буе
122,Festland::N,souš,коры җир
123,Festland::N,pevnina,коры җир
124,Meer::N,moře,диңгез
125,Bucht::N,záliv,бухта
126,Bucht::N,záliv,култык
127,Bucht::N,zátoka,бухта
128,Bucht::N,zátoka,култык
129,Insel::N,ostrov,атау
130,Insel::N,ostrov,утрау
131,Blume::N,květina,чәчкә
132,Gras::N,tráva,үлән
133,Wurzel::N,kořen,тамыр
134,Baum::N,strom,агач
135,Stamm::N,kmen,кәүсә
136,Rinde::N,kůra,кабык
137,Ast::N,větev,ботак
138,Zweig::N,větev,ботак
139,Zweig::N,větev,тармак
140,Blatt::N,lupen,яфрак
141,Birke::N,bříza,каен
142,Kiefer[Baum]::N,sosna,нарат
143,Kiefer[Baum]::N,borovice,нарат
144,Weide[Baum]::N,vrba,тал
145,Tanne::N,jedle,чыршы
146,Horn::N,roh,мөгез
147,Feder::N,pero,йон
148,Fell::N,srst,тире
149,Flügel::N,křídlo,канат
150,Klaue::N,dráp,тырнак
151,Klaue::N,pazneht,тырнак
152,Kralle::N,dráp,тырнак
153,Schwanz::N,ocas,койрык
154,Ei::N,vejce,күкәй
155,Ei::N,vejce,йомырка
156,Nest::N,hnízdo,оя
157,Bau::N,nora,өн
158,Tier::N,zvíře,хайван
159,Herde::N,stádo,көтү
160,Kuh::N,kráva,сыер
161,Bulle::N,býk,үгез
162,Pferd::N,kůň,ат
163,Schaf::N,ovce,сарык
164,Schwein::N,vepř,дуңгыз
165,Schwein::N,prase,дуңгыз
166,Hund::N,pes,эт
167,Katze::N,kočka,песи
168,Bär::N,medvěd,аю
169,Eichhörnchen::N,veverka,тиен
170,Elch::N,los,поши
171,Fuchs::N,liška,төлке
172,Hase::N,zajíc,куян
173,Maus::N,myš,тычкан
174,Wolf::N,vlk,бүре
175,Vogel::N,pták,кош
176,Schwarm::N,roj,көтү
177,Schwarm::N,hejno,көтү
178,Huhn::N,kuře,тавык
179,Huhn::N,slepice,тавык
180,Hahn::N,kohout,әтәч
181,Gans::N,husa,каз
182,Adler::N,orel,каракош
183,Ente::N,kachna,үрдәк
184,Eule::N,sova,ябалак
185,Kranich::N,jeřáb,торна
186,Krähe::N,vrána,карга
187,Kuckuck::N,kukačka,күке
188,Kuckuck::N,kukačka,кәккүк
189,Schwan::N,labuť,аккош
190,Fisch::N,ryba,балык
191,Barsch::N,okoun,алабуга
192,Hecht::N,štika,чуртан
193,Schlange[Tier]::N,had,елан
194,Wurm::N,červ,корт
195,Spinne::N,pavouk,үрмәкүч
196,Ameise::N,mravenec,кырмыска
197,Laus::N,veš,бет
198,Mücke::N,komár,черки
199,Mücke::N,komár,озынборын
200,Fliege::N,moucha,чебен
201,Schmetterling::N,motýl,күбәләк
202,Beere::N,bobule,җиләк
203,Apfel::N,jablko,алма
204,Pilz::N,houba,гөмбә
205,Zwiebel::N,cibule,суган
206,Zwiebel::N,cibule,суганбаш
207,Saat::N,osivo,орлык
208,Korn::N,zrno,иген
209,Korn::N,zrno,орлык
210,Heu::N,seno,печән
211,Schale::N,slupka,кабык
212,Schale::N,skořápka,кабык
213,Grube::N,jáma,баз
214,Grube::N,jáma,чокыр
215,Falle::N,past,тозак
216,Falle::N,past,капкын
217,Falle::N,léčka,тозак
218,Falle::N,léčka,капкын
219,Schlinge::N,smyčka,элмәк
220,Spur::N,stopa,эз
221,Asche::N,popel,көл
222,Dreck::N,špína,пычрак
223,Eisen::N,železo,тимер
224,Gold::N,zlato,алтын
225,Silber::N,stříbro,көмеш
226,Kohle::N,uhlí,күмер
227,Glas::N,sklo,пыяла
228,Lehm::N,jíl,балчык
229,Lehm::N,hlína,балчык
230,Sand::N,písek,ком
231,Mensch::N,člověk,адәм
232,Mensch::N,člověk,инсан
233,Mann::N,muž,ир
234,Frau::N,žena,хатын
235,Kind::N,dítě,бала
236,Junge::N,hoch,малай
237,Junge::N,chlapec,малай
238,Mädchen::N,děvče,кыз
239,Familie::N,rodina,гаилә
240,Großvater::N,děd,бабай
241,Großvater::N,dědeček,бабай
242,Großmutter::N,babička,әби
243,Eltern::N,rodiče,ата-ана
244,Vater::N,otec,ата
245,Mutter::N,matka,ана
246,Sohn::N,syn,ул
247,Tochter::N,dcera,кыз
248,Bruder::N,bratr,кардәш
249,Schwester::N,sestra,апа
250,Schwester::N,sestra,сеңел
251,Onkel::N,strýc,дәдә
252,Onkel::N,strýc,дәдәй
253,Tante::N,teta,түти
254,Tante::N,teta,тәтәй
255,Ehemann::N,choť,ир
256,Ehemann::N,manžel,ир
257,Ehefrau::N,choť,хатын
258,Ehefrau::N,manželka,хатын
259,Freude::N,radost,сөенеч
260,Gelächter::N,smích,көлү
261,Gelächter::N,smích,көлеш
262,Glück::N,štěstí,бәхет
263,Kummer::N,žal,хәсрәт
264,Kummer::N,trápení,хәсрәт
265,Wunsch::N,přání,теләк
266,Lust::N,chuť,теләк
267,Lust::N,chuť,теләү
268,Geist::N,duch,рух
269,Gedanke::N,myšlenka,уй
270,Gedanke::N,myšlenka,фикер
271,Gedächtnis::N,paměť,хәтер
272,Verstand::N,rozum,акыл
273,Sinn::N,smysl,мәгънә
274,Grund::N,důvod,сәбәп
275,Wahrheit::N,pravda,хак
276,Gespräch::N,rozhovor,әңгәмә
277,Märchen::N,pohádka,әкият
278,Erzählung::N,povídka,хикәя
279,Nachricht::N,zpráva,хәбәр
280,Neuigkeit::N,novina,яңалык
281,Neuigkeit::N,novinka,яңалык
282,Name::N,jméno,исем
283,Rätsel::N,hádanka,табышмак
284,Rede::N,řeč,нотык
285,Rede::N,proslov,нотык
286,Sprache::N,řeč,тел
287,Sprache::N,jazyk,тел
288,Stimme::N,hlas,тавыш
289,Wort::N,slovo,сүз
290,Zeichen::N,znamení,ишарә
291,Ruf::N,zavolání,дәшү
292,Lärm::N,hluk,шау
293,Laut::N,zvuk,аваз
294,Ton::N,tón,шалтырату
295,Lied::N,píseň,җыр
296,Ruhe::N,klid,тынлык
297,Ruhe::N,pokoj,тынлык
