,Concept_ID,tr,av
0,Auge::N,göz,
1,Ohr::N,kulak,гӏин
2,Nase::N,burun,мегӏер
3,Mund::N,ağız,кӏал
4,Zahn::N,diş,гӏус
5,Zunge::N,dil,мацӏ
6,Lippe::N,dudak,кӏветӏ
7,Wange::N,yanak,гӏоно
8,Gesicht::N,yüz,гьумер
9,Stirn::N,alın,нодо
10,Haar::N,saç,рас
11,Schnurrbart::N,bıyık,михъ
12,Bart::N,sakal,мегеж
13,Kinn::N,çene,нилъу
14,Kiefer[Anatomie]::N,çene,чанагъ
15,Kehle::N,boğaz,щекъер
16,Hals::N,boyun,габур
17,Hals::N,gerdan,габур
18,Genick::N,ense,гъванща
19,Kopf::N,baş,бетӏер
20,Kopf::N,kafa,бетӏер
21,Rücken::N,arka,мугъ
22,Bauch::N,karın,чехь
23,Nabel::N,göbek,цӏину
24,Busen::N,koyun,керен
25,Brust::N,göğüs,керен
26,Schulter::N,omuz,гъажазубетӏер
27,Arm::N,kol,гъеж
28,Ellenbogen::N,dirsek,гӏункӏрукь
29,Hand::N,el,квер
30,Handfläche::N,avuç,огъохъат
31,Handfläche::N,avuç,жанисахъат
32,Handfläche::N,el ayası,огъохъат
33,Handfläche::N,el ayası,жанисахъат
34,Finger::N,parmak,килищ
35,Fingernagel::N,el tırnağı,малъ
36,Nagel[Anatomie]::N,tırnak,малъ
37,Zeh::N,ayak parmağı,килищ
38,Fuß::N,ayak,хӏетӏ
39,Fuß::N,ayak,хӏетӏе
40,Ferse::N,topuk,эгъе
41,Knie::N,diz,наку
42,Oberschenkel::N,uyluk,мачӏ
43,Bein::N,bacak,бох
44,Körper::N,vücut,къаркъала
45,Haut::N,cilt,тӏом
46,Blut::N,kan,би
47,Ader::N,damar,бидурихь
48,Sehne::N,kiriş,
49,Knochen::N,kemik,ракьа
50,Gehirn::N,beyin,гӏадалнах
51,Herz::N,kalp,ракӏ
52,Herz::N,yürek,ракӏ
53,Magen::N,mide,кванирукъ
54,Leber::N,karaciğer,тӏул
55,Atem::N,nefes,хӏухь
56,Hunger::N,açlık,ракъи
57,Träne::N,gözyaşı,магӏу
58,Geschmack::N,tat,тату
59,Geschmack::N,lezzet,тату
60,Geruch::N,koku,махӏ
61,Schlaf::N,uyku,макьу
62,Traum::N,düş,макьу
63,Traum::N,rüya,макьу
64,Himmel::N,gök,зоб
65,Sonne::N,güneş,бакъ
66,Mond::N,ay,моцӏ
67,Stern::N,yıldız,цӏва
68,Luft::N,hava,гьава
69,Wind::N,yel,гьури
70,Wind::N,rüzgâr,гьури
71,Welle::N,dalga,карачел
72,Wasser::N,su,лъим
73,Stein::N,taş,гьецӏо
74,Boden::N,yer,ракь
75,Boden::N,zemin,ракь
76,Erde::N,toprak,ракь
77,Erde::N,toprak,дуниял
78,Staub::N,toz,хӏур
79,Rauch::N,duman,кӏкӏуй
80,Funke::N,kıvılcım,
81,Feuer::N,ateş,цӏа
82,Licht::N,ışık,канлъи
83,Schatten::N,gölge,рагӏад
84,Wetter::N,hava,гьава-бакъ
85,Nebel::N,pus,гӏодобнакӏкӏ
86,Wolke::N,bulut,накӏкӏ
87,Regen::N,yağmur,цӏад
88,Schnee::N,kar,гӏазу
89,Eis::N,buz,цӏер
90,Frost::N,don,замгьари
91,Kälte::N,soğukluk,квач
92,Hitze::N,sıcaklık,багӏари
93,Raureif::N,kırç,мартӏ
94,Regenbogen::N,gökkuşağı,нур
95,Regenbogen::N,gökkuşağı,чамбара
96,Donner::N,gök gürlemesi,гъугъай
97,Donner::N,gök gürlemesi,гъугъади
98,Strömung::N,akıntı,чвахи
99,Strömung::N,cereyan,чвахи
100,Tropfen::N,damla,резел
101,Tropfen::N,damla,тӏинкӏ
102,Tropfen::N,damla,къатӏра
103,Tropfen::N,damla,тӏенкӏел
104,Schaum::N,köpük,полоп
105,Schmutz::N,çamur,чороклъи
106,Schmutz::N,pislik,чороклъи
107,See::N,göl,хӏор
108,Sumpf::N,batak,хьуцӏ
109,Moor::N,cılgıt,
110,Wiese::N,çimen,мегъ
111,Wiese::N,çimen,гӏурдаллъи
112,Wald::N,koru,рохь
113,Wald::N,orman,рохь
114,Hügel::N,tepe,гохӏ
115,Anhöhe::N,tümsek,сийитма
116,Anhöhe::N,yükseklik,сийитма
117,Berg::N,dağ,мегӏер
118,Gipfel::N,zirve,тӏогь
119,Höhle::N,in,нохъо
120,Höhle::N,mağara,нохъо
121,Abhang::N,bayır,лабаллъи
122,Quelle::N,pınar,ицц
123,Quelle::N,kaynak,ицц
124,Bach::N,çay,лъар
125,Bach::N,dere,лъар
126,Fluss::N,nehir,гӏор
127,Ufer::N,kıyı,рагӏал
128,Ufer::N,sahil,рагӏал
129,Küste::N,kıyı,рагӏал
130,Küste::N,sahil,рагӏал
131,Festland::N,kara,ракь
132,Festland::N,kara,ракъдаллъи
133,Meer::N,deniz,ралъад
134,Bucht::N,koy,кӏветӏ
135,Bucht::N,körfez,кӏветӏ
136,Insel::N,ada,чӏинкӏиллъи
137,Blume::N,çiçek,тӏегь
138,Gras::N,ot,хер
139,Gras::N,çim,хер
140,Wurzel::N,kök,кьибил
141,Baum::N,ağaç,гъветӏ
142,Stamm::N,gövde,рохти
143,Rinde::N,kabuk,макъар
144,Ast::N,dal,ноцӏ
145,Ast::N,budak,ноцӏ
146,Zweig::N,dal,гӏаркьел
147,Blatt::N,yaprak,тӏамах
148,Birke::N,huş,мах
149,Birke::N,huş,махигъветӏ
150,Kiefer[Baum]::N,çam,накӏкӏигъветӏ
151,Weide[Baum]::N,söğüt,рицӏцӏ
152,Weide[Baum]::N,söğüt,рицӏцӏигъветӏ
153,Tanne::N,çam,ёлка
154,Tanne::N,köknar,ёлка
155,Horn::N,boynuz,лълъар
156,Feder::N,tüy,хӏули
157,Fell::N,post,тӏом
158,Fell::N,post,цӏоко
159,Flügel::N,kanat,кваркьи
160,Klaue::N,pençe,галъ
161,Kralle::N,tırnak,квачӏ
162,Kralle::N,tırnak,катиквачӏ
163,Schwanz::N,kuyruk,рачӏ
164,Ei::N,yumurta,хоно
165,Nest::N,yuva,бусен
166,Bau::N,in,каратӏ
167,Tier::N,hayvan,хӏайван
168,Herde::N,sürü,рехъен
169,Herde::N,sürü,рехъед
170,Kuh::N,inek,гӏака
171,Bulle::N,boğa,оц
172,Pferd::N,at,чу
173,Pferd::N,beygir,чу
174,Schaf::N,koyun,чахъу
175,Schwein::N,domuz,болъон
176,Hund::N,it,гьой
177,Hund::N,köpek,гьой
178,Katze::N,kedi,кету
179,Bär::N,ayı,ци
180,Eichhörnchen::N,sincap,гвангва
181,Elch::N,büyük kuzey geyiği,
182,Fuchs::N,tilki,цер
183,Hase::N,tavşan,гӏанкӏ
184,Maus::N,fare,гӏункӏкӏ
185,Maus::N,sıçan,гӏункӏкӏ
186,Wolf::N,kurt,бацӏ
187,Vogel::N,kuş,хӏинчӏ
188,Schwarm::N,sürü,тӏел
189,Huhn::N,tavuk,гӏанкӏу
190,Hahn::N,horoz,хӏелеко
191,Gans::N,kaz,хъаз
