,Concept_ID,lt,kl
0,Auge::N,akis,isi
1,Ohr::N,ausis,siut
2,Nase::N,nosis,
3,Mund::N,burna,paaq
4,Mund::N,burna,qaneq
5,Zahn::N,dantis,kigut
6,Zunge::N,liežuvis,oqaq
7,Lippe::N,lūpa,qarloq
8,Wange::N,žandas,ersaq
9,Wange::N,skruostas,ersaq
10,Gesicht::N,veidas,kiinaq
11,Stirn::N,kakta,qaaq
12,Haar::N,plaukai,meqqoq
13,Schnurrbart::N,ūsai,
14,Bart::N,barzda,umik
15,Kinn::N,smakras,talloq
16,Kiefer[Anatomie]::N,žandikaulis,alleroq
17,Kehle::N,gerklė,malaq
18,Hals::N,kaklas,qungaseq
19,Genick::N,sprandas,pukusuk
20,Kopf::N,galva,niaqoq
21,Rücken::N,nugara,qimerlut
22,Bauch::N,pilvas,naaq
23,Nabel::N,bamba,qalaseq
24,Busen::N,krūtinė,iviangeq
25,Brust::N,krūtis,iviangeq
26,Schulter::N,petys,ersik
27,Schulter::N,petys,assaqqoq
28,Arm::N,ranka,taleq
29,Ellenbogen::N,alkūnė,ikusik
30,Hand::N,ranka,assak
31,Hand::N,plaštaka,assak
32,Handfläche::N,delnas,itumak
33,Handfläche::N,plaštaka,itumak
34,Finger::N,pirštas,inuak
35,Fingernagel::N,nagas,kikiak
36,Nagel[Anatomie]::N,nagas,kukik
37,Zeh::N,pirštas,isigak
38,Fuß::N,pėda,
39,Ferse::N,kulnas,kimmik
40,Knie::N,kelis,seeqqoq
41,Oberschenkel::N,kulšis,uppat
42,Oberschenkel::N,kulšis,quttoraq
43,Oberschenkel::N,šlaunis,uppat
44,Oberschenkel::N,šlaunis,quttoraq
45,Bein::N,koja,isigak
46,Körper::N,kūnas,timi
47,Haut::N,oda,mattak
48,Blut::N,kraujas,aak
49,Ader::N,kraujagyslė,taqaq
50,Sehne::N,sausgyslė,ujalu
51,Sehne::N,sausgyslė,ujaloq
52,Knochen::N,kaulas,saanikut
53,Gehirn::N,smegenys,qarasaq
54,Herz::N,širdis,uummat
55,Magen::N,skrandis,aqajaroq
56,Leber::N,kepenys,tinguk
57,Atem::N,kvapas,anerneq
58,Hunger::N,badas,kaanneq
59,Hunger::N,alkis,kaanneq
60,Träne::N,ašara,qia
61,Träne::N,ašara,qiak
62,Geschmack::N,skonis,qilanaartuut
63,Geruch::N,kvapas,tipi
64,Geruch::N,kvapas,tipik
65,Schlaf::N,miegas,
66,Traum::N,sapnas,sinnattoq
67,Traum::N,sapnas,sinnattugaq
68,Himmel::N,dangus,qilak
69,Sonne::N,saulė,seqineq
70,Mond::N,mėnulis,qaammat
71,Stern::N,žvaigždė,ulloriaq
72,Luft::N,oras,silaannaq
73,Wind::N,vėjas,anori
74,Wind::N,vėjas,anorsarik
75,Welle::N,banga,aalappaa
76,Welle::N,vilnis,aalappaa
77,Wasser::N,vanduo,imeq
78,Stein::N,akmuo,ujarak
79,Boden::N,žemė,nateq
80,Boden::N,dugnas,nateq
81,Erde::N,žemė,issoq
82,Staub::N,dulkės,pujualanerit
83,Staub::N,dulkės,pujoralanerit
84,Rauch::N,dūmai,iseq
85,Rauch::N,dūmai,pujoq
86,Funke::N,kibirkštis,illoorneq
87,Feuer::N,ugnis,inneq
88,Licht::N,šviesa,qaamaneq
89,Schatten::N,paūksmė,tarraq
90,Wetter::N,oras,sila
91,Nebel::N,migla,pujoq
92,Nebel::N,rūkas,pujoq
93,Wolke::N,debesis,nuia
94,Regen::N,lietus,sialuk
95,Schnee::N,sniegas,aput
96,Eis::N,ledas,siku
97,Frost::N,šalna,issi
98,Frost::N,šalna,issik
99,Kälte::N,šaltis,issi
100,Hitze::N,karštis,kianneq
101,Hitze::N,karštis,kiassuseq
102,Raureif::N,šerkšnas,kaneq
103,Regenbogen::N,vaivorykštė,neriusaaq
104,Donner::N,perkūnas,kalleq
105,Donner::N,griaustinis,kalleq
106,Strömung::N,tėkmė,
107,Tropfen::N,lašas,kuseriarneq
108,Schaum::N,putos,qapuk
109,Schmutz::N,purvas,minguk
110,See::N,ežeras,taseq
111,Sumpf::N,klampynė,maqulluk
112,Sumpf::N,liūnas,maqulluk
113,Moor::N,pelkė,
114,Wiese::N,pieva,masarsuk
115,Wald::N,miškas,
116,Hügel::N,kalva,qattuneq
117,Hügel::N,kalva,majuariaq
118,Hügel::N,kalva,majorajaaq
119,Hügel::N,kalva,qaqqannguaq
120,Anhöhe::N,kauburys,
121,Berg::N,kalnas,qaqqaq
122,Gipfel::N,viršūnė,
123,Höhle::N,ola,qaarusuk
124,Abhang::N,šlaitas,ippik
125,Abhang::N,šlaitas,sivinganeq
126,Abhang::N,šlaitas,sivingajaaq
127,Abhang::N,šlaitas,kussangajaaq
128,Abhang::N,nuokalnė,ippik
129,Abhang::N,nuokalnė,sivinganeq
