,Concept_ID,mdf,ta
0,Auge::N,сельме,கண்
1,Ohr::N,пиле,காது
2,Nase::N,шалхка,மூக்கு
3,Mund::N,курга,வாய்
4,Zahn::N,пей,பல்
5,Zunge::N,кяль,நாக்கு
6,Lippe::N,търва́,உதடு
7,Wange::N,щёка,கன்னம்
8,Gesicht::N,шама,முகம்
9,Stirn::N,коня,முன்னெற்றி
10,Haar::N,шя́ярь,முடி
11,Schnurrbart::N,уса́,மீசை
12,Bart::N,сакал,தாடி
13,Kinn::N,ула,கீழதாடை
14,Kiefer[Anatomie]::N,саласка,தாடை
15,Kehle::N,кълдома,தொண்டை
16,Kehle::N,кърга́парь,தொண்டை
17,Hals::N,сялдаз,கழுத்து
18,Genick::N,шовонь,கழுத்து
19,Kopf::N,пря,தலை
20,Rücken::N,копорь,முதுகு
21,Bauch::N,пеке,வயிறு
22,Nabel::N,по́кон,தொப்புள்
23,Busen::N,потя,மார்பகம்
24,Brust::N,мяште, மார்பு
25,Schulter::N,лафту,தோள்பட்டை
26,Arm::N,кядь,கரம்
27,Ellenbogen::N,кенерьба́карь,முழங்கை
28,Hand::N,кядь,கை
29,Handfläche::N,кядьлапш,உள்ளங்கை
30,Finger::N,сур,விரல்
31,Fingernagel::N,кенже,விரல் நகம்
32,Nagel[Anatomie]::N,кенже,நகம்
33,Zeh::N,пильгосу́р,கால்விரல்
34,Fuß::N,пильге,கால்
35,Fuß::N,пильгелапа,கால்
36,Ferse::N,кочкяря,குதிகால்
37,Knie::N,эль,முழங்கால்
38,Knie::N,пълма́нжа,முழங்கால்
39,Oberschenkel::N,пильгепукша,தொடை
40,Bein::N,пильге,கால்
41,Körper::N,ро́нга,உடல்
42,Körper::N,по́нда,உடல்
43,Haut::N,киське,சருமம்
44,Blut::N,вер,இரத்தம்
45,Ader::N,сан,நாளம்
46,Ader::N,верза́н,நாளம்
47,Sehne::N,коське сан,தசைநார்
48,Knochen::N,пакарь,எலுமபு
49,Gehirn::N,уй,மூனை
50,Herz::N,седи,இதயம
51,Magen::N,коткърдазь,வயிறு
52,Leber::N,макса,கல்லீரல்
53,Atem::N,лекома,மூச்சு
54,Atem::N,ваймонь тарксема,மூச்சு
55,Hunger::N,вачеши,பசி
56,Träne::N,сельмове́дь,கண்ணீர்
57,Geschmack::N,таньф,நறுமணம்
58,Geruch::N,шине,துர்நாற்றம்
59,Schlaf::N,удома́,தூக்கம்
60,Traum::N,он,கனவு
61,Himmel::N,менель,வானம்
62,Sonne::N,ши,சூரியன்
63,Mond::N,ков,சந்திரன்
64,Stern::N,тяште,நட்சத்திரம்
65,Luft::N,кожф,காறறு
66,Wind::N,варма,காற்று
67,Welle::N,тавла,அலை
68,Wasser::N,ведь,நீர்
69,Stein::N,кев,கல்
70,Boden::N,мода,தரை
71,Boden::N,потмакс,தரை
72,Erde::N,мода,மண்
73,Erde::N,мастор,மண்
74,Staub::N,пуль,தூசி
75,Rauch::N,качам,புகை
76,Funke::N,ця́тка,தீப்பொறி
77,Feuer::N,тол,தீ
78,Licht::N,ва́лда,வெளிச்சம்
79,Schatten::N,цильф,நிழல்
80,Wetter::N,уша,வானிலை
81,Nebel::N,тума́н,பனிமூட்டம்
82,Wolke::N,ковол,மேகம்
83,Regen::N,пизем,மழை
84,Schnee::N,лов,உறைபனி
85,Eis::N,эй,பனிக்கட்டி
86,Frost::N,ке́льме,உறைபனி
87,Kälte::N,якшама,குளிர்ந்த
88,Hitze::N,пси,சூடு
