,Concept_ID,is,he
0,Auge::N,auga,עין
1,Ohr::N,eyra,אזן
2,Nase::N,nef,אף
3,Nase::N,nef,חטם
4,Mund::N,munnur,פה
5,Zahn::N,tönn,שן
6,Zunge::N,tunga,לשון
7,Lippe::N,vör,שפה
8,Wange::N,kinn,לחי
9,Wange::N,vangi,לחי
10,Gesicht::N,andlit,פנים
11,Stirn::N,enni,מצח
12,Haar::N,hár,שערה
13,Schnurrbart::N,yfirskegg,שפם
14,Bart::N,skegg,זקן
15,Kinn::N,haka,סנטר
16,Kiefer[Anatomie]::N,kjálki,לסת
17,Kiefer[Anatomie]::N,skoltur,לסת
18,Kehle::N,kverk,גרון
19,Hals::N,háls,צואר
20,Genick::N,hnakki,ערף
21,Kopf::N,höfuð,ראש
22,Rücken::N,hryggur,גב
23,Bauch::N,kviður,בטן
24,Nabel::N,nafli,טבור
25,Busen::N,barmur,שד
26,Brust::N,brjóst,חזה
27,Schulter::N,öxl,כתף
28,Arm::N,armur,זרוע
29,Ellenbogen::N,olnbogi,מרפק
30,Hand::N,hönd,יד
31,Handfläche::N,lófi,כף יד
32,Finger::N,fingur,אצבע
33,Fingernagel::N,fingurnögl,צפרן
34,Nagel[Anatomie]::N,nögl,צפרן
35,Zeh::N,tá,אצבע
36,Fuß::N,fótur,רגל
37,Ferse::N,hæll,עקב
38,Knie::N,kné,ברך
39,Oberschenkel::N,læri,ירך
40,Bein::N,fótleggur,רגל
41,Körper::N,búkur,גוף
42,Körper::N,líkami,גוף
43,Haut::N,húð,עור
44,Haut::N,skinn,עור
45,Blut::N,blóð,דם
46,Ader::N,æð,וריד
47,Sehne::N,sin,גיד
48,Knochen::N,bein,עצם
49,Gehirn::N,heili,מוח
50,Herz::N,hjarta,לב
51,Magen::N,magi,קבה
52,Leber::N,lifur,כבד
53,Atem::N,andi,נשימה
54,Atem::N,andardráttur,נשימה
55,Hunger::N,hungur,רעב
56,Träne::N,tár,דמעה
