,Concept_ID,bg,hr
0,Auge::N,око,oko
1,Ohr::N,ухо,uho
2,Nase::N,нос,nos
3,Mund::N,уста,usta
4,Zahn::N,зъб,zub
5,Zunge::N,език,jezik
6,Lippe::N,устна,usna
7,Wange::N,буза,obraz
8,Gesicht::N,лице,lice
9,Gesicht::N,образ,lice
10,Stirn::N,чело,čelo
11,Haar::N,коса,kosa
12,Haar::N,косъм,kosa
13,Schnurrbart::N,мустаци,brkovi
14,Bart::N,брада,brada
15,Kinn::N,брада,brada
16,Kinn::N,брада,podbradak
17,Kinn::N,брадичка,brada
18,Kinn::N,брадичка,podbradak
19,Kiefer[Anatomie]::N,челюст,čeljust
20,Kehle::N,гърло,grlo
21,Hals::N,врат,vrat
22,Genick::N,тил,zatiljak
23,Kopf::N,глава,glava
24,Rücken::N,гръб,leđa
25,Rücken::N,гръб,hrbat
26,Bauch::N,корем,trbuh
27,Nabel::N,пъп,pupak
28,Busen::N,бозка,sisa
29,Busen::N,бозка,njedra
30,Brust::N,гръд,prsa
31,Schulter::N,рамо,rame
32,Schulter::N,рамо,pleći
33,Schulter::N,плещи,rame
34,Schulter::N,плещи,pleći
35,Arm::N,ръка,ruka
36,Ellenbogen::N,лакът,lakat
37,Hand::N,ръка,ruka
38,Hand::N,китка,ruka
39,Handfläche::N,длан,dlan
40,Finger::N,пръст,prst
41,Fingernagel::N,нокът,nokat
42,Nagel[Anatomie]::N,нокът,nokat
43,Zeh::N,пръст на крак,nozni prst
44,Fuß::N,крак,noga
45,Fuß::N,крак,stopalo
46,Fuß::N,нога,noga
47,Fuß::N,нога,stopalo
48,Ferse::N,пета,peta
49,Knie::N,коляно,koljeno
50,Oberschenkel::N,бедро,bedro
51,Bein::N,крак,noga
52,Bein::N,нога,noga
53,Körper::N,тяло,tijelo
54,Haut::N,кожа,put
55,Haut::N,кожа,koža
56,Blut::N,кръв,krv
57,Ader::N,вена,žila
58,Ader::N,артерия,žila
59,Sehne::N,жила,tetiva
60,Sehne::N,сухожилие,tetiva
61,Knochen::N,кост,kost
62,Gehirn::N,мозък,
63,Herz::N,сърце,srce
64,Magen::N,стомах,stomak
65,Magen::N,стомах,želudac
66,Leber::N,черен дроб,jetra
67,Atem::N,дишане,dah
68,Hunger::N,глад,glad
69,Träne::N,сълза,suza
70,Geschmack::N,вкус,ukus
71,Geruch::N,миризма,njuh
72,Geruch::N,миризма,miris
73,Schlaf::N,сън,san
74,Traum::N,сън,san
75,Himmel::N,небе,nebo
76,Sonne::N,слънце,sunce
77,Mond::N,луна,mjesec
78,Mond::N,месец,mjesec
79,Stern::N,звезда,zvijezda
80,Luft::N,въздух,zrak
81,Wind::N,вятър,vjetar
82,Welle::N,вълна,val
83,Welle::N,вълна,talas
84,Wasser::N,вода,voda
85,Stein::N,камък,kamen
86,Boden::N,земя,tlo
87,Boden::N,земя,zemlja
88,Boden::N,почва,tlo
89,Boden::N,почва,zemlja
90,Erde::N,земя,zemlja
91,Erde::N,почва,zemlja
92,Staub::N,прах,prah
93,Staub::N,прах,prašina
94,Rauch::N,дим,dim
95,Rauch::N,пушек,dim
96,Funke::N,искра,iskra
97,Funke::N,искра,varnica
98,Feuer::N,огън,vatra
99,Licht::N,светлина,svjetlo
100,Schatten::N,сянка,hlad
101,Schatten::N,сянка,sjena
102,Wetter::N,време,vrijeme
103,Nebel::N,мъгла,magla
104,Wolke::N,облак,oblak
105,Regen::N,дъжд,kiša
106,Schnee::N,сняг,snijeg
107,Eis::N,лед,led
108,Frost::N,мраз,mraz
109,Kälte::N,студ,studen
110,Kälte::N,студ,hladnoća
111,Hitze::N,жега,vrućina
112,Hitze::N,горещина,vrućina
113,Raureif::N,скреж,inje
114,Raureif::N,слана,inje
115,Regenbogen::N,дъга,duga
116,Donner::N,гръм,grom
117,Donner::N,гръм,grmljavina
118,Strömung::N,течение,struja
119,Strömung::N,течение,strujanje
120,Tropfen::N,капка,kap
121,Tropfen::N,капка,kaplja
122,Schaum::N,пяна,pjena
123,Schmutz::N,кал,nečistoća
124,Schmutz::N,кал,prljavština
125,Schmutz::N,мръсотия,nečistoća
126,Schmutz::N,мръсотия,prljavština
127,See::N,езеро,jezero
128,Sumpf::N,блато,bara
129,Moor::N,мочурище,močvara
130,Wiese::N,ливада,livada
131,Wald::N,гора,šuma
132,Hügel::N,рид,brijeg
133,Hügel::N,рид,brežuljak
134,Hügel::N,хълм,brijeg
135,Hügel::N,хълм,brežuljak
136,Anhöhe::N,могила,uzvišica
137,Anhöhe::N,възвишение,uzvišica
138,Berg::N,планина,brdo
139,Gipfel::N,връх,vrh
140,Höhle::N,пещера,pećina
141,Höhle::N,пещера,spilja
142,Abhang::N,склон,obronak
143,Abhang::N,склон,nizbrdica
144,Abhang::N,стръмнина,obronak
145,Abhang::N,стръмнина,nizbrdica
146,Quelle::N,извор,izvor
147,Quelle::N,извор,vrelo
148,Bach::N,поток,potok
149,Fluss::N,река,rijeka
150,Ufer::N,бряг,obala
151,Küste::N,бряг,obala
152,Küste::N,бряг,morska obala
153,Küste::N,крайбрежие,obala
