,Concept_ID,pt,kv
0,Auge::N,olho,син
1,Ohr::N,orelha,пель
2,Nase::N,nariz,ныр
3,Mund::N,boca,ӧм
4,Zahn::N,dente,пинь
5,Zunge::N,língua,кыв
6,Lippe::N,lábio,тырп
7,Wange::N,face,рожабан
8,Gesicht::N,cara,бан
9,Gesicht::N,rosto,бан
10,Stirn::N,testa,кымӧс
11,Haar::N,cabelo,юрси
12,Schnurrbart::N,bigode,уссэз
13,Bart::N,barba,тош
14,Kinn::N,queixo,тшӧка
15,Kiefer[Anatomie]::N,maxila,ан
16,Kiefer[Anatomie]::N,mandíbula,ан
17,Kehle::N,garganta,юан
18,Hals::N,colo,юан
19,Hals::N,pescoço,юан
20,Genick::N,nuca,юр бӧр
21,Kopf::N,cabeça,юр
22,Rücken::N,dorso,мышк
23,Rücken::N,costas,мышк
24,Bauch::N,ventre,кынӧм
25,Bauch::N,barriga,кынӧм
26,Nabel::N,umbigo,гӧг
27,Busen::N,seio,морос
28,Brust::N,peito,морос
29,Schulter::N,ombro,пельпон
30,Arm::N,braço,ки
31,Ellenbogen::N,cotovelo,гырдзза
32,Hand::N,mão,кикар
33,Handfläche::N,palma,ки пыдӧс
34,Handfläche::N,palma da mão,ки пыдӧс
35,Finger::N,dedo,чунь
36,Fingernagel::N,unha,гыж
37,Nagel[Anatomie]::N,unha,гыж
38,Zeh::N,dedo do pé,чунь
39,Fuß::N,pé,кокпыдӧс
40,Ferse::N,calcanhar,кокдзир
41,Knie::N,joelho,пидзӧс
42,Oberschenkel::N,coxa,лядьбей
43,Bein::N,perna,кок
44,Körper::N,corpo,вывтыр
45,Haut::N,pele,кучик
46,Blut::N,sangue,вир
47,Ader::N,veia,сӧн
48,Sehne::N,tendão,жила
49,Knochen::N,osso,коска
50,Gehirn::N,cérebro,вем
51,Herz::N,coração,сьӧлӧм
52,Magen::N,estômago,жӧвдӧк
53,Leber::N,fígado,мус
54,Atem::N,fôlego,лолалӧм
55,Hunger::N,fome,тшыг
56,Träne::N,lágrima,синва
57,Geschmack::N,gosto,кӧр
58,Geruch::N,odor,дук
59,Geruch::N,cheiro,дук
60,Schlaf::N,sono,он
61,Traum::N,sonho,вӧт
62,Himmel::N,céu,небо
63,Sonne::N,sol,шондi
