,Concept_ID,ko,ca
0,Auge::N,눈,ull
1,Ohr::N,귀,orella
2,Nase::N,코,nas
3,Mund::N,입,boca
4,Zahn::N,이,dent
5,Zunge::N,혀,llēngua
6,Lippe::N,입술,llavi
7,Wange::N,뺨,galta
8,Gesicht::N,얼굴,cara
9,Stirn::N,이마,front
10,Haar::N,털,cabēll
11,Schnurrbart::N,윗수몀,bigoti
12,Schnurrbart::N,코밑수염,bigoti
13,Bart::N,수엄,barba
14,Kinn::N,아래턱,mentó
15,Kinn::N,아래턱,barbeta
16,Kiefer[Anatomie]::N,턱,queix
17,Kiefer[Anatomie]::N,턱,mandíbula
18,Kehle::N,인후,gola
19,Kehle::N,인후,gorja
20,Hals::N,목,coll
21,Genick::N,먹덜이,nuca
22,Kopf::N,머리,cap
23,Rücken::N,든,esquena
24,Bauch::N,배,panxa
25,Nabel::N,배꼽,llombrígol
26,Busen::N,가슴속,pit
27,Busen::N,가슴속,mama
28,Brust::N,가슴,pit
29,Schulter::N,어깨,espatlla
30,Arm::N,팔,braç
31,Ellenbogen::N,팔쿰치,colze
32,Hand::N,손,mà
33,Handfläche::N,손바닥,palma
34,Finger::N,속가락,dit
35,Fingernagel::N,손톱,ungla
36,Nagel[Anatomie]::N,손톱,ungla
37,Zeh::N,발가락,dit del peu
38,Fuß::N,발,peu
39,Ferse::N,발꿈치,taló
40,Knie::N,무릎,genoll
41,Oberschenkel::N,허벅다리,cuixa
42,Bein::N,다리,cama
43,Körper::N,구간,cos
44,Haut::N,살갗,pell
45,Blut::N,피,sang
46,Ader::N,정맥,vena
47,Sehne::N,현,tendó
48,Knochen::N,뼈,os
49,Gehirn::N,뇌,cervell
50,Gehirn::N,뇌수,cervell
51,Herz::N,염통,cor
52,Magen::N,위,estómac
53,Leber::N,간,fetge
54,Atem::N,기식,alè
55,Atem::N,기식,hàlit
56,Hunger::N,공복,fam
57,Hunger::N,공복,gana
58,Träne::N,눈물,llàgrima
59,Geschmack::N,기호,gust
60,Geschmack::N,기호,sabor
61,Geruch::N,냄새,olor
62,Schlaf::N,수면,son
63,Traum::N,쿰,somni
64,Himmel::N,하늘,celm
65,Sonne::N,해,sol
66,Mond::N,달,lluna
67,Stern::N,별,estel
68,Stern::N,별,estrella
69,Luft::N,동준,aire
70,Luft::N,가스채,aire
71,Wind::N,바람,vent
72,Welle::N,물결,ona
73,Wasser::N,물,āigua
74,Stein::N,돌,pedra
75,Boden::N,바닥,sòl
76,Erde::N,흙,terra
77,Staub::N,먼지,pols
78,Rauch::N,연기,fum
79,Funke::N,불티,guspira
80,Funke::N,불티,centella
81,Feuer::N,불,foc
82,Licht::N,불,llum
83,Schatten::N,어스레함,ombra
84,Wetter::N,기상,temps
