,Concept_ID,fr,mrj
0,Auge::N,œil,сӹнзӓ
1,Ohr::N,oreille,пӹлӹш
2,Nase::N,nez,нер
3,Mund::N,bouche,ышма
4,Zahn::N,dent,пӱ
5,Zunge::N,langue,йӹлмӹ
6,Lippe::N,lèvre,тӹрвӹ
7,Wange::N,joue,шӹргӹ
8,Gesicht::N,face,лицӓ
9,Gesicht::N,visage,лицӓ
10,Stirn::N,front,лепкӓ
11,Haar::N,cheveu,ӱп
12,Schnurrbart::N,moustache,öрш
13,Bart::N,barbe,пандаш
14,Kinn::N,menton,онгылаш
15,Kiefer[Anatomie]::N,mâchoire,пӱ арата
16,Kehle::N,gorge,логер
17,Hals::N,cou,шӱ
18,Genick::N,nuque,ланга
19,Kopf::N,tête,вуй
20,Rücken::N,dos,туп
21,Bauch::N,ventre,мӹшкӹр
22,Nabel::N,nombril,кӹлӹмдӹ
23,Busen::N,sein,цӹзӹ
24,Brust::N,poitrine,мел
25,Schulter::N,épaule,ӹнгӹжӓ
26,Arm::N,bras,кид
27,Ellenbogen::N,coude,кӹнервуй
28,Hand::N,main,лапа
29,Handfläche::N,paume,кид лапа
30,Finger::N,doigt,парня
31,Fingernagel::N,ongle,кӹч
32,Nagel[Anatomie]::N,ongle,кӹч
33,Zeh::N,orteil,парня
34,Zeh::N,doigt de pied,парня
35,Fuß::N,pied,ял лапа
36,Ferse::N,talon,ялгавал
37,Ferse::N,talon,ял кавал
38,Knie::N,genou,пылвуй
39,Oberschenkel::N,cuisse,ӓрдӹ
40,Bein::N,jambe,ял
41,Körper::N,corps,монгыр
42,Haut::N,peau,кавашты
43,Blut::N,sang,вӹр
44,Ader::N,veine,вӹршӓр
45,Sehne::N,tendon,кукшышӱн
46,Knochen::N,os,лу
47,Gehirn::N,cerveau,вим
48,Herz::N,cœur,шӱм
49,Magen::N,estomac,шӱм
50,Leber::N,foie,мокш
51,Atem::N,haleine,шӱлӹш
52,Hunger::N,faim,шужымаш
53,Träne::N,larme,сӹнзӓвӹд
54,Geschmack::N,goût,тот
55,Geschmack::N,saveur,тот
56,Geruch::N,odeur,пыш
57,Schlaf::N,sommeil,ом
58,Traum::N,songe,ом
59,Himmel::N,ciel,пӹлгом
60,Sonne::N,soleil,кечӹ
61,Mond::N,lune,тӹлзӹ
62,Stern::N,étoile,шӹдӹр
63,Luft::N,air,юж
64,Luft::N,air,воздух
65,Wind::N,vent,мардеж
66,Welle::N,vague,ко
67,Welle::N,vague,коэ
68,Wasser::N,eau,вӹд
69,Stein::N,pierre,кӱ
70,Boden::N,sol,рок
71,Boden::N,terrain,рок
72,Erde::N,terre,свет
73,Staub::N,poussière,пырак
74,Rauch::N,fumée,шӹкш
75,Funke::N,étincelle,ип
76,Funke::N,étincelle,тылип
77,Feuer::N,feu,тыл
78,Licht::N,lumière,соты
79,Licht::N,lumière,валгыды
80,Schatten::N,ombre,ӹмӹл
81,Wetter::N,temps,игечӹ
82,Nebel::N,brume,тӹтӹрӓ
83,Nebel::N,brouillard,тӹтӹрӓ
84,Wolke::N,nuage,пӹл
85,Regen::N,pluie,юр
86,Schnee::N,neige,лым
87,Eis::N,glace,и
88,Frost::N,gel,ӱштӹ
89,Frost::N,gelée,ӱштӹ
90,Kälte::N,froid,ӱштӹ
91,Hitze::N,chaleur,шокшы
92,Raureif::N,givre,пöрш
93,Regenbogen::N,arc-en-ciel,шанавӹл
94,Donner::N,tonnerre,хӹдӹртӹш
95,Strömung::N,courant,йогы
96,Tropfen::N,goutte,капльы
97,Tropfen::N,goutte,капльык
98,Schaum::N,écume,шонг
99,Schaum::N,mousse,шонг
100,Schmutz::N,boue,лявӹрӓ
101,Schmutz::N,saleté,лявӹрӓ
102,See::N,lac,йӓр
103,Sumpf::N,marais,лӱкӹ
104,Sumpf::N,marécage,лӱкӹ
105,Moor::N,tourbière,куп
106,Wiese::N,pré,алык
107,Wald::N,bois,шӹргӹ
108,Wald::N,forêt,шӹргӹ
109,Hügel::N,coteau,пӱгӹрикӓ
110,Hügel::N,colline,пӱгӹрикӓ
111,Anhöhe::N,éminence,кӱкшикӓ
112,Anhöhe::N,élévation,кӱкшикӓ
113,Berg::N,mont,кырык
114,Berg::N,montagne,кырык
115,Gipfel::N,cime,неркӓ
116,Gipfel::N,sommet,неркӓ
117,Höhle::N,caverne,ы́раж
118,Abhang::N,pente,полом
119,Abhang::N,versant,полом
120,Quelle::N,source,вӹдсӹнзӓ
121,Quelle::N,fontaine,вӹдсӹнзӓ
122,Bach::N,ruisseau,ӓнгӹр
123,Fluss::N,fleuve,вӹд
124,Fluss::N,rivière,вӹд
125,Ufer::N,bord,сир
126,Ufer::N,rivage,сир
127,Küste::N,côte,сир
128,Festland::N,terre ferme,мӱлӓндӹ
129,Meer::N,mer,тангыж
130,Bucht::N,baie,вӹдъял
131,Insel::N,île,острок
132,Blume::N,fleur,пеледӹш
133,Gras::N,herbe,шуды
134,Wurzel::N,racine,важ
135,Baum::N,arbre,пушӓнгӹ
136,Stamm::N,tronc,пушӓнгӹ тӹнг
137,Rinde::N,écorce,каргыж
138,Ast::N,branche,укш
139,Zweig::N,rameau,укш
140,Blatt::N,feuille,листӹ
141,Birke::N,bouleau,куги
142,Kiefer[Baum]::N,pin,йӓктӹ
143,Weide[Baum]::N,saule,уа
144,Tanne::N,sapin,кож
145,Horn::N,corne,шур
146,Feder::N,plume,пын
147,Fell::N,peau,кавашты
148,Flügel::N,aile,шылдыр
149,Klaue::N,serre,кӹч
150,Kralle::N,ongle,лапа
151,Kralle::N,griffe,лапа
152,Schwanz::N,queue,пач
153,Ei::N,œuf,мыны
154,Nest::N,nid,пӹжӓш
155,Bau::N,terrier,ыраж
156,Tier::N,animal,во́льык
157,Herde::N,troupeau,кӹтö
158,Kuh::N,vache,ышкал
159,Bulle::N,taureau,ӱшкӱж
160,Pferd::N,cheval,имни
161,Schaf::N,mouton,шарык
162,Schwein::N,porc,сасна
163,Schwein::N,cochon,сасна
164,Hund::N,chien,пи
165,Katze::N,chat,коти
166,Bär::N,ours,мöскӓ
167,Eichhörnchen::N,écureuil,ур
168,Elch::N,élan,шарды
169,Fuchs::N,renard,рӹвӹж
170,Hase::N,lièvre,морен
171,Maus::N,souris,каля
172,Wolf::N,loup,пирӹ
173,Vogel::N,oiseau,кек
174,Schwarm::N,nuée,цуца
175,Schwarm::N,volée,цуца
176,Huhn::N,poule,цӹвӹ
177,Hahn::N,coq,ӓптӓн
178,Gans::N,oie,комбы
179,Adler::N,aigle,кучкыж
180,Ente::N,canard,лыды
181,Eule::N,hibou,тымана
182,Kranich::N,grue,тырня
183,Kranich::N,grue,тыртня
184,Krähe::N,corneille,лудыгарак
185,Kuckuck::N,coucou,куку
186,Schwan::N,cygne,йӱксӹ
187,Fisch::N,poisson,кол
188,Barsch::N,perche,алангы
189,Hecht::N,brochet,нуж
190,Hecht::N,brochet,нужгол
191,Schlange[Tier]::N,serpent,кӹшкы
192,Wurm::N,ver,шукш
193,Spinne::N,araignée,ӓнгӹремшӹ
194,Ameise::N,fourmi,кыткы
195,Laus::N,pou,ти
196,Mücke::N,moucheron,кужнер
197,Mücke::N,moucheron,кужынер
198,Fliege::N,mouche,шӹнгӓ
199,Schmetterling::N,papillon,лӹпӹ
200,Beere::N,baie,мöр
201,Apfel::N,pomme,олма
202,Pilz::N,champignon,понгы
203,Zwiebel::N,oignon,охыра
204,Saat::N,semence,нӱшмӹ
205,Saat::N,semence,нӱшмӱ
206,Korn::N,grain,пӹрцӹ
207,Heu::N,foin,шуды
208,Schale::N,pelure,аваха
209,Schale::N,pelure,карлангы
210,Grube::N,fosse,йӓм
211,Falle::N,piège,лӱдӹ
212,Falle::N,piège,лӱдӹш
213,Schlinge::N,lacs,онгы
214,Spur::N,trace,кишӓ
215,Asche::N,cendre,ломых
216,Asche::N,cendre,ломпыж
217,Dreck::N,crotte,лявӹрӓ
218,Eisen::N,fer,кӹртни
219,Gold::N,or,шöртни
220,Gold::N,or,шöртньӹ
221,Silber::N,argent,ши
222,Kohle::N,charbon,шӱ
223,Glas::N,verre,охоница
224,Lehm::N,glaise,шун
225,Sand::N,sable,ошма
226,Mensch::N,homme,эдем
227,Mann::N,homme,пӱэргӹ
228,Frau::N,femme,ӹдӹрӓмӓш
229,Kind::N,enfant,ӓзӓ
230,Kind::N,enfant,шачшы
231,Junge::N,garçon,рвезӹ
232,Junge::N,garçon,ӹрвезӹ
233,Mädchen::N,fille,ӹдӹрӓш
234,Mädchen::N,jeune fille,ӹдӹрӓш
235,Familie::N,famille,йиш
236,Familie::N,famille,семня
237,Großvater::N,grand-père,тьоти
238,Großmutter::N,grand-mère,папа
239,Eltern::N,parents,ӓтя-ӓвӓ
240,Vater::N,père,ӓтя
241,Mutter::N,mère,ӓвӓ
242,Sohn::N,fils,эргӹ
243,Tochter::N,fille,ӹдӹр
244,Bruder::N,frère,ӹза
245,Schwester::N,sœur,ӓкӓ
246,Onkel::N,oncle,кугуза
247,Tante::N,tante,куака
248,Ehemann::N,mari,мары
249,Ehemann::N,époux,мары
250,Ehefrau::N,femme,вӓтӹ
251,Ehefrau::N,épouse,вӓтӹ
252,Freude::N,joie,ӹвӹртӹмӓш
253,Freude::N,plaisir,ӹвӹртӹмӓш
254,Gelächter::N,rires,ваштылмаш
255,Glück::N,bonheur,пиӓл
256,Kummer::N,peine,ясы
257,Kummer::N,chagrin,ясы
258,Wunsch::N,désir,охата
259,Wunsch::N,désir,шанымаш
260,Lust::N,envie,шӓр
261,Lust::N,envie,охата
262,Lust::N,envie,шанымаш
263,Geist::N,esprit,тух
264,Gedanke::N,idée,шанымаш
265,Gedanke::N,pensée,шанымаш
266,Gedächtnis::N,mémoire,ӓш
267,Verstand::N,raison,ыш
268,Sinn::N,sens,кын
269,Grund::N,cause,вир
270,Grund::N,raison,вир
271,Wahrheit::N,vérité,тöр
272,Gespräch::N,conversation,хытырымаш
273,Märchen::N,conte,ямак
274,Märchen::N,conte de fées,ямак
275,Erzählung::N,conte,шайыштмаш
276,Erzählung::N,narration,шайыштмаш
277,Nachricht::N,message,увертӓрӹмӓш
278,Neuigkeit::N,nouvelle,увер
279,Name::N,nom,лӹм
280,Rätsel::N,énigme,тышты
281,Rätsel::N,devinette,тышты
282,Rede::N,parole,шая
283,Rede::N,parole,шамак
284,Rede::N,discours,шая
285,Rede::N,discours,шамак
