,Concept_ID,pt,el
0,Auge::N,olho,μάτι
1,Auge::N,olho,οφθαλμός
2,Ohr::N,orelha,αυτί
3,Nase::N,nariz,μύτη
4,Mund::N,boca,στόμα
5,Zahn::N,dente,δόντι
6,Zunge::N,língua,γλώσσα
7,Lippe::N,lábio,χείλος
8,Wange::N,face,παρειά
9,Wange::N,face,μάγουλο
10,Gesicht::N,cara,πρόσωπο
11,Gesicht::N,rosto,πρόσωπο
12,Stirn::N,testa,μέτωπο
13,Haar::N,cabelo,μαλλιά
14,Schnurrbart::N,bigode,μουστάκι
15,Bart::N,barba,γένια
16,Kinn::N,queixo,πιγούνι
17,Kiefer[Anatomie]::N,maxila,σαγόνι
18,Kiefer[Anatomie]::N,mandíbula,σαγόνι
19,Kehle::N,garganta,λαρύγγι
20,Hals::N,colo,λαιμός
21,Hals::N,pescoço,λαιμός
22,Genick::N,nuca,σβέρκος
23,Kopf::N,cabeça,κεφάλι
24,Rücken::N,dorso,ράχη
25,Rücken::N,costas,ράχη
26,Bauch::N,ventre,κοιλιά
27,Bauch::N,barriga,κοιλιά
28,Nabel::N,umbigo,αφαλός
29,Busen::N,seio,στήθος
30,Brust::N,peito,στήθος
31,Schulter::N,ombro,ώμος
32,Arm::N,braço,χέρι
33,Arm::N,braço,μπράτςο
34,Ellenbogen::N,cotovelo,αγκώνας
35,Hand::N,mão,χέρι
36,Handfläche::N,palma,παλάμη
37,Handfläche::N,palma da mão,παλάμη
38,Finger::N,dedo,δάχτυλο
39,Fingernagel::N,unha,νύχι
40,Nagel[Anatomie]::N,unha,νύχι
41,Zeh::N,dedo do pé,δάχτυλο του ποδιού
42,Fuß::N,pé,πόδι
43,Ferse::N,calcanhar,φτέρνα
44,Knie::N,joelho,γόνατο
45,Oberschenkel::N,coxa,μηρός
46,Bein::N,perna,πόδι
47,Körper::N,corpo,σώμα
48,Körper::N,corpo,κορμί
49,Haut::N,pele,πετσί
50,Blut::N,sangue,αίμα
51,Ader::N,veia,φλέβα
52,Sehne::N,tendão,νεύρο
53,Sehne::N,tendão,τένοντας
54,Knochen::N,osso,οστό
55,Knochen::N,osso,κόκκαλο
56,Gehirn::N,cérebro,μυαλό
57,Gehirn::N,cérebro,εγκέφαλος
58,Herz::N,coração,καρδιά
59,Magen::N,estômago,στομάχι
60,Leber::N,fígado,ήπαρ
61,Leber::N,fígado,συκωτί
62,Atem::N,fôlego,αναπνοή
63,Hunger::N,fome,πείνα
64,Träne::N,lágrima,δάκρυ
65,Geschmack::N,gosto,γεύση
66,Geruch::N,odor,οσμή
67,Geruch::N,odor,μυρωδία
68,Geruch::N,cheiro,οσμή
69,Geruch::N,cheiro,μυρωδία
70,Schlaf::N,sono,ύπνος
71,Traum::N,sonho,όνειρο
72,Himmel::N,céu,ουρανός
73,Sonne::N,sol,ήλιος
74,Mond::N,lua,σελήνη
75,Mond::N,lua,φεγγάρι
76,Stern::N,estrela,άστρο
77,Stern::N,estrela,αστέρι
78,Luft::N,ar,αέρας
79,Wind::N,vento,αέρας
80,Wind::N,vento,άνεμος
81,Welle::N,onda,κύμα
82,Wasser::N,água,νερό
83,Stein::N,pedra,πέτρα
84,Boden::N,solo,χώμα
85,Erde::N,terra,γη
86,Staub::N,pó,σκόνη
87,Rauch::N,fumo,καπνός
88,Funke::N,faísca,σπίθα
89,Funke::N,faísca,σπινθήρας
90,Funke::N,centelha,σπίθα
91,Funke::N,centelha,σπινθήρας
92,Feuer::N,fogo,φωτιά
93,Licht::N,luz,φως
94,Schatten::N,sombra,σκιά
95,Schatten::N,sombra,ίσκιος
96,Wetter::N,tempo,καιρός
97,Nebel::N,nevoeiro,ομίχλη
98,Wolke::N,nuvem,σύννεφο
99,Regen::N,chuva,βροχή
100,Schnee::N,neve,χιόνι
101,Eis::N,gelo,πάγος
102,Frost::N,gelo,παγωνία
103,Frost::N,geada,παγωνία
104,Kälte::N,frio,κρύο
105,Kälte::N,frio,ψύχος
106,Hitze::N,ardor,ζέστη
107,Raureif::N,geada,πάχνη
108,Regenbogen::N,arco-iris,ουράνιο τόξο
109,Donner::N,trovão,βροντή
110,Strömung::N,corrente,ρεύμα
111,Tropfen::N,gota,στάλα
112,Schaum::N,espuma,αφρός
113,Schmutz::N,sujidade,βρωμιά
114,Schmutz::N,imundície,βρωμιά
115,See::N,lago,λίμνη
116,Sumpf::N,charco,βάλτος
117,Sumpf::N,pântano,βάλτος
118,Moor::N,pântano,έλος
119,Wiese::N,prado,λιβάδι
120,Wald::N,bosque,δάσος
121,Wald::N,floresta,δάσος
122,Hügel::N,colina,λόφος
123,Anhöhe::N,alto,ύψωμα
124,Anhöhe::N,outeiro,ύψωμα
125,Berg::N,monte,όρος
126,Berg::N,monte,βουνό
127,Berg::N,montanha,όρος
128,Berg::N,montanha,βουνό
129,Gipfel::N,pico,κορυφή
130,Höhle::N,caverna,σπηλιά
131,Abhang::N,encosta,πλαγιά
132,Quelle::N,fonte,πηγή
133,Quelle::N,fonte,βρύση
134,Bach::N,regato,ρυάκι
135,Bach::N,ribeiro,ρυάκι
136,Fluss::N,rio,ποτάμι
137,Fluss::N,rio,ποταμός
138,Ufer::N,beira,όχθη
139,Küste::N,costa,ακτή
140,Küste::N,costa,ακρογιαλιά
141,Festland::N,terra firme,στεριά
142,Meer::N,mar,θάλασσα
143,Bucht::N,baía,κόλπος
144,Insel::N,ilha,νησί
145,Insel::N,ilha,νήσος
146,Blume::N,flor,άνθος
147,Blume::N,flor,λουλούδι
148,Gras::N,erva,χόρτο
149,Gras::N,erva,χορτάρι
150,Wurzel::N,raiz,ρίζα
151,Baum::N,árvore,δέντρο
