,Concept_ID,ab,ko
0,Auge::N,ала,눈
1,Ohr::N,алымҳа,귀
2,Nase::N,аҧынҵа,코
3,Mund::N,аҧышə,입
4,Zahn::N,ахаҧыц,이
5,Zunge::N,абз,혀
6,Lippe::N,ақьышə,입술
7,Wange::N,аӡамҩа,뺨
8,Gesicht::N,аҿы,얼굴
9,Stirn::N,алахь,이마
10,Haar::N,ахəыц,털
11,Schnurrbart::N,аҧаҵа,윗수몀
12,Schnurrbart::N,аҧаҵа,코밑수염
13,Bart::N,ажакьа,수엄
14,Kinn::N,ацламкəыгə,아래턱
15,Kiefer[Anatomie]::N,ацламҳəа,턱
16,Kehle::N,ахəда,인후
17,Hals::N,ахəда,목
18,Genick::N,ахəдаџьал,먹덜이
19,Kopf::N,ахы,머리
20,Rücken::N,азқəа,든
21,Bauch::N,амгəа,배
22,Nabel::N,аҷапан,배꼽
23,Busen::N,агəыҧҳəы,가슴속
24,Brust::N,агəышҧы,가슴
25,Schulter::N,ажəҩахыр,어깨
26,Arm::N,амахəар,팔
27,Ellenbogen::N,амашьхəылҵ,팔쿰치
28,Hand::N,анапы,손
29,Handfläche::N,анапсаргəыҵа,손바닥
30,Finger::N,анацəа,속가락
31,Fingernagel::N,анапхыц,손톱
32,Nagel[Anatomie]::N,ашьапхыц,손톱
33,Zeh::N,ашьацəа,발가락
34,Fuß::N,ашьапсыргəыҵа,발
35,Ferse::N,ашьхəа,발꿈치
36,Knie::N,ашьамхы,무릎
37,Oberschenkel::N,ауаҭəа,허벅다리
38,Bein::N,ашьапы,다리
39,Körper::N,ацəеижь,구간
40,Haut::N,ацəа,살갗
41,Blut::N,ашьа,피
42,Ader::N,ада,정맥
43,Sehne::N,адаш,현
44,Knochen::N,абаҩ,뼈
45,Gehirn::N,ахшлыбаҩ,뇌
46,Gehirn::N,ахшлыбаҩ,뇌수
47,Gehirn::N,ахшыбаҩ,뇌
48,Gehirn::N,ахшыбаҩ,뇌수
49,Herz::N,агəы,염통
50,Magen::N,аца,위
51,Magen::N,ацар,위
52,Leber::N,агəаҵəа,간
53,Atem::N,аҧсыҧлагаҩгара,기식
54,Hunger::N,амла,공복
55,Träne::N,алабжыш,눈물
56,Geschmack::N,агьама,기호
57,Geruch::N,афҩы,냄새
58,Schlaf::N,ацəа,수면
59,Traum::N,аҧхыӡ,쿰
60,Himmel::N,ажəҩан,하늘
61,Sonne::N,амра,해
62,Mond::N,амза,달
63,Stern::N,аеҵəа,별
64,Luft::N,аҳаир,동준
65,Luft::N,аҳаир,가스채
66,Wind::N,аҧша,바람
67,Welle::N,ацəқəырҧа,물결
68,Wasser::N,аӡы,물
69,Stein::N,ахаҳə,돌
70,Boden::N,адгьыл,바닥
71,Erde::N,адгьыл,흙
72,Staub::N,асаба,먼지
73,Rauch::N,алҩа,연기
74,Funke::N,акəиц,불티
75,Funke::N,ацҧхь,불티
76,Feuer::N,амца,불
77,Licht::N,алашара,불
78,Schatten::N,ашəшьыра,어스레함
79,Wetter::N,амш,기상
80,Nebel::N,анаҟəа,안개
81,Wolke::N,аҧсҭҳəа,구름
82,Regen::N,ақəа,비
83,Schnee::N,асы,눈
84,Eis::N,аҵаа,얼음
85,Frost::N,аҵаа,혹한
86,Kälte::N,ахьҭа,추위
87,Kälte::N,ахьҭа,차가움
88,Hitze::N,ашоура,고온
89,Hitze::N,ашоура,더위
90,Raureif::N,аҵааҧшқа,
91,Regenbogen::N,ацəаҟəа,무지개
92,Donner::N,адыд,뇌명
93,Strömung::N,аиасра,유동
94,Strömung::N,амҩасра,유동
95,Tropfen::N,ацəыкəбар,물방울
96,Schaum::N,ашəах,포말
97,Schmutz::N,алымт,때
98,See::N,аӡиа,호수
99,Sumpf::N,аӡмах,습지
100,Wiese::N,адəы,목초지
101,Wald::N,абна,숲
102,Hügel::N,ахəы,언덕
103,Anhöhe::N,аҳаракыра,언덕
104,Berg::N,ашьха,산
105,Gipfel::N,ацəқəа,졀졍
106,Höhle::N,аҳаҧы,공동
107,Abhang::N,анаара,몰매
108,Quelle::N,аҵҵырҭа,근원
109,Bach::N,акəараҷҷа,내
110,Fluss::N,аӡиас,강
111,Ufer::N,ахықə,강변
112,Ufer::N,ахықə,바닷가
113,Küste::N,ахықə,해변
114,Küste::N,ахықə,해변가
115,Festland::N,абарра,본토
116,Meer::N,амшын,바다
117,Bucht::N,аӡбжьахала,협만
118,Insel::N,адгьылбжьаха,섬
119,Blume::N,ашəҭ,꽃
120,Gras::N,аҳасакьын,풀
121,Wurzel::N,адац,뿌리
122,Baum::N,аҵла,나무
123,Stamm::N,ашьапы,대
124,Rinde::N,ацəа,나무껍질
125,Ast::N,амахə,가지
126,Ast::N,амахəҭа,가지
127,Zweig::N,амахə,가지
128,Zweig::N,амахəҭа,가지
129,Blatt::N,абҕьы,잎
130,Birke::N,аҵааҵла,자작나무
131,Kiefer[Baum]::N,амза,소나무
132,Weide[Baum]::N,аҧслыш,쉬양버들
133,Tanne::N,аҧсаӡ,전나무
134,Horn::N,атəыҩа,뿔
135,Feder::N,ахӡы,깃털
136,Fell::N,ацəа,피혁모피
137,Flügel::N,амҵəыжəа,날개
138,Klaue::N,ашьапхыц,갈고리 발톺
139,Schwanz::N,аҵыхəа,꼬리
140,Ei::N,акəтаӷь,알
141,Nest::N,аҭра,보금자리
142,Nest::N,аҵысҭра,보금자리
143,Bau::N,аҭыҩра,굴
144,Tier::N,аҧстəы,짐승
145,Tier::N,агыгшəыг,짐승
146,Herde::N,агəарҭа,가축의떼
147,Kuh::N,ажə,암소
148,Bulle::N,ацə,황소
149,Pferd::N,аҽы,말
150,Schaf::N,ауаса,양
151,Schwein::N,аҳəа,돼지
152,Hund::N,ала,개
153,Katze::N,ацгəы,고양이
154,Bär::N,амшə,콤
155,Eichhörnchen::N,аеш,다람쥐
156,Elch::N,аҽаҩа,고라니
157,Fuchs::N,абгахəыҷы,여우
158,Hase::N,ажьа,토끼
159,Maus::N,аҳəынаҧ,쥐
160,Wolf::N,абгаду,늑대
161,Vogel::N,аҧсаатə,새
162,Huhn::N,акəты,암탉
163,Hahn::N,арбаҕь,수탉
164,Gans::N,аҟыз,거위
165,Adler::N,ауарба,수리
166,Ente::N,акəата,오리
167,Eule::N,аты,부엉이
168,Kranich::N,апҟа,두루미
169,Krähe::N,аҟəараан,까마귀
170,Kuckuck::N,акəыкəу,뻐꾸기
171,Schwan::N,агьад,배조
172,Fisch::N,аҧсыӡ,물고기
173,Barsch::N,ацəыбла,농어
174,Hecht::N,ахиаала,에속스
175,Schlange[Tier]::N,амаҭ,뱀
176,Wurm::N,ахəа,벌레
177,Wurm::N,ахəац,벌레
178,Spinne::N,абызкаҭаҳа,거미
179,Ameise::N,ашышкамс,개미
180,Laus::N,аҵа,이
