,Concept_ID,br,ro
0,Auge::N,lagad,ochi
1,Ohr::N,skouarn,ureche
2,Nase::N,fri,nas
3,Mund::N,genoù,gură
4,Zahn::N,dant,dinte
5,Zunge::N,teod,limbă
6,Lippe::N,muzell,buză
7,Wange::N,chot,bucă
8,Wange::N,chot,obraz
9,Gesicht::N,dremm,față
10,Gesicht::N,dremm,figură
11,Stirn::N,tal,frunte
12,Haar::N,blev,păr
13,Schnurrbart::N,mourenn,mustață
14,Bart::N,barv,barbă
15,Kinn::N,groñj,bărbie
16,Kiefer[Anatomie]::N,javed,falcă
17,Kehle::N,gouzoug,beregată
18,Hals::N,gouzoug,gât
19,Genick::N,choug,ceafă
20,Kopf::N,penn,cap
21,Rücken::N,kein,dos
22,Rücken::N,kein,spate
23,Rücken::N,kein,spinare
24,Bauch::N,kof,burtă
25,Bauch::N,kof,pântece
26,Nabel::N,begel,buric
27,Busen::N,bronn,sân
28,Brust::N,bruched,piept
29,Schulter::N,skoaz,umăr
30,Schulter::N,skoaz,spate
31,Arm::N,brec'h,braț
32,Ellenbogen::N,ilin,cot
33,Hand::N,dorn,mână
34,Handfläche::N,palv,palmă
35,Finger::N,biz,deget
36,Fingernagel::N,ivin,unghie
37,Nagel[Anatomie]::N,ivin,unghie
38,Zeh::N,biz-troad,deget de la picior
39,Fuß::N,troad,picior
40,Ferse::N,seul,călcâi
41,Knie::N,glin,genunchi
42,Oberschenkel::N,morzhed,coapsă
43,Bein::N,gar,picior
44,Körper::N,korf,corp
45,Haut::N,kroc'hen,piele
46,Blut::N,gwad,sânge
47,Ader::N,gwazhi,vână
48,Ader::N,gwazhi,arteră
49,Sehne::N,stir,tendon
50,Knochen::N,askorn,os
51,Gehirn::N,empenn,creier
52,Herz::N,kalon,inimă
53,Magen::N,stomog,stomac
54,Leber::N,avu,ficat
55,Atem::N,anal,răsuflare
56,Atem::N,anal,respirație
57,Hunger::N,naon,foame
58,Träne::N,daer,lacrimă
59,Geschmack::N,blaz,gust
60,Geruch::N,c'hwezh,miros
61,Schlaf::N,kousked,somn
62,Traum::N,hune,vis
63,Himmel::N,oabl,cer
64,Sonne::N,heol,soare
65,Mond::N,loar,lună
66,Stern::N,steredenn,stea
67,Luft::N,aer,aer
68,Wind::N,avel,vânt
69,Welle::N,houlenn,val
70,Welle::N,houlenn,undă
71,Wasser::N,dour,apă
72,Stein::N,maen,piatră
73,Boden::N,tachenn,sol
74,Boden::N,tachenn,pământ
75,Erde::N,douar,pământ
76,Staub::N,poultr,praf
77,Rauch::N,moged,fum
78,Funke::N,ful,scânteie
79,Feuer::N,tan,foc
80,Licht::N,gouloù,lumină
81,Schatten::N,disheol,umbră
82,Wetter::N,amzer,timp
83,Wetter::N,amzer,vreme
84,Nebel::N,brumenn,ceață
85,Nebel::N,brumenn,negură
86,Wolke::N,koumoulenn,nor
87,Regen::N,glav,ploaie
88,Schnee::N,erc'h,zăpadă
89,Eis::N,skorn,gheață
90,Frost::N,rev,ger
91,Kälte::N,yen,frig
92,Hitze::N,tommder,arșiță
93,Hitze::N,tommder,căldură
94,Raureif::N,frim,chiciură
95,Regenbogen::N,gwareg-ar-glav,curcubeu
96,Donner::N,kurun,tunet
97,Strömung::N,red,curent
98,Tropfen::N,bannac'h,picătură
99,Tropfen::N,takenn,picătură
100,Schaum::N,spoum,spumă
101,Schmutz::N,fank,murdărie
102,See::N,lenn,lac
103,Sumpf::N,gwern,mlaștină
104,Moor::N,taouarc'heg,bărăgan
105,Wiese::N,prad,fânaț
106,Wiese::N,prad,livadă
107,Wald::N,koad,codru
108,Wald::N,koad,pădure
109,Hügel::N,torgenn,deal
110,Hügel::N,torgenn,movilă
111,Anhöhe::N,run,deal
112,Anhöhe::N,run,ridicătură
113,Berg::N,menez,munte
114,Gipfel::N,barr,pisc
115,Höhle::N,kav,peșteră
116,Abhang::N,naou,pantă
117,Abhang::N,naou,versant
118,Quelle::N,feunteun,izvor
119,Bach::N,gwazh,gârlă
120,Fluss::N,stêr,râu
121,Fluss::N,stêr,fluviu
122,Ufer::N,ribl,mal
123,Ufer::N,ribl,țărm
124,Küste::N,aod,coastă
125,Festland::N,douar,uscat
126,Meer::N,mor,mare
127,Bucht::N,mor-bihan,golf
128,Insel::N,enez,insulă
129,Blume::N,bleunienn,floare
130,Gras::N,geot,iarbă
131,Wurzel::N,gwrizienn,rădăcină
132,Baum::N,gwezenn,copac
133,Baum::N,gwezenn,arbore
134,Stamm::N,kef,tulpină
135,Rinde::N,rusk,scoarță
136,Ast::N,barr,cracă
137,Ast::N,barr,creangă
138,Zweig::N,bod,ramură
139,Zweig::N,bod,creangă
140,Blatt::N,delienn,frunză
141,Birke::N,bezvenn,mesteacăn
142,Kiefer[Baum]::N,pinenn,pin
143,Weide[Baum]::N,halegenn,salcie
144,Weide[Baum]::N,halegenn,răchită
145,Tanne::N,sapenn,brad
146,Horn::N,korn,corn
147,Feder::N,pluñv,pană
148,Fell::N,kreoñ,piele
149,Flügel::N,askell,aripă
150,Klaue::N,skilf,gheară
151,Kralle::N,skilf,labă
152,Kralle::N,skilf,gheară
153,Schwanz::N,lost,coadă
154,Ei::N,vi,ou
155,Nest::N,neizh,cuib
156,Bau::N,douarenn,bârlog
157,Bau::N,douarenn,vizuină
158,Tier::N,loen,animal
159,Herde::N,tropell,turmă
160,Herde::N,tropell,cireadă
161,Kuh::N,buoc'h,vacă
162,Bulle::N,tarv,taur
163,Pferd::N,marc'h,cal
164,Schaf::N,dañvad,oaie
165,Schwein::N,pemoc'h,porc
166,Hund::N,ki,câine
167,Katze::N,kazh,pisică
168,Bär::N,arzh,urs
169,Eichhörnchen::N,gwiñver,veveriță
170,Elch::N,karv-dour,elan
171,Fuchs::N,louarn,vulpe
172,Hase::N,gad,iepure
173,Maus::N,logodenn,șoarece
174,Wolf::N,bleiz,lup
175,Vogel::N,labous,pasăre
176,Schwarm::N,nijad,cârd
177,Huhn::N,yar,găină
178,Hahn::N,kilhog,cocoș
179,Gans::N,gwazenn,gâscă
180,Adler::N,erer,vultur
181,Ente::N,houad,rață
182,Eule::N,toud,bufniță
183,Kranich::N,garan,cocor
184,Krähe::N,bran,cioară
185,Kuckuck::N,koukoug,cuc
186,Schwan::N,alarc'h,lebădă
187,Fisch::N,pesk,pește
188,Barsch::N,brell,biban
189,Hecht::N,beked,știucă
190,Schlange[Tier]::N,naer,șarpe
191,Wurm::N,preñv,vierme
192,Spinne::N,kevnidenn,păianjen
193,Ameise::N,merion,furnică
194,Laus::N,laouenn,păduche
195,Mücke::N,moustik,țânțar
196,Fliege::N,kelienenn,muscă
197,Schmetterling::N,balafenn,fluture
198,Beere::N,hog,boabă
199,Apfel::N,aval,măr
200,Pilz::N,kabell-touseg,burete
201,Pilz::N,kabell-touseg,ciupercă
202,Zwiebel::N,ognonenn,ceapă
203,Saat::N,had,semănătură
204,Korn::N,ed,grâu
205,Heu::N,foenn,fân
206,Schale::N,peliadur,coajă
207,Falle::N,pech,cursă
208,Falle::N,pech,capcană
209,Schlinge::N,krouglas,laț
210,Asche::N,ludu,cenușă
211,Dreck::N,fank,noroi
212,Dreck::N,fank,murdărie
213,Eisen::N,houarn,fier
214,Gold::N,aour,aur
215,Silber::N,arc'hant,argint
216,Kohle::N,glaou,cărbune
217,Glas::N,gwer,sticlă
218,Sand::N,traezh,nisip
219,Mensch::N,den,om
220,Mensch::N,den,persoană
221,Mann::N,den,om
222,Mann::N,den,bărbat
223,Frau::N,maouez,femeie
224,Kind::N,bugel,copil
225,Junge::N,paotr,băiat
226,Junge::N,paotr,flăcău
227,Mädchen::N,plac'h,fată
228,Familie::N,familh,familie
229,Großvater::N,tad-kozh,bunic
230,Großvater::N,tad-kozh,tată mare
231,Großmutter::N,mamm-gozh,bunică
232,Großmutter::N,mamm-gozh,mamă mare
233,Eltern::N,kerent,părinți
234,Vater::N,tad,tată
235,Vater::N,tad,părinte
236,Mutter::N,mamm,mamă
237,Sohn::N,mab,fiu
238,Sohn::N,mab,fecior
239,Tochter::N,merc'h,fiică
240,Bruder::N,breur,frate
241,Schwester::N,c'hoar,soră
242,Onkel::N,eontr,unchi
243,Tante::N,moereb,mătușă
244,Ehemann::N,gwaz,soț
245,Ehemann::N,gwaz,bărbat
246,Ehefrau::N,gwreg,soție
