,Concept_ID,eu,es
0,Auge::N,begi,ojo
1,Ohr::N,belarri,oreja
2,Nase::N,sudur,nariz
3,Mund::N,aho,boca
4,Zahn::N,hortz,diente
5,Zunge::N,mihi,lengua
6,Lippe::N,ezpain,labio
7,Wange::N,masail,mejilla
8,Gesicht::N,aurpegi,cara
9,Stirn::N,bekoki,frente
10,Haar::N,ile,cabello
11,Haar::N,bilo,cabello
12,Schnurrbart::N,bibote,bigote
13,Schnurrbart::N,sudurpeko,bigote
14,Bart::N,bizar,barba
15,Kinn::N,kokots,barbilla
16,Kiefer[Anatomie]::N,masailezur,mandíbula
17,Kehle::N,eztarri,garganta
18,Hals::N,sama,cuello
19,Genick::N,garondo,nuca
20,Genick::N,garondo,cerviz
21,Kopf::N,buru,cabeza
22,Rücken::N,bizkar,espalda
23,Bauch::N,sabel,vientre
24,Nabel::N,zilbor,ombligo
25,Busen::N,titi,pecho
26,Busen::N,ugatz,pecho
27,Brust::N,bular,pecho
28,Schulter::N,besaburu,hombro
29,Arm::N,beso,brazo
30,Ellenbogen::N,ukondo,codo
31,Hand::N,esku,mano
32,Handfläche::N,ahur,palma
33,Finger::N,hatz,dedo
34,Fingernagel::N,azazkal,uña
35,Nagel[Anatomie]::N,azazkal,uña
36,Zeh::N,behatz,dedo del pie
37,Fuß::N,oin,pie
38,Ferse::N,orpo,talón
39,Ferse::N,oinburu,talón
40,Knie::N,belaun,rodilla
41,Oberschenkel::N,izter,muslo
42,Bein::N,zango,pierna
43,Körper::N,soin,cuerpo
44,Haut::N,azal,piel
45,Blut::N,odol,sangre
46,Ader::N,zain,vena
47,Sehne::N,gihar-zain,tendón
48,Knochen::N,hezur,hueso
49,Gehirn::N,garun,cerebro
50,Gehirn::N,garun,encéfalo
51,Gehirn::N,burmuin,cerebro
52,Gehirn::N,burmuin,encéfalo
53,Herz::N,bihotz,corazón
54,Magen::N,urdail,estómago
55,Leber::N,gibel,hígado
56,Atem::N,hats,aliento
57,Atem::N,arnasa,aliento
58,Hunger::N,gose,hambre
59,Träne::N,malko,lágrima
60,Geschmack::N,dasta,gusto
61,Geruch::N,usain,olor
62,Schlaf::N,lo,sueño
63,Traum::N,amets,sueño
64,Traum::N,amets,ensueño
65,Himmel::N,zeru,cielo
66,Sonne::N,eguzki,sol
67,Mond::N,ilargi,luna
68,Stern::N,izar,estrella
69,Luft::N,aire,aire
70,Wind::N,haize,viento
71,Welle::N,uhin,ola
72,Welle::N,uhin,onda
73,Welle::N,olatu,ola
74,Welle::N,olatu,onda
75,Wasser::N,ur,agua
76,Stein::N,harri,piedra
77,Boden::N,lur,suelo
78,Boden::N,zoru,suelo
79,Erde::N,lur,tierra
80,Staub::N,hauts,polvo
81,Rauch::N,ke,humo
82,Funke::N,zirta,chispa
83,Funke::N,txinparta,chispa
84,Feuer::N,su,fuego
85,Licht::N,argi,luz
86,Schatten::N,itzal,sombra
87,Schatten::N,geriza,sombra
88,Wetter::N,eguraldi,tiempo
89,Nebel::N,laino,niebla
90,Wolke::N,hodei,nube
91,Regen::N,euri,lluvia
92,Schnee::N,elur,nieve
93,Eis::N,horma,hielo
94,Frost::N,izotzaldi,helada
95,Kälte::N,hotz,frío
96,Hitze::N,bero,calor
97,Raureif::N,antzigar,escarcha
98,Regenbogen::N,ostadar,arco iris
99,Regenbogen::N,ortzadar,arco iris
100,Donner::N,ostots,trueno
101,Donner::N,ihurtzuri,trueno
102,Strömung::N,laster,corriente
103,Tropfen::N,xorta,gota
104,Schaum::N,bits,espuma
105,Schmutz::N,lohi,suciedad
106,Schmutz::N,zikin,suciedad
107,See::N,laku,lago
108,See::N,aintzira,lago
109,Sumpf::N,zingira,pantano
110,Moor::N,zohikaztegi,turbera
111,Wiese::N,larre,prado
112,Wiese::N,larre,pradera
113,Wiese::N,belardi,prado
114,Wiese::N,belardi,pradera
115,Wald::N,baso,bosque
116,Wald::N,oihan,bosque
117,Hügel::N,muino,colina
118,Hügel::N,pentoka,colina
119,Anhöhe::N,garai,cerro
120,Anhöhe::N,goragune,cerro
121,Berg::N,mendi,monte
122,Berg::N,mendi,montaña
123,Gipfel::N,gain,cima
124,Gipfel::N,gain,cumbre
125,Gipfel::N,tontor,cima
126,Gipfel::N,tontor,cumbre
127,Höhle::N,kobazulo,cueva
128,Höhle::N,kobazulo,caverna
129,Abhang::N,aldapa,cuesta
130,Abhang::N,aldapa,declive
131,Quelle::N,iturri,fuente
132,Quelle::N,iturri,manantial
133,Quelle::N,iturbegi,fuente
134,Quelle::N,iturbegi,manantial
135,Bach::N,lats,arroyo
136,Bach::N,erreka,arroyo
137,Fluss::N,ibai,río
138,Fluss::N,uhaitz,río
139,Ufer::N,bazter,orilla
140,Küste::N,itsasalde,costa
141,Festland::N,lehor,tierra firme
142,Meer::N,itsaso,mar
143,Bucht::N,golko,cala
144,Bucht::N,golko,bahía
145,Insel::N,irla,isla
146,Insel::N,uharte,isla
147,Blume::N,lili,flor
148,Gras::N,belar,hierba
149,Wurzel::N,zuztar,raíz
150,Wurzel::N,sustrai,raíz
151,Baum::N,zuhaitz,árbol
152,Stamm::N,enbor,tronco
153,Rinde::N,azal,corteza
154,Ast::N,adar,rama
155,Zweig::N,abar,ramo
