,Concept_ID,sq,de
0,Auge::N,sy,Auge
1,Ohr::N,vesh,Ohr
2,Nase::N,hundë,Nase
3,Mund::N,gojë,Mund
4,Zahn::N,dhëmb,Zahn
5,Zunge::N,gjuhë,Zunge
6,Lippe::N,buzë,Lippe
7,Wange::N,faqe,Wange
8,Wange::N,mollëz,Wange
9,Gesicht::N,fytyrë,Gesicht
10,Stirn::N,ballë,Stirn
11,Haar::N,flokë,Haar
12,Schnurrbart::N,mustaqe,Schnurrbart
13,Bart::N,mjekër,Bart
14,Kinn::N,mjekër,Kinn
15,Kiefer[Anatomie]::N,nofull,Kiefer
16,Kehle::N,fyt,Kehle
17,Kehle::N,grykë,Kehle
18,Hals::N,qafë,Hals
19,Genick::N,arrëz,Genick
20,Kopf::N,kokë,Kopf
21,Rücken::N,kurriz,Rücken
22,Bauch::N,bark,Bauch
23,Nabel::N,kërthizë,Nabel
24,Busen::N,gji,Busen
25,Brust::N,gjoks,Brust
26,Brust::N,kraharor,Brust
27,Schulter::N,sup,Schulter
28,Schulter::N,krah,Schulter
29,Arm::N,krah,Arm
30,Ellenbogen::N,bërryl,Ellenbogen
31,Hand::N,dorë,Hand
32,Handfläche::N,pëllëmbë,Handfläche
33,Finger::N,gisht,Finger
34,Fingernagel::N,thua,Fingernagel
35,Nagel[Anatomie]::N,thua,Nagel
36,Zeh::N,gisht i këmbës,Zeh
37,Fuß::N,këmbë,Fuß
38,Ferse::N,thembër,Ferse
39,Knie::N,gju,Knie
40,Oberschenkel::N,kofshë,Oberschenkel
41,Bein::N,këmbë,Bein
42,Körper::N,trup,Körper
43,Haut::N,lëkurë,Haut
44,Blut::N,gjak,Blut
45,Ader::N,venë,Ader
46,Sehne::N,dell,Sehne
47,Knochen::N,asht,Knochen
48,Knochen::N,kockë,Knochen
49,Gehirn::N,tru,Gehirn
50,Herz::N,zemër,Herz
51,Magen::N,stomak,Magen
52,Leber::N,mëlçi,Leber
53,Atem::N,frymë,Atem
54,Hunger::N,uri,Hunger
55,Träne::N,lot,Träne
56,Geschmack::N,shije,Geschmack
57,Geruch::N,erë,Geruch
58,Schlaf::N,gjumë,Schlaf
59,Traum::N,ëndërr,Traum
60,Himmel::N,qiell,Himmel
61,Sonne::N,diell,Sonne
62,Mond::N,hënë,Mond
63,Stern::N,yll,Stern
64,Luft::N,ajër,Luft
65,Wind::N,erë,Wind
66,Welle::N,valë,Welle
67,Welle::N,dallgë,Welle
68,Wasser::N,ujë,Wasser
69,Stein::N,gur,Stein
70,Boden::N,tokë,Boden
71,Boden::N,truall,Boden
72,Erde::N,dhe,Erde
73,Erde::N,baltë,Erde
74,Staub::N,pluhur,Staub
75,Rauch::N,tym,Rauch
76,Funke::N,xixë,Funke
77,Funke::N,shkëndijë,Funke
78,Feuer::N,zjarr,Feuer
79,Licht::N,dritë,Licht
80,Schatten::N,hije,Schatten
81,Wetter::N,mot,Wetter
82,Nebel::N,mjegull,Nebel
83,Wolke::N,re,Wolke
84,Regen::N,shi,Regen
85,Schnee::N,borë,Schnee
86,Eis::N,akull,Eis
87,Frost::N,ngricë,Frost
88,Kälte::N,të ftohtë,Kälte
89,Hitze::N,vapë,Hitze
90,Hitze::N,nxehtësi,Hitze
91,Raureif::N,cikmë,Raureif
92,Regenbogen::N,ylber,Regenbogen
93,Donner::N,gjëmim,Donner
94,Donner::N,bubullimë,Donner
95,Strömung::N,rrymë,Strömung
96,Tropfen::N,pikë,Tropfen
97,Schaum::N,shkumë,Schaum
98,Schmutz::N,baltë,Schmutz
99,See::N,liqen,See
100,Sumpf::N,batak,Sumpf
101,Moor::N,kënetë,Moor
102,Wiese::N,livadh,Wiese
103,Wald::N,pyll,Wald
104,Hügel::N,kodër,Hügel
105,Anhöhe::N,bregore,Anhöhe
106,Berg::N,mal,Berg
107,Gipfel::N,kulm,Gipfel
108,Höhle::N,shpellë,Höhle
109,Höhle::N,zgafelle,Höhle
110,Abhang::N,shpat,Abhang
111,Abhang::N,tatëpjetë,Abhang
112,Quelle::N,krua,Quelle
113,Quelle::N,burim,Quelle
114,Bach::N,virua,Bach
115,Fluss::N,lumë,Fluss
116,Ufer::N,breg,Ufer
117,Küste::N,anëdet,Küste
118,Küste::N,bregdet,Küste
119,Festland::N,kontinent,Festland
120,Meer::N,det,Meer
121,Bucht::N,gji deti,Bucht
122,Insel::N,ishull,Insel
123,Insel::N,ujdhesë,Insel
124,Blume::N,lule,Blume
125,Gras::N,bar,Gras
126,Wurzel::N,rrënjë,Wurzel
127,Baum::N,pemë,Baum
128,Stamm::N,trung,Stamm
129,Rinde::N,lëvore,Rinde
130,Ast::N,degë,Ast
131,Zweig::N,bisk,Zweig
132,Blatt::N,fletë,Blatt
133,Blatt::N,gjethe,Blatt
134,Birke::N,mështekën,Birke
135,Kiefer[Baum]::N,pishë,Kiefer
136,Weide[Baum]::N,shelg,Weide
137,Tanne::N,bredh,Tanne
138,Horn::N,bri,Horn
139,Feder::N,pupël,Feder
140,Fell::N,lëkurë,Fell
141,Flügel::N,krah,Flügel
142,Flügel::N,fletë,Flügel
143,Klaue::N,kthetër,Klaue
144,Kralle::N,thua,Kralle
145,Kralle::N,kthetër,Kralle
146,Schwanz::N,bisht,Schwanz
147,Ei::N,vezë,Ei
148,Nest::N,fole,Nest
149,Bau::N,strofkë,Bau
150,Tier::N,kafshë,Tier
151,Herde::N,kope,Herde
152,Herde::N,grigjë,Herde
153,Kuh::N,lopë,Kuh
154,Bulle::N,dem,Bulle
155,Pferd::N,kalë,Pferd
156,Schaf::N,dele,Schaf
157,Schwein::N,derr,Schwein
158,Hund::N,qen,Hund
159,Katze::N,mace,Katze
160,Bär::N,ari,Bär
161,Eichhörnchen::N,ketër,Eichhörnchen
162,Elch::N,dre brilopatë,Elch
163,Fuchs::N,dhelpër,Fuchs
164,Hase::N,lepur,Hase
165,Maus::N,mi,Maus
166,Wolf::N,ujk,Wolf
167,Vogel::N,zog,Vogel
168,Vogel::N,shpend,Vogel
169,Schwarm::N,luzmë,Schwarm
170,Huhn::N,pulë,Huhn
171,Hahn::N,gjel,Hahn
172,Hahn::N,këndes,Hahn
173,Gans::N,patë,Gans
174,Adler::N,shqiponjë,Adler
175,Ente::N,rosë,Ente
176,Eule::N,buf,Eule
177,Kranich::N,lejlek,Kranich
178,Kranich::N,kurrillë,Kranich
179,Krähe::N,sorrë,Krähe
180,Kuckuck::N,qyqe,Kuckuck
181,Schwan::N,mjellmë,Schwan
182,Fisch::N,peshk,Fisch
183,Barsch::N,purtekë,Barsch
184,Hecht::N,mlysh,Hecht
185,Schlange[Tier]::N,gjarpër,Schlange
186,Wurm::N,krimb,Wurm
187,Spinne::N,marimangë,Spinne
188,Ameise::N,thnegël,Ameise
189,Ameise::N,milingonë,Ameise
190,Laus::N,morr,Laus
191,Mücke::N,kunup,Mücke
192,Mücke::N,mushkonjë,Mücke
193,Fliege::N,mizë,Fliege
194,Schmetterling::N,flutur,Schmetterling
195,Beere::N,frutë,Beere
196,Beere::N,manaferrë,Beere
197,Apfel::N,mollë,Apfel
198,Pilz::N,kërpudhë,Pilz
199,Zwiebel::N,qepë,Zwiebel
200,Saat::N,farë,Saat
201,Korn::N,grurë,Korn
202,Korn::N,kokërr,Korn
203,Heu::N,sanë,Heu
204,Schale::N,lëkurë,Schale
205,Grube::N,gropë,Grube
206,Falle::N,kurth,Falle
207,Falle::N,grackë,Falle
208,Schlinge::N,nyjë,Schlinge
209,Spur::N,gjurmë,Spur
210,Asche::N,hi,Asche
211,Dreck::N,baltë,Dreck
212,Eisen::N,hekur,Eisen
213,Gold::N,ar,Gold
214,Gold::N,flori,Gold
215,Silber::N,argjend,Silber
216,Kohle::N,qymyr,Kohle
217,Glas::N,qelq,Glas
218,Lehm::N,argjilë,Lehm
219,Sand::N,rërë,Sand
220,Mensch::N,njeri,Mensch
221,Mann::N,burrë,Mann
222,Mann::N,mashkull,Mann
223,Frau::N,grua,Frau
224,Frau::N,femër,Frau
225,Kind::N,kalama,Kind
226,Junge::N,djalë,Junge
227,Mädchen::N,gocë,Mädchen
228,Mädchen::N,vajzë,Mädchen
229,Familie::N,familje,Familie
230,Großvater::N,gjysh,Großvater
231,Großmutter::N,gjyshe,Großmutter
232,Eltern::N,prindër,Eltern
233,Vater::N,atë,Vater
234,Mutter::N,nënë,Mutter
235,Sohn::N,bir,Sohn
236,Tochter::N,bijë,Tochter
237,Bruder::N,vëlla,Bruder
238,Schwester::N,motër,Schwester
239,Onkel::N,dajë,Onkel
240,Onkel::N,xhaxha,Onkel
241,Tante::N,teze,Tante
242,Tante::N,hallë,Tante
243,Ehemann::N,burrë,Ehemann
244,Ehemann::N,bashkëshort,Ehemann
245,Ehefrau::N,grua,Ehefrau
246,Ehefrau::N,bashkëshorte,Ehefrau
247,Freude::N,gaz,Freude
248,Freude::N,gëzim,Freude
249,Gelächter::N,qeshje,Gelächter
250,Glück::N,lumturi,Glück
251,Kummer::N,brengë,Kummer
252,Kummer::N,pikëllim,Kummer
253,Wunsch::N,dëshirë,Wunsch
254,Lust::N,epsh,Lust
255,Lust::N,dashuri,Lust
256,Geist::N,frymë,Geist
257,Geist::N,shpirt,Geist
258,Gedanke::N,ide,Gedanke
259,Gedanke::N,mendim,Gedanke
260,Gedächtnis::N,kujtesë,Gedächtnis
261,Verstand::N,mend,Verstand
262,Sinn::N,kuptim,Sinn
263,Grund::N,arsye,Grund
264,Wahrheit::N,vërtetë,Wahrheit
265,Gespräch::N,bisedim,Gespräch
266,Märchen::N,përrallë,Märchen
267,Erzählung::N,tregim,Erzählung
268,Nachricht::N,lajm,Nachricht
269,Neuigkeit::N,risi,Neuigkeit
270,Name::N,emër,Name
271,Rätsel::N,gjëzë,Rätsel
272,Rätsel::N,gjëegjëzë,Rätsel
273,Rede::N,fjalim,Rede
274,Sprache::N,gjuhë,Sprache
275,Stimme::N,zë,Stimme
276,Wort::N,fjalë,Wort
277,Zeichen::N,shenjë,Zeichen
278,Ruf::N,thirrmë,Ruf
279,Lärm::N,zhurmë,Lärm
280,Laut::N,tingull,Laut
281,Ton::N,ton,Ton
