,Concept_ID,ka,hr
0,Auge::N,თვალი,oko
1,Ohr::N,ყური,uho
2,Nase::N,ცხვირი,nos
3,Mund::N,პირი,usta
4,Zahn::N,კბილი,zub
5,Zunge::N,ენა,jezik
6,Lippe::N,ბაგე,usna
7,Wange::N,ლოყა,obraz
8,Gesicht::N,სახე,lice
9,Stirn::N,შუბლი,čelo
10,Haar::N,თმა,kosa
11,Schnurrbart::N,ულვაში,brkovi
12,Bart::N,წვერი,brada
13,Kinn::N,ნიკაპი,brada
14,Kinn::N,ნიკაპი,podbradak
15,Kiefer[Anatomie]::N,ყბა,čeljust
16,Kehle::N,ყელი,grlo
17,Hals::N,ყელი,vrat
18,Hals::N,კისერი,vrat
19,Genick::N,კეფა,zatiljak
20,Kopf::N,თავი,glava
21,Rücken::N,ზურგი,leđa
22,Rücken::N,ზურგი,hrbat
23,Bauch::N,მუცელი,trbuh
24,Nabel::N,ჭიპი,pupak
25,Busen::N,ძუძუ,sisa
26,Busen::N,ძუძუ,njedra
27,Brust::N,მკერდი,prsa
28,Schulter::N,მხარი,rame
29,Schulter::N,მხარი,pleći
30,Schulter::N,მკლავი,rame
31,Schulter::N,მკლავი,pleći
32,Arm::N,ხელი,ruka
33,Ellenbogen::N,იდაყვი,lakat
34,Hand::N,ხელი,ruka
35,Handfläche::N,ნები,dlan
36,Handfläche::N,ხელისგული,dlan
37,Finger::N,თითი,prst
38,Fingernagel::N,ფრჩხილი,nokat
39,Nagel[Anatomie]::N,ფრჩხილი,nokat
40,Zeh::N,ფეხის თითი,nozni prst
41,Fuß::N,ტერფი,noga
42,Fuß::N,ტერფი,stopalo
43,Fuß::N,ფეხისგული,noga
44,Fuß::N,ფეხისგული,stopalo
45,Ferse::N,ქუსლი,peta
46,Knie::N,მუხლი,koljeno
47,Oberschenkel::N,ბარძაყი,bedro
48,Bein::N,ფეხი,noga
49,Körper::N,ტანი,tijelo
50,Körper::N,სხეული,tijelo
51,Haut::N,კანი,put
52,Haut::N,კანი,koža
53,Blut::N,სისხლი,krv
54,Ader::N,ძარღვი,žila
55,Sehne::N,მყესი,tetiva
56,Knochen::N,ძვალი,kost
57,Gehirn::N,ტვინი,
58,Herz::N,გული,srce
59,Magen::N,კუჭი,stomak
60,Magen::N,კუჭი,želudac
61,Leber::N,ღვიძლი,jetra
62,Atem::N,სუნთქვა,dah
63,Hunger::N,შიმშილი,glad
64,Träne::N,ცრემლი,suza
65,Geschmack::N,გემო,ukus
66,Geruch::N,სუნი,njuh
67,Geruch::N,სუნი,miris
68,Schlaf::N,ძილი,san
69,Traum::N,სიზმარი,san
