,Concept_ID,ml,hi
0,Auge::N,കണ്ണ്,आँख
1,Auge::N,കണ്ണ്,चक्षु
2,Ohr::N,ചെവി,कान
3,Ohr::N,ചെവി,कर्ण
4,Nase::N,മൂക്ക്,नाक
5,Nase::N,മൂക്ക്,नासा
6,Mund::N,വായ,मुख
7,Mund::N,വായ,मुँह
8,Zahn::N,പല്ല്,दंत
9,Zahn::N,പല്ല്,दाँत
10,Zunge::N,നാക്ക്,जीभ
11,Zunge::N,നാക്ക്,ज़बान
12,Zunge::N,നാക്ക്,जिह्वा
13,Lippe::N,ചുണ്ട്,ओंठ
14,Lippe::N,ചുണ്ട്,होंठ
15,Wange::N,കവിൾത്തടം,गाल
16,Wange::N,കവിൾത്തടം,कपोल
17,Gesicht::N,മുഖം,मुँह
18,Gesicht::N,മുഖം,चेहरा
19,Stirn::N,നെറ്റി,माथा
20,Stirn::N,നെറ്റി,मस्तक
21,Haar::N,തലമുടി,बाल
22,Schnurrbart::N,മീശ,मूँछें
23,Bart::N,താടിരോമം,दाढ़ी
24,Kinn::N,താടി,चिबुक
25,Kiefer[Anatomie]::N,താടിയെല്ല്,जबड़ा
26,Kehle::N,കണ്ഠനാളം,गला
27,Hals::N,കഴുത്ത്,गला
28,Hals::N,കഴുത്ത്,गरदन
29,Genick::N,പിടലി,गरदन
30,Genick::N,പിടലി,ग्रीवा
31,Kopf::N,തല,सिर
32,Kopf::N,തല,शीर्ष
33,Rücken::N,മുതുക്,पीठ
34,Bauch::N,നയറ്,उदर
35,Nabel::N,നാഭി,नाभि
36,Nabel::N,നാഭി,ढोंढी
37,Busen::N,സ്തനം,कुच
38,Busen::N,സ്തനം,स्तन
39,Brust::N,സ്തനം,वक्ष
40,Schulter::N,തോൾ,कंधा
41,Schulter::N,തോൾ,स्कंध
42,Arm::N,കൈ,बाँह
43,Arm::N,കൈ,बाज़ू
44,Ellenbogen::N,കൈമുട്ട്,कुहनी
45,Hand::N,കൈ,हाथ
46,Hand::N,കൈ,हस्त
47,Handfläche::N,ഉള്ളം കൈ,हथेली
48,Finger::N,വിരൽ,उँगली
49,Finger::N,വിരൽ,अँगुली
50,Fingernagel::N,നഖം,नख
51,Fingernagel::N,നഖം,नाख़ून
52,Nagel[Anatomie]::N,നഖം,नख
53,Nagel[Anatomie]::N,നഖം,नाख़ून
54,Zeh::N,കാൽവിരൽ,उँगली
55,Zeh::N,കാൽവിരൽ,पाँव की उँगली
56,Fuß::N,കാൽപ്പാദം,चरण
57,Fuß::N,കാൽപ്പാദം,पाँव
58,Ferse::N,ഉപ്പൂറ്റി,एड़ी
59,Knie::N,കാൽമുട്ട്,जानु
60,Knie::N,കാൽമുട്ട്,घुटना
61,Oberschenkel::N,തുട,उरु
62,Bein::N,കാൽ,टाँग
63,Körper::N,ശരീരം,तन
64,Körper::N,ശരീരം,देह
65,Körper::N,ശരീരം,शरीर
66,Haut::N,ചർമ്മം,चर्म
67,Haut::N,ചർമ്മം,त्वचा
68,Blut::N,രക്തം,लहू
69,Blut::N,രക്തം,ख़ून
70,Ader::N,ഞരമ്പ്,रग
71,Ader::N,ഞരമ്പ്,शिरा
72,Sehne::N,സ്നായു,कंडरा
73,Sehne::N,സ്നായു,स्नायु
74,Knochen::N,അസ്ഥി,अस्थि
75,Gehirn::N,തലച്ചോറ്,दिमाग़
76,Gehirn::N,തലച്ചോറ്,मस्तिष्क
77,Herz::N,ഹൃദയം,दिल
78,Herz::N,ഹൃദയം,हृदय
79,Magen::N,വയർ,मेदा
80,Magen::N,വയർ,अमाशय
81,Leber::N,കരൾ,जिगर
82,Leber::N,കരൾ,यकृत्
83,Atem::N,ശ്വാസം,दम
84,Atem::N,ശ്വാസം,साँस
85,Atem::N,ശ്വാസം,श्वास
86,Hunger::N,വിശപ്പ്,भूख
87,Hunger::N,വിശപ്പ്,क्षुधा
88,Träne::N,കണ്ണീർ,आँसू
89,Träne::N,കണ്ണീർ,अश्रु
90,Geschmack::N,രുചി,स्वाद
91,Geschmack::N,രുചി,ज़ायक़ा
92,Geruch::N,ഗന്ധം,बू
93,Geruch::N,ഗന്ധം,गंध
94,Schlaf::N,ഉറകും,नींद
95,Schlaf::N,ഉറകും,निद्रा
96,Traum::N,സ്വപ്നം,सपना
97,Traum::N,സ്വപ്നം,स्वप्न
98,Himmel::N,ആകാശം,आकाश
99,Himmel::N,ആകാശം,आसमान
100,Sonne::N,സൂര്യൻ,रवि
101,Sonne::N,സൂര്യൻ,सूरज
102,Sonne::N,സൂര്യൻ,सूर्य
103,Mond::N,ചന്ദ്രൻ,चाँद
104,Mond::N,ചന്ദ്രൻ,चंद्र
105,Stern::N,നക്ഷത്രം,तारा
106,Stern::N,നക്ഷത്രം,सितारा
107,Luft::N,കാറ്റ്,हवा
108,Luft::N,കാറ്റ്,वायु
109,Wind::N,കാറ്റ്,पाद
110,Welle::N,തിരമാല,लहर
111,Welle::N,തിരമാല,तरंग
112,Wasser::N,വെള്ളം,जल
113,Wasser::N,വെള്ളം,पानी
114,Stein::N,ശില,पत्थर
115,Stein::N,കല്ല്,पत्थर
116,Boden::N,തറ,मिट्टी
117,Boden::N,നിലം,मिट्टी
118,Erde::N,മണ്ണ്,भूमि
119,Erde::N,മണ്ണ്,ज़मीन
120,Staub::N,പൊടി,धूल
121,Rauch::N,പുക,धूआँ
122,Rauch::N,പുക,धुम्र
123,Funke::N,തീപ്പൊരി,चिनगारी
124,Funke::N,തീപ്പൊരി,स्फुलिंग
125,Feuer::N,തീ,आग
126,Feuer::N,തീ,आतिश
127,Feuer::N,തീ,अग्नि
128,Licht::N,വിളക്ക്,रोशनी
129,Licht::N,വിളക്ക്,प्रकाश
130,Licht::N,സൂര്യപ്രകാശം,रोशनी
131,Licht::N,സൂര്യപ്രകാശം,प्रकाश
132,Schatten::N,തണൽ,छाया
133,Schatten::N,തണൽ,परछाई
134,Wetter::N,കാലാവസ്ഥ,ऋतु
135,Wetter::N,കാലാവസ്ഥ,मौसम
136,Nebel::N,മൂടൽമഞ്ഞ്,धुँध
137,Nebel::N,മൂടൽമഞ്ഞ്,कुहरा
138,Wolke::N,മേഘം,मेघ
139,Wolke::N,മേഘം,अभ्र
140,Regen::N,മഴ,मेंह
141,Regen::N,മഴ,बारिश
142,Schnee::N,മഞ്ഞ്,हिम
143,Schnee::N,മഞ്ഞ്,बर्फ़
144,Eis::N,ഐസ്,हिम
145,Eis::N,ഐസ്,बर्फ़
146,Frost::N,മൂടൽമഞ്ഞ്,ठंड
147,Kälte::N,തണുപ്പ്,सर्दी
148,Kälte::N,തണുപ്പ്,शीतलता
149,Hitze::N,ചൂട്,ताप
150,Hitze::N,ചൂട്,गरमी
151,Raureif::N,കോടമഞ്ഞ്,पाला
