,Concept_ID,lbe,sah
0,Auge::N,я,харах
1,Ohr::N,вичӏи,кулгаах
2,Nase::N,май,мурун
3,Mund::N,кьацӏ,айах
4,Zahn::N,ккарччи,тиис
5,Zunge::N,маз,тыл
6,Lippe::N,мурччи,уос
7,Wange::N,чӏав,иэдэс
8,Gesicht::N,лажин,сирэй
9,Stirn::N,ненттабакӏ,сүүс
10,Haar::N,чӏара,баттах
11,Schnurrbart::N,ссирссилтту,уос бытыга
12,Bart::N,чӏири,сэҥийэ бытыга
13,Kinn::N,лунттубакӏ,сэҥийэ
14,Kiefer[Anatomie]::N,ххинчулул,сыҥаах
15,Kehle::N,кьакьари,тамах
16,Kehle::N,кьакьари,күөмэй
17,Hals::N,ссурссу,моой
18,Genick::N,махъабакӏ,кэтэх
19,Kopf::N,бакӏ,бас
20,Rücken::N,ттиликӏ,көҕүс
21,Bauch::N,лякьа,ис
22,Nabel::N,цӏумуккутӏ,киин
23,Busen::N,ккукку,эмиий
24,Brust::N,хъазам,түөс
25,Schulter::N,хъачӏ,сарын
26,Arm::N,ка,илии
27,Ellenbogen::N,ссюрхъ,тоҕонох
28,Hand::N,бартка,илии
29,Handfläche::N,хъат,ытыс
30,Handfläche::N,битӏянхъ,ытыс
31,Finger::N,кӏисса,тарбах
32,Fingernagel::N,михь,тыҥырах
33,Nagel[Anatomie]::N,михь,тыҥырах
34,Zeh::N,кӏисса,тарбах
35,Fuß::N,чӏанччан,уллуҥах
36,Ferse::N,никъа,тилэх
37,Knie::N,ник,тобук
38,Knie::N,ник,дьилбэк
39,Oberschenkel::N,жира,уллук
40,Oberschenkel::N,жира,өттүк
41,Bein::N,ччан,атах
42,Körper::N,чурх,бэйэ
43,Haut::N,бурчу,тирии
44,Blut::N,оь,хаан
45,Ader::N,тунну,вена
46,Ader::N,тунну,күөх_тымыр
47,Sehne::N,хьхьа,иҥиир
48,Knochen::N,ттаркӏ,уҥуох
49,Knochen::N,ттаркӏ,уҥгуох
50,Gehirn::N,ня,мэйии
51,Herz::N,дакӏ,сүрэх
52,Herz::N,къюкӏ,сүрэх
53,Magen::N,лякьа,куртах
54,Atem::N,ссихӏ ласаву,тыын
55,Atem::N,ссихӏ бигьаву,тыын
56,Hunger::N,ккаши,аас
57,Träne::N,макь,харах уута
58,Geschmack::N,тӏин,амтан
59,Geschmack::N,тӏааьн,амтан
60,Geruch::N,кьанкь,сыт
61,Schlaf::N,шану,утуйуу
62,Traum::N,макӏру,түүл
63,Himmel::N,ссав,халлаан
64,Sonne::N,баргъ,күн
65,Mond::N,барз,ый
66,Stern::N,цӏуку,сулус
67,Luft::N,гьава,салгын
68,Wind::N,марч,тыал
69,Welle::N,щатӏи,долгун
70,Welle::N,щатӏи,балхаан
71,Wasser::N,щин,уу
72,Stein::N,чару,таас
73,Boden::N,аьрщи,сир
74,Erde::N,аьрщи,буор
75,Staub::N,ххит,быыл
76,Rauch::N,пуркӏу,буруо
77,Funke::N,пиягь,кыым
78,Feuer::N,цӏу,уот
79,Licht::N,чани,уот
80,Schatten::N,ххют,күлүк
81,Wetter::N,гьава,күн-дьыл
82,Nebel::N,шархь ттурлу,туман
83,Wolke::N,ттурлу,былыт
84,Regen::N,гъарал,самыыр
85,Schnee::N,марххала,хаар
86,Eis::N,микӏ,муус
87,Frost::N,дяркъу,тымныы
88,Frost::N,замгьар,тымныы
89,Kälte::N,дяркъу,тымныы
90,Hitze::N,кӏиришиву,куйаас
91,Raureif::N,сил,кырыа
92,Raureif::N,бурса,кырыа
93,Regenbogen::N,ссурул ккуртта,кустук
94,Donner::N,къув,этиҥ
95,Strömung::N,экьинанаву,сүүрүк
96,Tropfen::N,кӏунтӏ,таммах
97,Tropfen::N,кӏунтӏ,хааппыла
98,Schaum::N,хьама,күүгэн
99,Schmutz::N,кьяркьи,кир
100,See::N,бяр,күөл
101,Sumpf::N,кунцӏа,бадараан
102,Wiese::N,кьан,ходуһа
103,Wald::N,вацӏа,ойуур
104,Hügel::N,бакӏу,булгунньах
105,Berg::N,зунтту,хайа
106,Gipfel::N,мицӏ,чыпчаал
107,Höhle::N,нух,хайа_хаспаҕа
108,Höhle::N,нух,көҥүс
109,Abhang::N,сун,эниэ
110,Quelle::N,дайдихьу,дьүүктэ
111,Quelle::N,бакӏ,дьүүктэ
112,Bach::N,чӏрир нех,үрүйэ
113,Fluss::N,нех,өрүс
114,Ufer::N,зума,биэрэк
115,Küste::N,зумаинхалу,кытыл
116,Küste::N,зуманицӏалу,кытыл
117,Festland::N,кьири,кураанах сир
118,Meer::N,хьхьири,муора
119,Insel::N,жазира,арыы
120,Blume::N,тӏутӏи,сибэкки
121,Gras::N,уртту,от
122,Wurzel::N,мархха,силис
123,Baum::N,мурхь,мас
124,Stamm::N,ттарцӏ,умнас
125,Rinde::N,ккамара,хатырык
126,Ast::N,матӏи,мутук
127,Zweig::N,къяртта,лабаа
128,Blatt::N,чӏапӏи,сэбирдэх
129,Birke::N,кӏялахӏи,хатыҥ
130,Birke::N,кӏялахӏилул мурхь,хатыҥ
131,Kiefer[Baum]::N,ттар,бэс
132,Kiefer[Baum]::N,ттарлил мурхь,бэс
133,Weide[Baum]::N,щавщи,үөт
134,Weide[Baum]::N,щавщи,талах
135,Tanne::N,ттарлил мурхь,харыйа
136,Horn::N,хъи,муос
137,Feder::N,лелуххул тӏиму,куорсун
138,Fell::N,бурчу,тирии
139,Flügel::N,хъа,кынат
140,Flügel::N,ххурупӏайрал тӏиму,кынат
141,Klaue::N,михь,тыҥырах
142,Kralle::N,ххяппа,баппаҕай
143,Schwanz::N,магъ,кутурук
144,Ei::N,ккунук,сымыыт
145,Nest::N,кюру,уйа
146,Bau::N,цукъуккутӏ,хороон
147,Tier::N,хӏайван,кыыл
148,Tier::N,хӏайван,харамай
149,Herde::N,газу,үөр
150,Kuh::N,оьл,ынах
151,Bulle::N,ниц,оҕус
152,Pferd::N,чу,сылгы
153,Schaf::N,тта,овца
154,Schwein::N,дунгъуз,сибиинньэ
155,Hund::N,ккаччи,ыт
156,Katze::N,ччиту,куоска
157,Bär::N,цуша,эһэ
158,Eichhörnchen::N,бюрхттукку,тииҥ
159,Elch::N,ниц-бюрин,тайах
160,Fuchs::N,цулчӏа,саһыл
161,Fuchs::N,куча цулчӏа,саһыл
162,Hase::N,бюрх,куобах
163,Maus::N,кӏулу,кутуйах
164,Wolf::N,барцӏ,бөрө
165,Vogel::N,лелуххи,көтөр
166,Schwarm::N,гьухъала,бөлөх
167,Huhn::N,аьнакӏи,куурусса
168,Hahn::N,ажари,бөтүүк
169,Gans::N,къаз,хаас
170,Adler::N,барзу,хотой
171,Ente::N,урдак,кус
172,Eule::N,ису,мэкчиргэ
173,Eule::N,ччиккумяв,мэкчиргэ
174,Kranich::N,кьурукь,туруйа
175,Krähe::N,хъатӏу,тураах
176,Kuckuck::N,ччикку,кэҕэ
177,Schwan::N,урттил къаз,куба
178,Fisch::N,чавахъ,балык
179,Schlange[Tier]::N,шатта,моҕой
180,Schlange[Tier]::N,шатта,эриэн үөн
181,Wurm::N,кьюнукьай шатта,үөн
182,Spinne::N,ххялцу,ооҕуй
183,Ameise::N,митӏикьукьу,кымырдаҕас
184,Mücke::N,мичӏак,кумаар
185,Fliege::N,зимиз,сахсырҕа
186,Schmetterling::N,чӏимучӏали,лыах
187,Schmetterling::N,чӏимучӏали,үрүмэччи
188,Beere::N,хӏаллил ахъулсса,отон
189,Apfel::N,гьивч,яблоко
190,Pilz::N,ттуккул иис,тэллэй
191,Zwiebel::N,лаччул чсмусул бакӏ,луук
192,Saat::N,гьанна,сиэмэ
193,Korn::N,къама,сиэмэ
194,Heu::N,ххулув,от
195,Schale::N,ккиртту,хах
196,Grube::N,кӏаланг,дьаама
197,Falle::N,къатӏа,сохсо
198,Schlinge::N,хӏатӏ,уктаа
199,Spur::N,ша,суол
200,Asche::N,лах,күл
201,Dreck::N,кьяркьи,бадараан
202,Dreck::N,венп,бадараан
203,Eisen::N,мах,тимир
204,Gold::N,муси,көмүс
205,Gold::N,муси,кыһыл көмүс
206,Silber::N,арцу,көмүс
207,Silber::N,арцу,үрүҥ көмүс
208,Kohle::N,кӏалаш,чох
209,Kohle::N,хъуручӏ,чох
210,Glas::N,пюрун,өстүөкүлэ
211,Lehm::N,сина аьрщи,туой
212,Sand::N,къун,кумах
213,Mensch::N,инсан,киһи
214,Mann::N,чув,эр
215,Mann::N,адимина,эр
216,Frau::N,щарсса,дьахтар
217,Frau::N,хъамитайпа,дьахтар
218,Kind::N,чӏиви оьрчӏ,оҕо
219,Junge::N,оьрчӏ,уол
220,Junge::N,бурхьин оьрчӏ,уол
221,Mädchen::N,душ,кыыс оҕо
222,Familie::N,кулпат,кэргэн
223,Großvater::N,ттатта,эһэ
224,Großvater::N,ниттил ппу,эһэ
225,Großmutter::N,буттал нину,эбэ
226,Eltern::N,нину-ппу,аҕа-ийэ
227,Vater::N,ппу,аҕа
228,Mutter::N,нину,ийэ
229,Sohn::N,арс,уол
230,Tochter::N,душ,кыыс
231,Bruder::N,уссу,убай
232,Bruder::N,уссу,быраат
233,Schwester::N,ссу,аҕас
234,Schwester::N,ссу,балыс
235,Onkel::N,буттауссу,таай
236,Onkel::N,буттауссу,абаҕа
237,Tante::N,буттал ссу,эдьиий
238,Ehemann::N,лас,эр
239,Ehefrau::N,щар,ойох
240,Ehefrau::N,щарсса,ойох
241,Freude::N,шадшиву,үөрүү
242,Freude::N,ххаришиву,үөрүү
243,Gelächter::N,хъяхъаву,күлүү
244,Glück::N,талихӏ,дьол
245,Glück::N,талихӏ,соргу
246,Kummer::N,дард,кутурҕан
247,Wunsch::N,мурад,баҕарыы
248,Lust::N,гьавас,баҕа
249,Lust::N,ччаву,баҕа
250,Geist::N,рухӏ,тыын
251,Gedanke::N,пикри,санаа
252,Gedächtnis::N,дакӏний личӏаву,өй
253,Verstand::N,аькьлу,өй
254,Sinn::N,мяъна,суолта
255,Grund::N,багьана,төрүөт
256,Wahrheit::N,тӏайламур,кырдьык
257,Wahrheit::N,хӏакьмур,кырдьык
258,Gespräch::N,ихтилат,бэсиэдэ
259,Gespräch::N,ихтилат,кэпсэтии
260,Märchen::N,магьа,остуоруйа
261,Erzählung::N,хавар,кэпсээн
262,Nachricht::N,хавар,биллэриллии
263,Neuigkeit::N,хавар,сонун
264,Name::N,цӏа,аат
265,Rätsel::N,ссигьа,таабырын
266,Rede::N,гъалгъа,этии
267,Sprache::N,маз,тыл
268,Stimme::N,чӏу,куолас
269,Stimme::N,чӏукӏа,куолас
270,Wort::N,махъ,тыл
271,Zeichen::N,лишан,бэлиэ
272,Lärm::N,чӏу,айдаан
273,Laut::N,чӏу,тыас
274,Ton::N,чӏу,дорҕоон
275,Lied::N,балай,ырыа
276,Ruhe::N,дигьалагру,уу чуумпу
277,Leute::N,инсантал,дьон
278,Volk::N,ил,дьон
279,Volk::N,ил,норуот
280,Volk::N,халкь,дьон
281,Volk::N,халкь,норуот
282,Arbeit::N,заву,үлэ
283,Gast::N,хъамаличу,ыалдьыт
284,Geschenk::N,бухчакарши,бэлэх
285,Geschenk::N,лажинккакку,бэлэх
286,Spiel::N,тӏуркӏу,оонньуу
287,Gesellschaft::N,жямат,общество
288,Gesellschaft::N,ккуран,общество
289,Hilfe::N,кумаг,көмө
290,Freund::N,дус,доҕор
291,Kamerad::N,хӏаласу,атас
292,Angelegenheit::N,иш,дьыала
293,Anzahl::N,аьдад,ахсаан
294,Art::N,жинс,биис
295,Stück::N,касак,кырбас
296,Teil::N,бутӏа,ирээт
297,Hälfte::N,дачӏи,аҥар
298,Kreis::N,кюрщан,төгүрүк
299,Kreis::N,кюрщан,төгүрүмтэ
300,Kreuz::N,ххач,кириэс
301,Linie::N,щва,сурааһын
302,Strich::N,щва,сурааһын
303,Abstand::N,манзил,арыт
304,Entfernung::N,манзил,ыраах
305,Gegend::N,кӏану,сир
306,Ort::N,кӏану,сир
307,Seite::N,чул,өрүт
308,Seite::N,чул,сирэй
309,Seite::N,чулухалу,өрүт
310,Seite::N,чулухалу,сирэй
311,Mitte::N,дя,орто
312,Gegenstand::N,зат,предмет
313,Sache::N,зат,мал
314,Rand::N,зума,кытыы
315,Rand::N,зума,ойоҕос
316,Ecke::N,мурцӏу,муннук
317,Spitze::N,мицӏ,чыпчаал
318,Ende::N,зума,төбө
319,Loch::N,ккутӏ,тэһэҕэс
320,Loch::N,ккутӏ,дьөлөҕөс
321,Winkel::N,мурцӏу,муннук
322,Muster::N,накьич,оһуор
323,Länge::N,лахъишиву,уста
324,Höhe::N,лахъшиву,үрдүк
325,Gewicht::N,дуццин,ыйааһын
326,Gewicht::N,кӏушиву,ыйааһын
327,Haufen::N,бакӏу,чөмчөх
328,Reihe::N,кьюкьа,кэккэ
329,Boot::N,луткка,оҥочо
330,Ruder::N,весло,эрдии
331,Ruder::N,чӏатӏа,эрдии
332,Schlitten::N,чана,сыарҕа
333,Schlitten::N,санкка,сыарҕа
334,Ski::N,лижарду,хайыһар
335,Lagerfeuer::N,къавтӏн,кутаа
336,Last::N,гьиву,ыарахан
337,Gang::N,нанаву,хаамыы
338,Schritt::N,ша,хардыы
339,Norden::N,ухссав,хоту
340,Norden::N,ухссавнил чулухалу,хоту
341,Süden::N,кьилва,соҕуруу
342,Westen::N,баргълагавал,арҕаа
343,Westen::N,баргълагавал чул,арҕаа
344,Osten::N,баргъбуккай чулухалу,илин
345,Holz::N,тӏама,мас
346,Brett::N,тахта,дуоска
347,Brett::N,тахта,хаптаһын
348,Platte::N,гъуни,билиитэ
349,Stütze::N,гьалакӏу,тулааһын
350,Stange::N,къазихъ,ураҕас
351,Stock::N,ттархь,мас
352,Stock::N,ттархь,баалкы
353,Stab::N,ччантӏакъу,ураҕас
354,Rohr::N,бургъу,турба
355,Haus::N,къатта,дьиэ
356,Heim::N,къатта,дьиэ
357,Ofen::N,пач,оһох
358,Fußboden::N,чӏанкъатта,муоста
359,Tisch::N,усттул,остуол
360,Stuhl::N,кӏану,устуул
361,Wiege::N,оьрчӏал кӏану,биһик
362,Bett::N,тах,кырабаат
363,Regal::N,чӏаму,долбуур
364,Kiste::N,яшикӏ,дьааһык
365,Kiste::N,къурши,дьааһык
366,Fenster::N,чӏавахьулу,түннүк
367,Tür::N,нуз,аан
368,Tür::N,нузкьун,аан
369,Tor::N,къапу,аан
370,Tor::N,дарваза,аан
371,Zaun::N,дайгьузанну,соппулуот
372,Dach::N,магъи,кырыыса
373,Dach::N,цӏиялу,кырыыса
374,Leiter::N,чуртту,кирилиэс
375,Besen::N,чӏатлу,миинньик
376,Spaten::N,бил,күрдьэх
377,Schaufel::N,чӏатӏа,күрдьэх
378,Gabel::N,гьиссилу,биилкэ
379,Löffel::N,къуса,луоска
380,Messer::N,чӏила,быһах
381,Nagel::N,мяр,тоһоҕо
382,Netz::N,къери,илим
383,Haken::N,къича,көхө
