,Concept_ID,lv,mrj
0,Auge::N,син,сӹнзӓ
1,Auge::N,acs,сӹнзӓ
2,Ohr::N,пель,пӹлӹш
3,Ohr::N,auss,пӹлӹш
4,Nase::N,ныр,нер
5,Nase::N,deguns,нер
6,Mund::N,вом,ышма
7,Mund::N,mute,ышма
8,Zahn::N,пинь,пӱ
9,Zahn::N,zobs,пӱ
10,Zunge::N,кыв,йӹлмӹ
11,Zunge::N,mēle,йӹлмӹ
12,Lippe::N,вом дор,тӹрвӹ
13,Lippe::N,lūpa,тӹрвӹ
14,Wange::N,бан,шӹргӹ
15,Wange::N,vaigs,шӹргӹ
16,Gesicht::N,чужӧм,лицӓ
17,Gesicht::N,seja,лицӓ
18,Gesicht::N,ģīmis,лицӓ
19,Stirn::N,плеш,лепкӓ
20,Stirn::N,кымӧс,лепкӓ
21,Stirn::N,piere,лепкӓ
22,Haar::N,си,ӱп
23,Haar::N,юрси,ӱп
24,Haar::N,mats,ӱп
25,Schnurrbart::N,ус,öрш
26,Schnurrbart::N,пыртсим,öрш
27,Schnurrbart::N,ūsas,öрш
28,Bart::N,тош,пандаш
29,Bart::N,bārda,пандаш
30,Kinn::N,тшӧка,онгылаш
31,Kinn::N,zods,онгылаш
32,Kinn::N,smakrs,онгылаш
33,Kiefer[Anatomie]::N,черлы,пӱ арата
34,Kiefer[Anatomie]::N,алака лы,пӱ арата
35,Kiefer[Anatomie]::N,вомкӧтш лы,пӱ арата
36,Kiefer[Anatomie]::N,žoklis,пӱ арата
37,Kehle::N,голя,логер
38,Kehle::N,rīkle,логер
39,Hals::N,сьылі,шӱ
40,Hals::N,kakls,шӱ
41,Genick::N,юрбӧр,ланга
42,Genick::N,балябӧж,ланга
43,Genick::N,sprands,ланга
44,Kopf::N,юр,вуй
45,Kopf::N,galva,вуй
46,Rücken::N,мыш,туп
47,Rücken::N,mugura,туп
48,Bauch::N,рушку,мӹшкӹр
49,Bauch::N,vēders,мӹшкӹр
50,Nabel::N,гӧг,кӹлӹмдӹ
