,Concept_ID,hi,mrj
0,Auge::N,आँख,сӹнзӓ
1,Auge::N,चक्षु,сӹнзӓ
2,Ohr::N,कान,пӹлӹш
3,Ohr::N,कर्ण,пӹлӹш
4,Nase::N,नाक,нер
5,Nase::N,नासा,нер
6,Mund::N,मुख,ышма
7,Mund::N,मुँह,ышма
8,Zahn::N,दंत,пӱ
9,Zahn::N,दाँत,пӱ
10,Zunge::N,जीभ,йӹлмӹ
11,Zunge::N,ज़बान,йӹлмӹ
12,Zunge::N,जिह्वा,йӹлмӹ
13,Lippe::N,ओंठ,тӹрвӹ
14,Lippe::N,होंठ,тӹрвӹ
15,Wange::N,गाल,шӹргӹ
16,Wange::N,कपोल,шӹргӹ
17,Gesicht::N,मुँह,лицӓ
18,Gesicht::N,चेहरा,лицӓ
19,Stirn::N,माथा,лепкӓ
20,Stirn::N,मस्तक,лепкӓ
21,Haar::N,बाल,ӱп
22,Schnurrbart::N,मूँछें,öрш
23,Bart::N,दाढ़ी,пандаш
24,Kinn::N,चिबुक,онгылаш
25,Kiefer[Anatomie]::N,जबड़ा,пӱ арата
26,Kehle::N,गला,логер
27,Hals::N,गला,шӱ
28,Hals::N,गरदन,шӱ
29,Genick::N,गरदन,ланга
30,Genick::N,ग्रीवा,ланга
31,Kopf::N,सिर,вуй
32,Kopf::N,शीर्ष,вуй
33,Rücken::N,पीठ,туп
34,Bauch::N,उदर,мӹшкӹр
35,Nabel::N,नाभि,кӹлӹмдӹ
36,Nabel::N,ढोंढी,кӹлӹмдӹ
37,Busen::N,कुच,цӹзӹ
38,Busen::N,स्तन,цӹзӹ
39,Brust::N,वक्ष,мел
40,Schulter::N,कंधा,ӹнгӹжӓ
41,Schulter::N,स्कंध,ӹнгӹжӓ
42,Arm::N,बाँह,кид
43,Arm::N,बाज़ू,кид
44,Ellenbogen::N,कुहनी,кӹнервуй
45,Hand::N,हाथ,лапа
46,Hand::N,हस्त,лапа
47,Handfläche::N,हथेली,кид лапа
48,Finger::N,उँगली,парня
49,Finger::N,अँगुली,парня
50,Fingernagel::N,नख,кӹч
51,Fingernagel::N,नाख़ून,кӹч
52,Nagel[Anatomie]::N,नख,кӹч
53,Nagel[Anatomie]::N,नाख़ून,кӹч
54,Zeh::N,उँगली,парня
55,Zeh::N,पाँव की उँगली,парня
56,Fuß::N,चरण,ял лапа
57,Fuß::N,पाँव,ял лапа
58,Ferse::N,एड़ी,ялгавал
59,Ferse::N,एड़ी,ял кавал
60,Knie::N,जानु,пылвуй
61,Knie::N,घुटना,пылвуй
62,Oberschenkel::N,उरु,ӓрдӹ
63,Bein::N,टाँग,ял
64,Körper::N,तन,монгыр
65,Körper::N,देह,монгыр
66,Körper::N,शरीर,монгыр
67,Haut::N,चर्म,кавашты
68,Haut::N,त्वचा,кавашты
69,Blut::N,लहू,вӹр
70,Blut::N,ख़ून,вӹр
71,Ader::N,रग,вӹршӓр
72,Ader::N,शिरा,вӹршӓр
73,Sehne::N,कंडरा,кукшышӱн
74,Sehne::N,स्नायु,кукшышӱн
75,Knochen::N,अस्थि,лу
76,Gehirn::N,दिमाग़,вим
77,Gehirn::N,मस्तिष्क,вим
78,Herz::N,दिल,шӱм
79,Herz::N,हृदय,шӱм
80,Magen::N,मेदा,шӱм
81,Magen::N,अमाशय,шӱм
82,Leber::N,जिगर,мокш
83,Leber::N,यकृत्,мокш
84,Atem::N,दम,шӱлӹш
85,Atem::N,साँस,шӱлӹш
86,Atem::N,श्वास,шӱлӹш
87,Hunger::N,भूख,шужымаш
88,Hunger::N,क्षुधा,шужымаш
89,Träne::N,आँसू,сӹнзӓвӹд
90,Träne::N,अश्रु,сӹнзӓвӹд
91,Geschmack::N,स्वाद,тот
92,Geschmack::N,ज़ायक़ा,тот
93,Geruch::N,बू,пыш
94,Geruch::N,गंध,пыш
95,Schlaf::N,नींद,ом
96,Schlaf::N,निद्रा,ом
97,Traum::N,सपना,ом
98,Traum::N,स्वप्न,ом
99,Himmel::N,आकाश,пӹлгом
100,Himmel::N,आसमान,пӹлгом
101,Sonne::N,रवि,кечӹ
102,Sonne::N,सूरज,кечӹ
103,Sonne::N,सूर्य,кечӹ
104,Mond::N,चाँद,тӹлзӹ
105,Mond::N,चंद्र,тӹлзӹ
106,Stern::N,तारा,шӹдӹр
107,Stern::N,सितारा,шӹдӹр
108,Luft::N,हवा,юж
109,Luft::N,हवा,воздух
110,Luft::N,वायु,юж
111,Luft::N,वायु,воздух
112,Wind::N,पाद,мардеж
113,Welle::N,लहर,ко
114,Welle::N,लहर,коэ
115,Welle::N,तरंग,ко
116,Welle::N,तरंग,коэ
117,Wasser::N,जल,вӹд
118,Wasser::N,पानी,вӹд
119,Stein::N,पत्थर,кӱ
120,Boden::N,मिट्टी,рок
121,Erde::N,भूमि,свет
122,Erde::N,ज़मीन,свет
123,Staub::N,धूल,пырак
124,Rauch::N,धूआँ,шӹкш
125,Rauch::N,धुम्र,шӹкш
126,Funke::N,चिनगारी,ип
127,Funke::N,चिनगारी,тылип
128,Funke::N,स्फुलिंग,ип
129,Funke::N,स्फुलिंग,тылип
130,Feuer::N,आग,тыл
131,Feuer::N,आतिश,тыл
132,Feuer::N,अग्नि,тыл
133,Licht::N,रोशनी,соты
134,Licht::N,रोशनी,валгыды
135,Licht::N,प्रकाश,соты
136,Licht::N,प्रकाश,валгыды
137,Schatten::N,छाया,ӹмӹл
138,Schatten::N,परछाई,ӹмӹл
139,Wetter::N,ऋतु,игечӹ
140,Wetter::N,मौसम,игечӹ
141,Nebel::N,धुँध,тӹтӹрӓ
142,Nebel::N,कुहरा,тӹтӹрӓ
143,Wolke::N,मेघ,пӹл
144,Wolke::N,अभ्र,пӹл
145,Regen::N,मेंह,юр
146,Regen::N,बारिश,юр
147,Schnee::N,हिम,лым
148,Schnee::N,बर्फ़,лым
149,Eis::N,हिम,и
150,Eis::N,बर्फ़,и
151,Frost::N,ठंड,ӱштӹ
152,Kälte::N,सर्दी,ӱштӹ
153,Kälte::N,शीतलता,ӱштӹ
154,Hitze::N,ताप,шокшы
155,Hitze::N,गरमी,шокшы
156,Raureif::N,पाला,пöрш
157,Regenbogen::N,इंद्र-धनुष,шанавӹл
158,Donner::N,गरज,хӹдӹртӹш
159,Donner::N,मेघ-गर्जन,хӹдӹртӹш
160,Strömung::N,बहाव,йогы
161,Strömung::N,प्रवाह,йогы
