,Concept_ID,mrj,ja
179,Mücke::N,кужынер,蚊
180,Fliege::N,шӹнгӓ,蝿
181,Schmetterling::N,лӹпӹ,蝶
182,Beere::N,мöр,漿果
183,Apfel::N,олма,林檎
184,Pilz::N,понгы,茸
185,Zwiebel::N,охыра,玉葱
186,Saat::N,нӱшмӹ,種
187,Saat::N,нӱшмӱ,種
188,Korn::N,пӹрцӹ,粒
189,Heu::N,шуды,干し草
190,Schale::N,аваха,皮
191,Schale::N,карлангы,皮
192,Grube::N,йӓм,穴
193,Falle::N,лӱдӹ,わな
194,Falle::N,лӱдӹш,わな
195,Schlinge::N,онгы,輪
196,Spur::N,кишӓ,跡
197,Asche::N,ломых,灰
198,Asche::N,ломпыж,灰
199,Dreck::N,лявӹрӓ,泥
200,Eisen::N,кӹртни,鉄
201,Gold::N,шöртни,金
202,Gold::N,шöртньӹ,金
203,Silber::N,ши,銀
204,Kohle::N,шӱ,炭
205,Glas::N,охоница,ガラス
206,Lehm::N,шун,ローム
207,Sand::N,ошма,砂
208,Mensch::N,эдем,人
209,Mann::N,пӱэргӹ,男
210,Mann::N,пӱэргӹ,男性
211,Frau::N,ӹдӹрӓмӓш,女
212,Frau::N,ӹдӹрӓмӓш,女性
213,Kind::N,ӓзӓ,子
214,Kind::N,ӓзӓ,子供
215,Kind::N,шачшы,子
216,Kind::N,шачшы,子供
217,Junge::N,рвезӹ,男の子
218,Junge::N,ӹрвезӹ,男の子
219,Mädchen::N,ӹдӹрӓш,女の子
220,Familie::N,йиш,家族
221,Familie::N,семня,家族
222,Großvater::N,тьоти,祖父
223,Großvater::N,тьоти,おじいさん
224,Großmutter::N,папа,祖母
225,Großmutter::N,папа,おばあさん
226,Eltern::N,ӓтя-ӓвӓ,親
227,Eltern::N,ӓтя-ӓвӓ,両親
228,Vater::N,ӓтя,父
229,Vater::N,ӓтя,お父さん
230,Mutter::N,ӓвӓ,母
231,Mutter::N,ӓвӓ,お母さん
232,Sohn::N,эргӹ,息子
233,Sohn::N,эргӹ,息子さん
234,Tochter::N,ӹдӹр,娘
235,Tochter::N,ӹдӹр,お嬢さん
236,Bruder::N,ӹза,弟
237,Schwester::N,ӓкӓ,妹
238,Onkel::N,кугуза,伯父
239,Onkel::N,кугуза,伯父さん
240,Tante::N,куака,叔母
241,Tante::N,куака,叔母さん
242,Ehemann::N,мары,夫
243,Ehemann::N,мары,主人
244,Ehefrau::N,вӓтӹ,妻
245,Ehefrau::N,вӓтӹ,奥さん
246,Freude::N,ӹвӹртӹмӓш,喜び
247,Gelächter::N,ваштылмаш,笑い
248,Glück::N,пиӓл,幸せ
249,Kummer::N,ясы,悩み
250,Wunsch::N,охата,希望
251,Wunsch::N,шанымаш,希望
252,Lust::N,шӓр,気
253,Lust::N,охата,気
254,Lust::N,шанымаш,気
255,Geist::N,тух,精神
256,Gedanke::N,шанымаш,考え
257,Gedächtnis::N,ӓш,記憶
258,Verstand::N,ыш,理解力
259,Sinn::N,кын,意味
260,Grund::N,вир,理由
