,Concept_ID,bn,kv
0,Auge::N,চক্ষু,син
1,Ohr::N,কর্ণ,пель
2,Nase::N,নাক,ныр
3,Mund::N,মুখ,ӧм
4,Zahn::N,দাঁত,пинь
5,Zunge::N,জিহবা,кыв
6,Lippe::N,অধর,тырп
7,Wange::N,গণ্ড,рожабан
8,Gesicht::N,মুখমণ্ডল,бан
9,Stirn::N,কপাল,кымӧс
10,Haar::N,চুল,юрси
11,Schnurrbart::N,গোঁফ,уссэз
12,Bart::N,শ্মশ্রু,тош
13,Kinn::N,চিবুক,тшӧка
14,Kiefer[Anatomie]::N,চোয়াল,ан
15,Kehle::N,কণ্ঠ,юан
16,Hals::N,গল,юан
17,Genick::N,ঘাড়,юр бӧр
18,Kopf::N,মাথা,юр
19,Rücken::N,পৃষ্ঠ,мышк
20,Bauch::N,উদর,кынӧм
21,Nabel::N,নাভি,гӧг
22,Busen::N,স্তন,морос
23,Brust::N,বুক,морос
24,Schulter::N,স্কন্ধ,пельпон
25,Arm::N,বাহু,ки
26,Ellenbogen::N,কনুই,гырдзза
27,Hand::N,হাত,кикар
28,Handfläche::N,করতল,ки пыдӧс
29,Finger::N,আঙ্গুল,чунь
30,Fingernagel::N,হাতের নখ,гыж
31,Nagel[Anatomie]::N,নখ,гыж
32,Zeh::N,আঙ্গুল,чунь
33,Fuß::N,পা,кокпыдӧс
34,Ferse::N,গোড়ালি,кокдзир
35,Knie::N,হাঁটু,пидзӧс
36,Oberschenkel::N,ঊরু,лядьбей
37,Bein::N,পা,кок
38,Körper::N,দেহ,вывтыр
39,Haut::N,ত্বক,кучик
40,Blut::N,রক্ত,вир
41,Ader::N,শিরা,сӧн
42,Sehne::N,কণ্ডরা,жила
43,Knochen::N,অস্থি,коска
44,Gehirn::N,মস্তিষ্ক,вем
45,Herz::N,হৃৎপিণ্ড,сьӧлӧм
46,Magen::N,পাকস্থলী,жӧвдӧк
47,Leber::N,যকৃৎ,мус
48,Atem::N,শ্বাস,лолалӧм
49,Hunger::N,ক্ষুধা,тшыг
50,Träne::N,অশ্রু,синва
51,Geschmack::N,স্বাদ,кӧр
52,Geruch::N,গন্ধ,дук
53,Schlaf::N,ঘুম,он
54,Traum::N,স্বপ্ন,вӧт
55,Himmel::N,আকাশ,небо
56,Sonne::N,সূর্য,шондi
57,Mond::N,চন্দ্র,тӧлiсь
58,Stern::N,নক্ষত্র,кӧдзыв
59,Luft::N,বায়ু,ру
