,Concept_ID,mrj,nl
0,Auge::N,сӹнзӓ,oog
1,Ohr::N,пӹлӹш,oor
2,Nase::N,нер,neus
3,Mund::N,ышма,mond
4,Zahn::N,пӱ,tand
5,Zunge::N,йӹлмӹ,tong
6,Lippe::N,тӹрвӹ,lip
7,Wange::N,шӹргӹ,wang
8,Gesicht::N,лицӓ,gelaat
9,Gesicht::N,лицӓ,gezicht
10,Stirn::N,лепкӓ,voorhoofd
11,Haar::N,ӱп,haar
12,Schnurrbart::N,öрш,snor
13,Bart::N,пандаш,baard
14,Kinn::N,онгылаш,kin
15,Kiefer[Anatomie]::N,пӱ арата,kaak
16,Kehle::N,логер,keel
17,Kehle::N,логер,strot
18,Hals::N,шӱ,hals
19,Genick::N,ланга,nek
20,Kopf::N,вуй,hoofd
21,Rücken::N,туп,rug
22,Bauch::N,мӹшкӹр,buik
23,Nabel::N,кӹлӹмдӹ,navel
24,Busen::N,цӹзӹ,boezem
25,Brust::N,мел,borst
26,Schulter::N,ӹнгӹжӓ,schouder
27,Arm::N,кид,arm
28,Ellenbogen::N,кӹнервуй,elleboog
29,Hand::N,лапа,hand
30,Handfläche::N,кид лапа,handpalm
31,Finger::N,парня,vinger
32,Fingernagel::N,кӹч,nagel
33,Nagel[Anatomie]::N,кӹч,nagel
34,Zeh::N,парня,teen
35,Fuß::N,ял лапа,voet
36,Ferse::N,ялгавал,hak
37,Ferse::N,ялгавал,hiel
38,Ferse::N,ял кавал,hak
39,Ferse::N,ял кавал,hiel
40,Knie::N,пылвуй,knie
41,Oberschenkel::N,ӓрдӹ,dij
42,Bein::N,ял,been
43,Körper::N,монгыр,lichaam
44,Haut::N,кавашты,huid
45,Blut::N,вӹр,bloed
46,Ader::N,вӹршӓр,ader
47,Sehne::N,кукшышӱн,pees
48,Knochen::N,лу,bot
49,Knochen::N,лу,been
50,Knochen::N,лу,knook
51,Gehirn::N,вим,hersenen
52,Herz::N,шӱм,hart
53,Magen::N,шӱм,maag
54,Leber::N,мокш,lever
55,Atem::N,шӱлӹш,adem
56,Hunger::N,шужымаш,honger
57,Träne::N,сӹнзӓвӹд,traan
58,Geschmack::N,тот,smaak
59,Geruch::N,пыш,geur
60,Schlaf::N,ом,slaap
61,Traum::N,ом,droom
62,Himmel::N,пӹлгом,hemel
63,Sonne::N,кечӹ,zon
64,Mond::N,тӹлзӹ,maan
65,Stern::N,шӹдӹр,ster
66,Luft::N,юж,lucht
67,Luft::N,воздух,lucht
68,Wind::N,мардеж,wind
69,Welle::N,ко,golf
70,Welle::N,коэ,golf
71,Wasser::N,вӹд,water
72,Stein::N,кӱ,steen
73,Boden::N,рок,grond
74,Erde::N,свет,aarde
75,Staub::N,пырак,stof
76,Rauch::N,шӹкш,rook
77,Funke::N,ип,vonk
78,Funke::N,тылип,vonk
79,Feuer::N,тыл,vuur
80,Licht::N,соты,licht
81,Licht::N,валгыды,licht
82,Schatten::N,ӹмӹл,schaduw
83,Wetter::N,игечӹ,weer
84,Nebel::N,тӹтӹрӓ,mist
85,Nebel::N,тӹтӹрӓ,nevel
86,Wolke::N,пӹл,wolk
87,Regen::N,юр,regen
88,Schnee::N,лым,sneeuw
89,Eis::N,и,ijs
90,Frost::N,ӱштӹ,vorst
91,Kälte::N,ӱштӹ,kou
92,Kälte::N,ӱштӹ,koude
93,Hitze::N,шокшы,hitte
94,Raureif::N,пöрш,rijp
95,Regenbogen::N,шанавӹл,regenboog
96,Donner::N,хӹдӹртӹш,donder
97,Strömung::N,йогы,stroming
98,Tropfen::N,капльы,druppel
99,Tropfen::N,капльык,druppel
100,Schaum::N,шонг,schuim
101,Schmutz::N,лявӹрӓ,vuil
102,See::N,йӓр,meer
103,Sumpf::N,лӱкӹ,moeras
104,Moor::N,куп,veen
105,Wiese::N,алык,wei
106,Wiese::N,алык,weide
107,Wald::N,шӹргӹ,bos
108,Hügel::N,пӱгӹрикӓ,heuvel
109,Anhöhe::N,кӱкшикӓ,hoogte
110,Berg::N,кырык,berg
111,Gipfel::N,неркӓ,top
112,Höhle::N,ы́раж,hol
113,Abhang::N,полом,helling
114,Quelle::N,вӹдсӹнзӓ,bron
115,Bach::N,ӓнгӹр,beek
116,Fluss::N,вӹд,stroom
117,Ufer::N,сир,wal
118,Ufer::N,сир,oever
119,Küste::N,сир,kust
120,Festland::N,мӱлӓндӹ,vasteland
121,Meer::N,тангыж,zee
122,Bucht::N,вӹдъял,baai
123,Bucht::N,вӹдъял,inham
124,Insel::N,острок,eiland
125,Blume::N,пеледӹш,bloem
126,Gras::N,шуды,gras
127,Wurzel::N,важ,wortel
128,Baum::N,пушӓнгӹ,boom
129,Stamm::N,пушӓнгӹ тӹнг,stam
130,Rinde::N,каргыж,schors
131,Ast::N,укш,tak
132,Zweig::N,укш,twijg
133,Blatt::N,листӹ,blad
134,Birke::N,куги,berk
135,Kiefer[Baum]::N,йӓктӹ,den
136,Weide[Baum]::N,уа,wilg
137,Tanne::N,кож,spar
138,Horn::N,шур,hoorn
139,Feder::N,пын,veer
140,Feder::N,пын,pluim
141,Fell::N,кавашты,vel
142,Flügel::N,шылдыр,vleugel
143,Klaue::N,кӹч,klauw
144,Kralle::N,лапа,klauw
145,Schwanz::N,пач,staart
146,Ei::N,мыны,ei
147,Nest::N,пӹжӓш,nest
148,Bau::N,ыраж,hol
149,Tier::N,во́льык,dier
150,Herde::N,кӹтö,kudde
151,Kuh::N,ышкал,koe
152,Bulle::N,ӱшкӱж,stier
153,Pferd::N,имни,paard
154,Schaf::N,шарык,schaap
155,Schwein::N,сасна,varken
156,Hund::N,пи,hond
157,Katze::N,коти,kat
158,Bär::N,мöскӓ,beer
159,Eichhörnchen::N,ур,eekhoorntje
160,Elch::N,шарды,eland
161,Fuchs::N,рӹвӹж,vos
162,Hase::N,морен,haas
163,Maus::N,каля,muis
164,Wolf::N,пирӹ,wolf
165,Vogel::N,кек,vogel
166,Schwarm::N,цуца,zwerm
167,Huhn::N,цӹвӹ,kip
168,Huhn::N,цӹвӹ,hoen
