,Concept_ID,es,os
0,Auge::N,ojo,цӕст
1,Ohr::N,oreja,хъус
2,Nase::N,nariz,фындз
3,Mund::N,boca,дзых
4,Zahn::N,diente,дӕндаг
5,Zunge::N,lengua,ӕвзаг
6,Lippe::N,labio,был
7,Wange::N,mejilla,рус
8,Wange::N,mejilla,уадул
9,Wange::N,mejilla,ӕхсӕрфарс
10,Gesicht::N,cara,цӕсгом
11,Stirn::N,frente,ных
12,Haar::N,cabello,хил
13,Schnurrbart::N,bigote,рихи
14,Bart::N,barba,зачъе
15,Kinn::N,barbilla,роцъо
16,Kiefer[Anatomie]::N,mandíbula,ӕфсӕр
17,Kehle::N,garganta,хъуыр
18,Hals::N,cuello,къубал
19,Genick::N,nuca,къӕбут
20,Genick::N,cerviz,къӕбут
21,Kopf::N,cabeza,сӕр
22,Rücken::N,espalda,фӕсонтӕ
23,Bauch::N,vientre,гуыбын
24,Nabel::N,ombligo,бикъ
25,Busen::N,pecho,дзидзи
26,Brust::N,pecho,риу
27,Schulter::N,hombro,уӕхск
28,Arm::N,brazo,цонг
29,Ellenbogen::N,codo,рæмбын
30,Hand::N,mano,къух
31,Handfläche::N,palma,армытъӕпӕн
32,Finger::N,dedo,ӕнруылдз
33,Fingernagel::N,uña,ных
34,Nagel[Anatomie]::N,uña,ных
35,Zeh::N,dedo del pie,къух
36,Fuß::N,pie,фад
37,Ferse::N,talón,зӕвӕт
38,Knie::N,rodilla,уӕраг
39,Oberschenkel::N,muslo,агъд
40,Bein::N,pierna,зӕнг
41,Körper::N,cuerpo,буар
42,Haut::N,piel,царм
43,Blut::N,sangre,туг
44,Ader::N,vena,дадзин
45,Ader::N,vena,тугдадзин
46,Sehne::N,tendón,хъиутæ
47,Sehne::N,tendón,нуар
48,Knochen::N,hueso,стӕг
49,Gehirn::N,cerebro,магъз
50,Gehirn::N,encéfalo,магъз
51,Herz::N,corazón,зӕрдӕ
52,Magen::N,estómago,ахсӕн
53,Leber::N,hígado,игæр
54,Atem::N,aliento,улӕфт
55,Hunger::N,hambre,стонг
56,Träne::N,lágrima,цæссыг
57,Geschmack::N,gusto,ад
58,Geruch::N,olor,смаг
59,Schlaf::N,sueño,хуыссӕг
60,Traum::N,sueño,фын
61,Traum::N,ensueño,фын
62,Himmel::N,cielo,арв
63,Himmel::N,cielo,уӕларв
64,Sonne::N,sol,хур
65,Mond::N,luna,мӕй
66,Stern::N,estrella,стъалы
67,Luft::N,aire,уӕлдӕф
68,Wind::N,viento,дымгӕ
69,Welle::N,ola,уылӕн
70,Welle::N,onda,уылӕн
71,Wasser::N,agua,дон
