,Concept_ID,hi,fr
0,Auge::N,आँख,œil
1,Auge::N,चक्षु,œil
2,Ohr::N,कान,oreille
3,Ohr::N,कर्ण,oreille
4,Nase::N,नाक,nez
5,Nase::N,नासा,nez
6,Mund::N,मुख,bouche
7,Mund::N,मुँह,bouche
8,Zahn::N,दंत,dent
9,Zahn::N,दाँत,dent
10,Zunge::N,जीभ,langue
11,Zunge::N,ज़बान,langue
12,Zunge::N,जिह्वा,langue
13,Lippe::N,ओंठ,lèvre
14,Lippe::N,होंठ,lèvre
15,Wange::N,गाल,joue
16,Wange::N,कपोल,joue
17,Gesicht::N,मुँह,face
18,Gesicht::N,मुँह,visage
19,Gesicht::N,चेहरा,face
20,Gesicht::N,चेहरा,visage
21,Stirn::N,माथा,front
22,Stirn::N,मस्तक,front
23,Haar::N,बाल,cheveu
24,Schnurrbart::N,मूँछें,moustache
25,Bart::N,दाढ़ी,barbe
26,Kinn::N,चिबुक,menton
27,Kiefer[Anatomie]::N,जबड़ा,mâchoire
28,Kehle::N,गला,gorge
29,Hals::N,गला,cou
30,Hals::N,गरदन,cou
31,Genick::N,गरदन,nuque
32,Genick::N,ग्रीवा,nuque
33,Kopf::N,सिर,tête
34,Kopf::N,शीर्ष,tête
35,Rücken::N,पीठ,dos
36,Bauch::N,उदर,ventre
37,Nabel::N,नाभि,nombril
38,Nabel::N,ढोंढी,nombril
39,Busen::N,कुच,sein
40,Busen::N,स्तन,sein
41,Brust::N,वक्ष,poitrine
42,Schulter::N,कंधा,épaule
43,Schulter::N,स्कंध,épaule
44,Arm::N,बाँह,bras
45,Arm::N,बाज़ू,bras
46,Ellenbogen::N,कुहनी,coude
47,Hand::N,हाथ,main
48,Hand::N,हस्त,main
49,Handfläche::N,हथेली,paume
50,Finger::N,उँगली,doigt
51,Finger::N,अँगुली,doigt
52,Fingernagel::N,नख,ongle
53,Fingernagel::N,नाख़ून,ongle
54,Nagel[Anatomie]::N,नख,ongle
55,Nagel[Anatomie]::N,नाख़ून,ongle
56,Zeh::N,उँगली,orteil
57,Zeh::N,उँगली,doigt de pied
58,Zeh::N,पाँव की उँगली,orteil
59,Zeh::N,पाँव की उँगली,doigt de pied
60,Fuß::N,चरण,pied
