,Concept_ID,fa,lbe
0,Auge::N,چشم,я
1,Ohr::N,گوش,вичӏи
2,Nase::N,بینی,май
3,Mund::N,دهان,кьацӏ
4,Zahn::N,دندان,ккарччи
5,Zunge::N,زبان,маз
6,Lippe::N,لب,мурччи
7,Wange::N,لپ,чӏав
8,Gesicht::N,رو,лажин
9,Gesicht::N,چهره,лажин
10,Stirn::N,پیشانی,ненттабакӏ
11,Haar::N,مو,чӏара
12,Schnurrbart::N,سبیل,ссирссилтту
13,Bart::N,ریش,чӏири
14,Kinn::N,چانه,лунттубакӏ
15,Kiefer[Anatomie]::N,فک,ххинчулул
16,Kiefer[Anatomie]::N,آرواره,ххинчулул
17,Kehle::N,حلق,кьакьари
18,Hals::N,گردن,ссурссу
19,Genick::N,پشت گردن,махъабакӏ
20,Kopf::N,سر,бакӏ
21,Kopf::N,کله,бакӏ
22,Rücken::N,پشت,ттиликӏ
23,Bauch::N,شکم,лякьа
24,Nabel::N,ناف,цӏумуккутӏ
25,Busen::N,پستان,ккукку
26,Brust::N,سینه,хъазам
27,Schulter::N,دوش,хъачӏ
28,Schulter::N,شانه,хъачӏ
29,Arm::N,بازو,ка
30,Ellenbogen::N,آرنج,ссюрхъ
31,Hand::N,دست,бартка
32,Handfläche::N,کف دست,хъат
33,Handfläche::N,کف دست,битӏянхъ
34,Finger::N,انگشت,кӏисса
35,Fingernagel::N,ناخن دست,михь
36,Nagel[Anatomie]::N,ناخن,михь
37,Zeh::N,انگشت پا,кӏисса
38,Fuß::N,پا,чӏанччан
39,Ferse::N,پاشنه,никъа
40,Knie::N,زانو,ник
41,Oberschenkel::N,ران,жира
42,Bein::N,پا,ччан
43,Bein::N,لنگ,ччан
44,Körper::N,تن,чурх
45,Körper::N,بدن,чурх
46,Haut::N,پوست,бурчу
47,Blut::N,خون,оь
48,Ader::N,رگ,тунну
49,Sehne::N,زردپی,хьхьа
50,Knochen::N,استخوان,ттаркӏ
51,Gehirn::N,مخ,ня
52,Gehirn::N,مغز,ня
53,Herz::N,دل,дакӏ
54,Herz::N,دل,къюкӏ
55,Herz::N,قلب,дакӏ
56,Herz::N,قلب,къюкӏ
57,Magen::N,معده,лякьа
58,Leber::N,کبد,
59,Atem::N,نفس,ссихӏ ласаву
60,Atem::N,نفس,ссихӏ бигьаву
61,Hunger::N,گرسنگی,ккаши
62,Träne::N,اشک,макь
63,Geschmack::N,مزه,тӏин
64,Geschmack::N,مزه,тӏааьн
65,Geruch::N,بو,кьанкь
66,Schlaf::N,خواب,шану
67,Traum::N,رؤیا,макӏру
68,Himmel::N,فلک,ссав
69,Himmel::N,آسمان,ссав
70,Sonne::N,آفتاب,баргъ
71,Sonne::N,خورشید,баргъ
72,Mond::N,ماه,барз
73,Stern::N,ستاره,цӏуку
74,Luft::N,هوا,гьава
75,Wind::N,باد,марч
76,Welle::N,موج,щатӏи
77,Wasser::N,آب,щин
78,Stein::N,سنگ,чару
79,Boden::N,زمین,аьрщи
80,Erde::N,خاک,аьрщи
81,Erde::N,زمین,аьрщи
82,Staub::N,گرد,ххит
83,Staub::N,غبار,ххит
84,Rauch::N,دود,пуркӏу
85,Funke::N,جرقه,пиягь
86,Feuer::N,آتش,цӏу
87,Licht::N,نور,чани
88,Licht::N,روشنی,чани
89,Schatten::N,سایه,ххют
90,Wetter::N,هوا,гьава
91,Nebel::N,مه,шархь ттурлу
92,Wolke::N,ابر,ттурлу
93,Regen::N,باران,гъарал
94,Schnee::N,برف,марххала
95,Eis::N,یخ,микӏ
96,Frost::N,یخبندان,дяркъу
97,Frost::N,یخبندان,замгьар
98,Kälte::N,سرما,дяркъу
99,Hitze::N,گرما,кӏиришиву
100,Hitze::N,حرارت,кӏиришиву
101,Raureif::N,برف ریزه,сил
102,Raureif::N,برف ریزه,бурса
103,Regenbogen::N,رنگین‌کمان,ссурул ккуртта
104,Donner::N,رعد,къув
105,Strömung::N,جریان,экьинанаву
106,Tropfen::N,قطره,кӏунтӏ
107,Schaum::N,کف,хьама
108,Schmutz::N,گل,кьяркьи
109,Schmutz::N,کثافت,кьяркьи
110,See::N,دریاچه,бяр
111,Sumpf::N,مرداب,кунцӏа
112,Sumpf::N,باتلاق,кунцӏа
113,Moor::N,باتلاق,
114,Wiese::N,چمن,кьан
115,Wald::N,جنگل,вацӏа
116,Hügel::N,تل,бакӏу
117,Hügel::N,تپه,бакӏу
118,Anhöhe::N,بلندی,
119,Berg::N,کوه,зунтту
120,Gipfel::N,قله,мицӏ
121,Höhle::N,غار,нух
122,Abhang::N,سرازیری,сун
123,Quelle::N,چشمه,дайдихьу
124,Quelle::N,چشمه,бакӏ
125,Bach::N,نهر,чӏрир нех
126,Fluss::N,رود,нех
127,Ufer::N,ساحل,зума
128,Ufer::N,کرانه,зума
129,Küste::N,ساحل,зумаинхалу
130,Küste::N,ساحل,зуманицӏалу
131,Festland::N,خشکی,кьири
132,Meer::N,دریا,хьхьири
133,Bucht::N,خلیج,
134,Insel::N,جزیره,жазира
135,Blume::N,گل,тӏутӏи
136,Gras::N,علف,уртту
137,Wurzel::N,ریشه,мархха
138,Baum::N,درخت,мурхь
139,Stamm::N,تنه,ттарцӏ
140,Rinde::N,توژ,ккамара
141,Rinde::N,پوست,ккамара
142,Ast::N,شاخه,матӏи
143,Zweig::N,شاخه,къяртта
144,Blatt::N,برگ,чӏапӏи
145,Birke::N,غان,кӏялахӏи
146,Birke::N,غان,кӏялахӏилул мурхь
147,Kiefer[Baum]::N,کاج,ттар
148,Kiefer[Baum]::N,کاج,ттарлил мурхь
149,Weide[Baum]::N,بید,щавщи
150,Tanne::N,صنوبر,ттарлил мурхь
151,Horn::N,شاخ,хъи
152,Feder::N,پر,лелуххул тӏиму
