,Concept_ID,tt,it
0,Auge::N,күз,occhio
1,Ohr::N,колак,orecchio
2,Nase::N,борын,naso
3,Mund::N,авыз,bocca
4,Mund::N,тамак,bocca
5,Zahn::N,теш,dente
6,Zunge::N,тел,lingua
7,Lippe::N,ирен,labbro
8,Wange::N,яңак,guancia
9,Gesicht::N,йөз,viso
10,Gesicht::N,йөз,faccia
11,Stirn::N,маңгай,fronte
12,Haar::N,чәч,capello
13,Schnurrbart::N,мыек,baffi
14,Schnurrbart::N,мыек,mustacchi
15,Bart::N,сакал,barba
16,Kinn::N,ияк,mento
17,Kiefer[Anatomie]::N,казналык,mascella
18,Kehle::N,тамак,gola
19,Hals::N,бугаз,collo
20,Genick::N,җилкә,nuca
21,Kopf::N,баш,capo
22,Kopf::N,баш,testa
23,Rücken::N,сырт,dorso
24,Rücken::N,сырт,schiena
25,Bauch::N,корсак,ventre
26,Nabel::N,кендек,ombelico
27,Busen::N,түш,seno
28,Brust::N,имчәк,petto
29,Brust::N,күкрәк,petto
30,Schulter::N,иңбаш,spalla
31,Schulter::N,кулбаш,spalla
32,Arm::N,кул,braccio
33,Ellenbogen::N,терсәк,gomito
34,Hand::N,кул,mano
35,Handfläche::N,уч,palma
36,Finger::N,бармак,dito
37,Fingernagel::N,тырнак,unghia
38,Nagel[Anatomie]::N,тырнак,unghia
39,Zeh::N,бармак,dito del piede
40,Fuß::N,табан,piede
41,Ferse::N,үкчә,tallone
42,Ferse::N,үкчә,calcagno
43,Knie::N,тез,ginocchio
44,Oberschenkel::N,бот,fèmore
45,Bein::N,аяк,gamba
46,Körper::N,тән,corpo
47,Körper::N,җисем,corpo
48,Haut::N,тире,pelle
49,Blut::N,кан,sangue
50,Ader::N,тамыр,vena
51,Sehne::N,сеңер,tèndine
52,Knochen::N,сөяк,osso
53,Gehirn::N,ми,cervello
54,Herz::N,йөрәк,cuore
55,Magen::N,ашказаны,stòmaco
56,Leber::N,бавыр,fegato
57,Atem::N,сулыш,fiato
58,Atem::N,сулыш,respiro
59,Hunger::N,ачлык,fame
60,Träne::N,яшь,làcrima
61,Geschmack::N,тәм,gusto
62,Geschmack::N,тәм,sapore
63,Geschmack::N,зәвык,gusto
64,Geschmack::N,зәвык,sapore
65,Geruch::N,ис,odore
66,Schlaf::N,йокы,sonno
67,Traum::N,төш,sogno
68,Himmel::N,күк,cielo
69,Sonne::N,кояш,sole
70,Mond::N,ай,luna
71,Stern::N,йолдыз,stella
72,Luft::N,һава,aria
73,Wind::N,җил,vento
74,Welle::N,дулкын,onda
75,Wasser::N,су,acqua
76,Stein::N,таш,sasso
77,Stein::N,таш,pietra
78,Boden::N,туфрак,suolo
79,Boden::N,туфрак,terreno
80,Erde::N,җир,terra
81,Staub::N,тузан,polvere
82,Rauch::N,төтен,fumo
83,Funke::N,очкын,scintilla
84,Feuer::N,ут,fuoco
85,Licht::N,якты,luce
86,Schatten::N,күләгә,ombra
87,Wetter::N,һава,tempo
88,Nebel::N,томан,nebbia
89,Wolke::N,болыт,nube
90,Wolke::N,болыт,nùvola
91,Regen::N,яңгыр,pioggia
92,Schnee::N,кар,neve
93,Eis::N,боз,ghiaccio
94,Frost::N,суык,gelo
95,Frost::N,салкын,gelo
96,Kälte::N,суык,freddo
97,Kälte::N,салкын,freddo
98,Hitze::N,эсселек,caldo
99,Hitze::N,эсселек,calura
100,Raureif::N,бәс,brina
101,Raureif::N,сыкы,brina
102,Regenbogen::N,салават күпере,arcobaleno
103,Donner::N,күкрәү,tuono
104,Strömung::N,агыш'агым,corrente
105,Tropfen::N,тамчы,goccia
106,Schaum::N,күбек,spuma
107,Schaum::N,күбек,schiuma
108,Schmutz::N,пычрак,sudiciume
109,See::N,күл,lago
110,Sumpf::N,саз,palude
111,Moor::N,торфлык,torbiera
112,Wiese::N,болын,prato
113,Wald::N,урман,bosco
114,Wald::N,урман,foresta
115,Hügel::N,калку,colle
116,Hügel::N,калку,collina
117,Anhöhe::N,үр,altura
118,Berg::N,тау,monte
119,Berg::N,тау,montagna
120,Gipfel::N,оч,cima
121,Höhle::N,мәгарә,grotta
122,Höhle::N,мәгарә,caverna
123,Abhang::N,кабырга,pendìo
124,Quelle::N,чишмә,sorgente
125,Bach::N,елга,ruscello
126,Fluss::N,дәрья,fiume
127,Ufer::N,су кырые,riva
128,Küste::N,яр буе,costa
129,Festland::N,коры җир,terraferma
130,Meer::N,диңгез,mare
131,Bucht::N,бухта,cala
132,Bucht::N,култык,cala
133,Insel::N,атау,ìsola
134,Insel::N,утрау,ìsola
135,Blume::N,чәчкә,fiore
136,Gras::N,үлән,erba
137,Wurzel::N,тамыр,radice
138,Baum::N,агач,àlbero
139,Stamm::N,кәүсә,tronco
140,Rinde::N,кабык,corteccia
141,Ast::N,ботак,ramo
142,Zweig::N,ботак,ramo
143,Zweig::N,тармак,ramo
144,Blatt::N,яфрак,foglia
145,Birke::N,каен,betulla
146,Kiefer[Baum]::N,нарат,pino
147,Weide[Baum]::N,тал,sàlice
148,Tanne::N,чыршы,abete
149,Horn::N,мөгез,corno
150,Feder::N,йон,penna
151,Fell::N,тире,manto
152,Fell::N,тире,pelame
153,Flügel::N,канат,ala
154,Klaue::N,тырнак,grinfia
155,Kralle::N,тырнак,unghia
156,Kralle::N,тырнак,artiglio
157,Schwanz::N,койрык,coda
158,Ei::N,күкәй,uovo
159,Ei::N,йомырка,uovo
160,Nest::N,оя,nido
161,Bau::N,өн,covo
162,Tier::N,хайван,bestia
163,Tier::N,хайван,animale
164,Herde::N,көтү,gregge
165,Kuh::N,сыер,vacca
166,Bulle::N,үгез,toro
167,Pferd::N,ат,cavallo
168,Schaf::N,сарык,pècora
169,Schwein::N,дуңгыз,porco
170,Schwein::N,дуңгыз,maiale
171,Hund::N,эт,cane
172,Katze::N,песи,gatta
173,Bär::N,аю,orso
174,Eichhörnchen::N,тиен,scoiàttolo
175,Elch::N,поши,alce
176,Fuchs::N,төлке,volpe
177,Hase::N,куян,lepre
178,Maus::N,тычкан,topo
179,Maus::N,тычкан,sorcio
180,Wolf::N,бүре,lupo
181,Vogel::N,кош,uccello
182,Schwarm::N,көтү,stormo
183,Huhn::N,тавык,gallina
184,Hahn::N,әтәч,gallo
185,Gans::N,каз,oca
186,Adler::N,каракош,àquila
187,Ente::N,үрдәк,ànatra
188,Eule::N,ябалак,gufo
189,Eule::N,ябалак,civetta
190,Kranich::N,торна,gru
191,Krähe::N,карга,cornacchia
192,Kuckuck::N,күке,cuccù
193,Kuckuck::N,күке,cùculo
194,Kuckuck::N,кәккүк,cuccù
195,Kuckuck::N,кәккүк,cùculo
196,Schwan::N,аккош,cigno
197,Fisch::N,балык,pesce
198,Barsch::N,алабуга,pèrsico
199,Hecht::N,чуртан,luccio
200,Schlange[Tier]::N,елан,serpente
201,Wurm::N,корт,baco
202,Wurm::N,корт,verme
203,Spinne::N,үрмәкүч,ragno
204,Ameise::N,кырмыска,formica
205,Laus::N,бет,pidocchio
