,Concept_ID,hu,kl
0,Auge::N,szem,isi
1,Ohr::N,fül,siut
2,Nase::N,orr,
3,Mund::N,száj,paaq
4,Mund::N,száj,qaneq
5,Zahn::N,fog,kigut
6,Zunge::N,nyelv,oqaq
7,Lippe::N,ajak,qarloq
8,Wange::N,orca,ersaq
9,Gesicht::N,arc,kiinaq
10,Stirn::N,homlok,qaaq
11,Haar::N,haj,meqqoq
12,Schnurrbart::N,bajusz,
13,Bart::N,szakáll,umik
14,Kinn::N,áll,talloq
15,Kiefer[Anatomie]::N,állkapocs,alleroq
16,Kehle::N,gége,malaq
17,Kehle::N,torok,malaq
18,Hals::N,nyak,qungaseq
19,Genick::N,tarkó,pukusuk
20,Kopf::N,fő,niaqoq
21,Kopf::N,fej,niaqoq
22,Rücken::N,hát,qimerlut
23,Bauch::N,has,naaq
24,Nabel::N,köldök,qalaseq
25,Busen::N,mell,iviangeq
26,Busen::N,kebel,iviangeq
27,Brust::N,mell,iviangeq
28,Schulter::N,váll,ersik
29,Schulter::N,váll,assaqqoq
30,Arm::N,kar,taleq
31,Ellenbogen::N,könyök,ikusik
32,Hand::N,kéz,assak
33,Handfläche::N,tenyér,itumak
34,Finger::N,ujj,inuak
35,Fingernagel::N,köröm,kikiak
36,Nagel[Anatomie]::N,köröm,kukik
37,Zeh::N,lábujj,isigak
38,Fuß::N,láb,
39,Ferse::N,sarok,kimmik
40,Knie::N,térd,seeqqoq
41,Oberschenkel::N,comb,uppat
42,Oberschenkel::N,comb,quttoraq
43,Bein::N,láb,isigak
44,Bein::N,lábszár,isigak
45,Körper::N,test,timi
46,Haut::N,bőr,mattak
47,Blut::N,vér,aak
48,Ader::N,ér,taqaq
49,Sehne::N,ín,ujalu
50,Sehne::N,ín,ujaloq
51,Knochen::N,csont,saanikut
52,Gehirn::N,agy,qarasaq
53,Gehirn::N,agyvelő,qarasaq
54,Herz::N,szív,uummat
55,Magen::N,gyomor,aqajaroq
56,Leber::N,máj,tinguk
57,Atem::N,lehelet,anerneq
58,Atem::N,lélegzet,anerneq
59,Hunger::N,éhség,kaanneq
60,Träne::N,könny,qia
61,Träne::N,könny,qiak
62,Geschmack::N,íz,qilanaartuut
63,Geruch::N,szag,tipi
64,Geruch::N,szag,tipik
65,Schlaf::N,álom,
66,Schlaf::N,alvás,
67,Traum::N,álom,sinnattoq
68,Traum::N,álom,sinnattugaq
69,Himmel::N,ég,qilak
70,Himmel::N,menny,qilak
71,Sonne::N,nap,seqineq
72,Mond::N,hold,qaammat
73,Stern::N,csillag,ulloriaq
74,Luft::N,levegő,silaannaq
75,Wind::N,szél,anori
76,Wind::N,szél,anorsarik
77,Welle::N,hullám,aalappaa
78,Wasser::N,víz,imeq
79,Stein::N,kő,ujarak
80,Boden::N,föld,nateq
81,Boden::N,talaj,nateq
82,Erde::N,föld,issoq
83,Staub::N,por,pujualanerit
