,Concept_ID,es,mn
0,Auge::N,ojo,нүд
1,Ohr::N,oreja,чих
2,Nase::N,nariz,хамар
3,Mund::N,boca,ам
4,Zahn::N,diente,шүд
5,Zunge::N,lengua,хэл
6,Lippe::N,labio,уруул
7,Wange::N,mejilla,хацар
8,Gesicht::N,cara,царай
9,Gesicht::N,cara,нүүр
10,Stirn::N,frente,дух
11,Haar::N,cabello,үс
12,Schnurrbart::N,bigote,дээд сахал
13,Schnurrbart::N,bigote,живэр сахал
14,Bart::N,barba,сахал
15,Kinn::N,barbilla,эрүү
16,Kiefer[Anatomie]::N,mandíbula,эрүү
17,Kehle::N,garganta,хоолой
18,Hals::N,cuello,хүзүү
19,Genick::N,nuca,шил
20,Genick::N,nuca,хүзүү
21,Genick::N,cerviz,шил
22,Genick::N,cerviz,хүзүү
23,Kopf::N,cabeza,толгой
24,Rücken::N,espalda,ар
25,Rücken::N,espalda,нуруу
26,Bauch::N,vientre,хэвлий
27,Bauch::N,vientre,гэдэс
28,Nabel::N,ombligo,хүйс
29,Busen::N,pecho,хөх
30,Brust::N,pecho,цээж
31,Schulter::N,hombro,мөр
32,Schulter::N,hombro,бугалга
33,Arm::N,brazo,гар
34,Ellenbogen::N,codo,тохой
35,Hand::N,mano,гар
36,Hand::N,mano,алга
37,Handfläche::N,palma,алга
38,Finger::N,dedo,хуруу
39,Fingernagel::N,uña,хурууны хумс
40,Nagel[Anatomie]::N,uña,хумс
41,Zeh::N,dedo del pie,хуруу
42,Fuß::N,pie,хөл
43,Ferse::N,talón,өсгий
44,Knie::N,rodilla,өвдөг
45,Oberschenkel::N,muslo,гуя
46,Bein::N,pierna,хөл
47,Körper::N,cuerpo,бие
48,Haut::N,piel,арьс
49,Blut::N,sangre,цус
50,Ader::N,vena,судас
51,Sehne::N,tendón,бүлх
52,Sehne::N,tendón,шандас
53,Knochen::N,hueso,яс
54,Gehirn::N,cerebro,тархи
55,Gehirn::N,encéfalo,тархи
56,Herz::N,corazón,зүрх
57,Magen::N,estómago,ходоод
58,Leber::N,hígado,элэг
59,Atem::N,aliento,амьсгаа
60,Hunger::N,hambre,өлсгөлөн
61,Träne::N,lágrima,нулимс
62,Geschmack::N,gusto,амт
63,Geruch::N,olor,үнэр
64,Schlaf::N,sueño,нойр
65,Traum::N,sueño,зүүд
66,Traum::N,ensueño,зүүд
67,Himmel::N,cielo,тэнгэр
68,Himmel::N,cielo,огторгуй
69,Sonne::N,sol,нар
