,Concept_ID,ru,xal
0,Auge::N,глаз,нүдн
1,Ohr::N,ухо,чикн
2,Nase::N,нос,хамр
3,Mund::N,рот,амн
4,Zahn::N,зуб,шүдн
5,Zunge::N,язык,келн
6,Lippe::N,губа,урл
7,Wange::N,щека,халх
8,Gesicht::N,лицо,нүр
9,Stirn::N,лоб,маңна
10,Haar::N,волос,үсн
11,Haar::N,волосы,үсн
12,Schnurrbart::N,ус,сахл
13,Schnurrbart::N,усы,сахл
14,Bart::N,борода,сахл
15,Bart::N,борода,өргнә сахл
16,Kinn::N,подбородок,өргн
17,Kiefer[Anatomie]::N,челюсть,өргн
18,Kehle::N,горло,хол
19,Hals::N,шея,күзүн
20,Genick::N,затылок,гиҗг
21,Kopf::N,голова,толһа
22,Rücken::N,спина,нурһн
23,Bauch::N,живот,гесн
24,Nabel::N,пупок,киисн
25,Busen::N,женская грудь,көкн
26,Brust::N,грудь,чееҗ
27,Schulter::N,плечо,ээм
28,Arm::N,рука,һар
29,Ellenbogen::N,локоть,тоха
30,Hand::N,кисть,баһлцг
31,Handfläche::N,ладонь,альхн
32,Finger::N,палец,хурһн
33,Finger::N,палец,һарин хурһн
34,Fingernagel::N,ноготь,хумсн
35,Nagel[Anatomie]::N,ноготь,хумсн
36,Zeh::N,палец,хурһн
37,Zeh::N,палец,көлин хурһн
38,Fuß::N,ступня,тавг
39,Ferse::N,пята,өскә
40,Ferse::N,пятка,өскә
41,Knie::N,колено,өвдг
42,Oberschenkel::N,бедро,һуй
43,Bein::N,нога,көл
44,Körper::N,тело,махмуд
45,Haut::N,кожа,арсн
46,Blut::N,кровь,цусн
47,Ader::N,вена,судцн
48,Ader::N,сосуд,судцн
49,Sehne::N,жила,шүрүсн
50,Sehne::N,тетива,шүрүсн
51,Sehne::N,сухожилие,шүрүсн
52,Knochen::N,кость,ясн
53,Gehirn::N,мозг,экн
54,Herz::N,сердце,зүркн
55,Magen::N,желудок,гесн
56,Leber::N,печень,элкн
57,Atem::N,дух,әмсхл
58,Atem::N,дыхание,әмсхл
59,Hunger::N,голод,харһнлһн
60,Träne::N,слеза,нульмсн
61,Geschmack::N,вкус,амтн
62,Geruch::N,запах,үнр
63,Schlaf::N,сон,нөр
64,Traum::N,сновидение,зүүдн
65,Himmel::N,небо,теңгр
66,Sonne::N,солнце,нарн
67,Mond::N,луна,сар
68,Stern::N,звезда,одн
69,Luft::N,воздух,аһар
70,Wind::N,ветер,салькн
71,Welle::N,волна,дольган
72,Wasser::N,вода,усн
73,Stein::N,камень,чолун
74,Boden::N,почва,Һазр
75,Erde::N,земля,Һазр
76,Staub::N,пыль,тоосн
77,Rauch::N,дым,утан
78,Funke::N,искра,очн
79,Feuer::N,огонь,һал
80,Licht::N,свет,герл
81,Schatten::N,тень,сүүдр
82,Wetter::N,погода,теңгр
83,Nebel::N,туман,будн
84,Wolke::N,облако,үүлн
85,Regen::N,дождь,хур
86,Schnee::N,снег,цасн
87,Eis::N,лед,мөсн
88,Frost::N,мороз,киитн
89,Kälte::N,холод,киитн
90,Hitze::N,жара,халун
91,Raureif::N,иней,цаң
92,Raureif::N,иней,кирү
93,Regenbogen::N,радуга,солңһ
94,Donner::N,гром,оһтрһун дун
95,Strömung::N,течение,урсхл
