,Concept_ID,sl,ca
0,Auge::N,okó,ull
1,Ohr::N,uhó,orella
2,Nase::N,nós,nas
3,Mund::N,ústa,boca
4,Zahn::N,zób,dent
5,Zunge::N,jêzik,llēngua
6,Lippe::N,ústnica,llavi
7,Wange::N,líce,galta
8,Gesicht::N,oblíčje,cara
9,Stirn::N,čêlo,front
10,Haar::N,lás,cabēll
11,Schnurrbart::N,bŕki,bigoti
12,Bart::N,bráda,barba
13,Kinn::N,bráda,mentó
14,Kinn::N,bráda,barbeta
15,Kiefer[Anatomie]::N,čeljúst,queix
16,Kiefer[Anatomie]::N,čeljúst,mandíbula
17,Kehle::N,gŕlo,gola
18,Kehle::N,gŕlo,gorja
19,Hals::N,vrát,coll
20,Genick::N,zatílnik,nuca
21,Kopf::N,gláva,cap
22,Rücken::N,hrbèt,esquena
23,Bauch::N,trébuh,panxa
24,Nabel::N,pópek,llombrígol
25,Busen::N,nédrja,pit
26,Busen::N,nédrja,mama
27,Brust::N,pŕsi,pit
28,Schulter::N,ráma,espatlla
29,Schulter::N,plêče,espatlla
30,Arm::N,rôka,braç
31,Ellenbogen::N,komólec,colze
32,Hand::N,rôka,mà
33,Handfläche::N,dlán,palma
34,Finger::N,pŕst,dit
35,Fingernagel::N,nóht na rôki,ungla
36,Nagel[Anatomie]::N,nóht,ungla
37,Zeh::N,pŕst na nôgi,dit del peu
38,Fuß::N,nôga,peu
39,Ferse::N,pêta,taló
40,Knie::N,koléno,genoll
41,Oberschenkel::N,stêgno,cuixa
42,Bein::N,nôga,cama
43,Körper::N,teló,cos
44,Haut::N,kóža,pell
45,Blut::N,krí,sang
46,Ader::N,žíla,vena
47,Sehne::N,kíta,tendó
48,Knochen::N,kóst,os
49,Gehirn::N,možgáni,cervell
50,Herz::N,srcé,cor
51,Magen::N,želódec,estómac
52,Leber::N,jétra,fetge
53,Atem::N,díh,alè
54,Atem::N,díh,hàlit
55,Hunger::N,glád,fam
56,Hunger::N,glád,gana
57,Träne::N,sólza,llàgrima
58,Geschmack::N,okús,gust
59,Geschmack::N,okús,sabor
60,Geruch::N,vónj,olor
61,Schlaf::N,sèn,son
62,Schlaf::N,spánec,son
63,Traum::N,sánje,somni
64,Himmel::N,nebó,celm
65,Sonne::N,sónce,sol
66,Mond::N,lúna,lluna
67,Mond::N,mésec,lluna
68,Stern::N,zvézda,estel
69,Stern::N,zvézda,estrella
70,Luft::N,zràk,aire
71,Wind::N,véter,vent
72,Welle::N,vál,ona
73,Wasser::N,vôda,āigua
74,Stein::N,kámen,pedra
75,Boden::N,tlà,sòl
76,Erde::N,pŕst,terra
77,Erde::N,zêmlja,terra
78,Staub::N,práh,pols
79,Rauch::N,dìm,fum
80,Funke::N,ískra,guspira
81,Funke::N,ískra,centella
82,Feuer::N,ôgenj,foc
83,Licht::N,lúč,llum
84,Schatten::N,sénca,ombra
85,Wetter::N,vrême,temps
86,Nebel::N,meglà,boira
87,Wolke::N,oblák,núvol
88,Regen::N,dèž,pluja
89,Schnee::N,snég,neu
90,Eis::N,léd,gel
91,Eis::N,léd,glaç
92,Frost::N,zmrzál,glaçada
93,Kälte::N,mràz,fred
94,Hitze::N,pripéka,calor
95,Raureif::N,ívje,gebre
96,Raureif::N,slána,gebre
97,Regenbogen::N,mávrica,arc iris
98,Donner::N,gròm,tro
99,Strömung::N,strúja,corrent
100,Tropfen::N,káplja,gota
101,Schaum::N,péna,escuma
102,Schmutz::N,nesnága,brutícia
103,See::N,jézero,llac
104,Sumpf::N,močvírje,pantà
105,Moor::N,bárje,pantà
106,Wiese::N,trávnik,prat
107,Wiese::N,trávnik,prada
108,Wald::N,lés,bosc
109,Wald::N,gòzd,bosc
110,Hügel::N,brég,puig
111,Hügel::N,brég,pujol
112,Hügel::N,goríca,puig
113,Hügel::N,goríca,pujol
114,Anhöhe::N,gríč,turó
115,Anhöhe::N,višína,turó
116,Berg::N,gôra,muntanya
117,Berg::N,planína,muntanya
118,Gipfel::N,vŕh,cim
119,Höhle::N,jáma,cova
120,Höhle::N,votlína,cova
121,Abhang::N,pobóčje,coster
122,Quelle::N,izvír,font
123,Bach::N,pôtok,riera
124,Fluss::N,réka,riu
