,Concept_ID,mdf,fr
0,Auge::N,сельме,œil
1,Ohr::N,пиле,oreille
2,Nase::N,шалхка,nez
3,Mund::N,курга,bouche
4,Zahn::N,пей,dent
5,Zunge::N,кяль,langue
6,Lippe::N,търва́,lèvre
7,Wange::N,щёка,joue
8,Gesicht::N,шама,face
9,Gesicht::N,шама,visage
10,Stirn::N,коня,front
11,Haar::N,шя́ярь,cheveu
12,Schnurrbart::N,уса́,moustache
13,Bart::N,сакал,barbe
14,Kinn::N,ула,menton
15,Kiefer[Anatomie]::N,саласка,mâchoire
16,Kehle::N,кълдома,gorge
17,Kehle::N,кърга́парь,gorge
18,Hals::N,сялдаз,cou
19,Genick::N,шовонь,nuque
20,Kopf::N,пря,tête
21,Rücken::N,копорь,dos
22,Bauch::N,пеке,ventre
23,Nabel::N,по́кон,nombril
24,Busen::N,потя,sein
25,Brust::N,мяште,poitrine
26,Schulter::N,лафту,épaule
27,Arm::N,кядь,bras
28,Ellenbogen::N,кенерьба́карь,coude
29,Hand::N,кядь,main
30,Handfläche::N,кядьлапш,paume
31,Finger::N,сур,doigt
32,Fingernagel::N,кенже,ongle
33,Nagel[Anatomie]::N,кенже,ongle
34,Zeh::N,пильгосу́р,orteil
35,Zeh::N,пильгосу́р,doigt de pied
36,Fuß::N,пильге,pied
37,Fuß::N,пильгелапа,pied
38,Ferse::N,кочкяря,talon
39,Knie::N,эль,genou
40,Knie::N,пълма́нжа,genou
41,Oberschenkel::N,пильгепукша,cuisse
42,Bein::N,пильге,jambe
43,Körper::N,ро́нга,corps
44,Körper::N,по́нда,corps
45,Haut::N,киське,peau
46,Blut::N,вер,sang
47,Ader::N,сан,veine
48,Ader::N,верза́н,veine
49,Sehne::N,коське сан,tendon
50,Knochen::N,пакарь,os
51,Gehirn::N,уй,cerveau
52,Herz::N,седи,cœur
53,Magen::N,коткърдазь,estomac
54,Leber::N,макса,foie
55,Atem::N,лекома,haleine
56,Atem::N,ваймонь тарксема,haleine
57,Hunger::N,вачеши,faim
58,Träne::N,сельмове́дь,larme
59,Geschmack::N,таньф,goût
60,Geschmack::N,таньф,saveur
61,Geruch::N,шине,odeur
62,Schlaf::N,удома́,sommeil
63,Traum::N,он,songe
64,Himmel::N,менель,ciel
65,Sonne::N,ши,soleil
66,Mond::N,ков,lune
67,Stern::N,тяште,étoile
68,Luft::N,кожф,air
69,Wind::N,варма,vent
70,Welle::N,тавла,vague
71,Wasser::N,ведь,eau
72,Stein::N,кев,pierre
73,Boden::N,мода,sol
74,Boden::N,мода,terrain
75,Boden::N,потмакс,sol
76,Boden::N,потмакс,terrain
77,Erde::N,мода,terre
78,Erde::N,мастор,terre
79,Staub::N,пуль,poussière
80,Rauch::N,качам,fumée
81,Funke::N,ця́тка,étincelle
82,Feuer::N,тол,feu
83,Licht::N,ва́лда,lumière
84,Schatten::N,цильф,ombre
85,Wetter::N,уша,temps
86,Nebel::N,тума́н,brume
87,Nebel::N,тума́н,brouillard
88,Wolke::N,ковол,nuage
89,Regen::N,пизем,pluie
90,Schnee::N,лов,neige
91,Eis::N,эй,glace
92,Frost::N,ке́льме,gel
93,Frost::N,ке́льме,gelée
94,Kälte::N,якшама,froid
95,Hitze::N,пси,chaleur
96,Raureif::N,леш,givre
97,Regenbogen::N,а́тямъёнга,arc-en-ciel
98,Donner::N,атям,tonnerre
99,Strömung::N,шудема́,courant
100,Tropfen::N,путькс,goutte
101,Tropfen::N,пътняфкс,goutte
102,Schaum::N,шов,écume
103,Schaum::N,шов,mousse
104,Schmutz::N,ърда́з,boue
105,Schmutz::N,ърда́з,saleté
106,See::N,эрьхке,lac
107,Sumpf::N,шяй,marais
108,Sumpf::N,шяй,marécage
109,Moor::N,шяй,tourbière
110,Wiese::N,луга,pré
111,Wald::N,вирь,bois
112,Wald::N,вирь,forêt
113,Hügel::N,губо́р,coteau
114,Hügel::N,губо́р,colline
115,Hügel::N,пандоня,coteau
116,Hügel::N,пандоня,colline
117,Anhöhe::N,губо́р,éminence
118,Anhöhe::N,губо́р,élévation
119,Berg::N,панда,mont
120,Berg::N,панда,montagne
121,Gipfel::N,пря,cime
122,Gipfel::N,пря,sommet
123,Höhle::N,у́нда,caverne
124,Abhang::N,па́нда ша́ма,pente
125,Abhang::N,па́нда ша́ма,versant
126,Quelle::N,эшиня,source
127,Quelle::N,эшиня,fontaine
128,Bach::N,шудерькс,ruisseau
129,Fluss::N,ляй,fleuve
130,Fluss::N,ляй,rivière
131,Ufer::N,търва́,bord
132,Ufer::N,търва́,rivage
133,Küste::N,ляйтърва́,côte
134,Festland::N,мода,terre ferme
135,Meer::N,моря,mer
136,Bucht::N,ведьуське,baie
137,Insel::N,цёнга,île
138,Blume::N,панчф,fleur
139,Gras::N,тише,herbe
140,Wurzel::N,юр,racine
141,Wurzel::N,ункс,racine
142,Baum::N,шуфта,arbre
143,Stamm::N,ро́нга,tronc
144,Rinde::N,кер,écorce
145,Ast::N,морга,branche
146,Zweig::N,тарад,rameau
147,Blatt::N,лопа,feuille
148,Birke::N,ке́лу,bouleau
149,Kiefer[Baum]::N,пиче,pin
150,Weide[Baum]::N,каль,saule
151,Tanne::N,куз,sapin
152,Horn::N,сюра,corne
153,Feder::N,толга,plume
154,Fell::N,кедь,peau
155,Flügel::N,паця,aile
156,Klaue::N,кенже,serre
157,Kralle::N,кенже,ongle
158,Kralle::N,кенже,griffe
159,Schwanz::N,пула,queue
160,Ei::N,ал,œuf
161,Nest::N,пиза,nid
162,Bau::N,пиза,terrier
163,Tier::N,жува́та,animal
164,Herde::N,нал,troupeau
165,Herde::N,стада,troupeau
166,Kuh::N,скал,vache
167,Kuh::N,тракс,vache
168,Bulle::N,бука,taureau
169,Pferd::N,лишме,cheval
170,Schaf::N,уча́,mouton
171,Schwein::N,тува,porc
172,Schwein::N,тува,cochon
173,Hund::N,пине,chien
174,Katze::N,катоня,chat
175,Katze::N,аваката,chat
176,Bär::N,офта,ours
177,Eichhörnchen::N,ур,écureuil
178,Elch::N,ся́рда,élan
179,Fuchs::N,келазь,renard
180,Hase::N,ну́мол,lièvre
181,Maus::N,шеер,souris
182,Wolf::N,върьгаз,loup
183,Vogel::N,нармонь,oiseau
184,Schwarm::N,ко́вол,nuée
185,Schwarm::N,ко́вол,volée
186,Schwarm::N,ме́швеле,nuée
187,Schwarm::N,ме́швеле,volée
188,Huhn::N,сараз,poule
189,Hahn::N,а́тякш,coq
190,Gans::N,маци,oie
191,Adler::N,куцькан,aigle
192,Ente::N,яксярга,canard
193,Eule::N,ко́рож,hibou
194,Kranich::N,ка́рга,grue
195,Krähe::N,ва́рси,corneille
196,Kuckuck::N,ку́ку,coucou
197,Schwan::N,ло́ксти,cygne
198,Fisch::N,кал,poisson
199,Barsch::N,о́кунь,perche
200,Hecht::N,щу́ка,brochet
201,Schlange[Tier]::N,куй,serpent
202,Wurm::N,сукс,ver
203,Spinne::N,унжа́,araignée
204,Ameise::N,панжам,fourmi
205,Laus::N,си,pou
206,Mücke::N,ся́ське,moucheron
207,Fliege::N,кару,mouche
208,Schmetterling::N,ме́лав,papillon
209,Beere::N,и́мож,baie
210,Apfel::N,марь,pomme
211,Pilz::N,панга,champignon
212,Zwiebel::N,шурьхкя́,oignon
213,Saat::N,видьмот,semence
214,Korn::N,сёра,grain
215,Heu::N,тише,foin
216,Schale::N,кедь,pelure
217,Grube::N,лотка,fosse
218,Falle::N,туфкс,piège
219,Falle::N,кунда́ма,piège
220,Schlinge::N,килькш,lacs
221,Spur::N,пильгоки́,trace
222,Asche::N,кулу,cendre
223,Dreck::N,ърда́з,crotte
224,Eisen::N,кшни,fer
225,Gold::N,ока,or
226,Gold::N,золота,or
227,Silber::N,сия́,argent
228,Kohle::N,седь,charbon
229,Kohle::N,седьвальмя,charbon
230,Glas::N,кля́нцек,verre
231,Lehm::N,сёвонь,glaise
232,Sand::N,шува́р,sable
233,Mensch::N,ломань,homme
234,Mann::N,аля,homme
235,Mann::N,цёраломань,homme
236,Frau::N,ава,femme
237,Kind::N,идь,enfant
238,Kind::N,шаба,enfant
239,Junge::N,цёраня,garçon
240,Mädchen::N,стирня́,fille
241,Mädchen::N,стирня́,jeune fille
242,Familie::N,тнал,famille
243,Familie::N,семья,famille
244,Großvater::N,атя,grand-père
245,Großvater::N,щя́тя,grand-père
246,Großmutter::N,баба,grand-mère
247,Eltern::N,тя́дят-а́лят,parents
248,Vater::N,аля,père
249,Mutter::N,ава,mère
250,Mutter::N,тядя,mère
251,Sohn::N,цёра,fils
252,Tochter::N,стирь,fille
253,Bruder::N,дуган,frère
254,Bruder::N,пяльне,frère
255,Schwester::N,ака,sœur
256,Schwester::N,сазор,sœur
257,Onkel::N,оця,oncle
258,Onkel::N,патя,oncle
259,Onkel::N,щеня́,oncle
260,Tante::N,ака,tante
261,Tante::N,щака,tante
262,Ehemann::N,мирде,mari
263,Ehemann::N,мирде,époux
264,Ehefrau::N,ърьвя́,femme
265,Ehefrau::N,ърьвя́,épouse
266,Freude::N,ке́нярдема,joie
267,Freude::N,ке́нярдема,plaisir
268,Gelächter::N,рахсема,rires
269,Glück::N,паваз,bonheur
270,Kummer::N,ризф,peine
271,Kummer::N,ризф,chagrin
272,Kummer::N,пичефкс,peine
273,Kummer::N,пичефкс,chagrin
274,Wunsch::N,мяль,désir
275,Wunsch::N,таколдома,désir
276,Lust::N,таколдома,envie
277,Geist::N,вайме,esprit
278,Gedanke::N,мяль,idée
279,Gedanke::N,мяль,pensée
280,Gedächtnis::N,прявий,mémoire
281,Verstand::N,прявий,raison
282,Sinn::N,ён,sens
283,Grund::N,туфта́л,cause
284,Grund::N,туфта́л,raison
285,Wahrheit::N,ви́де,vérité
286,Wahrheit::N,видеши́,vérité
287,Gespräch::N,корхтама,conversation
288,Märchen::N,ёфкс,conte
289,Märchen::N,ёфкс,conte de fées
290,Erzählung::N,азкс,conte
291,Erzählung::N,азкс,narration
292,Nachricht::N,куля́,message
293,Neuigkeit::N,куля́,nouvelle
294,Name::N,лем,nom
295,Rätsel::N,со́дама ёфкс,énigme
296,Rätsel::N,со́дама ёфкс,devinette
297,Rede::N,вал,parole
298,Rede::N,вал,discours
299,Rede::N,корхтама,parole
300,Rede::N,корхтама,discours
301,Sprache::N,кяль,langue
302,Sprache::N,кяль,langage
303,Stimme::N,вайгяль,voix
304,Wort::N,вал,mot
305,Zeichen::N,тя́ште,signe
306,Zeichen::N,тя́штькс,signe
307,Ruf::N,тердема,cri
308,Ruf::N,тердема,appel
309,Lärm::N,гайф,bruit
310,Lärm::N,жалакодома,bruit
311,Laut::N,вайгяль,son
312,Ton::N,вайгяль,ton
313,Lied::N,мора,chant
314,Lied::N,мора,chanson
315,Ruhe::N,сетьме,calme
316,Ruhe::N,сетьме,tranquillité
317,Leute::N,ломатть,gens
318,Volk::N,наро́д,peuple
319,Arbeit::N,тев,travail
320,Gast::N,и́нжи,hôte
321,Gast::N,и́нжи,invité
322,Gast::N,ко́нак,hôte
323,Gast::N,ко́нак,invité
324,Geschenk::N,казне,cadeau
325,Geschenk::N,казне,présent
326,Spiel::N,налхкома,jeu
327,Spiel::N,налхксема,jeu
328,Gesellschaft::N,кружок,compagnie
329,Hilfe::N,лездома,aide
330,Hilfe::N,лездома,secours
331,Freund::N,я́лга,ami
332,Kamerad::N,я́лга,copain
333,Kamerad::N,я́лга,camarade
334,Angelegenheit::N,тев,affaire
335,Anzahl::N,лувкс,nombre
336,Art::N,вид,sorte
337,Art::N,вид,espèce
338,Stück::N,пакш,morceau
339,Teil::N,часть,part
340,Teil::N,часть,partie
341,Teil::N,пялькс,part
342,Teil::N,пялькс,partie
343,Hälfte::N,пяле,moitié
344,Kreis::N,шаркс,cercle
345,Kreuz::N,крёз,croix
346,Linie::N,межа,ligne
347,Linie::N,китькс,ligne
348,Strich::N,межа,trait
349,Abstand::N,ётка,écart
350,Entfernung::N,ётка,distance
351,Gegend::N,ва́ста,région
352,Gegend::N,ва́ста,contrée
353,Gegend::N,перьфпя́ль,région
354,Gegend::N,перьфпя́ль,contrée
355,Platz::N,ва́ста,place
356,Ort::N,ва́ста,lieu
357,Ort::N,ва́ста,endroit
358,Seite::N,пяле,côté
359,Mitte::N,кучка́,milieu
360,Gegenstand::N,веща,objet
361,Sache::N,тев,chose
362,Sache::N,веща,chose
363,Rand::N,пе,bord
364,Kante::N,и́рдез,arête
365,Ecke::N,ужа,coin
366,Ecke::N,ужа,tournant
367,Spitze::N,пря,cime
368,Spitze::N,пря,pointe
369,Ende::N,пе,bout
370,Loch::N,варя,trou
371,Winkel::N,ужа,coin
372,Winkel::N,ужа,réduit
373,Muster::N,сёрма,dessin
374,Größe::N,серь,grandeur
375,Länge::N,кува́лма,longueur
376,Höhe::N,серь,hauteur
377,Höhe::N,серь,altitude
378,Gewicht::N,сталма,poids
379,Menge::N,лувкс,quantité
380,Haufen::N,мар,tas
381,Reihe::N,ряд,file
382,Reihe::N,ряд,rangée
383,Boot::N,венеж,canot
384,Boot::N,венеж,bateau
385,Ruder::N,миле,rame
386,Ruder::N,миле,aviron
387,Schlitten::N,ну́рда,traîneau
388,Ski::N,сокс,ski
389,Lagerfeuer::N,то́лмар,feu de camp
390,Last::N,канкс,charge
391,Last::N,канкс,fardeau
392,Last::N,сталма,charge
393,Last::N,сталма,fardeau
394,Gang::N,молема,tour
395,Gang::N,молема,marche
396,Schritt::N,аськолкс,pas
397,Norden::N,якшама шире,nord
398,Süden::N,ля́мбе ши́ре,sud
399,Westen::N,ши валгома шире,ouest
400,Westen::N,ши валгома шире,occident
401,Osten::N,шинь стяма шире,est
402,Osten::N,шинь стяма шире,orient
403,Holz::N,вирь,bois
404,Holz::N,шуфта,bois
405,Brett::N,лавця,planche
406,Platte::N,плита́,plaque
407,Stütze::N,неже,appui
408,Stütze::N,неже,soutien
409,Stange::N,олга,barre
410,Stange::N,олга,perche
411,Stock::N,байдек,canne
412,Stab::N,олгоня,bâton
413,Rohr::N,турама,tube
414,Rohr::N,турама,tuyau
415,Haus::N,куд,maison
416,Heim::N,куд,maison
417,Ofen::N,пянакуд,poêle
418,Fußboden::N,кия́кс,plancher
419,Tisch::N,шра,table
420,Tisch::N,моркш,table
421,Stuhl::N,стул,chaise
422,Wiege::N,нюря́м,berceau
423,Bett::N,ацам,lit
424,Regal::N,лавцяланга,étagère
425,Kiste::N,парга,caisse
426,Fenster::N,валмья,fenêtre
427,Tür::N,кенкш,porte
428,Tor::N,ортат,porte
429,Tor::N,ортат,portail
