,Concept_ID,vep,bn
0,Auge::N,sil'm,চক্ষু
1,Ohr::N,korv,কর্ণ
2,Nase::N,nena,নাক
3,Mund::N,su,মুখ
4,Zahn::N,pi,দাঁত
5,Zahn::N,hambaz,দাঁত
6,Zunge::N,kel',জিহবা
7,Lippe::N,hul',অধর
8,Wange::N,modpolišk,গণ্ড
9,Gesicht::N,mod,মুখমণ্ডল
10,Stirn::N,oc,কপাল
11,Haar::N,tuk,চুল
12,Haar::N,hibuz,চুল
13,Schnurrbart::N,habinod,গোঁফ
14,Bart::N,bard,শ্মশ্রু
15,Kinn::N,löug,চিবুক
16,Kiefer[Anatomie]::N,hambazlu,চোয়াল
17,Kehle::N,kurk,কণ্ঠ
18,Hals::N,kagl,গল
19,Genick::N,tagarai,ঘাড়
20,Kopf::N,pä,মাথা
21,Rücken::N,sel'g,পৃষ্ঠ
22,Bauch::N,vac,উদর
23,Bauch::N,koht,উদর
24,Nabel::N,naba,নাভি
25,Busen::N,niža,স্তন
26,Brust::N,rind,বুক
27,Schulter::N,oug,স্কন্ধ
28,Arm::N,käzi,বাহু
29,Ellenbogen::N,künambruz,কনুই
30,Hand::N,käzi,হাত
31,Hand::N,käzitera,হাত
32,Handfläche::N,kämen,করতল
33,Finger::N,sor'm,আঙ্গুল
34,Fingernagel::N,künz',হাতের নখ
35,Nagel[Anatomie]::N,künz',নখ
36,Zeh::N,barbaz,আঙ্গুল
37,Fuß::N,jaug,পা
38,Ferse::N,kand,গোড়ালি
39,Knie::N,komb,হাঁটু
40,Knie::N,pol'v,হাঁটু
41,Oberschenkel::N,riiže,ঊরু
42,Bein::N,jaug,পা
43,Körper::N,hibj,দেহ
44,Haut::N,nahk,ত্বক
45,Blut::N,čak,রক্ত
46,Blut::N,veri,রক্ত
47,Ader::N,son',শিরা
48,Sehne::N,jände,কণ্ডরা
49,Knochen::N,lu,অস্থি
50,Gehirn::N,aivod,মস্তিষ্ক
51,Herz::N,südäin,হৃৎপিণ্ড
52,Magen::N,südäikoht,পাকস্থলী
53,Leber::N,maks,যকৃৎ
54,Atem::N,hengaiduz,শ্বাস
55,Hunger::N,näl'g,ক্ষুধা
56,Träne::N,kündal',অশ্রু
57,Geschmack::N,magu,স্বাদ
58,Geruch::N,haju,গন্ধ
59,Schlaf::N,uni,ঘুম
60,Traum::N,unikuva,স্বপ্ন
61,Himmel::N,taivaz,আকাশ
62,Sonne::N,päiväine,সূর্য
63,Mond::N,kudmaine,চন্দ্র
64,Stern::N,tähtaz,নক্ষত্র
65,Luft::N,il'm,বায়ু
66,Wind::N,döl,বাতাস
67,Wind::N,tullei,বাতাস
68,Welle::N,ald,ঢেউ
69,Welle::N,ald,তরঙ্গ
70,Welle::N,laineh,ঢেউ
71,Welle::N,laineh,তরঙ্গ
72,Wasser::N,vezi,জল
73,Stein::N,kivi,ঢিল
74,Stein::N,kivi,প্রস্তর
75,Boden::N,ma,ভূতল
76,Boden::N,pohj,ভূতল
77,Erde::N,ma,ভূমি
78,Staub::N,pölü,ধুলা
79,Rauch::N,savu,ধোঁয়া
80,Funke::N,kibin,স্ফুলিঙ্গ
81,Feuer::N,lämoi,অগ্নি
82,Licht::N,vauktuz,আলো
83,Schatten::N,pil'vez,ছায়া
84,Schatten::N,kuvahaine,ছায়া
85,Wetter::N,sä,আবহাওয়া
86,Nebel::N,sumeg,কুহেলিকা
87,Wolke::N,pil'v,মেঘ
88,Regen::N,vihm,বৃষ্টি
89,Schnee::N,lumi,তুষার
90,Eis::N,jä,বরফ
91,Frost::N,hala,তুষার
92,Frost::N,pakaine,তুষার
93,Kälte::N,vilu,শৈত্য
94,Hitze::N,räk,তাপ
95,Raureif::N,hüde,তুহিন
96,Regenbogen::N,jumalanbembel',রামধনু
97,Donner::N,juru,বজ্রধ্বনি
98,Donner::N,jumalanjuru,বজ্রধ্বনি
99,Strömung::N,joksmuz,স্রোত
100,Tropfen::N,tilkuine,ফোঁটা
101,Schaum::N,vaht,ফেনা
102,Schmutz::N,redu,ধুলা
103,Schmutz::N,pačak,ধুলা
104,See::N,järv,হ্রদ
105,Sumpf::N,so,জলা
106,Moor::N,so,মাঠ
107,Wiese::N,nit,তৃণভূমি
108,Wald::N,mec,বন
109,Hügel::N,kukaz,পাহাড়
110,Anhöhe::N,kukaz,টিলা
111,Berg::N,mägi,পর্বত
112,Gipfel::N,ladv,শীর্ষ
113,Höhle::N,mägionduz,গুহা
114,Abhang::N,paute,ঢাল
115,Quelle::N,lähte,উৎস
116,Bach::N,oja,ক্ষুদ্র নদী
117,Fluss::N,jogi,নদী
118,Ufer::N,rand,উপকূল
119,Küste::N,randišt,তীর
120,Festland::N,kuivma,ভূমি
121,Meer::N,meri,সমুদ্র
122,Bucht::N,laht,উপসাগর
