,Concept_ID,os,ru
0,Auge::N,цӕст,глаз
1,Ohr::N,хъус,ухо
2,Nase::N,фындз,нос
3,Mund::N,дзых,рот
4,Zahn::N,дӕндаг,зуб
5,Zunge::N,ӕвзаг,язык
6,Lippe::N,был,губа
7,Wange::N,рус,щека
8,Wange::N,уадул,щека
9,Wange::N,ӕхсӕрфарс,щека
10,Gesicht::N,цӕсгом,лицо
11,Stirn::N,ных,лоб
12,Haar::N,хил,волос
13,Haar::N,хил,волосы
14,Schnurrbart::N,рихи,ус
15,Schnurrbart::N,рихи,усы
16,Bart::N,зачъе,борода
17,Kinn::N,роцъо,подбородок
18,Kiefer[Anatomie]::N,ӕфсӕр,челюсть
19,Kehle::N,хъуыр,горло
20,Hals::N,къубал,шея
21,Genick::N,къӕбут,затылок
22,Kopf::N,сӕр,голова
23,Rücken::N,фӕсонтӕ,спина
24,Bauch::N,гуыбын,живот
25,Nabel::N,бикъ,пупок
26,Busen::N,дзидзи,женская грудь
27,Brust::N,риу,грудь
28,Schulter::N,уӕхск,плечо
29,Arm::N,цонг,рука
30,Ellenbogen::N,рæмбын,локоть
31,Hand::N,къух,кисть
32,Handfläche::N,армытъӕпӕн,ладонь
33,Finger::N,ӕнруылдз,палец
34,Fingernagel::N,ных,ноготь
35,Nagel[Anatomie]::N,ных,ноготь
36,Zeh::N,къух,палец
37,Fuß::N,фад,ступня
38,Ferse::N,зӕвӕт,пята
39,Ferse::N,зӕвӕт,пятка
40,Knie::N,уӕраг,колено
41,Oberschenkel::N,агъд,бедро
42,Bein::N,зӕнг,нога
43,Körper::N,буар,тело
44,Haut::N,царм,кожа
45,Blut::N,туг,кровь
46,Ader::N,дадзин,вена
47,Ader::N,дадзин,сосуд
48,Ader::N,тугдадзин,вена
49,Ader::N,тугдадзин,сосуд
50,Sehne::N,хъиутæ,жила
51,Sehne::N,хъиутæ,тетива
52,Sehne::N,хъиутæ,сухожилие
53,Sehne::N,нуар,жила
54,Sehne::N,нуар,тетива
55,Sehne::N,нуар,сухожилие
56,Knochen::N,стӕг,кость
57,Gehirn::N,магъз,мозг
58,Herz::N,зӕрдӕ,сердце
59,Magen::N,ахсӕн,желудок
60,Leber::N,игæр,печень
61,Atem::N,улӕфт,дух
62,Atem::N,улӕфт,дыхание
63,Hunger::N,стонг,голод
64,Träne::N,цæссыг,слеза
65,Geschmack::N,ад,вкус
66,Geruch::N,смаг,запах
67,Schlaf::N,хуыссӕг,сон
68,Traum::N,фын,сновидение
69,Himmel::N,арв,небо
70,Himmel::N,уӕларв,небо
71,Sonne::N,хур,солнце
72,Mond::N,мӕй,луна
73,Stern::N,стъалы,звезда
74,Luft::N,уӕлдӕф,воздух
75,Wind::N,дымгӕ,ветер
76,Welle::N,уылӕн,волна
77,Wasser::N,дон,вода
78,Stein::N,дур,камень
79,Boden::N,зӕхх,почва
80,Erde::N,сыджыт,земля
81,Staub::N,рыг,пыль
82,Rauch::N,фӕздӕг,дым
83,Funke::N,цӕхӕр,искра
84,Feuer::N,зынг,огонь
85,Licht::N,рухс,свет
86,Schatten::N,аууон,тень
87,Wetter::N,боныхъӕд,погода
88,Nebel::N,мигъ,туман
89,Wolke::N,ӕврагъ,облако
90,Regen::N,уарын,дождь
91,Schnee::N,мит,снег
92,Eis::N,их,лед
93,Frost::N,ихæн,мороз
94,Kälte::N,уазал,холод
