,Concept_ID,te,fi
0,Auge::N,కన్ను,silmä
1,Ohr::N,చెవి,korva
2,Nase::N,ముక్కు,nenä
3,Mund::N,నోరు,suu
4,Zahn::N,పల్లు,hammas
5,Zunge::N,నాలుక,kieli
6,Lippe::N,పెదవి,huuli
7,Wange::N,చెంప,poski
8,Gesicht::N,ముఖము,naama
9,Gesicht::N,ముఖము,kasvot
10,Stirn::N,నుదురు,otsa
11,Haar::N,వెండ్రుక,hius
12,Haar::N,వెండ్రుక,tukka
13,Schnurrbart::N,మీసము,viikset
14,Bart::N,గడ్డము,parta
15,Kinn::N,గడ్డము,leuka
16,Kiefer[Anatomie]::N,దౌడ,leukaluu
17,Kehle::N,గొంతు,kurkku
18,Hals::N,మెడ,kaula
19,Genick::N,మూపు,niska
20,Kopf::N,తల,pää
21,Rücken::N,వెన్ను,selkä
22,Bauch::N,కడుపు,maha
23,Bauch::N,కడుపు,vatsa
24,Nabel::N,బొడ్డు,napa
25,Busen::N,స్తనము,rinta
26,Brust::N,ఱొమ్ము,rinta
27,Schulter::N,భుజము,olka
28,Schulter::N,భుజము,hartia
29,Schulter::N,భుజము,olkapää
30,Arm::N,చేయి,käsivarsi
31,Ellenbogen::N,మోచేయి,kyynärpää
32,Hand::N,చేయి,käsi
33,Handfläche::N,అరచేయు,kämmen
34,Finger::N,చేతిప్రేలు,sormi
35,Fingernagel::N,గోరు,kynsi
36,Nagel[Anatomie]::N,గోరు,kynsi
37,Zeh::N,కాలిప్రేలు,varvas
38,Fuß::N,అడుగు,jalka
39,Ferse::N,మడమ,kantapää
40,Knie::N,మోకాలు,polvi
41,Oberschenkel::N,తొడ,reisi
42,Bein::N,కాలు,jalka
43,Körper::N,కాయము,keho
44,Körper::N,కాయము,ruumis
45,Haut::N,చర్మము,iho
46,Blut::N,రక్తము,veri
47,Ader::N,సిర,suoni
48,Sehne::N,స్నాయువు,jänne
49,Knochen::N,ఎముక,luu
50,Gehirn::N,మెదడు,aivot
51,Herz::N,హృదయము,sydän
52,Magen::N,కడుపు,maha
53,Magen::N,కడుపు,vatsa
54,Leber::N,కాలేయము,maksa
55,Atem::N,ఉపిరి,henki
