,Concept_ID,kv,ro
0,Auge::N,син,ochi
1,Ohr::N,пель,ureche
2,Nase::N,ныр,nas
3,Mund::N,ӧм,gură
4,Zahn::N,пинь,dinte
5,Zunge::N,кыв,limbă
6,Lippe::N,тырп,buză
7,Wange::N,рожабан,bucă
8,Wange::N,рожабан,obraz
9,Gesicht::N,бан,față
10,Gesicht::N,бан,figură
11,Stirn::N,кымӧс,frunte
12,Haar::N,юрси,păr
13,Schnurrbart::N,уссэз,mustață
14,Bart::N,тош,barbă
15,Kinn::N,тшӧка,bărbie
16,Kiefer[Anatomie]::N,ан,falcă
17,Kehle::N,юан,beregată
18,Hals::N,юан,gât
19,Genick::N,юр бӧр,ceafă
20,Kopf::N,юр,cap
21,Rücken::N,мышк,dos
22,Rücken::N,мышк,spate
23,Rücken::N,мышк,spinare
24,Bauch::N,кынӧм,burtă
25,Bauch::N,кынӧм,pântece
26,Nabel::N,гӧг,buric
27,Busen::N,морос,sân
28,Brust::N,морос,piept
29,Schulter::N,пельпон,umăr
30,Schulter::N,пельпон,spate
31,Arm::N,ки,braț
32,Ellenbogen::N,гырдзза,cot
33,Hand::N,кикар,mână
34,Handfläche::N,ки пыдӧс,palmă
35,Finger::N,чунь,deget
36,Fingernagel::N,гыж,unghie
37,Nagel[Anatomie]::N,гыж,unghie
38,Zeh::N,чунь,deget de la picior
39,Fuß::N,кокпыдӧс,picior
40,Ferse::N,кокдзир,călcâi
41,Knie::N,пидзӧс,genunchi
42,Oberschenkel::N,лядьбей,coapsă
43,Bein::N,кок,picior
44,Körper::N,вывтыр,corp
45,Haut::N,кучик,piele
46,Blut::N,вир,sânge
47,Ader::N,сӧн,vână
48,Ader::N,сӧн,arteră
49,Sehne::N,жила,tendon
50,Knochen::N,коска,os
51,Gehirn::N,вем,creier
52,Herz::N,сьӧлӧм,inimă
53,Magen::N,жӧвдӧк,stomac
54,Leber::N,мус,ficat
55,Atem::N,лолалӧм,răsuflare
56,Atem::N,лолалӧм,respirație
57,Hunger::N,тшыг,foame
58,Träne::N,синва,lacrimă
59,Geschmack::N,кӧр,gust
60,Geruch::N,дук,miros
61,Schlaf::N,он,somn
62,Traum::N,вӧт,vis
63,Himmel::N,небо,cer
64,Sonne::N,шондi,soare
65,Mond::N,тӧлiсь,lună
66,Stern::N,кӧдзыв,stea
67,Luft::N,ру,aer
68,Wind::N,тӧв,vânt
69,Welle::N,гы,val
70,Welle::N,гы,undă
71,Wasser::N,ва,apă
72,Stein::N,из,piatră
73,Boden::N,му,sol
74,Boden::N,му,pământ
75,Erde::N,му,pământ
76,Staub::N,бус,praf
77,Rauch::N,тшын,fum
78,Funke::N,бичир,scânteie
79,Feuer::N,би,foc
80,Licht::N,би,lumină
81,Schatten::N,вуджӧр,umbră
82,Wetter::N,погоддя,timp
83,Wetter::N,погоддя,vreme
84,Nebel::N,туман,ceață
85,Nebel::N,туман,negură
86,Wolke::N,кымӧр,nor
87,Regen::N,зэр,ploaie
88,Schnee::N,лым,zăpadă
89,Eis::N,йы,gheață
90,Frost::N,мороз,ger
91,Kälte::N,кӧдзыт,frig
92,Hitze::N,ӧд,arșiță
93,Hitze::N,ӧд,căldură
94,Raureif::N,кижа,chiciură
95,Regenbogen::N,енӧшка,curcubeu
96,Donner::N,гым,tunet
97,Strömung::N,визывтӧм,curent
98,Tropfen::N,тёп,picătură
99,Schaum::N,быг,spumă
100,Schmutz::N,нять,murdărie
101,See::N,ты,lac
102,Sumpf::N,арай,mlaștină
103,Moor::N,нюр,bărăgan
104,Wiese::N,видз,fânaț
105,Wiese::N,видз,livadă
106,Wald::N,вӧр,codru
107,Wald::N,вӧр,pădure
108,Hügel::N,мыльк,deal
109,Hügel::N,мыльк,movilă
110,Anhöhe::N,вывтас,deal
111,Anhöhe::N,вывтас,ridicătură
112,Anhöhe::N,вылынін,deal
113,Anhöhe::N,вылынін,ridicătură
114,Berg::N,керӧс,munte
115,Gipfel::N,йыв,pisc
116,Höhle::N,нора,peșteră
117,Abhang::N,покат,pantă
118,Abhang::N,покат,versant
119,Quelle::N,больган,izvor
120,Bach::N,шор,gârlă
121,Fluss::N,ю,râu
122,Fluss::N,ю,fluviu
123,Ufer::N,берег,mal
124,Ufer::N,берег,țărm
125,Küste::N,берег,coastă
126,Festland::N,му,uscat
127,Meer::N,море,mare
128,Bucht::N,курья,golf
129,Blume::N,цветок,floare
130,Gras::N,турун,iarbă
131,Wurzel::N,вуж,rădăcină
132,Baum::N,пу,copac
133,Baum::N,пу,arbore
134,Stamm::N,мыр,tulpină
135,Stamm::N,кер,tulpină
136,Rinde::N,кач,scoarță
137,Ast::N,ув,cracă
138,Ast::N,ув,creangă
139,Zweig::N,ув,ramură
140,Zweig::N,ув,creangă
141,Blatt::N,лист,frunză
142,Birke::N,кыдз,mesteacăn
143,Kiefer[Baum]::N,пожум,pin
144,Weide[Baum]::N,бадь,salcie
145,Weide[Baum]::N,бадь,răchită
146,Tanne::N,кӧз,brad
147,Horn::N,сюр,corn
148,Feder::N,гӧн,pană
149,Fell::N,кучик,piele
150,Flügel::N,борд,aripă
151,Klaue::N,гыж,gheară
152,Kralle::N,кабыр,labă
153,Kralle::N,кабыр,gheară
154,Schwanz::N,бӧж,coadă
155,Ei::N,кольть,ou
156,Nest::N,поз,cuib
157,Bau::N,осьта,bârlog
158,Bau::N,осьта,vizuină
159,Bau::N,нора,bârlog
160,Bau::N,нора,vizuină
161,Tier::N,зверь,animal
162,Herde::N,гурт,turmă
163,Herde::N,гурт,cireadă
164,Kuh::N,мӧс,vacă
165,Bulle::N,ӧшка,taur
166,Pferd::N,вӧв,cal
167,Schaf::N,баля,oaie
168,Schwein::N,порсь,porc
169,Hund::N,пон,câine
170,Katze::N,кань,pisică
171,Bär::N,ош,urs
172,Eichhörnchen::N,ур,veveriță
173,Elch::N,вӧр мӧс,elan
174,Fuchs::N,руч,vulpe
175,Hase::N,кӧч,iepure
176,Maus::N,шыр,șoarece
177,Wolf::N,кӧин,lup
178,Vogel::N,кай,pasăre
179,Schwarm::N,стая,cârd
180,Schwarm::N,чукӧр,cârd
181,Huhn::N,курӧг,găină
182,Hahn::N,петух,cocoș
183,Hahn::N,ай курӧг,cocoș
184,Gans::N,дзодзог,gâscă
185,Adler::N,куч,vultur
186,Adler::N,кутш,vultur
187,Ente::N,утка,rață
188,Eule::N,тупка,bufniță
189,Kranich::N,тури,cocor
190,Krähe::N,рака,cioară
191,Kuckuck::N,кӧк,cuc
192,Schwan::N,юсь,lebădă
193,Fisch::N,чери,pește
194,Barsch::N,ёкыш,biban
195,Hecht::N,сирпинь,știucă
196,Schlange[Tier]::N,змей,șarpe
197,Wurm::N,номыр,vierme
198,Spinne::N,черань,păianjen
199,Ameise::N,кӧдзывкар,furnică
200,Laus::N,ляпа той,păduche
201,Mücke::N,ном,țânțar
202,Fliege::N,гут,muscă
203,Schmetterling::N,бабыв,fluture
204,Beere::N,ягӧд,boabă
205,Apfel::N,яблоко,măr
206,Pilz::N,тшак,burete
207,Pilz::N,тшак,ciupercă
208,Zwiebel::N,грез,ceapă
209,Saat::N,кӧдзыс,semănătură
210,Korn::N,сю,grâu
211,Heu::N,турун,fân
212,Schale::N,кыш,coajă
213,Schale::N,киль,coajă
214,Grube::N,яма,groapă
215,Falle::N,нальк,cursă
216,Falle::N,нальк,capcană
217,Falle::N,кляпча,cursă
218,Falle::N,кляпча,capcană
219,Schlinge::N,лӧч,laț
220,Spur::N,туй,dâră
