,Concept_ID,ru,lbe
0,Auge::N,глаз,я
1,Ohr::N,ухо,вичӏи
2,Nase::N,нос,май
3,Mund::N,рот,кьацӏ
4,Zahn::N,зуб,ккарччи
5,Zunge::N,язык,маз
6,Lippe::N,губа,мурччи
7,Wange::N,щека,чӏав
8,Gesicht::N,лицо,лажин
9,Stirn::N,лоб,ненттабакӏ
10,Haar::N,волос,чӏара
11,Haar::N,волосы,чӏара
12,Schnurrbart::N,ус,ссирссилтту
13,Schnurrbart::N,усы,ссирссилтту
14,Bart::N,борода,чӏири
15,Kinn::N,подбородок,лунттубакӏ
16,Kiefer[Anatomie]::N,челюсть,ххинчулул
17,Kehle::N,горло,кьакьари
18,Hals::N,шея,ссурссу
19,Genick::N,затылок,махъабакӏ
20,Kopf::N,голова,бакӏ
21,Rücken::N,спина,ттиликӏ
22,Bauch::N,живот,лякьа
23,Nabel::N,пупок,цӏумуккутӏ
24,Busen::N,женская грудь,ккукку
25,Brust::N,грудь,хъазам
26,Schulter::N,плечо,хъачӏ
27,Arm::N,рука,ка
28,Ellenbogen::N,локоть,ссюрхъ
29,Hand::N,кисть,бартка
30,Handfläche::N,ладонь,хъат
31,Handfläche::N,ладонь,битӏянхъ
32,Finger::N,палец,кӏисса
33,Fingernagel::N,ноготь,михь
34,Nagel[Anatomie]::N,ноготь,михь
35,Zeh::N,палец,кӏисса
36,Fuß::N,ступня,чӏанччан
37,Ferse::N,пята,никъа
38,Ferse::N,пятка,никъа
39,Knie::N,колено,ник
40,Oberschenkel::N,бедро,жира
41,Bein::N,нога,ччан
42,Körper::N,тело,чурх
43,Haut::N,кожа,бурчу
44,Blut::N,кровь,оь
45,Ader::N,вена,тунну
46,Ader::N,сосуд,тунну
47,Sehne::N,жила,хьхьа
48,Sehne::N,тетива,хьхьа
49,Sehne::N,сухожилие,хьхьа
50,Knochen::N,кость,ттаркӏ
51,Gehirn::N,мозг,ня
52,Herz::N,сердце,дакӏ
53,Herz::N,сердце,къюкӏ
54,Magen::N,желудок,лякьа
55,Leber::N,печень,
56,Atem::N,дух,ссихӏ ласаву
57,Atem::N,дух,ссихӏ бигьаву
58,Atem::N,дыхание,ссихӏ ласаву
59,Atem::N,дыхание,ссихӏ бигьаву
60,Hunger::N,голод,ккаши
