,Concept_ID,hu,ja
0,Auge::N,szem,目
1,Ohr::N,fül,耳
2,Nase::N,orr,鼻
3,Mund::N,száj,口
4,Zahn::N,fog,歯
5,Zunge::N,nyelv,舌
6,Lippe::N,ajak,唇
7,Wange::N,orca,頬
8,Gesicht::N,arc,顔
9,Stirn::N,homlok,額
10,Haar::N,haj,髪
11,Schnurrbart::N,bajusz,口髭
12,Bart::N,szakáll,髭
13,Kinn::N,áll,顎
14,Kiefer[Anatomie]::N,állkapocs,顎
15,Kehle::N,gége,喉
16,Kehle::N,torok,喉
17,Hals::N,nyak,首
18,Genick::N,tarkó,首
19,Kopf::N,fő,頭
20,Kopf::N,fej,頭
21,Rücken::N,hát,背中
22,Bauch::N,has,腹
23,Bauch::N,has,お腹
24,Nabel::N,köldök,へそ
25,Busen::N,mell,乳房
26,Busen::N,kebel,乳房
27,Brust::N,mell,胸
28,Schulter::N,váll,肩
29,Arm::N,kar,腕
30,Ellenbogen::N,könyök,肘
31,Hand::N,kéz,手
32,Handfläche::N,tenyér,手のひら
33,Finger::N,ujj,指
34,Fingernagel::N,köröm,爪
35,Nagel[Anatomie]::N,köröm,爪
36,Zeh::N,lábujj,足の指
37,Fuß::N,láb,足
38,Ferse::N,sarok,かかと
39,Knie::N,térd,膝
40,Oberschenkel::N,comb,上腿
41,Bein::N,láb,足
42,Bein::N,lábszár,足
43,Körper::N,test,体
44,Haut::N,bőr,皮膚
45,Blut::N,vér,血
46,Ader::N,ér,血管
47,Sehne::N,ín,腱
48,Knochen::N,csont,骨
49,Gehirn::N,agy,脳
50,Gehirn::N,agyvelő,脳
51,Herz::N,szív,心
52,Herz::N,szív,心臓
53,Magen::N,gyomor,胃
54,Leber::N,máj,肝臓
55,Atem::N,lehelet,息
56,Atem::N,lehelet,呼吸
57,Atem::N,lélegzet,息
58,Atem::N,lélegzet,呼吸
59,Hunger::N,éhség,空腹
60,Träne::N,könny,涙
61,Geschmack::N,íz,味
62,Geruch::N,szag,匂い
63,Schlaf::N,álom,睡眠
64,Schlaf::N,alvás,睡眠
65,Traum::N,álom,夢
66,Himmel::N,ég,空
67,Himmel::N,menny,空
68,Sonne::N,nap,太陽
69,Mond::N,hold,月
70,Stern::N,csillag,星
71,Luft::N,levegő,空気
72,Wind::N,szél,風
73,Welle::N,hullám,波
74,Wasser::N,víz,水
75,Stein::N,kő,石
76,Boden::N,föld,土地
77,Boden::N,talaj,土地
78,Erde::N,föld,土
79,Staub::N,por,埃
80,Rauch::N,füst,煙
81,Funke::N,szikra,火花
82,Feuer::N,tűz,火
83,Licht::N,fény,光
84,Schatten::N,árnyék,陰
85,Wetter::N,idő,天気
86,Wetter::N,időjárás,天気
87,Nebel::N,köd,霧
88,Wolke::N,felhő,雲
89,Regen::N,eső,雨
90,Schnee::N,hó,雪
91,Eis::N,jég,氷
92,Frost::N,fagy,霜
93,Kälte::N,hideg,寒さ
94,Hitze::N,hő,暑さ
95,Hitze::N,hőség,暑さ
96,Raureif::N,zúzmara,霧氷
97,Regenbogen::N,szivárvány,虹
98,Donner::N,dörgés,雷
99,Donner::N,mennydörgés,雷
100,Strömung::N,áramlat,流れ
101,Tropfen::N,csepp,滴
102,Schaum::N,hab,泡
103,Schaum::N,tajték,泡
104,Schmutz::N,piszok,汚れ
105,See::N,tó,湖
106,Sumpf::N,mocsár,沼
107,Moor::N,láp,湿原
108,Wiese::N,rét,草原
109,Wiese::N,mező,草原
110,Wald::N,erdő,森
111,Hügel::N,domb,丘
112,Anhöhe::N,magaslat,高み
113,Berg::N,hegy,山
114,Gipfel::N,csúcs,頂上
115,Höhle::N,barlang,洞窟
116,Abhang::N,lejtő,斜面
117,Quelle::N,forrás,泉
118,Bach::N,patak,小川
119,Fluss::N,folyó,川
120,Ufer::N,part,岸
121,Küste::N,tengerpart,海岸
122,Festland::N,szárazföld,陸
123,Meer::N,tenger,海
124,Bucht::N,öböl,湾
125,Insel::N,sziget,島
126,Blume::N,virág,花
127,Gras::N,fű,草
128,Wurzel::N,gyökér,根
129,Baum::N,fa,木
130,Stamm::N,tő,幹
131,Stamm::N,törzs,幹
132,Rinde::N,kéreg,皮層
133,Ast::N,ág,枝
134,Zweig::N,gally,小枝
