,Concept_ID,ga,ba
0,Auge::N,súil,күҙ
1,Ohr::N,cluas,ҡолаҡ
2,Nase::N,soc,танау
3,Mund::N,béal,ауыҙ
4,Zahn::N,fiacail,теш
5,Zunge::N,teanga,тел
6,Lippe::N,liopa,ирен
7,Wange::N,grua,яцаҡтар
8,Wange::N,leiceann,яцаҡтар
9,Gesicht::N,éadan,бит
10,Gesicht::N,aghaidh,бит
11,Stirn::N,baithis,маңлай
12,Stirn::N,clár éadain,маңлай
13,Haar::N,gruaig,сәс
14,Schnurrbart::N,croiméal,мылтыҡ
15,Bart::N,féasóg,һаҡал
16,Kinn::N,smig,эйэк
17,Kiefer[Anatomie]::N,giall,яңаҡ һөйәге
18,Kehle::N,scornach,тамаҡ
19,Hals::N,muinéal,муйын
20,Genick::N,baic,соңҡа
21,Kopf::N,ceann,баш
22,Rücken::N,droim,арҡа
23,Bauch::N,bolg,ҡорһаҡ
24,Nabel::N,imleacán,кендек
25,Busen::N,cíoch,күкрәк
26,Brust::N,brollach,түш
27,Schulter::N,gualainn,яурын
28,Arm::N,lámh,ҡул
29,Ellenbogen::N,uillinn,терһәк
30,Hand::N,lámh,ҡул
31,Hand::N,lámh,ҡул суғы
32,Handfläche::N,bos,ус төбө
33,Finger::N,méar,бармаҡ
34,Fingernagel::N,ionga,тырнаҡ
35,Nagel[Anatomie]::N,ionga,тырнаҡ
36,Zeh::N,ladhar,бармаҡ
37,Fuß::N,cos,табан
38,Fuß::N,troigh,табан
39,Ferse::N,sáil,үксә
40,Knie::N,glúin,тубыҡ
41,Oberschenkel::N,ceathrú,сандыр
42,Bein::N,cos,аяҡ
43,Körper::N,corp,тән
44,Körper::N,colainn,тән
45,Haut::N,cneas,тире
46,Haut::N,craiceann,тире
47,Blut::N,fuil,ҡан
48,Sehne::N,teannán,һеңер
49,Sehne::N,teannán,тарамыш
50,Sehne::N,féitheog,һеңер
51,Sehne::N,féitheog,тарамыш
52,Knochen::N,cnámh,һойәк
53,Gehirn::N,inchinn,мейе
54,Herz::N,croí,йорәк
55,Magen::N,bolg,ашҡаҙан
56,Magen::N,goile,ашҡаҙан
57,Leber::N,ae,бауыр
58,Atem::N,anáil,һулыш
59,Hunger::N,ocras,аслыҡ
60,Träne::N,deoir,күҙ иәше
61,Geschmack::N,blas,тәм
62,Geruch::N,boladh,еҫ
63,Schlaf::N,suan,йоҡлау
64,Schlaf::N,codladh,йоҡлау
65,Traum::N,taibhreamh,төш
66,Himmel::N,spéir,күк
67,Sonne::N,grian,ҡояш
68,Mond::N,ré,ай
69,Mond::N,gealach,ай
70,Stern::N,rinn,йондоҙ
71,Stern::N,réalta,йондоҙ
72,Luft::N,aer,һауа
73,Wind::N,gaoth,ел
74,Welle::N,tonn,тулҡын
75,Wasser::N,uisce,һыу
76,Stein::N,cloch,таш
77,Boden::N,talamh,тупраҡ
78,Erde::N,cré,балсҡ
79,Erde::N,ithir,балсҡ
80,Staub::N,dusta,туҙан
81,Staub::N,deannach,туҙан
82,Rauch::N,toit,төтөн
83,Rauch::N,deatach,төтөн
84,Funke::N,drithle,осҡон
85,Feuer::N,tine,ут
86,Licht::N,solas,яҡтылыҡ
87,Schatten::N,scáth,күләгә
88,Wetter::N,aimsir,һауа торошо
89,Nebel::N,ceo,төман
90,Wolke::N,néal,болот
91,Wolke::N,scamall,болот
92,Regen::N,báisteach,ямғыр
