,Concept_ID,sq,sk
0,Auge::N,sy,oko
1,Ohr::N,vesh,ucho
2,Nase::N,hundë,nos
3,Mund::N,gojë,ústa
4,Zahn::N,dhëmb,zub
5,Zunge::N,gjuhë,jazyk
6,Lippe::N,buzë,pera
7,Wange::N,faqe,líce
8,Wange::N,mollëz,líce
9,Gesicht::N,fytyrë,tvár
10,Gesicht::N,fytyrë,obličaj
11,Stirn::N,ballë,čelo
12,Haar::N,flokë,vlas
13,Schnurrbart::N,mustaqe,fúzy
14,Bart::N,mjekër,brada
15,Kinn::N,mjekër,brada
16,Kiefer[Anatomie]::N,nofull,čeľusť
17,Kehle::N,fyt,hrdlo
18,Kehle::N,grykë,hrdlo
19,Hals::N,qafë,krk
20,Genick::N,arrëz,väzy
21,Kopf::N,kokë,hlava
22,Rücken::N,kurriz,chrbát
23,Bauch::N,bark,brucho
24,Nabel::N,kërthizë,pupok
25,Busen::N,gji,prsia
26,Brust::N,gjoks,hruď
27,Brust::N,kraharor,hruď
28,Schulter::N,sup,plece
29,Schulter::N,krah,plece
30,Arm::N,krah,rameno
31,Ellenbogen::N,bërryl,lakeť
32,Hand::N,dorë,ruka
33,Handfläche::N,pëllëmbë,dlaň
34,Finger::N,gisht,prst
35,Fingernagel::N,thua,necht
36,Nagel[Anatomie]::N,thua,necht
37,Zeh::N,gisht i këmbës,prst na nohe
38,Fuß::N,këmbë,noha
39,Ferse::N,thembër,päta
40,Knie::N,gju,koleno
41,Oberschenkel::N,kofshë,stehno
42,Bein::N,këmbë,noha
43,Körper::N,trup,telo
44,Haut::N,lëkurë,koža
45,Blut::N,gjak,krv
46,Ader::N,venë,žila
47,Sehne::N,dell,šľacha
48,Knochen::N,asht,kosť
49,Knochen::N,kockë,kosť
50,Gehirn::N,tru,mozog
51,Herz::N,zemër,srdce
52,Magen::N,stomak,žalúdok
53,Leber::N,mëlçi,pečeň
54,Atem::N,frymë,dych
55,Hunger::N,uri,hlad
56,Träne::N,lot,slza
57,Geschmack::N,shije,chuť
58,Geruch::N,erë,pach
59,Schlaf::N,gjumë,spánok
60,Traum::N,ëndërr,sen
61,Himmel::N,qiell,nebo
62,Sonne::N,diell,slnko
63,Mond::N,hënë,mesiac
64,Stern::N,yll,hviezda
65,Luft::N,ajër,vzduch
66,Wind::N,erë,vietor
67,Welle::N,valë,vlna
68,Welle::N,dallgë,vlna
69,Wasser::N,ujë,voda
70,Stein::N,gur,kameň
71,Boden::N,tokë,zem
72,Boden::N,tokë,pôda
73,Boden::N,truall,zem
74,Boden::N,truall,pôda
75,Erde::N,dhe,zem
76,Erde::N,baltë,zem
77,Staub::N,pluhur,prach
78,Rauch::N,tym,dym
79,Funke::N,xixë,iskra
80,Funke::N,shkëndijë,iskra
81,Feuer::N,zjarr,oheň
82,Licht::N,dritë,svetlo
83,Schatten::N,hije,tieň
84,Wetter::N,mot,počasie
85,Nebel::N,mjegull,hmla
86,Wolke::N,re,oblak
87,Wolke::N,re,mračno
88,Regen::N,shi,dážď
89,Schnee::N,borë,sneh
90,Eis::N,akull,ľad
91,Frost::N,ngricë,mráz
92,Kälte::N,të ftohtë,zima
93,Kälte::N,të ftohtë,chlad
94,Hitze::N,vapë,horúčava
95,Hitze::N,nxehtësi,horúčava
96,Raureif::N,cikmë,srieň
97,Raureif::N,cikmë,inovať
98,Regenbogen::N,ylber,dúha
99,Donner::N,gjëmim,hrom
100,Donner::N,bubullimë,hrom
101,Strömung::N,rrymë,prúdenie
102,Tropfen::N,pikë,kvapka
103,Schaum::N,shkumë,pena
104,Schmutz::N,baltë,špina
105,Schmutz::N,baltë,nečistota
106,See::N,liqen,jazero
107,Sumpf::N,batak,bahno
108,Moor::N,kënetë,močiar
109,Wiese::N,livadh,lúka
110,Wald::N,pyll,les
111,Wald::N,pyll,hora
112,Hügel::N,kodër,vŕšok
113,Anhöhe::N,bregore,výšina
114,Anhöhe::N,bregore,vyvýšenina
115,Berg::N,mal,hora
116,Gipfel::N,kulm,vrchol
117,Höhle::N,shpellë,jaskyňa
118,Höhle::N,zgafelle,jaskyňa
119,Abhang::N,shpat,úbočie
120,Abhang::N,tatëpjetë,úbočie
121,Quelle::N,krua,prameň
122,Quelle::N,burim,prameň
123,Bach::N,virua,potok
124,Fluss::N,lumë,rieka
125,Ufer::N,breg,breh
126,Küste::N,anëdet,pobrežie
127,Küste::N,bregdet,pobrežie
128,Festland::N,kontinent,pevnina
129,Meer::N,det,more
130,Bucht::N,gji deti,záliv
131,Bucht::N,gji deti,zátoka
132,Insel::N,ishull,ostrov
133,Insel::N,ujdhesë,ostrov
134,Blume::N,lule,kvet
135,Blume::N,lule,kvetina
136,Gras::N,bar,tráva
137,Wurzel::N,rrënjë,koreň
138,Baum::N,pemë,strom
139,Stamm::N,trung,kmeň
140,Rinde::N,lëvore,kôra
141,Ast::N,degë,konár
142,Zweig::N,bisk,vetva
143,Blatt::N,fletë,list
144,Blatt::N,gjethe,list
145,Birke::N,mështekën,breza
146,Kiefer[Baum]::N,pishë,sosna
147,Kiefer[Baum]::N,pishë,borovica
148,Weide[Baum]::N,shelg,vŕba
149,Tanne::N,bredh,jedľa
150,Horn::N,bri,roh
151,Feder::N,pupël,pero
152,Fell::N,lëkurë,koža
153,Fell::N,lëkurë,kožušina
154,Flügel::N,krah,krídlo
155,Flügel::N,fletë,krídlo
156,Klaue::N,kthetër,paznecht
157,Kralle::N,thua,pazúr
158,Kralle::N,kthetër,pazúr
159,Schwanz::N,bisht,chvost
160,Ei::N,vezë,vajce
161,Ei::N,vezë,vajíčko
162,Nest::N,fole,hniezdo
163,Bau::N,strofkë,nora
164,Tier::N,kafshë,zviera
165,Herde::N,kope,stádo
166,Herde::N,grigjë,stádo
167,Kuh::N,lopë,krava
168,Bulle::N,dem,býk
169,Pferd::N,kalë,kôň
170,Schaf::N,dele,ovca
171,Schwein::N,derr,sviňa
172,Hund::N,qen,pes
173,Katze::N,mace,mačka
174,Bär::N,ari,medveď
175,Eichhörnchen::N,ketër,veverička
176,Elch::N,dre brilopatë,los
177,Fuchs::N,dhelpër,líška
178,Hase::N,lepur,zajac
179,Maus::N,mi,myš
180,Wolf::N,ujk,vlk
181,Vogel::N,zog,vták
182,Vogel::N,shpend,vták
183,Schwarm::N,luzmë,roj
184,Huhn::N,pulë,kurča
185,Huhn::N,pulë,sliepka
186,Hahn::N,gjel,kohút
187,Hahn::N,këndes,kohút
188,Gans::N,patë,hus
189,Adler::N,shqiponjë,orol
190,Ente::N,rosë,kačka
191,Ente::N,rosë,kačica
192,Eule::N,buf,sova
193,Kranich::N,lejlek,žeriav
194,Kranich::N,kurrillë,žeriav
195,Krähe::N,sorrë,vrana
196,Kuckuck::N,qyqe,kukučka
197,Schwan::N,mjellmë,labuť
198,Fisch::N,peshk,ryba
199,Barsch::N,purtekë,ostriež
200,Hecht::N,mlysh,šťuka
201,Schlange[Tier]::N,gjarpër,had
202,Wurm::N,krimb,červ
203,Spinne::N,marimangë,pavúk
204,Ameise::N,thnegël,mravec
205,Ameise::N,milingonë,mravec
206,Laus::N,morr,voš
207,Mücke::N,kunup,komár
208,Mücke::N,mushkonjë,komár
209,Fliege::N,mizë,mucha
210,Schmetterling::N,flutur,motýľ
211,Beere::N,frutë,bobuľa
212,Beere::N,manaferrë,bobuľa
213,Apfel::N,mollë,jablko
214,Pilz::N,kërpudhë,hríb
215,Zwiebel::N,qepë,cibuľa
216,Saat::N,farë,osivo
217,Korn::N,grurë,zrno
218,Korn::N,kokërr,zrno
219,Heu::N,sanë,seno
220,Schale::N,lëkurë,šupa
221,Schale::N,lëkurë,škrupina
222,Grube::N,gropë,jama
223,Falle::N,kurth,pasca
224,Falle::N,kurth,klepec
225,Falle::N,grackë,pasca
226,Falle::N,grackë,klepec
227,Schlinge::N,nyjë,slučka
228,Spur::N,gjurmë,stopa
229,Asche::N,hi,popol
230,Dreck::N,baltë,kal
231,Dreck::N,baltë,blato
232,Eisen::N,hekur,železo
233,Gold::N,ar,zlato
234,Gold::N,flori,zlato
235,Silber::N,argjend,striebro
236,Kohle::N,qymyr,uhlie
237,Glas::N,qelq,sklo
238,Lehm::N,argjilë,íl
239,Lehm::N,argjilë,hlina
240,Sand::N,rërë,piesok
241,Mensch::N,njeri,človek
242,Mann::N,burrë,muž
243,Mann::N,burrë,chlap
244,Mann::N,mashkull,muž
245,Mann::N,mashkull,chlap
246,Frau::N,grua,žena
247,Frau::N,femër,žena
248,Kind::N,kalama,dieťa
249,Junge::N,djalë,chlapec
250,Mädchen::N,gocë,dievka
251,Mädchen::N,vajzë,dievka
252,Familie::N,familje,rodina
253,Großvater::N,gjysh,dedo
254,Großvater::N,gjysh,starý otec
255,Großmutter::N,gjyshe,babička
256,Großmutter::N,gjyshe,stará mať
257,Eltern::N,prindër,rodičia
258,Vater::N,atë,otec
259,Mutter::N,nënë,mať
260,Mutter::N,nënë,matka
261,Sohn::N,bir,syn
262,Tochter::N,bijë,dcéra
263,Bruder::N,vëlla,brat
264,Schwester::N,motër,sestra
265,Onkel::N,dajë,ujo
266,Onkel::N,dajë,strýko
267,Onkel::N,xhaxha,ujo
268,Onkel::N,xhaxha,strýko
269,Tante::N,teze,teta
270,Tante::N,teze,tetka
271,Tante::N,hallë,teta
272,Tante::N,hallë,tetka
273,Ehemann::N,burrë,muž
274,Ehemann::N,burrë,manžel
275,Ehemann::N,bashkëshort,muž
276,Ehemann::N,bashkëshort,manžel
277,Ehefrau::N,grua,žena
278,Ehefrau::N,grua,manželka
279,Ehefrau::N,bashkëshorte,žena
280,Ehefrau::N,bashkëshorte,manželka
281,Freude::N,gaz,radosť
282,Freude::N,gëzim,radosť
283,Gelächter::N,qeshje,smiech
284,Glück::N,lumturi,šťastie
285,Kummer::N,brengë,žiaľ
286,Kummer::N,brengë,zármutok
287,Kummer::N,pikëllim,žiaľ
288,Kummer::N,pikëllim,zármutok
289,Wunsch::N,dëshirë,prianie
290,Lust::N,epsh,chuť
291,Lust::N,dashuri,chuť
292,Geist::N,frymë,duch
293,Geist::N,shpirt,duch
294,Gedanke::N,ide,myšlienka
295,Gedanke::N,mendim,myšlienka
296,Gedächtnis::N,kujtesë,pamäť
297,Verstand::N,mend,rozum
298,Sinn::N,kuptim,zmysel
299,Grund::N,arsye,dôvod
300,Grund::N,arsye,príčina
301,Wahrheit::N,vërtetë,pravda
302,Gespräch::N,bisedim,reč
303,Gespräch::N,bisedim,rozhovor
304,Märchen::N,përrallë,rozprávka
305,Erzählung::N,tregim,poviedka
306,Nachricht::N,lajm,správa
307,Neuigkeit::N,risi,novinka
308,Name::N,emër,meno
309,Rätsel::N,gjëzë,záhada
310,Rätsel::N,gjëzë,hádanka
311,Rätsel::N,gjëegjëzë,záhada
312,Rätsel::N,gjëegjëzë,hádanka
313,Rede::N,fjalim,reč
314,Sprache::N,gjuhë,reč
315,Sprache::N,gjuhë,jazyk
316,Stimme::N,zë,hlas
317,Wort::N,fjalë,slovo
318,Zeichen::N,shenjë,znak
319,Ruf::N,thirrmë,volanie
320,Ruf::N,thirrmë,zavolanie
321,Lärm::N,zhurmë,hluk
322,Lärm::N,zhurmë,hurhaj
323,Laut::N,tingull,zvuk
324,Ton::N,ton,tón
325,Ton::N,ton,zvuk
326,Lied::N,këngë,pieseň
327,Ruhe::N,qetësi,pokoj
328,Leute::N,botë,ľudia
329,Leute::N,njerëz,ľudia
330,Volk::N,popull,ľud
331,Volk::N,popull,národ
332,Arbeit::N,punë,práca
333,Arbeit::N,punë,robota
334,Gast::N,mik,hosť
335,Gast::N,mysafir,hosť
336,Geschenk::N,dhuratë,dar
337,Geschenk::N,peshqesh,dar
338,Spiel::N,lojë,hra
339,Gesellschaft::N,shoqëri,spoločnosť
340,Hilfe::N,ndihmë,pomoc
341,Freund::N,mik,priateľ
342,Kamerad::N,shok,kamarát
343,Angelegenheit::N,punë,vec
344,Angelegenheit::N,punë,záležitosť
345,Anzahl::N,sasi,počet
346,Anzahl::N,sasi,množstvo
347,Art::N,lloj,druh
348,Stück::N,copë,kus
349,Stück::N,copë,kúsok
350,Teil::N,pjesë,časť
351,Hälfte::N,gjysmë,polka
352,Hälfte::N,gjysmë,polovica
353,Kreis::N,qark,kruh
354,Kreis::N,rreth,kruh
355,Kreuz::N,kryq,kríž
356,Linie::N,vijë,línia
357,Strich::N,vizë,čiara
358,Abstand::N,distancë,vzdialenosť
359,Entfernung::N,largim,vzdialenosť
360,Gegend::N,vise,kraj
361,Gegend::N,vise,krajina
362,Gegend::N,krahinë,kraj
363,Gegend::N,krahinë,krajina
364,Platz::N,shesh,miesto
365,Ort::N,vend,miesto
366,Seite::N,anë,bok
367,Seite::N,anë,strana
368,Mitte::N,mes,stred
369,Gegenstand::N,send,predmet
370,Sache::N,gjë,vec
371,Sache::N,send,vec
372,Rand::N,qoshe,kraj
373,Rand::N,qoshe,okraj
374,Kante::N,teh,hrana
375,Ecke::N,qoshe,roh
376,Spitze::N,majë,hrot
377,Spitze::N,majë,špička
378,Ende::N,skaj,koniec
379,Ende::N,bisht,koniec
380,Loch::N,vrimë,diera
381,Winkel::N,kënd,kút
382,Muster::N,mostër,vzor
383,Muster::N,mostër,vzorka
384,Größe::N,madhësi,veľkosť
385,Länge::N,gjatësi,dĺžka
386,Höhe::N,lartësi,výška
387,Gewicht::N,peshë,váha
388,Menge::N,sasi,množstvo
389,Haufen::N,grumbull,hŕba
390,Reihe::N,radhë,rad
391,Reihe::N,rresht,rad
392,Boot::N,barkë,čln
393,Boot::N,lundër,čln
394,Ruder::N,rrem,veslo
395,Schlitten::N,sajë,sane
396,Ski::N,ski,lyža
397,Lagerfeuer::N,flakadan,táborák
398,Lagerfeuer::N,zjarr i madh,táborák
399,Last::N,barrë,ťarcha
400,Last::N,barrë,bremeno
401,Gang::N,ecje,chôdza
402,Schritt::N,hap,krok
403,Norden::N,veri,sever
404,Süden::N,jug,juh
405,Westen::N,perëndim,západ
406,Osten::N,lindje,východ
407,Holz::N,dru,drevo
408,Brett::N,dërrasë,doska
409,Platte::N,pllakë,doska
410,Platte::N,pllakë,platňa
411,Stütze::N,shtyllë,opora
412,Stütze::N,mbështetesë,opora
413,Stange::N,shufër,tyč
414,Stock::N,dajak,palica
415,Stab::N,shkop,palica
416,Rohr::N,tub,rúra
417,Haus::N,shtëpi,dom
418,Heim::N,konak,domov
419,Heim::N,shtëpi,domov
420,Ofen::N,sobë,pec
421,Ofen::N,sobë,kachle
422,Ofen::N,stufë,pec
423,Ofen::N,stufë,kachle
424,Fußboden::N,dysheme,dlážka
425,Fußboden::N,dysheme,podlaha
426,Tisch::N,tryezë,stôl
427,Stuhl::N,karrige,stolička
428,Wiege::N,djep,kolíska
429,Bett::N,shtrat,lôžko
430,Bett::N,shtrat,posteľ
431,Regal::N,raft,regál
432,Regal::N,raft,polica
433,Kiste::N,kuti,debna
434,Fenster::N,dritare,okno
435,Fenster::N,dritare,oblok
436,Tür::N,derë,dvere
437,Tor::N,portë,vráta
438,Zaun::N,gardh,plot
439,Zaun::N,gardh,ohrada
440,Dach::N,çati,krov
441,Dach::N,çati,strecha
442,Leiter::N,shkallë,rebrík
443,Leiter::N,shkallë,rebrina
444,Besen::N,fshesë,metla
445,Spaten::N,lopatë,rýľ
446,Schaufel::N,qyrek,lopata
447,Gabel::N,pirun,vidlička
448,Löffel::N,lugë,lyžica
449,Messer::N,thikë,nôž
450,Nagel::N,gozhdë,klinec
451,Netz::N,rrjetë,sieť
452,Haken::N,grep,hák
453,Haken::N,grep,háčik
454,Haken::N,grremç,hák
455,Haken::N,grremç,háčik
456,Griff::N,dorak,rukoväť
457,Griff::N,dorezë,rukoväť
458,Schloss::N,bravë,zámka
459,Bild::N,tablo,obraz
460,Bild::N,pikturë,obraz
461,Figur::N,figurë,figúra
462,Puppe::N,kukull,bábka
463,Puppe::N,kukull,bábika
464,Beutel::N,qese,vrece
465,Beutel::N,qese,vrecko
466,Beutel::N,trastë,vrece
467,Beutel::N,trastë,vrecko
468,Bündel::N,deng,uzlík
469,Bündel::N,deng,zväzok
470,Tasche::N,çantë,taška
471,Tasche::N,çantë,kabelka
472,Eimer::N,kovë,vedro
473,Deckel::N,kapak,vrchnák
474,Deckel::N,kapak,pokrývka
475,Deckel::N,mbulesë,vrchnák
476,Deckel::N,mbulesë,pokrývka
477,Geschirr::N,enë,nádoba
478,Sack::N,thes,mech
479,Sack::N,thes,vrece
480,Sack::N,torbë,mech
481,Sack::N,torbë,vrece
482,Tasse::N,filxhan,šálka
483,Topf::N,kusi,hrniec
484,Topf::N,tenxhere,hrniec
485,Kessel::N,kazan,kotol
486,Essen::N,ngrënie,jedlo
487,Nahrung::N,ushqim,strava
488,Nahrung::N,ushqim,potrava
489,Speise::N,gatesë,jedlo
490,Fleisch::N,mish,mäso
491,Getreide::N,drithë,obilie
492,Brei::N,qull,kaša
493,Brot::N,bukë,chlieb
494,Scheibe::N,fetë,kotúč
495,Scheibe::N,fetë,krajec
496,Fett::N,lyrë,tuk
497,Fett::N,lyrë,masť
498,Fett::N,yndyrë,tuk
499,Fett::N,yndyrë,masť
500,Butter::N,gjalpë,maslo
501,Öl::N,vaj,olej
502,Salz::N,kripë,soľ
503,Suppe::N,supë,polievka
504,Suppe::N,çorbë,polievka
505,Honig::N,mjaltë,med
506,Milch::N,qumësht,mlieko
507,Tee::N,çaj,čaj
508,Leder::N,lëkurë,koža
509,Wolle::N,lesh,vlna
510,Stoff::N,pëlhurë,súkno
511,Nadel::N,gjilpërë,ihla
512,Faden::N,pe,niť
513,Faden::N,pe,vlákno
514,Faden::N,fije,niť
515,Faden::N,fije,vlákno
516,Knopf::N,kopsë,gombík
517,Knoten::N,komb,uzol
518,Farbe::N,bojë,farba
519,Kleidung::N,veshje,šaty
520,Kleidung::N,veshje,šatstvo
521,Hemd::N,këmishë,košeľa
522,Kragen::N,jakë,golier
523,Ärmel::N,mëngë,rukáv
524,Hose::N,brekë,nohavice
525,Gürtel::N,rrip,pás
526,Gürtel::N,rrip,opasok
527,Mütze::N,kësulë,čiapka
528,Schuh::N,këpucë,obuv
529,Schuh::N,këpucë,topánka
530,Stiefel::N,çizme,čižma
531,Ring::N,unazë,prsteň
532,Band::N,shirit,stuha
533,Kamm::N,krehër,hrebeň
534,Spiegel::N,pasqyrë,zrkadlo
535,Riemen::N,rrip,remeň
536,Schnur::N,litar,šnúra
537,Schnur::N,cikomë,šnúra
538,Leine::N,rrip,vodidlo
539,Decke::N,batanije,deka
540,Decke::N,batanije,prikrývka
541,Kissen::N,jastëk,poduška
542,Tuch::N,shami,šatka
543,Handtuch::N,peshqir,uterák
544,Kraft::N,forcë,moc
545,Stärke::N,koll,sila
546,Gesundheit::N,shëndet,zdravie
547,Krankheit::N,sëmundje,nemoc
548,Krankheit::N,sëmundje,choroba
549,Schmerz::N,dhimbje,bolesť
550,Wunde::N,plagë,rana
551,Fieber::N,ethe,horúčka
552,Arznei::N,ilaç,liek
553,Brücke::N,urë,most
554,Brunnen::N,pus,studňa
555,Weide::N,kullotë,pastva
556,Pfad::N,ravë,chodník
557,Pfad::N,shteg,chodník
558,Weg::N,udhë,cesta
559,Weg::N,shteg,cesta
560,Straße::N,rrugë,hradská
561,Dorf::N,fshat,dedina
562,Dorf::N,katund,dedina
563,Stadt::N,qytet,mesto
564,Brief::N,letër,list
565,Buch::N,libër,kniha
566,Buchstabe::N,shkronjë,litera
567,Buchstabe::N,shkronjë,písmeno
568,Zeitung::N,gazetë,noviny
569,Leben::N,jetë,život
570,Tod::N,mortje,smrť
571,Grab::N,varr,hrob
572,Kirche::N,kishë,kostol
573,Sünde::N,mëkat,hriech
574,Sünde::N,gjynah,hriech
575,Gott::N,hy,boh
576,Gott::N,zot,boh
577,Arbeiter::N,punëtor,robotník
578,Arbeiter::N,punëtor,pracnovík
579,Chef::N,shef,šéf
580,Chef::N,shef,riaditeľ
581,Chef::N,drejtues,šéf
582,Chef::N,drejtues,riaditeľ
583,Meister::N,mjeshtër,majster
584,Arzt::N,mjek,lekár
585,Arzt::N,doktor,lekár
586,Lehrer::N,mësues,učiteľ
587,Lehrer::N,arsimtar,učiteľ
588,Geld::N,para,peniaze
589,Geld::N,holla,peniaze
590,Geschäft::N,ujdi,obchod
591,Geschäft::N,biznes,obchod
592,Laden::N,dyqan,obchod
593,Preis::N,çmim,cena
594,Ware::N,mall,tovar
595,Nutzen::N,dobi,osoh
596,Nutzen::N,dobi,úžitok
597,Nutzen::N,leverdi,osoh
598,Nutzen::N,leverdi,úžitok
599,Reichtum::N,kamje,bohatstvo
600,Reichtum::N,pasuri,bohatstvo
601,Welt::N,botë,svet
602,Land::N,vend,územie
603,Land::N,vend,krajina
604,Staat::N,shtet,štát
605,König::N,mbret,kráľ
606,Macht::N,fuqi,moc
607,Macht::N,fuqi,mocnosť
608,Macht::N,pushtet,moc
609,Macht::N,pushtet,mocnosť
610,Grenze::N,kufi,hranica
611,Krieg::N,luftë,vojna
612,Feind::N,armik,nepriateľ
613,Gewalt::N,dhunë,násilie
614,Kampf::N,luftim,boj
615,Bogen[Waffe]::N,hark,luk
