,Concept_ID,ba,lt
0,Auge::N,күҙ,akis
1,Ohr::N,ҡолаҡ,ausis
2,Nase::N,танау,nosis
3,Mund::N,ауыҙ,burna
4,Zahn::N,теш,dantis
5,Zunge::N,тел,liežuvis
6,Lippe::N,ирен,lūpa
7,Wange::N,яцаҡтар,žandas
8,Wange::N,яцаҡтар,skruostas
9,Gesicht::N,бит,veidas
10,Stirn::N,маңлай,kakta
11,Haar::N,сәс,plaukai
12,Schnurrbart::N,мылтыҡ,ūsai
13,Bart::N,һаҡал,barzda
14,Kinn::N,эйэк,smakras
15,Kiefer[Anatomie]::N,яңаҡ һөйәге,žandikaulis
16,Kehle::N,тамаҡ,gerklė
17,Hals::N,муйын,kaklas
18,Genick::N,соңҡа,sprandas
19,Kopf::N,баш,galva
20,Rücken::N,арҡа,nugara
21,Bauch::N,ҡорһаҡ,pilvas
22,Nabel::N,кендек,bamba
23,Busen::N,күкрәк,krūtinė
24,Brust::N,түш,krūtis
25,Schulter::N,яурын,petys
26,Arm::N,ҡул,ranka
27,Ellenbogen::N,терһәк,alkūnė
28,Hand::N,ҡул,ranka
29,Hand::N,ҡул,plaštaka
30,Hand::N,ҡул суғы,ranka
31,Hand::N,ҡул суғы,plaštaka
32,Handfläche::N,ус төбө,delnas
33,Handfläche::N,ус төбө,plaštaka
34,Finger::N,бармаҡ,pirštas
35,Fingernagel::N,тырнаҡ,nagas
36,Nagel[Anatomie]::N,тырнаҡ,nagas
37,Zeh::N,бармаҡ,pirštas
38,Fuß::N,табан,pėda
39,Ferse::N,үксә,kulnas
40,Knie::N,тубыҡ,kelis
41,Oberschenkel::N,сандыр,kulšis
42,Oberschenkel::N,сандыр,šlaunis
43,Bein::N,аяҡ,koja
44,Körper::N,тән,kūnas
45,Haut::N,тире,oda
46,Blut::N,ҡан,kraujas
47,Ader::N,тамыр,kraujagyslė
48,Sehne::N,һеңер,sausgyslė
49,Sehne::N,тарамыш,sausgyslė
50,Knochen::N,һойәк,kaulas
51,Gehirn::N,мейе,smegenys
52,Herz::N,йорәк,širdis
53,Magen::N,ашҡаҙан,skrandis
54,Leber::N,бауыр,kepenys
55,Atem::N,һулыш,kvapas
56,Hunger::N,аслыҡ,badas
57,Hunger::N,аслыҡ,alkis
58,Träne::N,күҙ иәше,ašara
59,Geschmack::N,тәм,skonis
60,Geruch::N,еҫ,kvapas
61,Schlaf::N,йоҡлау,miegas
62,Traum::N,төш,sapnas
63,Himmel::N,күк,dangus
64,Sonne::N,ҡояш,saulė
65,Mond::N,ай,mėnulis
66,Stern::N,йондоҙ,žvaigždė
67,Luft::N,һауа,oras
68,Wind::N,ел,vėjas
69,Welle::N,тулҡын,banga
70,Welle::N,тулҡын,vilnis
71,Wasser::N,һыу,vanduo
72,Stein::N,таш,akmuo
73,Boden::N,тупраҡ,žemė
74,Boden::N,тупраҡ,dugnas
75,Erde::N,балсҡ,žemė
76,Staub::N,туҙан,dulkės
77,Rauch::N,төтөн,dūmai
78,Funke::N,осҡон,kibirkštis
79,Feuer::N,ут,ugnis
80,Licht::N,яҡтылыҡ,šviesa
81,Schatten::N,күләгә,paūksmė
82,Wetter::N,һауа торошо,oras
83,Nebel::N,төман,migla
84,Nebel::N,төман,rūkas
85,Wolke::N,болот,debesis
86,Regen::N,ямғыр,lietus
87,Schnee::N,ҡар,sniegas
88,Eis::N,боҙ,ledas
89,Frost::N,һалҡын,šalna
90,Kälte::N,һыуыҡ,šaltis
91,Hitze::N,томра,karštis
92,Hitze::N,эҫелек,karštis
93,Raureif::N,ҡырау,šerkšnas
94,Regenbogen::N,йәйғор,vaivorykštė
95,Donner::N,күк күкрәү,perkūnas
96,Donner::N,күк күкрәү,griaustinis
97,Strömung::N,ағым,tėkmė
98,Tropfen::N,тамсы,lašas
99,Schaum::N,күбек,putos
100,Schmutz::N,батҡаҡ,purvas
101,See::N,күл,ežeras
102,Sumpf::N,һаҙлык,klampynė
103,Sumpf::N,һаҙлык,liūnas
104,Moor::N,һаҙ,pelkė
105,Wiese::N,болон,pieva
106,Wald::N,урман,miškas
107,Hügel::N,түбә,kalva
108,Anhöhe::N,түбә,kauburys
109,Anhöhe::N,ҡалҡыулыҡ,kauburys
110,Berg::N,тау,kalnas
111,Gipfel::N,түбә,viršūnė
112,Höhle::N,мәмерйә,ola
113,Abhang::N,ипкен,šlaitas
114,Abhang::N,ипкен,nuokalnė
115,Quelle::N,шишмә,versmė
116,Quelle::N,шишмә,šaltinis
117,Bach::N,шишмә,upelis
118,Fluss::N,йылға,upė
119,Ufer::N,яр,krantas
120,Küste::N,яр буйы,pajūris
121,Festland::N,ҡоро ер,sausuma
122,Meer::N,диңгез,jūra
123,Bucht::N,бухта,įlanka
124,Bucht::N,бухта,užutekis
125,Insel::N,үтрау,sala
126,Blume::N,сәскә,gėlė
127,Gras::N,үлән,žolė
128,Wurzel::N,тамыр,šaknis
129,Baum::N,ағас,medis
130,Stamm::N,олон,kamienas
131,Stamm::N,көбәк,kamienas
132,Rinde::N,ҡабыҡ,žievė
133,Ast::N,ботаҡ,šaka
134,Zweig::N,ботаҡ,šakelė
135,Zweig::N,тармаҡ,šakelė
136,Blatt::N,япраҡ,lapas
137,Birke::N,ҡайын,beržas
138,Kiefer[Baum]::N,ҡарғай,pušis
139,Weide[Baum]::N,тал,karklas
140,Tanne::N,шыршы,eglė
141,Tanne::N,шыршы,kėnis
142,Horn::N,мөғөҙ,ragas
143,Feder::N,ҡауырһын,plunksna
144,Fell::N,тире,kailis
145,Flügel::N,ҡанат,sparnas
146,Klaue::N,тырнаҡ,kanopa
147,Kralle::N,аяҡ,nagas
148,Schwanz::N,ҡойроҡ,uodega
149,Ei::N,йомортҡа,kiaušinis
150,Nest::N,оя,gūžta
