,Concept_ID,eu,lv
0,Auge::N,begi,син
1,Auge::N,begi,acs
2,Ohr::N,belarri,пель
3,Ohr::N,belarri,auss
4,Nase::N,sudur,ныр
5,Nase::N,sudur,deguns
6,Mund::N,aho,вом
7,Mund::N,aho,mute
8,Zahn::N,hortz,пинь
9,Zahn::N,hortz,zobs
10,Zunge::N,mihi,кыв
11,Zunge::N,mihi,mēle
12,Lippe::N,ezpain,вом дор
13,Lippe::N,ezpain,lūpa
14,Wange::N,masail,бан
15,Wange::N,masail,vaigs
16,Gesicht::N,aurpegi,чужӧм
17,Gesicht::N,aurpegi,seja
18,Gesicht::N,aurpegi,ģīmis
19,Stirn::N,bekoki,плеш
20,Stirn::N,bekoki,кымӧс
21,Stirn::N,bekoki,piere
22,Haar::N,ile,си
23,Haar::N,ile,юрси
24,Haar::N,ile,mats
25,Haar::N,bilo,си
26,Haar::N,bilo,юрси
27,Haar::N,bilo,mats
28,Schnurrbart::N,bibote,ус
29,Schnurrbart::N,bibote,пыртсим
30,Schnurrbart::N,bibote,ūsas
31,Schnurrbart::N,sudurpeko,ус
32,Schnurrbart::N,sudurpeko,пыртсим
33,Schnurrbart::N,sudurpeko,ūsas
34,Bart::N,bizar,тош
35,Bart::N,bizar,bārda
36,Kinn::N,kokots,тшӧка
37,Kinn::N,kokots,zods
38,Kinn::N,kokots,smakrs
39,Kiefer[Anatomie]::N,masailezur,черлы
40,Kiefer[Anatomie]::N,masailezur,алака лы
41,Kiefer[Anatomie]::N,masailezur,вомкӧтш лы
42,Kiefer[Anatomie]::N,masailezur,žoklis
43,Kehle::N,eztarri,голя
44,Kehle::N,eztarri,rīkle
45,Hals::N,sama,сьылі
46,Hals::N,sama,kakls
47,Genick::N,garondo,юрбӧр
48,Genick::N,garondo,балябӧж
49,Genick::N,garondo,sprands
50,Kopf::N,buru,юр
51,Kopf::N,buru,galva
52,Rücken::N,bizkar,мыш
53,Rücken::N,bizkar,mugura
54,Bauch::N,sabel,рушку
55,Bauch::N,sabel,vēders
56,Nabel::N,zilbor,гӧг
57,Nabel::N,zilbor,naba
58,Busen::N,titi,морӧс
59,Busen::N,titi,krūts
60,Busen::N,ugatz,морӧс
61,Busen::N,ugatz,krūts
62,Brust::N,bular,морӧс
63,Brust::N,bular,krūts
64,Schulter::N,besaburu,пельпом
65,Schulter::N,besaburu,plecs
66,Arm::N,beso,ки
67,Arm::N,beso,roka
68,Arm::N,beso,delms
69,Ellenbogen::N,ukondo,гырддза
70,Ellenbogen::N,ukondo,elkonis
71,Hand::N,esku,ки
72,Hand::N,esku,roka
73,Hand::N,esku,plauksta
74,Handfläche::N,ahur,ки пыдӧс
75,Handfläche::N,ahur,delna
76,Handfläche::N,ahur,plauksta
77,Finger::N,hatz,чунь
78,Finger::N,hatz,pirksts
79,Fingernagel::N,azazkal,гыж
80,Fingernagel::N,azazkal,nags
81,Nagel[Anatomie]::N,azazkal,гыж
82,Nagel[Anatomie]::N,azazkal,nags
83,Zeh::N,behatz,кок чунь
84,Zeh::N,behatz,pirksts
85,Fuß::N,oin,кок
86,Fuß::N,oin,kāja
87,Ferse::N,orpo,кокбӧр
88,Ferse::N,orpo,papēdis
89,Ferse::N,oinburu,кокбӧр
90,Ferse::N,oinburu,papēdis
91,Knie::N,belaun,пидзӧс
92,Knie::N,belaun,celis
93,Oberschenkel::N,izter,лядьвей
94,Oberschenkel::N,izter,бек
95,Oberschenkel::N,izter,ciska
96,Oberschenkel::N,izter,augšstilbs
97,Bein::N,zango,кок
98,Bein::N,zango,kāja
99,Körper::N,soin,туша
100,Körper::N,soin,вывтыр
101,Körper::N,soin,miesa
102,Körper::N,soin,ķermenis
103,Haut::N,azal,ку
104,Haut::N,azal,āda
105,Blut::N,odol,вир
106,Blut::N,odol,asins
107,Ader::N,zain,сӧн
108,Ader::N,zain,asinsvads
109,Sehne::N,gihar-zain,вез
110,Sehne::N,gihar-zain,dzīsla
111,Knochen::N,hezur,лы
112,Knochen::N,hezur,kauls
113,Gehirn::N,garun,вем
114,Gehirn::N,garun,smadzenes
115,Gehirn::N,burmuin,вем
116,Gehirn::N,burmuin,smadzenes
117,Herz::N,bihotz,сьӧлӧм
118,Herz::N,bihotz,sirds
119,Magen::N,urdail,кынӧм
120,Magen::N,urdail,kuņģis
121,Leber::N,gibel,мус
122,Leber::N,gibel,aknas
123,Atem::N,hats,лов
124,Atem::N,hats,elpa
125,Atem::N,arnasa,лов
126,Atem::N,arnasa,elpa
127,Hunger::N,gose,тшыг
128,Hunger::N,gose,bads
129,Hunger::N,gose,izsalkums
130,Träne::N,malko,синва
131,Träne::N,malko,asara
132,Geschmack::N,dasta,кӧр
133,Geschmack::N,dasta,чӧсмӧс
134,Geschmack::N,dasta,garša
135,Geruch::N,usain,зын
136,Geruch::N,usain,дук
137,Geruch::N,usain,smaka
138,Schlaf::N,lo,узьӧм
139,Schlaf::N,lo,miegs
140,Traum::N,amets,вӧт
141,Traum::N,amets,вӧтасьӧм
142,Traum::N,amets,sapnis
143,Himmel::N,zeru,енэж
144,Himmel::N,zeru,debess
145,Sonne::N,eguzki,шонді
146,Sonne::N,eguzki,saule
147,Mond::N,ilargi,тӧлысь
148,Mond::N,ilargi,mēness
149,Stern::N,izar,кодзув
150,Stern::N,izar,zvaigzne
151,Luft::N,aire,сынӧд
152,Luft::N,aire,gaiss
153,Wind::N,haize,тӧв
154,Wind::N,haize,vējš
155,Welle::N,uhin,гы
156,Welle::N,uhin,vilnis
157,Welle::N,olatu,гы
158,Welle::N,olatu,vilnis
159,Wasser::N,ur,ва
160,Wasser::N,ur,ūdens
161,Stein::N,harri,из
162,Stein::N,harri,akmens
163,Boden::N,lur,му
164,Boden::N,lur,augsne
165,Boden::N,zoru,му
166,Boden::N,zoru,augsne
167,Erde::N,lur,му
168,Erde::N,lur,му-ва
169,Erde::N,lur,zeme
170,Staub::N,hauts,бус
171,Staub::N,hauts,putekļi
172,Rauch::N,ke,тшын
173,Rauch::N,ke,dūmi
174,Funke::N,zirta,кинь
175,Funke::N,zirta,би кинь
176,Funke::N,zirta,dzirkstele
177,Funke::N,txinparta,кинь
178,Funke::N,txinparta,би кинь
179,Funke::N,txinparta,dzirkstele
180,Feuer::N,su,би
181,Feuer::N,su,uguns
182,Licht::N,argi,югӧр
183,Licht::N,argi,gaisma
184,Schatten::N,itzal,вуджӧр
185,Schatten::N,itzal,ēna
186,Schatten::N,geriza,вуджӧр
187,Schatten::N,geriza,ēna
188,Wetter::N,eguraldi,поводдя
189,Wetter::N,eguraldi,laiks
190,Nebel::N,laino,ру
191,Nebel::N,laino,онь
192,Nebel::N,laino,migla
193,Wolke::N,hodei,кымӧр
194,Wolke::N,hodei,mākonis
195,Regen::N,euri,зэр
196,Regen::N,euri,lietus
197,Schnee::N,elur,лым
198,Schnee::N,elur,sniegs
199,Eis::N,horma,йи
200,Eis::N,horma,ledus
201,Frost::N,izotzaldi,кӧдзыд
202,Frost::N,izotzaldi,sals
203,Kälte::N,hotz,кӧдзыд
204,Kälte::N,hotz,saltums
205,Kälte::N,hotz,aukstums
206,Hitze::N,bero,пӧсь
207,Hitze::N,bero,гожӧд
208,Hitze::N,bero,karstums
209,Raureif::N,antzigar,пуж
210,Raureif::N,antzigar,гыӧр
211,Raureif::N,antzigar,sarma
212,Regenbogen::N,ostadar,ӧшкамӧшка
213,Regenbogen::N,ostadar,varavīksne
214,Regenbogen::N,ortzadar,ӧшкамӧшка
215,Regenbogen::N,ortzadar,varavīksne
216,Donner::N,ostots,гым
217,Donner::N,ostots,pērkons
218,Donner::N,ihurtzuri,гым
219,Donner::N,ihurtzuri,pērkons
220,Strömung::N,laster,ва ныр
221,Strömung::N,laster,визувтӧм
222,Strömung::N,laster,straume
223,Strömung::N,laster,strāvojums
224,Tropfen::N,xorta,войт
225,Tropfen::N,xorta,lāse
