,Concept_ID,ar,os
0,Auge::N,عين,цӕст
1,Ohr::N,أذن,хъус
2,Nase::N,أنف,фындз
3,Mund::N,فم,дзых
4,Zahn::N,سن,дӕндаг
5,Zunge::N,لسان,ӕвзаг
6,Lippe::N,شفة,был
7,Wange::N,خد,рус
8,Wange::N,خد,уадул
9,Wange::N,خد,ӕхсӕрфарс
10,Wange::N,وجنة,рус
11,Wange::N,وجنة,уадул
12,Wange::N,وجنة,ӕхсӕрфарс
13,Gesicht::N,وجه,цӕсгом
14,Stirn::N,جبين,ных
15,Haar::N,شعر,хил
16,Schnurrbart::N,شارب,рихи
17,Bart::N,لحية,зачъе
18,Kinn::N,ذقن,роцъо
19,Kiefer[Anatomie]::N,فك,ӕфсӕр
20,Kehle::N,حلق,хъуыр
21,Hals::N,عنق,къубал
22,Hals::N,رقبة,къубал
23,Genick::N,قفا,къӕбут
24,Kopf::N,رأس,сӕр
25,Rücken::N,ظهر,фӕсонтӕ
26,Bauch::N,بطن,гуыбын
27,Nabel::N,سرة,бикъ
28,Busen::N,ثدي,дзидзи
29,Brust::N,صدر,риу
30,Schulter::N,كتف,уӕхск
31,Arm::N,ذراع,цонг
32,Ellenbogen::N,كوع,рæмбын
33,Hand::N,يد,къух
34,Handfläche::N,كف,армытъӕпӕн
35,Finger::N,إصبع,ӕнруылдз
36,Fingernagel::N,ظفر,ных
37,Nagel[Anatomie]::N,ظفر,ных
38,Zeh::N,إصبع القدم,къух
39,Fuß::N,قدم,фад
40,Ferse::N,كعب,зӕвӕт
41,Knie::N,ركبة,уӕраг
42,Oberschenkel::N,فخذ,агъд
43,Bein::N,ساق,зӕнг
44,Körper::N,جسم,буар
45,Haut::N,بشرة,царм
46,Blut::N,دم,туг
47,Ader::N,عرق,дадзин
48,Ader::N,عرق,тугдадзин
49,Sehne::N,طنب,хъиутæ
50,Sehne::N,طنب,нуар
51,Knochen::N,عظم,стӕг
52,Gehirn::N,دماغ,магъз
53,Herz::N,قلب,зӕрдӕ
54,Magen::N,معدة,ахсӕн
55,Leber::N,كبد,игæр
56,Atem::N,نفس,улӕфт
57,Hunger::N,جوع,стонг
58,Träne::N,دمعة,цæссыг
59,Geschmack::N,طعم,ад
60,Geschmack::N,مذاق,ад
61,Geruch::N,رائحة,смаг
62,Schlaf::N,نوم,хуыссӕг
63,Schlaf::N,منام,хуыссӕг
64,Traum::N,حلم,фын
65,Himmel::N,سماء,арв
