,Concept_ID,lbe,pt
0,Auge::N,я,olho
1,Ohr::N,вичӏи,orelha
2,Nase::N,май,nariz
3,Mund::N,кьацӏ,boca
4,Zahn::N,ккарччи,dente
5,Zunge::N,маз,língua
6,Lippe::N,мурччи,lábio
7,Wange::N,чӏав,face
8,Gesicht::N,лажин,cara
9,Gesicht::N,лажин,rosto
10,Stirn::N,ненттабакӏ,testa
11,Haar::N,чӏара,cabelo
12,Schnurrbart::N,ссирссилтту,bigode
13,Bart::N,чӏири,barba
14,Kinn::N,лунттубакӏ,queixo
15,Kiefer[Anatomie]::N,ххинчулул,maxila
16,Kiefer[Anatomie]::N,ххинчулул,mandíbula
17,Kehle::N,кьакьари,garganta
18,Hals::N,ссурссу,colo
19,Hals::N,ссурссу,pescoço
20,Genick::N,махъабакӏ,nuca
21,Kopf::N,бакӏ,cabeça
22,Rücken::N,ттиликӏ,dorso
23,Rücken::N,ттиликӏ,costas
24,Bauch::N,лякьа,ventre
25,Bauch::N,лякьа,barriga
26,Nabel::N,цӏумуккутӏ,umbigo
27,Busen::N,ккукку,seio
28,Brust::N,хъазам,peito
29,Schulter::N,хъачӏ,ombro
30,Arm::N,ка,braço
31,Ellenbogen::N,ссюрхъ,cotovelo
32,Hand::N,бартка,mão
33,Handfläche::N,хъат,palma
34,Handfläche::N,хъат,palma da mão
35,Handfläche::N,битӏянхъ,palma
36,Handfläche::N,битӏянхъ,palma da mão
37,Finger::N,кӏисса,dedo
38,Fingernagel::N,михь,unha
39,Nagel[Anatomie]::N,михь,unha
40,Zeh::N,кӏисса,dedo do pé
41,Fuß::N,чӏанччан,pé
42,Ferse::N,никъа,calcanhar
43,Knie::N,ник,joelho
44,Oberschenkel::N,жира,coxa
45,Bein::N,ччан,perna
46,Körper::N,чурх,corpo
47,Haut::N,бурчу,pele
48,Blut::N,оь,sangue
49,Ader::N,тунну,veia
50,Sehne::N,хьхьа,tendão
51,Knochen::N,ттаркӏ,osso
52,Gehirn::N,ня,cérebro
53,Herz::N,дакӏ,coração
54,Herz::N,къюкӏ,coração
55,Magen::N,лякьа,estômago
56,Atem::N,ссихӏ ласаву,fôlego
57,Atem::N,ссихӏ бигьаву,fôlego
58,Hunger::N,ккаши,fome
59,Träne::N,макь,lágrima
60,Geschmack::N,тӏин,gosto
61,Geschmack::N,тӏааьн,gosto
62,Geruch::N,кьанкь,odor
63,Geruch::N,кьанкь,cheiro
64,Schlaf::N,шану,sono
65,Traum::N,макӏру,sonho
66,Himmel::N,ссав,céu
67,Sonne::N,баргъ,sol
68,Mond::N,барз,lua
69,Stern::N,цӏуку,estrela
70,Luft::N,гьава,ar
71,Wind::N,марч,vento
72,Welle::N,щатӏи,onda
73,Wasser::N,щин,água
74,Stein::N,чару,pedra
75,Boden::N,аьрщи,solo
76,Erde::N,аьрщи,terra
