,Concept_ID,cy,ce
0,Auge::N,llygad,бӏаьрг
1,Ohr::N,clust,лерг
2,Nase::N,trwyn,мара
3,Mund::N,ceg,бага
4,Zahn::N,dant,церг
5,Zunge::N,tafod,мотт
6,Lippe::N,gwefus,балда
7,Wange::N,boch,бесни
8,Gesicht::N,wyneb,юьхь
9,Stirn::N,talcen,хьаж
10,Haar::N,blew,мас
11,Schnurrbart::N,mwstas,мекх
12,Bart::N,barf,маж
13,Kinn::N,gên,чӏениг
14,Kiefer[Anatomie]::N,gên,мочхал
15,Kehle::N,gwddf,къамкъарг
16,Hals::N,gwddf,ворта
17,Genick::N,gwar,кӏесаркӏаг
18,Genick::N,gwegil,кӏесаркӏаг
19,Kopf::N,pen,корта
20,Rücken::N,cefn,букъ
21,Bauch::N,bol,кийра
22,Nabel::N,bogail,цӏонга
23,Busen::N,bron,зударийн накха
24,Brust::N,brest,накха
25,Schulter::N,ysgwydd,белш
26,Arm::N,braich,пхьарс
27,Ellenbogen::N,penelin,пхьаьрсан гола
28,Hand::N,llaw,куьг
29,Handfläche::N,palf,кераюкъ
30,Finger::N,bys,пӏелг
31,Fingernagel::N,ewin,мӏара
32,Nagel[Anatomie]::N,ewin,мӏара
33,Zeh::N,bys troed,кога пӏелг
34,Fuß::N,troed,ког
35,Ferse::N,sawdl,кӏажа
36,Knie::N,glin,гола
37,Oberschenkel::N,clun,варе
38,Bein::N,coes,ког
39,Körper::N,corff,хӏума
40,Haut::N,croen,чкъор
41,Blut::N,gwaed,цӏий
42,Ader::N,gwythïen,пха
43,Sehne::N,gewyn,хьорзам
44,Knochen::N,asgwrn,даьӏахк
45,Gehirn::N,ymennydd,хье
46,Herz::N,calon,дог
47,Magen::N,cylla,зорх
48,Magen::N,stumog,зорх
49,Leber::N,iau,доӏах
50,Atem::N,anadl,садеӏар
51,Hunger::N,newyn,мацалла
52,Träne::N,deigryn,бӏаьрхи
53,Geschmack::N,cyflas,чам
54,Geruch::N,aroglau,хьожа
55,Schlaf::N,cwsg,наб
56,Traum::N,breuddwyd,гӏан
57,Himmel::N,awyr,стигал
58,Sonne::N,haul,малх
59,Mond::N,lleuad,бутт
60,Stern::N,seren,седа
61,Luft::N,awyr,xӏаваъ
62,Wind::N,gwynt,мох
63,Welle::N,ton,тулгӏе
64,Wasser::N,dŵr,хи
65,Stein::N,carreg,тӏулг
66,Boden::N,llawr,цӏенкъа
67,Erde::N,pridd,латта
