,Concept_ID,en,sah
0,Auge::N,eye,харах
1,Ohr::N,ear,кулгаах
2,Nase::N,nose,мурун
3,Mund::N,mouth,айах
4,Zahn::N,tooth,тиис
5,Zunge::N,tongue,тыл
6,Lippe::N,lip,уос
7,Wange::N,cheek,иэдэс
8,Gesicht::N,face,сирэй
9,Stirn::N,forehead,сүүс
10,Haar::N,hair,баттах
11,Schnurrbart::N,moustache,уос бытыга
12,Bart::N,beard,сэҥийэ бытыга
13,Kinn::N,chin,сэҥийэ
14,Kiefer[Anatomie]::N,jaw,сыҥаах
15,Kehle::N,throat,тамах
16,Kehle::N,throat,күөмэй
17,Hals::N,neck,моой
18,Genick::N,nape,кэтэх
19,Kopf::N,head,бас
20,Rücken::N,back,көҕүс
21,Rücken::N,spine,көҕүс
22,Bauch::N,belly,ис
23,Nabel::N,navel,киин
24,Busen::N,bosom,эмиий
25,Brust::N,chest,түөс
26,Brust::N,breast,түөс
27,Schulter::N,shoulder,сарын
28,Arm::N,arm,илии
29,Ellenbogen::N,elbow,тоҕонох
30,Hand::N,hand,илии
31,Handfläche::N,palm,ытыс
32,Finger::N,finger,тарбах
33,Fingernagel::N,fingernail,тыҥырах
34,Nagel[Anatomie]::N,nail,тыҥырах
35,Zeh::N,toe,тарбах
36,Fuß::N,foot,уллуҥах
37,Ferse::N,heel,тилэх
38,Knie::N,knee,тобук
39,Knie::N,knee,дьилбэк
40,Oberschenkel::N,thigh,уллук
41,Oberschenkel::N,thigh,өттүк
42,Bein::N,leg,атах
43,Körper::N,body,бэйэ
44,Haut::N,skin,тирии
45,Blut::N,blood,хаан
46,Ader::N,vein,вена
47,Ader::N,vein,күөх_тымыр
48,Sehne::N,sinew,иҥиир
49,Knochen::N,bone,уҥуох
50,Knochen::N,bone,уҥгуох
51,Gehirn::N,brain,мэйии
52,Herz::N,heart,сүрэх
53,Magen::N,stomach,куртах
54,Leber::N,liver,быар
55,Atem::N,breath,тыын
56,Hunger::N,hunger,аас
57,Träne::N,tear,харах уута
58,Geschmack::N,flavour,амтан
59,Geschmack::N,flavor,амтан
60,Geruch::N,odour,сыт
61,Geruch::N,odor,сыт
62,Schlaf::N,sleep,утуйуу
63,Traum::N,dream,түүл
64,Himmel::N,sky,халлаан
