,Concept_ID,kv,la
0,Auge::N,син,oculus
1,Ohr::N,пель,auris
2,Nase::N,ныр,nasus
3,Mund::N,ӧм,os
4,Zahn::N,пинь,dens
5,Zunge::N,кыв,lingua
6,Lippe::N,тырп,labrum
7,Wange::N,рожабан,gena
8,Gesicht::N,бан,vultus
9,Stirn::N,кымӧс,frons
10,Haar::N,юрси,capillus
11,Schnurrbart::N,уссэз,barba labri superioris
12,Bart::N,тош,barba
13,Kinn::N,тшӧка,mentum
14,Kiefer[Anatomie]::N,ан,mala
15,Kehle::N,юан,iugulums
16,Hals::N,юан,collum
17,Genick::N,юр бӧр,cervices
18,Kopf::N,юр,caput
19,Rücken::N,мышк,tergum
20,Bauch::N,кынӧм,venter
21,Nabel::N,гӧг,umbilicus
22,Busen::N,морос,sinus
23,Brust::N,морос,pectus
24,Schulter::N,пельпон,umerus
25,Arm::N,ки,bracchium
26,Ellenbogen::N,гырдзза,cubitum
27,Hand::N,кикар,manus
28,Handfläche::N,ки пыдӧс,palma
29,Finger::N,чунь,digitus
30,Fingernagel::N,гыж,unguiculus
31,Nagel[Anatomie]::N,гыж,unguis
32,Zeh::N,чунь,digitus
33,Fuß::N,кокпыдӧс,pes
34,Ferse::N,кокдзир,calx
35,Knie::N,пидзӧс,genu
36,Oberschenkel::N,лядьбей,femur
37,Bein::N,кок,crus
38,Körper::N,вывтыр,corpus
39,Haut::N,кучик,cutis
40,Haut::N,кучик,pellis
41,Blut::N,вир,sanguis
42,Ader::N,сӧн,vena
43,Sehne::N,жила,nervus
44,Knochen::N,коска,os
45,Gehirn::N,вем,cerebrum
46,Herz::N,сьӧлӧм,cor
47,Herz::N,сьӧлӧм,animus
48,Magen::N,жӧвдӧк,stomachus
49,Leber::N,мус,iecur
50,Atem::N,лолалӧм,spiritus
51,Hunger::N,тшыг,fames
52,Träne::N,синва,lacrima
53,Geschmack::N,кӧр,sapor
54,Geschmack::N,кӧр,gustus
55,Geruch::N,дук,odor
56,Schlaf::N,он,somnus
57,Traum::N,вӧт,somnium
58,Himmel::N,небо,caelum
59,Sonne::N,шондi,sol
60,Mond::N,тӧлiсь,luna
61,Stern::N,кӧдзыв,sidus
62,Stern::N,кӧдзыв,stella
63,Luft::N,ру,aer
64,Wind::N,тӧв,ventus
65,Welle::N,гы,unda
66,Wasser::N,ва,aqua
67,Stein::N,из,lapis
68,Boden::N,му,solum
69,Erde::N,му,terra
70,Staub::N,бус,pulvis
71,Rauch::N,тшын,fumus
72,Funke::N,бичир,scintilla
73,Feuer::N,би,ignis
74,Licht::N,би,lux
75,Licht::N,би,lumen
76,Schatten::N,вуджӧр,umbra
77,Wetter::N,погоддя,caelum
78,Wetter::N,погоддя,tempestas
79,Nebel::N,туман,nebula
80,Wolke::N,кымӧр,nubes
81,Regen::N,зэр,imber
82,Regen::N,зэр,pluvia
83,Schnee::N,лым,nix
84,Eis::N,йы,glacies
85,Frost::N,мороз,gelu
86,Kälte::N,кӧдзыт,frigus
87,Hitze::N,ӧд,calor
88,Hitze::N,ӧд,aestus
89,Raureif::N,кижа,pruina
90,Regenbogen::N,енӧшка,arcus
91,Donner::N,гым,tonitrus
92,Strömung::N,визывтӧм,fluctus
93,Tropfen::N,тёп,gutta
94,Schaum::N,быг,spuma
95,Schmutz::N,нять,sordes
96,Schmutz::N,нять,squalor
97,See::N,ты,lacus
98,Sumpf::N,арай,palus
99,Moor::N,нюр,palus
100,Wiese::N,видз,pratum
101,Wald::N,вӧр,silva
102,Hügel::N,мыльк,collis
103,Anhöhe::N,вывтас,specula
104,Anhöhe::N,вылынін,specula
105,Berg::N,керӧс,mons
106,Gipfel::N,йыв,vertex
107,Höhle::N,нора,caverna
108,Höhle::N,нора,spelunca
109,Abhang::N,покат,declivum
110,Quelle::N,больган,fons
111,Bach::N,шор,rivus
112,Fluss::N,ю,flumen
113,Ufer::N,берег,ripa
114,Küste::N,берег,litus
115,Festland::N,му,continens
116,Meer::N,море,mare
117,Bucht::N,курья,sinus
118,Blume::N,цветок,flos
119,Gras::N,турун,herba
120,Gras::N,турун,gramen
121,Wurzel::N,вуж,radix
122,Baum::N,пу,arbor
123,Stamm::N,мыр,truncus
124,Stamm::N,кер,truncus
125,Rinde::N,кач,cortex
126,Ast::N,ув,ramus
127,Zweig::N,ув,ramus
128,Blatt::N,лист,folium
129,Birke::N,кыдз,betulla
130,Kiefer[Baum]::N,пожум,pinus
131,Weide[Baum]::N,бадь,salix
132,Tanne::N,кӧз,abies
133,Horn::N,сюр,cornu
134,Feder::N,гӧн,penna
135,Fell::N,кучик,pellis
136,Flügel::N,борд,ala
137,Klaue::N,гыж,unguis
138,Kralle::N,кабыр,unguis
139,Schwanz::N,бӧж,cauda
140,Ei::N,кольть,ovum
141,Nest::N,поз,nidus
142,Bau::N,осьта,cavum
143,Bau::N,осьта,latibulum
144,Bau::N,нора,cavum
145,Bau::N,нора,latibulum
146,Tier::N,зверь,bestia
147,Herde::N,гурт,grex
148,Kuh::N,мӧс,vacca
149,Bulle::N,ӧшка,taurus
150,Pferd::N,вӧв,equus
151,Schaf::N,баля,ovis
152,Schwein::N,порсь,sus
153,Schwein::N,порсь,porcus
154,Hund::N,пон,canis
155,Katze::N,кань,felis
156,Bär::N,ош,ursus
157,Eichhörnchen::N,ур,sciurus
158,Elch::N,вӧр мӧс,alces
159,Fuchs::N,руч,vulpes
160,Hase::N,кӧч,lepus
