,Concept_ID,ca,ka
0,Auge::N,ull,თვალი
1,Ohr::N,orella,ყური
2,Nase::N,nas,ცხვირი
3,Mund::N,boca,პირი
4,Zahn::N,dent,კბილი
5,Zunge::N,llēngua,ენა
6,Lippe::N,llavi,ბაგე
7,Wange::N,galta,ლოყა
8,Gesicht::N,cara,სახე
9,Stirn::N,front,შუბლი
10,Haar::N,cabēll,თმა
11,Schnurrbart::N,bigoti,ულვაში
12,Bart::N,barba,წვერი
13,Kinn::N,mentó,ნიკაპი
14,Kinn::N,barbeta,ნიკაპი
15,Kiefer[Anatomie]::N,queix,ყბა
16,Kiefer[Anatomie]::N,mandíbula,ყბა
17,Kehle::N,gola,ყელი
18,Kehle::N,gorja,ყელი
19,Hals::N,coll,ყელი
20,Hals::N,coll,კისერი
21,Genick::N,nuca,კეფა
22,Kopf::N,cap,თავი
23,Rücken::N,esquena,ზურგი
24,Bauch::N,panxa,მუცელი
25,Nabel::N,llombrígol,ჭიპი
26,Busen::N,pit,ძუძუ
27,Busen::N,mama,ძუძუ
28,Brust::N,pit,მკერდი
29,Schulter::N,espatlla,მხარი
30,Schulter::N,espatlla,მკლავი
31,Arm::N,braç,ხელი
32,Ellenbogen::N,colze,იდაყვი
33,Hand::N,mà,ხელი
34,Handfläche::N,palma,ნები
35,Handfläche::N,palma,ხელისგული
36,Finger::N,dit,თითი
37,Fingernagel::N,ungla,ფრჩხილი
38,Nagel[Anatomie]::N,ungla,ფრჩხილი
39,Zeh::N,dit del peu,ფეხის თითი
40,Fuß::N,peu,ტერფი
41,Fuß::N,peu,ფეხისგული
42,Ferse::N,taló,ქუსლი
43,Knie::N,genoll,მუხლი
44,Oberschenkel::N,cuixa,ბარძაყი
45,Bein::N,cama,ფეხი
46,Körper::N,cos,ტანი
47,Körper::N,cos,სხეული
48,Haut::N,pell,კანი
49,Blut::N,sang,სისხლი
50,Ader::N,vena,ძარღვი
51,Sehne::N,tendó,მყესი
52,Knochen::N,os,ძვალი
53,Gehirn::N,cervell,ტვინი
54,Herz::N,cor,გული
55,Magen::N,estómac,კუჭი
56,Leber::N,fetge,ღვიძლი
57,Atem::N,alè,სუნთქვა
58,Atem::N,hàlit,სუნთქვა
59,Hunger::N,fam,შიმშილი
60,Hunger::N,gana,შიმშილი
61,Träne::N,llàgrima,ცრემლი
62,Geschmack::N,gust,გემო
63,Geschmack::N,sabor,გემო
64,Geruch::N,olor,სუნი
65,Schlaf::N,son,ძილი
66,Traum::N,somni,სიზმარი
67,Himmel::N,celm,ცა
68,Sonne::N,sol,მზე
69,Mond::N,lluna,მთვარე
70,Stern::N,estel,ვარსკვლავი
71,Stern::N,estrella,ვარსკვლავი
72,Luft::N,aire,ჰაერი
73,Wind::N,vent,ქარი
74,Welle::N,ona,ტალღა
75,Wasser::N,āigua,წყალი
76,Stein::N,pedra,ქვა
77,Boden::N,sòl,მიწა
78,Erde::N,terra,ნიადაგი
79,Staub::N,pols,მტვერი
80,Rauch::N,fum,ბოლი
81,Rauch::N,fum,კვამლი
82,Funke::N,guspira,ნაკვესი
83,Funke::N,centella,ნაკვესი
84,Feuer::N,foc,ცეცხლი
85,Licht::N,llum,შუქი
86,Licht::N,llum,სინათლე
87,Schatten::N,ombra,ლანდი
88,Schatten::N,ombra,ჩრდილი
89,Wetter::N,temps,ამინდი
90,Nebel::N,boira,ნისლი
91,Wolke::N,núvol,ღრუბელი
92,Regen::N,pluja,წვიმა
93,Schnee::N,neu,თოვლი
94,Eis::N,gel,თოში
95,Eis::N,gel,ყინული
96,Eis::N,glaç,თოში
97,Eis::N,glaç,ყინული
98,Frost::N,glaçada,ყინვა
99,Kälte::N,fred,სიცივე
100,Hitze::N,calor,სიცხე
101,Raureif::N,gebre,ჭირხლი
102,Raureif::N,gebre,თრთვილი
103,Regenbogen::N,arc iris,ცისარტყელა
104,Donner::N,tro,ქუხილი
105,Strömung::N,corrent,დინება
106,Tropfen::N,gota,წვეთი
107,Schaum::N,escuma,ქაფი
108,Schaum::N,escuma,დორბლი
109,Schmutz::N,brutícia,ჭუჭყი
110,Schmutz::N,brutícia,ტალახი
111,See::N,llac,ტბა
112,Sumpf::N,pantà,ჭაობი
113,Moor::N,pantà,ტორფნარი
114,Wiese::N,prat,ველი
115,Wiese::N,prat,მდელო
116,Wiese::N,prada,ველი
117,Wiese::N,prada,მდელო
118,Wald::N,bosc,ტყე
119,Hügel::N,puig,ბორცვი
120,Hügel::N,pujol,ბორცვი
121,Anhöhe::N,turó,მაღლობი
122,Berg::N,muntanya,მთა
123,Gipfel::N,cim,მწვერვალი
124,Höhle::N,cova,მღვიმე
125,Höhle::N,cova,გამოქვებული
126,Abhang::N,coster,ფერდობი
127,Quelle::N,font,წყარო
128,Quelle::N,font,სათავე
129,Bach::N,riera,რუ
130,Bach::N,riera,ნაკადული
131,Fluss::N,riu,მდინარე
132,Ufer::N,riba,კიდე
133,Ufer::N,riba,ნაპირი
134,Küste::N,costa,ნაპირი
135,Festland::N,terra ferma,ხმელეთი
136,Meer::N,mar,ზღვა
137,Bucht::N,cala,ყურე
138,Bucht::N,badia,ყურე
139,Insel::N,illa,კუნძული
140,Blume::N,flor,ყვავილი
141,Gras::N,herba,ბალახი
142,Wurzel::N,rel,ძირი
143,Wurzel::N,rel,ფესვი
144,Wurzel::N,arrel,ძირი
145,Wurzel::N,arrel,ფესვი
146,Baum::N,arbre,ხე
147,Stamm::N,tronc,ტანი
148,Rinde::N,escorça,ქერქი
149,Ast::N,branca,ტოტი
150,Zweig::N,ram,შტო
151,Blatt::N,fulla,ფოთოლი
152,Birke::N,bedoll,არყი
153,Kiefer[Baum]::N,pi,ფიჭვი
154,Weide[Baum]::N,salze,ტირიფი
155,Tanne::N,avet,ნაძვი
156,Horn::N,corn,რქა
157,Horn::N,banya,რქა
158,Feder::N,ploma,ფრთა
159,Fell::N,pell,ტყავი
160,Flügel::N,ala,ფრთა
161,Klaue::N,urpa,კლანჭი
162,Kralle::N,grapa,ტორი
163,Schwanz::N,cua,კუდი
164,Ei::N,ou,კვერცხი
165,Nest::N,niu,ბუდე
166,Bau::N,cau,სორო
167,Tier::N,animāl,ნადირი
168,Tier::N,animāl,ცხოველი
