,Concept_ID,cs,kl
0,Auge::N,oko,isi
1,Ohr::N,ucho,siut
2,Nase::N,nos,
3,Mund::N,pusa,paaq
4,Mund::N,pusa,qaneq
5,Zahn::N,zub,kigut
6,Zunge::N,jazyk,oqaq
7,Lippe::N,ret,qarloq
8,Wange::N,tvář,ersaq
9,Gesicht::N,obličej,kiinaq
10,Stirn::N,čelo,qaaq
11,Haar::N,vlas,meqqoq
12,Haar::N,vlasy,meqqoq
13,Schnurrbart::N,kníry,
14,Bart::N,vousy,umik
15,Kinn::N,brada,talloq
16,Kiefer[Anatomie]::N,čelist,alleroq
17,Kehle::N,hrdlo,malaq
18,Hals::N,krk,qungaseq
19,Genick::N,týl,pukusuk
20,Kopf::N,hlava,niaqoq
21,Rücken::N,záda,qimerlut
22,Rücken::N,hřbet,qimerlut
23,Bauch::N,břicho,naaq
24,Nabel::N,pupek,qalaseq
25,Busen::N,ňadra,iviangeq
26,Brust::N,prsa,iviangeq
27,Schulter::N,plece,ersik
28,Schulter::N,plece,assaqqoq
29,Schulter::N,rameno,ersik
30,Schulter::N,rameno,assaqqoq
31,Arm::N,ruka,taleq
32,Ellenbogen::N,loket,ikusik
33,Hand::N,ruka,assak
34,Handfläche::N,dlaň,itumak
35,Finger::N,prst,inuak
36,Fingernagel::N,nehet,kikiak
37,Nagel[Anatomie]::N,nehet,kukik
38,Zeh::N,prst u nohy,isigak
39,Fuß::N,noha,
40,Ferse::N,pata,kimmik
41,Knie::N,koleno,seeqqoq
42,Oberschenkel::N,stehno,uppat
43,Oberschenkel::N,stehno,quttoraq
44,Bein::N,noha,isigak
45,Körper::N,tělo,timi
46,Haut::N,kůže,mattak
47,Blut::N,krev,aak
48,Ader::N,céva,taqaq
49,Sehne::N,šlacha,ujalu
50,Sehne::N,šlacha,ujaloq
51,Knochen::N,kost,saanikut
52,Gehirn::N,mozek,qarasaq
53,Herz::N,srdce,uummat
54,Magen::N,žaludek,aqajaroq
55,Leber::N,játra,tinguk
56,Atem::N,dech,anerneq
57,Hunger::N,hlad,kaanneq
58,Träne::N,slza,qia
59,Träne::N,slza,qiak
60,Geschmack::N,vkus,qilanaartuut
61,Geruch::N,vůně,tipi
62,Geruch::N,vůně,tipik
63,Geruch::N,zápach,tipi
64,Geruch::N,zápach,tipik
65,Schlaf::N,spánek,
66,Traum::N,sen,sinnattoq
67,Traum::N,sen,sinnattugaq
68,Himmel::N,nebe,qilak
69,Sonne::N,slunce,seqineq
70,Mond::N,měsíc,qaammat
71,Stern::N,hvězda,ulloriaq
72,Luft::N,vzduch,silaannaq
73,Wind::N,vítr,anori
74,Wind::N,vítr,anorsarik
75,Welle::N,vlna,aalappaa
76,Wasser::N,voda,imeq
77,Stein::N,kámen,ujarak
78,Boden::N,půda,nateq
79,Erde::N,země,issoq
80,Staub::N,prach,pujualanerit
81,Staub::N,prach,pujoralanerit
82,Rauch::N,dým,iseq
83,Rauch::N,dým,pujoq
84,Rauch::N,kouř,iseq
85,Rauch::N,kouř,pujoq
86,Funke::N,jiskra,illoorneq
87,Feuer::N,oheň,inneq
88,Licht::N,světlo,qaamaneq
89,Schatten::N,stín,tarraq
90,Wetter::N,počasí,sila
91,Nebel::N,mlha,pujoq
92,Wolke::N,mrak,nuia
93,Wolke::N,oblak,nuia
94,Regen::N,déšť,sialuk
95,Schnee::N,sníh,aput
96,Eis::N,led,siku
97,Frost::N,mráz,issi
98,Frost::N,mráz,issik
99,Kälte::N,chlad,issi
100,Hitze::N,horko,kianneq
101,Hitze::N,horko,kiassuseq
102,Raureif::N,jinovatka,kaneq
103,Regenbogen::N,duha,neriusaaq
104,Donner::N,hrom,kalleq
105,Strömung::N,proudění,
106,Tropfen::N,kapka,kuseriarneq
107,Schaum::N,pěna,qapuk
108,Schmutz::N,špína,minguk
109,See::N,jezero,taseq
110,Sumpf::N,močál,maqulluk
111,Sumpf::N,bažina,maqulluk
112,Moor::N,bažina,
113,Moor::N,slatina,
114,Wiese::N,louka,masarsuk
115,Wald::N,les,
116,Hügel::N,kopec,qattuneq
117,Hügel::N,kopec,majuariaq
118,Hügel::N,kopec,majorajaaq
119,Hügel::N,kopec,qaqqannguaq
120,Anhöhe::N,pahorek,
121,Berg::N,hora,qaqqaq
122,Gipfel::N,vrchol,
123,Höhle::N,jeskyně,qaarusuk
124,Abhang::N,svah,ippik
125,Abhang::N,svah,sivinganeq
126,Abhang::N,svah,sivingajaaq
127,Abhang::N,svah,kussangajaaq
128,Abhang::N,stráň,ippik
129,Abhang::N,stráň,sivinganeq
130,Abhang::N,stráň,sivingajaaq
131,Abhang::N,stráň,kussangajaaq
132,Quelle::N,pramen,
133,Bach::N,potok,kuunnguaq
134,Fluss::N,řeka,kuuk
135,Ufer::N,břeh,sissap sinaa
136,Küste::N,pobřeží,sineriak
137,Festland::N,souš,
138,Festland::N,pevnina,
139,Meer::N,moře,imaq
140,Bucht::N,záliv,ikeq
141,Bucht::N,záliv,kangerluk
142,Bucht::N,záliv,kangerliumaneq
143,Bucht::N,zátoka,ikeq
144,Bucht::N,zátoka,kangerluk
145,Bucht::N,zátoka,kangerliumaneq
146,Insel::N,ostrov,qeqertaq
147,Blume::N,květina,naasoq
148,Gras::N,tráva,ivigaq
149,Wurzel::N,kořen,niulutaq
150,Baum::N,strom,orpik
151,Stamm::N,kmen,kanaartaq
152,Rinde::N,kůra,ameraq
153,Ast::N,větev,avalequt
154,Zweig::N,větev,avalequt
155,Blatt::N,lupen,pilutaq
156,Birke::N,bříza,patitsit
157,Kiefer[Baum]::N,sosna,
158,Kiefer[Baum]::N,borovice,
159,Weide[Baum]::N,vrba,palleq
160,Tanne::N,jedle,orsuerneq
161,Horn::N,roh,nassuk
162,Feder::N,pero,suluk
163,Fell::N,srst,ameq
164,Flügel::N,křídlo,suluk
165,Flügel::N,křídlo,isaroq
166,Klaue::N,dráp,kukik
167,Klaue::N,pazneht,kukik
168,Kralle::N,dráp,kukik
169,Schwanz::N,ocas,pamioq
170,Schwanz::N,ocas,paperuusaq
171,Ei::N,vejce,mannik
172,Nest::N,hnízdo,ullut
173,Bau::N,nora,ini
174,Tier::N,zvíře,uumasoq
175,Herde::N,stádo,unguukkat
176,Kuh::N,kráva,ussik
177,Bulle::N,býk,angukulak
178,Bulle::N,býk,anguteralak
179,Bulle::N,býk,angutikulooq
180,Pferd::N,kůň,
181,Schaf::N,ovce,sava
182,Schwein::N,vepř,puuluki
183,Schwein::N,prase,puuluki
184,Hund::N,pes,qimmeq
185,Katze::N,kočka,puisaaq
186,Bär::N,medvěd,allaq
187,Eichhörnchen::N,veverka,sissinnguaq
188,Elch::N,los,
189,Fuchs::N,liška,terianniaq
190,Hase::N,zajíc,ukaleq
191,Maus::N,myš,teriannguaq
192,Wolf::N,vlk,amaroq
193,Vogel::N,pták,timmiaq
194,Schwarm::N,roj,
195,Schwarm::N,hejno,
196,Huhn::N,kuře,kukkukooq
197,Huhn::N,kuře,marloraaqaaq
198,Huhn::N,slepice,kukkukooq
199,Huhn::N,slepice,marloraaqaaq
200,Hahn::N,kohout,kiasiusaq
201,Gans::N,husa,nerleq
202,Adler::N,orel,nattoralik
203,Ente::N,kachna,
204,Eule::N,sova,uppik
205,Kranich::N,jeřáb,qorlorfik
206,Krähe::N,vrána,tuluatsiaq
207,Kuckuck::N,kukačka,kukkooq
208,Schwan::N,labuť,qussuk
209,Fisch::N,ryba,aalisagaq
210,Barsch::N,okoun,
211,Hecht::N,štika,
212,Schlange[Tier]::N,had,pulateriarsuk
213,Schlange[Tier]::N,had,pulateriaarsuk
214,Wurm::N,červ,
215,Spinne::N,pavouk,aasiaq
216,Spinne::N,pavouk,nissavaarsuk
217,Ameise::N,mravenec,uniaaluk
218,Laus::N,veš,kumak
219,Mücke::N,komár,ippernaq
220,Fliege::N,moucha,ippernaq
221,Schmetterling::N,motýl,paluaq
222,Schmetterling::N,motýl,pakkaluaq
223,Schmetterling::N,motýl,utsuppaluaq
224,Schmetterling::N,motýl,taqaleqisaaq
225,Beere::N,bobule,paarmaq
226,Beere::N,bobule,paarngaq
227,Apfel::N,jablko,iipili
228,Pilz::N,houba,anngiusaq
229,Zwiebel::N,cibule,uanitsoq
230,Saat::N,osivo,naatsiiassaq
231,Korn::N,zrno,maannineq
232,Heu::N,seno,
233,Schale::N,slupka,niutsivik
234,Schale::N,slupka,ilulissaq qaartussaq
235,Schale::N,skořápka,niutsivik
236,Schale::N,skořápka,ilulissaq qaartussaq
237,Grube::N,jáma,itersaq
238,Falle::N,past,pualavoq
239,Falle::N,léčka,pualavoq
240,Schlinge::N,smyčka,orseq
241,Schlinge::N,smyčka,norloq
242,Spur::N,stopa,tumaa
243,Asche::N,popel,arsat
244,Dreck::N,špína,minguk
245,Eisen::N,železo,savimineq
246,Eisen::N,železo,saffiugassaq
247,Gold::N,zlato,kuulti
248,Silber::N,stříbro,siilviuvoq
249,Kohle::N,uhlí,aamarsuit aamaruutissat
250,Glas::N,sklo,igalaaq
251,Glas::N,sklo,imertarfik
252,Glas::N,sklo,igalaamineq
253,Lehm::N,jíl,marraq
254,Lehm::N,hlína,marraq
255,Sand::N,písek,sioqqat
256,Mensch::N,člověk,inuk
257,Mensch::N,člověk,silamiu
258,Mann::N,muž,angut
259,Frau::N,žena,arnaq
260,Kind::N,dítě,meeraq
261,Junge::N,hoch,nukappiaraq
262,Junge::N,chlapec,nukappiaraq
263,Mädchen::N,děvče,arnannguaq
264,Familie::N,rodina,ilaqutakka
265,Familie::N,rodina,ilaqutariit
266,Großvater::N,děd,aatak
267,Großvater::N,dědeček,aatak
268,Großmutter::N,babička,aanaq
269,Eltern::N,rodiče,angajoqqaat
270,Vater::N,otec,ataata
271,Vater::N,otec,ataataq
272,Mutter::N,matka,anaana
273,Sohn::N,syn,erneq
274,Tochter::N,dcera,panik
275,Bruder::N,bratr,ani
276,Bruder::N,bratr,aqqaluk
277,Bruder::N,bratr,qatanngut
278,Schwester::N,sestra,naja
279,Schwester::N,sestra,aleqa
280,Schwester::N,sestra,qatanngut
281,Onkel::N,strýc,akkak
282,Tante::N,teta,aja
283,Tante::N,teta,ajak
284,Tante::N,teta,atsak
285,Ehemann::N,choť,ui
286,Ehemann::N,manžel,ui
287,Ehefrau::N,choť,nuliaq
288,Ehefrau::N,manželka,nuliaq
289,Freude::N,radost,tipaatsussuseq
290,Gelächter::N,smích,illaq
291,Glück::N,štěstí,usornaat
292,Glück::N,štěstí,usornarsuseq
293,Kummer::N,žal,
294,Kummer::N,trápení,
295,Wunsch::N,přání,kissaat
296,Lust::N,chuť,illigussuseq
297,Lust::N,chuť,piummaseq
298,Geist::N,duch,anerneq
299,Geist::N,duch,toornaq
300,Gedanke::N,myšlenka,isumassaq
301,Gedächtnis::N,paměť,eqqaamannissuseq
302,Verstand::N,rozum,isuma
303,Verstand::N,rozum,sianissut
304,Verstand::N,rozum,misigissut
305,Verstand::N,rozum,sianissuseq
306,Verstand::N,rozum,silaqassuseq
307,Sinn::N,smysl,isuma
308,Grund::N,důvod,patsit
309,Wahrheit::N,pravda,sallusuissut
310,Gespräch::N,rozhovor,
311,Märchen::N,pohádka,oqalualaarut
312,Märchen::N,pohádka,oqaluasaaq
313,Erzählung::N,povídka,oqaluttuaq
314,Nachricht::N,zpráva,oqaassut
315,Nachricht::N,zpráva,oqqersuut
316,Neuigkeit::N,novina,tusarnartaq
317,Neuigkeit::N,novinka,tusarnartaq
318,Name::N,jméno,ateq
319,Rätsel::N,hádanka,nalorsitsaarut
320,Rede::N,řeč,oqaluuseq
321,Rede::N,proslov,oqaluuseq
322,Sprache::N,řeč,oqaatsit
323,Sprache::N,jazyk,oqaatsit
324,Stimme::N,hlas,erinaq
325,Stimme::N,hlas,qarluuseq
326,Wort::N,slovo,oqaasii
327,Zeichen::N,znamení,nalunaaqqut
328,Ruf::N,zavolání,qaaqqussut
