,Concept_ID,ca,kk
0,Auge::N,ull,көз
1,Ohr::N,orella,құлақ
2,Nase::N,nas,мұрын
3,Mund::N,boca,ауыз
4,Zahn::N,dent,тіс
5,Zunge::N,llēngua,тіл
6,Lippe::N,llavi,ерін
7,Wange::N,galta,ұрт
8,Gesicht::N,cara,бет-аузы
9,Stirn::N,front,маңдай
10,Haar::N,cabēll,қыл
11,Schnurrbart::N,bigoti,мұрт
12,Bart::N,barba,сақал
13,Kinn::N,mentó,иек
14,Kinn::N,barbeta,иек
15,Kiefer[Anatomie]::N,queix,жақ
16,Kiefer[Anatomie]::N,mandíbula,жақ
17,Kehle::N,gola,алқым
18,Kehle::N,gorja,алқым
19,Hals::N,coll,мойын
20,Genick::N,nuca,желке
21,Kopf::N,cap,кәллә
22,Rücken::N,esquena,арқа
23,Bauch::N,panxa,қарын
24,Nabel::N,llombrígol,кіндік
25,Busen::N,pit,омырау
26,Busen::N,mama,омырау
27,Brust::N,pit,кеуде
28,Schulter::N,espatlla,иық
29,Arm::N,braç,қол
30,Ellenbogen::N,colze,шынтақ
31,Hand::N,mà,қол
32,Handfläche::N,palma,алақан
33,Finger::N,dit,саусақ
34,Fingernagel::N,ungla,тырнақ
35,Nagel[Anatomie]::N,ungla,тырнақ
36,Zeh::N,dit del peu,тырнақ
37,Zeh::N,dit del peu,тұяқ
38,Fuß::N,peu,аяқ-басы
39,Ferse::N,taló,өкше
40,Ferse::N,taló,өкшелік
41,Knie::N,genoll,тізе
42,Oberschenkel::N,cuixa,жамбас
43,Bein::N,cama,аяқ
44,Körper::N,cos,дене
45,Haut::N,pell,тері
46,Blut::N,sang,қан
47,Ader::N,vena,көктамыр
48,Ader::N,vena,күретамыр
49,Sehne::N,tendó,сіңір
50,Knochen::N,os,жілік
51,Gehirn::N,cervell,ми
52,Herz::N,cor,жүрек
53,Magen::N,estómac,асқазан
54,Leber::N,fetge,бауыр
55,Atem::N,alè,леп
56,Atem::N,hàlit,леп
57,Hunger::N,fam,ашаршылық
58,Hunger::N,gana,ашаршылық
59,Träne::N,llàgrima,жас
60,Geschmack::N,gust,дәм
61,Geschmack::N,gust,татым
62,Geschmack::N,gust,талғам
63,Geschmack::N,sabor,дәм
64,Geschmack::N,sabor,татым
65,Geschmack::N,sabor,талғам
66,Geruch::N,olor,иіс
67,Schlaf::N,son,ұйқы
68,Schlaf::N,son,ұйықтау
69,Traum::N,somni,түс
70,Himmel::N,celm,аспан
71,Himmel::N,celm,көқ
72,Himmel::N,celm,таңдай
73,Sonne::N,sol,күн
74,Mond::N,lluna,ай
75,Stern::N,estel,жұлдыз
76,Stern::N,estrella,жұлдыз
77,Luft::N,aire,әуе
78,Wind::N,vent,жел
79,Welle::N,ona,толқын
80,Wasser::N,āigua,су
81,Stein::N,pedra,тас
82,Boden::N,sòl,қыртыс
83,Erde::N,terra,топырақ
84,Staub::N,pols,шаң
85,Rauch::N,fum,түтін
86,Funke::N,guspira,ұшқын
87,Funke::N,centella,ұшқын
88,Feuer::N,foc,алау
89,Licht::N,llum,шұғыла
90,Schatten::N,ombra,көлеңке
91,Wetter::N,temps,ауа райы
92,Nebel::N,boira,тұман
93,Wolke::N,núvol,бұлт
94,Regen::N,pluja,жаңбыр
95,Schnee::N,neu,қар
96,Eis::N,gel,мұз
97,Eis::N,glaç,мұз
98,Frost::N,glaçada,суық
99,Kälte::N,fred,ызғар
100,Kälte::N,fred,суықтық
101,Hitze::N,calor,аптап
102,Raureif::N,gebre,қырау
103,Regenbogen::N,arc iris,кемпірқосақ
104,Donner::N,tro,күн күркіреу
105,Strömung::N,corrent,ағын
106,Tropfen::N,gota,тамшы
107,Schaum::N,escuma,көбік
108,Schmutz::N,brutícia,кір
109,See::N,llac,көл
110,Sumpf::N,pantà,саз
111,Moor::N,pantà,саз
112,Wiese::N,prat,шалғын
113,Wiese::N,prada,шалғын
114,Wald::N,bosc,орман
115,Hügel::N,puig,төбе
116,Hügel::N,puig,белес
117,Hügel::N,puig,белес-белес
118,Hügel::N,pujol,төбе
119,Hügel::N,pujol,белес
120,Hügel::N,pujol,белес-белес
121,Anhöhe::N,turó,дөң
122,Anhöhe::N,turó,адыр
123,Anhöhe::N,turó,қырат
124,Berg::N,muntanya,тау
125,Gipfel::N,cim,төбе
126,Höhle::N,cova,үңгір
127,Abhang::N,coster,бауыр
128,Quelle::N,font,қайнар
129,Bach::N,riera,жылға
130,Fluss::N,riu,өзен
131,Ufer::N,riba,жиек
132,Küste::N,costa,жиегі
133,Küste::N,costa,жағалау
134,Festland::N,terra ferma,құрылық
135,Meer::N,mar,теңіз
136,Bucht::N,cala,шығанақ
137,Bucht::N,badia,шығанақ
138,Insel::N,illa,арал
139,Blume::N,flor,гүл
140,Gras::N,herba,от
141,Wurzel::N,rel,түбір
142,Wurzel::N,arrel,түбір
143,Baum::N,arbre,ағаш
144,Baum::N,arbre,дарақ
145,Stamm::N,tronc,сояу
146,Stamm::N,tronc,оқпан
147,Rinde::N,escorça,қабық
148,Ast::N,branca,бұтақ
149,Zweig::N,ram,шыбық
150,Blatt::N,fulla,жапырақ
151,Birke::N,bedoll,қайың
152,Kiefer[Baum]::N,pi,қарағай
153,Weide[Baum]::N,salze,тал
154,Tanne::N,avet,шырша
155,Horn::N,corn,мүйіз
156,Horn::N,banya,мүйіз
157,Feder::N,ploma,қаламұш
158,Fell::N,pell,тері
159,Flügel::N,ala,қанат
160,Klaue::N,urpa,тырнақ
161,Kralle::N,grapa,аяқ
162,Schwanz::N,cua,құйрық
163,Ei::N,ou,жұмыртқа
164,Nest::N,niu,ұя
165,Bau::N,cau,жатақ
166,Tier::N,animāl,айуан
167,Tier::N,animāl,жануар
168,Herde::N,ramat,пада
169,Kuh::N,vaca,сиыр
170,Bulle::N,toro,өгіз
171,Pferd::N,cavāll,жылқы
172,Schaf::N,be,қой
173,Schaf::N,ovella,қой
174,Schwein::N,bacó,шошқа
175,Hund::N,ca,ит
176,Hund::N,gos,ит
177,Katze::N,gat,мысық
178,Bär::N,ós,аю
179,Eichhörnchen::N,esquirol,тиін
180,Elch::N,ant,бұғы
181,Fuchs::N,guilla,түлкі
182,Hase::N,llebre,қоян
183,Maus::N,ratolí,қаптесер
184,Wolf::N,llop,бөрі
185,Wolf::N,llop,қасқыр
186,Vogel::N,au,құс
187,Vogel::N,ocēll,құс
188,Schwarm::N,bandada,топ
189,Schwarm::N,bandada,үйір
190,Huhn::N,gallina,тауық
191,Huhn::N,gallina,мекиен
192,Hahn::N,gall,әтеш
193,Hahn::N,gall,қораз
194,Gans::N,oca,қаз
195,Adler::N,àguila,бүркіт
196,Ente::N,ànec,үйрек
197,Eule::N,òliba,жапалақ
198,Eule::N,mussol,жапалақ
199,Kranich::N,grua,тырна
200,Krähe::N,cornella,қарға
201,Kuckuck::N,cucut,көкек
202,Schwan::N,cigne,аққу
203,Fisch::N,peix,балық
204,Barsch::N,perca,алабұға
205,Hecht::N,lluç,шортан
206,Schlange[Tier]::N,serp,жылан
207,Wurm::N,cuc,шұбалшаң
208,Spinne::N,aranya,өрмекші
209,Ameise::N,formiga,қүмырска
210,Laus::N,poll,бит
211,Mücke::N,mosquit,маса
212,Fliege::N,mosca,шыбын
213,Schmetterling::N,papallona,көбелек
214,Beere::N,baia,жидек
215,Apfel::N,poma,алма
