,Concept_ID,ro,kv
0,Auge::N,ochi,син
1,Ohr::N,ureche,пель
2,Nase::N,nas,ныр
3,Mund::N,gură,ӧм
4,Zahn::N,dinte,пинь
5,Zunge::N,limbă,кыв
6,Lippe::N,buză,тырп
7,Wange::N,bucă,рожабан
8,Wange::N,obraz,рожабан
9,Gesicht::N,față,бан
10,Gesicht::N,figură,бан
11,Stirn::N,frunte,кымӧс
12,Haar::N,păr,юрси
13,Schnurrbart::N,mustață,уссэз
14,Bart::N,barbă,тош
15,Kinn::N,bărbie,тшӧка
16,Kiefer[Anatomie]::N,falcă,ан
17,Kehle::N,beregată,юан
18,Hals::N,gât,юан
19,Genick::N,ceafă,юр бӧр
20,Kopf::N,cap,юр
21,Rücken::N,dos,мышк
22,Rücken::N,spate,мышк
23,Rücken::N,spinare,мышк
24,Bauch::N,burtă,кынӧм
25,Bauch::N,pântece,кынӧм
26,Nabel::N,buric,гӧг
27,Busen::N,sân,морос
28,Brust::N,piept,морос
29,Schulter::N,umăr,пельпон
30,Schulter::N,spate,пельпон
31,Arm::N,braț,ки
32,Ellenbogen::N,cot,гырдзза
33,Hand::N,mână,кикар
34,Handfläche::N,palmă,ки пыдӧс
35,Finger::N,deget,чунь
36,Fingernagel::N,unghie,гыж
37,Nagel[Anatomie]::N,unghie,гыж
38,Zeh::N,deget de la picior,чунь
39,Fuß::N,picior,кокпыдӧс
40,Ferse::N,călcâi,кокдзир
41,Knie::N,genunchi,пидзӧс
42,Oberschenkel::N,coapsă,лядьбей
43,Bein::N,picior,кок
44,Körper::N,corp,вывтыр
45,Haut::N,piele,кучик
46,Blut::N,sânge,вир
47,Ader::N,vână,сӧн
48,Ader::N,arteră,сӧн
49,Sehne::N,tendon,жила
50,Knochen::N,os,коска
51,Gehirn::N,creier,вем
52,Herz::N,inimă,сьӧлӧм
53,Magen::N,stomac,жӧвдӧк
54,Leber::N,ficat,мус
55,Atem::N,răsuflare,лолалӧм
56,Atem::N,respirație,лолалӧм
57,Hunger::N,foame,тшыг
58,Träne::N,lacrimă,синва
59,Geschmack::N,gust,кӧр
60,Geruch::N,miros,дук
61,Schlaf::N,somn,он
62,Traum::N,vis,вӧт
63,Himmel::N,cer,небо
64,Sonne::N,soare,шондi
65,Mond::N,lună,тӧлiсь
66,Stern::N,stea,кӧдзыв
67,Luft::N,aer,ру
68,Wind::N,vânt,тӧв
69,Welle::N,val,гы
70,Welle::N,undă,гы
71,Wasser::N,apă,ва
72,Stein::N,piatră,из
73,Boden::N,sol,му
74,Boden::N,pământ,му
75,Erde::N,pământ,му
76,Staub::N,praf,бус
77,Rauch::N,fum,тшын
78,Funke::N,scânteie,бичир
79,Feuer::N,foc,би
80,Licht::N,lumină,би
81,Schatten::N,umbră,вуджӧр
82,Wetter::N,timp,погоддя
83,Wetter::N,vreme,погоддя
84,Nebel::N,ceață,туман
85,Nebel::N,negură,туман
86,Wolke::N,nor,кымӧр
87,Regen::N,ploaie,зэр
88,Schnee::N,zăpadă,лым
89,Eis::N,gheață,йы
90,Frost::N,ger,мороз
91,Kälte::N,frig,кӧдзыт
92,Hitze::N,arșiță,ӧд
93,Hitze::N,căldură,ӧд
94,Raureif::N,chiciură,кижа
95,Regenbogen::N,curcubeu,енӧшка
96,Donner::N,tunet,гым
97,Strömung::N,curent,визывтӧм
98,Tropfen::N,picătură,тёп
99,Schaum::N,spumă,быг
100,Schmutz::N,murdărie,нять
101,See::N,lac,ты
102,Sumpf::N,mlaștină,арай
103,Moor::N,bărăgan,нюр
104,Wiese::N,fânaț,видз
105,Wiese::N,livadă,видз
106,Wald::N,codru,вӧр
107,Wald::N,pădure,вӧр
108,Hügel::N,deal,мыльк
109,Hügel::N,movilă,мыльк
110,Anhöhe::N,deal,вывтас
111,Anhöhe::N,deal,вылынін
112,Anhöhe::N,ridicătură,вывтас
113,Anhöhe::N,ridicătură,вылынін
114,Berg::N,munte,керӧс
115,Gipfel::N,pisc,йыв
116,Höhle::N,peșteră,нора
117,Abhang::N,pantă,покат
118,Abhang::N,versant,покат
119,Quelle::N,izvor,больган
120,Bach::N,gârlă,шор
121,Fluss::N,râu,ю
122,Fluss::N,fluviu,ю
