,Concept_ID,cy,es
0,Auge::N,llygad,ojo
1,Ohr::N,clust,oreja
2,Nase::N,trwyn,nariz
3,Mund::N,ceg,boca
4,Zahn::N,dant,diente
5,Zunge::N,tafod,lengua
6,Lippe::N,gwefus,labio
7,Wange::N,boch,mejilla
8,Gesicht::N,wyneb,cara
9,Stirn::N,talcen,frente
10,Haar::N,blew,cabello
11,Schnurrbart::N,mwstas,bigote
12,Bart::N,barf,barba
13,Kinn::N,gên,barbilla
14,Kiefer[Anatomie]::N,gên,mandíbula
15,Kehle::N,gwddf,garganta
16,Hals::N,gwddf,cuello
17,Genick::N,gwar,nuca
18,Genick::N,gwar,cerviz
19,Genick::N,gwegil,nuca
20,Genick::N,gwegil,cerviz
21,Kopf::N,pen,cabeza
22,Rücken::N,cefn,espalda
23,Bauch::N,bol,vientre
24,Nabel::N,bogail,ombligo
25,Busen::N,bron,pecho
26,Brust::N,brest,pecho
27,Schulter::N,ysgwydd,hombro
28,Arm::N,braich,brazo
29,Ellenbogen::N,penelin,codo
30,Hand::N,llaw,mano
31,Handfläche::N,palf,palma
32,Finger::N,bys,dedo
33,Fingernagel::N,ewin,uña
34,Nagel[Anatomie]::N,ewin,uña
35,Zeh::N,bys troed,dedo del pie
36,Fuß::N,troed,pie
37,Ferse::N,sawdl,talón
38,Knie::N,glin,rodilla
39,Oberschenkel::N,clun,muslo
40,Bein::N,coes,pierna
41,Körper::N,corff,cuerpo
42,Haut::N,croen,piel
43,Blut::N,gwaed,sangre
44,Ader::N,gwythïen,vena
45,Sehne::N,gewyn,tendón
46,Knochen::N,asgwrn,hueso
47,Gehirn::N,ymennydd,cerebro
48,Gehirn::N,ymennydd,encéfalo
49,Herz::N,calon,corazón
50,Magen::N,cylla,estómago
51,Magen::N,stumog,estómago
52,Leber::N,iau,hígado
53,Atem::N,anadl,aliento
54,Hunger::N,newyn,hambre
55,Träne::N,deigryn,lágrima
56,Geschmack::N,cyflas,gusto
57,Geruch::N,aroglau,olor
58,Schlaf::N,cwsg,sueño
59,Traum::N,breuddwyd,sueño
60,Traum::N,breuddwyd,ensueño
61,Himmel::N,awyr,cielo
62,Sonne::N,haul,sol
63,Mond::N,lleuad,luna
64,Stern::N,seren,estrella
65,Luft::N,awyr,aire
66,Wind::N,gwynt,viento
67,Welle::N,ton,ola
68,Welle::N,ton,onda
69,Wasser::N,dŵr,agua
70,Stein::N,carreg,piedra
71,Boden::N,llawr,suelo
72,Erde::N,pridd,tierra
73,Staub::N,llwch,polvo
74,Rauch::N,mwg,humo
75,Funke::N,gwreichioni,chispa
76,Feuer::N,tân,fuego
77,Licht::N,golau,luz
78,Schatten::N,cysgod,sombra
79,Wetter::N,tywydd,tiempo
80,Nebel::N,niwl,niebla
81,Wolke::N,cwmwl,nube
82,Regen::N,glaw,lluvia
83,Schnee::N,ôd,nieve
84,Schnee::N,eira,nieve
85,Eis::N,iâ,hielo
86,Frost::N,rhew,helada
87,Kälte::N,oerni,frío
88,Kälte::N,annwyd,frío
89,Hitze::N,gwres,calor
90,Raureif::N,barrug,escarcha
91,Regenbogen::N,enfys,arco iris
92,Donner::N,tyrfau,trueno
93,Strömung::N,cerrynt,corriente
94,Tropfen::N,dafn,gota
95,Tropfen::N,diferyn,gota
96,Schaum::N,ewyn,espuma
97,Schmutz::N,baw,suciedad
98,Schmutz::N,budreddi,suciedad
99,See::N,llyn,lago
100,Sumpf::N,cors,pantano
101,Moor::N,rhos,turbera
102,Wiese::N,dôl,prado
103,Wiese::N,dôl,pradera
104,Wald::N,coedwig,bosque
105,Hügel::N,bryn,colina
106,Anhöhe::N,bryn,cerro
107,Berg::N,mynydd,monte
108,Berg::N,mynydd,montaña
109,Gipfel::N,copa,cima
110,Gipfel::N,copa,cumbre
111,Höhle::N,ogof,cueva
112,Höhle::N,ogof,caverna
113,Abhang::N,llethr,cuesta
114,Abhang::N,llethr,declive
115,Quelle::N,tarddiad,fuente
116,Quelle::N,tarddiad,manantial
117,Quelle::N,ffynhonnell,fuente
118,Quelle::N,ffynhonnell,manantial
119,Bach::N,nant,arroyo
120,Bach::N,afonig,arroyo
121,Bach::N,cornant,arroyo
122,Fluss::N,afon,río
123,Ufer::N,glan,orilla
124,Küste::N,traeth,costa
125,Küste::N,arfordir,costa
126,Festland::N,tir,tierra firme
127,Meer::N,môr,mar
128,Bucht::N,bae,cala
129,Bucht::N,bae,bahía
130,Insel::N,ynys,isla
131,Blume::N,blodyn,flor
132,Gras::N,glaswellt,hierba
133,Wurzel::N,gwreiddyn,raíz
134,Baum::N,coeden,árbol
135,Stamm::N,colfen,tronco
136,Stamm::N,boncyff,tronco
137,Rinde::N,rhisgl,corteza
138,Ast::N,cangen,rama
139,Zweig::N,cainc,ramo
140,Zweig::N,cangen,ramo
141,Blatt::N,deilen,hoja
142,Birke::N,bedwen,abedul
143,Kiefer[Baum]::N,pinwydden,pino
144,Weide[Baum]::N,helygen,sauce
145,Tanne::N,ffynidwydden,abeto
146,Horn::N,corn,asta
147,Horn::N,corn,cuerno
148,Feder::N,plufyn,pluma
149,Fell::N,ffwr,piel
150,Flügel::N,adain,ala
151,Klaue::N,crafanc,garra
152,Kralle::N,ewin,uña
153,Kralle::N,ewin,garra
154,Schwanz::N,cwt,cola
155,Schwanz::N,cynffon,cola
156,Ei::N,wy,huevo
157,Nest::N,nyth,nido
158,Bau::N,ffau,madriguera
159,Tier::N,anifail,animal
160,Herde::N,praidd,rebaño
161,Herde::N,diadell,rebaño
162,Kuh::N,buwch,vaca
163,Bulle::N,tarw,toro
164,Pferd::N,ceffyl,caballo
165,Schaf::N,dafad,oveja
166,Schwein::N,mochyn,cerdo
167,Hund::N,ci,perro
168,Katze::N,cath,gato
169,Bär::N,arth,oso
170,Eichhörnchen::N,gwiwer,ardilla
171,Elch::N,elc,alce
172,Fuchs::N,cadno,zorro
173,Hase::N,ysgyfarnog,liebre
174,Maus::N,llygoden,ratón
175,Wolf::N,blaidd,lobo
176,Vogel::N,aderyn,ave
177,Vogel::N,aderyn,pájaro
178,Schwarm::N,haid,bandada
179,Huhn::N,cyw,gallina
180,Hahn::N,ceiliog,gallo
181,Gans::N,gŵydd,oca
182,Gans::N,gŵydd,ganso
183,Adler::N,eryr,águila
184,Ente::N,hwyad,pato
185,Eule::N,tylluan,lechuza
186,Kranich::N,garan,grulla
187,Kranich::N,crychydd,grulla
188,Krähe::N,brân,corneja
189,Kuckuck::N,cog,cuco
190,Kuckuck::N,cwcw,cuco
191,Schwan::N,alarch,cisne
192,Fisch::N,pysgod,pez
193,Barsch::N,draenog,perca
194,Hecht::N,penhwyad,lucio
195,Schlange[Tier]::N,neidr,serpiente
196,Wurm::N,abwydyn,gusano
197,Wurm::N,pryf genwair,gusano
198,Spinne::N,cor,araña
199,Spinne::N,pryf copyn,araña
200,Ameise::N,morgrugyn,hormiga
201,Laus::N,lleuen,piojo
202,Mücke::N,gwybedyn,mosquito
203,Fliege::N,cleren,mosca
204,Schmetterling::N,glöyn byw,mariposa
205,Schmetterling::N,iâr fach yr haf,mariposa
206,Beere::N,aeronen,baya
207,Apfel::N,afal,manzana
208,Pilz::N,madarch,seta
209,Pilz::N,madarch,hongo
210,Zwiebel::N,nionyn,cebolla
211,Zwiebel::N,winwnsyn,cebolla
212,Saat::N,had,siembra
213,Korn::N,grawn,grano
214,Heu::N,gwair,heno
215,Schale::N,croen,cáscara
216,Schale::N,plisgyn,cáscara
217,Grube::N,pwll,foso
218,Grube::N,pydew,foso
219,Falle::N,magl,trampa
220,Schlinge::N,cwlwm rhedeg,lazo
221,Spur::N,ôl,huella
222,Asche::N,lludw,ceniza
223,Dreck::N,baw,suciedad
224,Dreck::N,budreddi,suciedad
225,Eisen::N,haearn,hierro
226,Gold::N,aur,oro
227,Silber::N,arian,plata
228,Kohle::N,glo,carbón
229,Glas::N,gwydr,vidrio
230,Glas::N,gwydr,cristal
231,Lehm::N,clai,barro
232,Sand::N,tywod,arena
233,Mensch::N,dyn,hombre
234,Mensch::N,dyn,ser humano
235,Mann::N,dyn,hombre
236,Frau::N,merch,mujer
237,Frau::N,gwraig,mujer
238,Kind::N,plentyn,niño
239,Junge::N,hogyn,chico
240,Junge::N,hogyn,muchacho
241,Junge::N,bachgen,chico
242,Junge::N,bachgen,muchacho
243,Mädchen::N,merch,chica
244,Mädchen::N,merch,muchacha
245,Mädchen::N,geneth,chica
246,Mädchen::N,geneth,muchacha
247,Familie::N,teulu,familia
248,Familie::N,tylwyth,familia
249,Großvater::N,taid,abuelo
250,Großvater::N,tad-cu,abuelo
251,Großmutter::N,nain,abuela
252,Großmutter::N,mam-gu,abuela
253,Eltern::N,rhieni,padres
254,Vater::N,tad,padre
255,Mutter::N,mam,madre
256,Sohn::N,mab,hijo
257,Tochter::N,merch,hija
258,Bruder::N,brawd,hermano
259,Schwester::N,chwaer,hermana
260,Onkel::N,ewythr,tío
261,Tante::N,modryb,tía
262,Ehemann::N,gŵr,esposo
263,Ehefrau::N,gwraig,esposa
264,Freude::N,gorfoledd,placer
265,Freude::N,gorfoledd,alegría
266,Gelächter::N,chwerthin,risa
267,Gelächter::N,chwerthin,carcajada
268,Glück::N,hapusrwydd,felicidad
269,Kummer::N,galar,pena
270,Wunsch::N,dymuniad,deseo
271,Lust::N,chwant,ganas
272,Geist::N,ysbryd,mente
273,Geist::N,ysbryd,espíritu
274,Gedanke::N,meddwl,idea
275,Gedanke::N,meddwl,pensamiento
276,Gedächtnis::N,cof,memoria
277,Verstand::N,meddwl,razón
278,Verstand::N,meddwl,entendimiento
279,Sinn::N,ystyr,sentido
280,Sinn::N,ystyr,significado
281,Grund::N,achos,causa
282,Grund::N,rheswm,causa
283,Wahrheit::N,gwir,verdad
284,Wahrheit::N,gwirionedd,verdad
285,Gespräch::N,sgwrs,conversación
286,Märchen::N,chwedl werin,cuento
287,Erzählung::N,stori,cuento
288,Erzählung::N,stori,narración
289,Nachricht::N,neges,mensaje
290,Neuigkeit::N,newydd,noticia
291,Name::N,enw,nombre
292,Rätsel::N,pos,acertijo
293,Rätsel::N,pos,adivinanza
294,Rede::N,araith,discurso
295,Sprache::N,iaith,lengua
296,Stimme::N,llais,voz
297,Wort::N,gair,palabra
298,Zeichen::N,arwydd,señal
299,Ruf::N,galwad,llamada
300,Lärm::N,trwst,ruido
301,Lärm::N,trwst,barullo
302,Laut::N,sain,sonido
303,Ton::N,tôn,tono
304,Lied::N,cân,canción
305,Ruhe::N,tawelwch,calma
306,Ruhe::N,tawelwch,silencio
307,Leute::N,pobl,gente
308,Volk::N,pobl,pueblo
309,Arbeit::N,gwaith,trabajo
310,Gast::N,gwestai,huésped
311,Gast::N,gwestai,invitado
312,Geschenk::N,rhodd,regalo
313,Geschenk::N,anrheg,regalo
314,Spiel::N,chwarae,juego
315,Gesellschaft::N,cwmni,compañía
316,Hilfe::N,cymorth,ayuda
317,Hilfe::N,cymorth,socorro
318,Freund::N,cyfaill,amigo
319,Kamerad::N,cydymaith,camarada
320,Kamerad::N,cydymaith,compañero
321,Angelegenheit::N,pwnc,asunto
322,Anzahl::N,cyfrif,cantidad
323,Art::N,bath,tipo
324,Art::N,bath,clase
325,Stück::N,darn,pieza
326,Teil::N,rhan,parte
327,Hälfte::N,hanner,mitad
328,Kreis::N,cylch,círculo
329,Kreuz::N,croes,cruz
330,Linie::N,llinell,línea
331,Strich::N,strôc,raya
332,Strich::N,strôc,trazo
333,Strich::N,trawiad,raya
334,Strich::N,trawiad,trazo
335,Abstand::N,bwlch,distancia
336,Abstand::N,pellter,distancia
337,Entfernung::N,pellter,distancia
338,Gegend::N,cylch,región
339,Gegend::N,cylch,comarca
340,Platz::N,lle,espacio
341,Ort::N,lle,sitio
342,Seite::N,ochr,lado
343,Seite::N,ochr,costado
344,Mitte::N,canol,medio
345,Mitte::N,canol,centro
346,Gegenstand::N,eitem,objeto
347,Sache::N,peth,cosa
348,Rand::N,cwr,borde
349,Rand::N,ymyl,borde
350,Kante::N,min,borde
351,Kante::N,ymyl,borde
352,Ecke::N,cornel,esquina
353,Spitze::N,blaen,punta
354,Ende::N,pen,cabo
355,Ende::N,pen,extremo
356,Loch::N,twll,agujero
357,Loch::N,twll,abertura
358,Winkel::N,congl,ángulo
359,Muster::N,patrwm,dibujo
360,Größe::N,maint,tamaño
361,Größe::N,maintioli,tamaño
