,Concept_ID,sq,es
0,Auge::N,sy,ojo
1,Ohr::N,vesh,oreja
2,Nase::N,hundë,nariz
3,Mund::N,gojë,boca
4,Zahn::N,dhëmb,diente
5,Zunge::N,gjuhë,lengua
6,Lippe::N,buzë,labio
7,Wange::N,faqe,mejilla
8,Wange::N,mollëz,mejilla
9,Gesicht::N,fytyrë,cara
10,Stirn::N,ballë,frente
11,Haar::N,flokë,cabello
12,Schnurrbart::N,mustaqe,bigote
13,Bart::N,mjekër,barba
14,Kinn::N,mjekër,barbilla
15,Kiefer[Anatomie]::N,nofull,mandíbula
16,Kehle::N,fyt,garganta
17,Kehle::N,grykë,garganta
18,Hals::N,qafë,cuello
19,Genick::N,arrëz,nuca
20,Genick::N,arrëz,cerviz
21,Kopf::N,kokë,cabeza
22,Rücken::N,kurriz,espalda
23,Bauch::N,bark,vientre
24,Nabel::N,kërthizë,ombligo
25,Busen::N,gji,pecho
26,Brust::N,gjoks,pecho
27,Brust::N,kraharor,pecho
28,Schulter::N,sup,hombro
29,Schulter::N,krah,hombro
30,Arm::N,krah,brazo
31,Ellenbogen::N,bërryl,codo
32,Hand::N,dorë,mano
33,Handfläche::N,pëllëmbë,palma
34,Finger::N,gisht,dedo
35,Fingernagel::N,thua,uña
36,Nagel[Anatomie]::N,thua,uña
37,Zeh::N,gisht i këmbës,dedo del pie
38,Fuß::N,këmbë,pie
39,Ferse::N,thembër,talón
40,Knie::N,gju,rodilla
41,Oberschenkel::N,kofshë,muslo
42,Bein::N,këmbë,pierna
43,Körper::N,trup,cuerpo
44,Haut::N,lëkurë,piel
45,Blut::N,gjak,sangre
46,Ader::N,venë,vena
47,Sehne::N,dell,tendón
48,Knochen::N,asht,hueso
49,Knochen::N,kockë,hueso
50,Gehirn::N,tru,cerebro
51,Gehirn::N,tru,encéfalo
52,Herz::N,zemër,corazón
53,Magen::N,stomak,estómago
54,Leber::N,mëlçi,hígado
55,Atem::N,frymë,aliento
56,Hunger::N,uri,hambre
57,Träne::N,lot,lágrima
58,Geschmack::N,shije,gusto
59,Geruch::N,erë,olor
60,Schlaf::N,gjumë,sueño
61,Traum::N,ëndërr,sueño
