,Concept_ID,,en
0,Auge::N,,eye
1,Ohr::N,,ear
2,Nase::N,,nose
3,Mund::N,,mouth
4,Zahn::N,,tooth
5,Zunge::N,,tongue
6,Lippe::N,,lip
7,Wange::N,,cheek
8,Gesicht::N,,face
9,Stirn::N,,forehead
10,Haar::N,,hair
11,Schnurrbart::N,,moustache
12,Bart::N,,beard
13,Kinn::N,,chin
14,Kiefer[Anatomie]::N,,jaw
15,Kehle::N,,throat
16,Hals::N,,neck
17,Genick::N,,nape
18,Kopf::N,,head
19,Rücken::N,,back
20,Rücken::N,,spine
21,Bauch::N,,belly
22,Nabel::N,,navel
23,Busen::N,,bosom
24,Brust::N,,chest
25,Brust::N,,breast
26,Schulter::N,,shoulder
27,Arm::N,,arm
28,Ellenbogen::N,,elbow
29,Hand::N,,hand
30,Handfläche::N,,palm
31,Finger::N,,finger
32,Fingernagel::N,,fingernail
33,Nagel[Anatomie]::N,,nail
34,Zeh::N,,toe
35,Fuß::N,,foot
36,Ferse::N,,heel
37,Knie::N,,knee
38,Oberschenkel::N,,thigh
39,Bein::N,,leg
40,Körper::N,,body
41,Haut::N,,skin
42,Blut::N,,blood
43,Ader::N,,vein
44,Sehne::N,,sinew
45,Knochen::N,,bone
46,Gehirn::N,,brain
47,Herz::N,,heart
48,Magen::N,,stomach
49,Leber::N,,liver
50,Atem::N,,breath
51,Hunger::N,,hunger
52,Träne::N,,tear
53,Geschmack::N,,flavour
54,Geschmack::N,,flavor
55,Geruch::N,,odour
56,Geruch::N,,odor
57,Schlaf::N,,sleep
58,Traum::N,,dream
59,Himmel::N,,sky
60,Sonne::N,,sun
61,Mond::N,,moon
62,Stern::N,,star
63,Luft::N,,air
64,Wind::N,,wind
65,Welle::N,,wave
66,Wasser::N,,water
67,Stein::N,,stone
68,Boden::N,,soil
69,Boden::N,,ground
70,Erde::N,,earth
71,Staub::N,,dust
72,Rauch::N,,smoke
73,Funke::N,,spark
74,Feuer::N,,fire
75,Licht::N,,light
76,Schatten::N,,shadow
77,Wetter::N,,weather
78,Nebel::N,,fog
79,Wolke::N,,cloud
80,Regen::N,,rain
81,Schnee::N,,snow
82,Eis::N,,ice
83,Frost::N,,frost
84,Kälte::N,,chill
85,Hitze::N,,heat
86,Raureif::N,,hoarfrost
87,Regenbogen::N,,rainbow
88,Donner::N,,thunder
89,Strömung::N,,current
90,Tropfen::N,,drop
91,Schaum::N,,foam
92,Schmutz::N,,dirt
93,See::N,,lake
94,Sumpf::N,,swamp
95,Moor::N,,moor
96,Wiese::N,,meadow
97,Wald::N,,forest
98,Hügel::N,,hill
99,Anhöhe::N,,elevation
100,Berg::N,,mountain
101,Gipfel::N,,summit
102,Höhle::N,,cave
103,Abhang::N,,slope
104,Quelle::N,,source
105,Bach::N,,brook
106,Fluss::N,,river
107,Ufer::N,,shore
108,Küste::N,,coast
109,Festland::N,,land
110,Meer::N,,sea
111,Bucht::N,,cove
112,Insel::N,,island
113,Blume::N,,flower
114,Gras::N,,grass
115,Wurzel::N,,root
116,Baum::N,,tree
117,Stamm::N,,trunk
118,Rinde::N,,bark
