,Concept_ID,cs,bg
0,Auge::N,oko,око
1,Ohr::N,ucho,ухо
2,Nase::N,nos,нос
3,Mund::N,pusa,уста
4,Zahn::N,zub,зъб
5,Zunge::N,jazyk,език
6,Lippe::N,ret,устна
7,Wange::N,tvář,буза
8,Gesicht::N,obličej,лице
9,Gesicht::N,obličej,образ
10,Stirn::N,čelo,чело
11,Haar::N,vlas,коса
12,Haar::N,vlas,косъм
13,Haar::N,vlasy,коса
14,Haar::N,vlasy,косъм
15,Schnurrbart::N,kníry,мустаци
16,Bart::N,vousy,брада
17,Kinn::N,brada,брада
18,Kinn::N,brada,брадичка
19,Kiefer[Anatomie]::N,čelist,челюст
20,Kehle::N,hrdlo,гърло
21,Hals::N,krk,врат
22,Genick::N,týl,тил
23,Kopf::N,hlava,глава
24,Rücken::N,záda,гръб
25,Rücken::N,hřbet,гръб
26,Bauch::N,břicho,корем
27,Nabel::N,pupek,пъп
28,Busen::N,ňadra,бозка
29,Brust::N,prsa,гръд
30,Schulter::N,plece,рамо
31,Schulter::N,plece,плещи
32,Schulter::N,rameno,рамо
33,Schulter::N,rameno,плещи
34,Arm::N,ruka,ръка
35,Ellenbogen::N,loket,лакът
36,Hand::N,ruka,ръка
37,Hand::N,ruka,китка
38,Handfläche::N,dlaň,длан
39,Finger::N,prst,пръст
40,Fingernagel::N,nehet,нокът
41,Nagel[Anatomie]::N,nehet,нокът
42,Zeh::N,prst u nohy,пръст на крак
43,Fuß::N,noha,крак
44,Fuß::N,noha,нога
45,Ferse::N,pata,пета
46,Knie::N,koleno,коляно
47,Oberschenkel::N,stehno,бедро
48,Bein::N,noha,крак
49,Bein::N,noha,нога
50,Körper::N,tělo,тяло
51,Haut::N,kůže,кожа
52,Blut::N,krev,кръв
53,Ader::N,céva,вена
54,Ader::N,céva,артерия
55,Sehne::N,šlacha,жила
56,Sehne::N,šlacha,сухожилие
57,Knochen::N,kost,кост
58,Gehirn::N,mozek,мозък
59,Herz::N,srdce,сърце
60,Magen::N,žaludek,стомах
61,Leber::N,játra,черен дроб
62,Atem::N,dech,дишане
63,Hunger::N,hlad,глад
64,Träne::N,slza,сълза
65,Geschmack::N,vkus,вкус
66,Geruch::N,vůně,миризма
67,Geruch::N,zápach,миризма
68,Schlaf::N,spánek,сън
69,Traum::N,sen,сън
70,Himmel::N,nebe,небе
71,Sonne::N,slunce,слънце
72,Mond::N,měsíc,луна
73,Mond::N,měsíc,месец
74,Stern::N,hvězda,звезда
75,Luft::N,vzduch,въздух
76,Wind::N,vítr,вятър
77,Welle::N,vlna,вълна
78,Wasser::N,voda,вода
79,Stein::N,kámen,камък
80,Boden::N,půda,земя
81,Boden::N,půda,почва
82,Erde::N,země,земя
83,Erde::N,země,почва
84,Staub::N,prach,прах
85,Rauch::N,dým,дим
86,Rauch::N,dým,пушек
87,Rauch::N,kouř,дим
88,Rauch::N,kouř,пушек
89,Funke::N,jiskra,искра
90,Feuer::N,oheň,огън
91,Licht::N,světlo,светлина
92,Schatten::N,stín,сянка
93,Wetter::N,počasí,време
94,Nebel::N,mlha,мъгла
95,Wolke::N,mrak,облак
96,Wolke::N,oblak,облак
97,Regen::N,déšť,дъжд
98,Schnee::N,sníh,сняг
99,Eis::N,led,лед
100,Frost::N,mráz,мраз
101,Kälte::N,chlad,студ
102,Hitze::N,horko,жега
103,Hitze::N,horko,горещина
104,Raureif::N,jinovatka,скреж
105,Raureif::N,jinovatka,слана
106,Regenbogen::N,duha,дъга
107,Donner::N,hrom,гръм
108,Strömung::N,proudění,течение
109,Tropfen::N,kapka,капка
110,Schaum::N,pěna,пяна
111,Schmutz::N,špína,кал
112,Schmutz::N,špína,мръсотия
113,See::N,jezero,езеро
114,Sumpf::N,močál,блато
115,Sumpf::N,bažina,блато
116,Moor::N,bažina,мочурище
117,Moor::N,slatina,мочурище
118,Wiese::N,louka,ливада
119,Wald::N,les,гора
120,Hügel::N,kopec,рид
121,Hügel::N,kopec,хълм
122,Anhöhe::N,pahorek,могила
123,Anhöhe::N,pahorek,възвишение
124,Berg::N,hora,планина
125,Gipfel::N,vrchol,връх
126,Höhle::N,jeskyně,пещера
127,Abhang::N,svah,склон
128,Abhang::N,svah,стръмнина
129,Abhang::N,stráň,склон
130,Abhang::N,stráň,стръмнина
131,Quelle::N,pramen,извор
132,Bach::N,potok,поток
133,Fluss::N,řeka,река
134,Ufer::N,břeh,бряг
135,Küste::N,pobřeží,бряг
136,Küste::N,pobřeží,крайбрежие
137,Festland::N,souš,суша
138,Festland::N,pevnina,суша
139,Meer::N,moře,море
140,Bucht::N,záliv,залив
141,Bucht::N,zátoka,залив
142,Insel::N,ostrov,остров
143,Blume::N,květina,цвете
144,Gras::N,tráva,трева
145,Wurzel::N,kořen,корен
146,Baum::N,strom,дърво
147,Stamm::N,kmen,стъбло
148,Rinde::N,kůra,кора
149,Ast::N,větev,клон
150,Zweig::N,větev,клон
151,Blatt::N,lupen,лист
152,Birke::N,bříza,бреза
153,Kiefer[Baum]::N,sosna,бор
154,Kiefer[Baum]::N,borovice,бор
155,Weide[Baum]::N,vrba,върба
156,Tanne::N,jedle,ела
157,Horn::N,roh,рог
158,Feder::N,pero,перо
159,Fell::N,srst,кожа
160,Flügel::N,křídlo,крило
161,Klaue::N,dráp,нокът
162,Klaue::N,pazneht,нокът
163,Kralle::N,dráp,нокът
164,Schwanz::N,ocas,опашка
165,Ei::N,vejce,яйце
166,Nest::N,hnízdo,гнездо
167,Bau::N,nora,дупка
168,Tier::N,zvíře,животно
169,Herde::N,stádo,стадо
170,Kuh::N,kráva,крава
171,Bulle::N,býk,бик
172,Pferd::N,kůň,кон
173,Schaf::N,ovce,овца
174,Schwein::N,vepř,свиня
175,Schwein::N,prase,свиня
176,Hund::N,pes,куче
177,Katze::N,kočka,котка
178,Bär::N,medvěd,мечка
179,Eichhörnchen::N,veverka,катерица
180,Elch::N,los,лос
181,Fuchs::N,liška,лисица
182,Hase::N,zajíc,заек
183,Maus::N,myš,мишка
184,Wolf::N,vlk,вълк
185,Vogel::N,pták,птица
186,Schwarm::N,roj,рой
187,Schwarm::N,roj,рояк
188,Schwarm::N,hejno,рой
189,Schwarm::N,hejno,рояк
190,Huhn::N,kuře,кокошка
191,Huhn::N,slepice,кокошка
192,Hahn::N,kohout,петел
193,Gans::N,husa,гъска
194,Adler::N,orel,орел
195,Ente::N,kachna,патица
196,Eule::N,sova,сова
197,Kranich::N,jeřáb,жерав
198,Krähe::N,vrána,врана
199,Kuckuck::N,kukačka,кукувица
200,Schwan::N,labuť,лебед
201,Fisch::N,ryba,риба
202,Barsch::N,okoun,костур
203,Hecht::N,štika,щука
204,Schlange[Tier]::N,had,змия
205,Wurm::N,červ,червей
206,Spinne::N,pavouk,паяк
207,Ameise::N,mravenec,мравка
208,Laus::N,veš,въшка
209,Mücke::N,komár,комар
210,Fliege::N,moucha,муха
211,Schmetterling::N,motýl,пеперуда
212,Beere::N,bobule,плод
213,Apfel::N,jablko,ябълка
214,Pilz::N,houba,гъба
215,Zwiebel::N,cibule,лук
216,Zwiebel::N,cibule,кромид
217,Saat::N,osivo,семе
218,Korn::N,zrno,зърно
219,Heu::N,seno,сено
220,Schale::N,slupka,кора
221,Schale::N,skořápka,кора
222,Grube::N,jáma,яма
223,Grube::N,jáma,дупка
224,Falle::N,past,примка
225,Falle::N,léčka,примка
226,Schlinge::N,smyčka,клуп
227,Spur::N,stopa,диря
228,Spur::N,stopa,следа
229,Asche::N,popel,пепел
230,Dreck::N,špína,кал
231,Eisen::N,železo,желязо
232,Gold::N,zlato,злато
233,Silber::N,stříbro,сребро
234,Kohle::N,uhlí,въглища
235,Glas::N,sklo,стъкло
236,Lehm::N,jíl,глина
237,Lehm::N,hlína,глина
238,Sand::N,písek,пясък
239,Mensch::N,člověk,човек
240,Mann::N,muž,мъж
241,Frau::N,žena,жена
242,Kind::N,dítě,дете
243,Junge::N,hoch,момче
244,Junge::N,chlapec,момче
245,Mädchen::N,děvče,момиче
246,Familie::N,rodina,фамилия
247,Familie::N,rodina,семейство
248,Großvater::N,děd,дядо
249,Großvater::N,dědeček,дядо
250,Großmutter::N,babička,баба
251,Eltern::N,rodiče,родители
252,Vater::N,otec,баща
253,Mutter::N,matka,майка
254,Sohn::N,syn,син
255,Tochter::N,dcera,дъщеря
256,Bruder::N,bratr,брат
257,Schwester::N,sestra,сестра
258,Onkel::N,strýc,чичо
259,Onkel::N,strýc,вуйчо
260,Tante::N,teta,леля
261,Ehemann::N,choť,съпруг
262,Ehemann::N,manžel,съпруг
263,Ehefrau::N,choť,съпруга
264,Ehefrau::N,manželka,съпруга
265,Freude::N,radost,радост
266,Gelächter::N,smích,смях
267,Glück::N,štěstí,щастие
268,Kummer::N,žal,тъга
269,Kummer::N,trápení,тъга
270,Wunsch::N,přání,желание
271,Lust::N,chuť,желание
272,Geist::N,duch,дух
273,Gedanke::N,myšlenka,мисъл
274,Gedächtnis::N,paměť,памет
275,Verstand::N,rozum,ум
276,Verstand::N,rozum,разум
277,Sinn::N,smysl,смисъл
278,Grund::N,důvod,причина
279,Wahrheit::N,pravda,правда
280,Gespräch::N,rozhovor,разговор
281,Märchen::N,pohádka,приказка
282,Erzählung::N,povídka,разказ
283,Nachricht::N,zpráva,вест
284,Nachricht::N,zpráva,известие
285,Neuigkeit::N,novina,новина
286,Neuigkeit::N,novinka,новина
287,Name::N,jméno,име
288,Rätsel::N,hádanka,гатанка
289,Rede::N,řeč,реч
290,Rede::N,řeč,слово
291,Rede::N,proslov,реч
292,Rede::N,proslov,слово
293,Sprache::N,řeč,език
294,Sprache::N,jazyk,език
295,Stimme::N,hlas,глас
296,Wort::N,slovo,дума
297,Zeichen::N,znamení,знак
298,Ruf::N,zavolání,зов
299,Lärm::N,hluk,шум
300,Lärm::N,hluk,глъчка
301,Laut::N,zvuk,звук
302,Ton::N,tón,тон
303,Lied::N,píseň,песен
304,Ruhe::N,klid,тишина
305,Ruhe::N,klid,спокойствие
306,Ruhe::N,pokoj,тишина
307,Ruhe::N,pokoj,спокойствие
308,Leute::N,lidé,хора
309,Volk::N,národ,народ
310,Arbeit::N,práce,труд
311,Arbeit::N,práce,работа
312,Gast::N,host,гост
313,Geschenk::N,dar,дар
314,Geschenk::N,dar,подарък
315,Spiel::N,hra,игра
316,Gesellschaft::N,společnost,общество
317,Hilfe::N,pomoc,помощ
318,Freund::N,přítel,приятел
319,Kamerad::N,kamarád,другар
320,Angelegenheit::N,záležitost,работа
321,Anzahl::N,počet,брой
322,Anzahl::N,počet,количество
323,Art::N,druh,вид
324,Stück::N,kus,къс
325,Stück::N,kus,парче
326,Stück::N,kousek,къс
327,Stück::N,kousek,парче
328,Teil::N,díl,дял
329,Teil::N,díl,част
330,Teil::N,část,дял
331,Teil::N,část,част
332,Hälfte::N,půl,половина
333,Kreis::N,kruh,кръг
334,Kreuz::N,kříž,кръст
335,Linie::N,linka,черта
336,Strich::N,čára,щрих
337,Strich::N,čára,черта
338,Strich::N,čárka,щрих
339,Strich::N,čárka,черта
340,Abstand::N,vzdálenost,дистанция
341,Abstand::N,vzdálenost,разстояние
342,Entfernung::N,vzdálenost,разстояние
343,Gegend::N,krajina,местност
344,Platz::N,prostor,място
345,Ort::N,místo,място
346,Seite::N,strana,страна
347,Mitte::N,střed,среда
348,Mitte::N,prostředek,среда
349,Gegenstand::N,předmět,предмет
350,Sache::N,věc,вещ
351,Rand::N,kraj,ръб
352,Rand::N,okraj,ръб
353,Kante::N,hrana,ръб
354,Kante::N,hrana,кант
355,Ecke::N,roh,ъгъл
356,Spitze::N,hrot,връх
357,Spitze::N,hrot,острие
358,Spitze::N,špička,връх
359,Spitze::N,špička,острие
360,Ende::N,konec,край
361,Loch::N,díra,дупка
362,Winkel::N,kout,кът
363,Winkel::N,kout,ъгъл
364,Muster::N,vzor,десен
365,Muster::N,vzor,образец
366,Größe::N,velikost,големина
367,Länge::N,délka,дължина
368,Höhe::N,výška,висота
369,Höhe::N,výška,височина
370,Gewicht::N,váha,тегло
371,Gewicht::N,váha,тежест
372,Menge::N,množství,количество
373,Haufen::N,kupa,куп
374,Haufen::N,kupa,грамада
375,Haufen::N,hromada,куп
376,Haufen::N,hromada,грамада
377,Reihe::N,řada,ред
378,Reihe::N,řada,редица
379,Reihe::N,řádek,ред
380,Reihe::N,řádek,редица
381,Boot::N,člun,лодка
382,Ruder::N,veslo,весло
383,Ruder::N,veslo,гребло
384,Schlitten::N,sáně,шейна
385,Ski::N,lyže,ски
386,Lagerfeuer::N,táborák,огнище
387,Last::N,náklad,товар
388,Last::N,břemeno,товар
389,Gang::N,chůze,ход
390,Gang::N,chůze,вървеж
391,Gang::N,chodba,ход
392,Gang::N,chodba,вървеж
393,Schritt::N,krok,стъпка
394,Norden::N,sever,север
395,Süden::N,jih,юг
396,Westen::N,západ,запад
397,Osten::N,východ,изток
398,Holz::N,dřevo,дърво
399,Brett::N,prkno,дъска
400,Platte::N,deska,
401,Stütze::N,opěra,
402,Stange::N,tyč,прът
403,Stange::N,tyč,върлина
404,Stange::N,tyčka,прът
405,Stange::N,tyčka,върлина
406,Stock::N,hůlka,прът
407,Stock::N,hůlka,тояга
408,Stab::N,hůl,прът
409,Rohr::N,trubka,цев
410,Rohr::N,trubka,тръба
411,Haus::N,dům,къща
412,Heim::N,domov,дом
413,Ofen::N,kamna,печка
414,Fußboden::N,podlaha,под
415,Tisch::N,stůl,маса
416,Stuhl::N,židle,стол
417,Wiege::N,kolébka,люлка
418,Bett::N,postel,легло
419,Bett::N,postel,креват
