,Concept_ID,ml,sah
0,Auge::N,കണ്ണ്,харах
1,Ohr::N,ചെവി,кулгаах
2,Nase::N,മൂക്ക്,мурун
3,Mund::N,വായ,айах
4,Zahn::N,പല്ല്,тиис
5,Zunge::N,നാക്ക്,тыл
6,Lippe::N,ചുണ്ട്,уос
7,Wange::N,കവിൾത്തടം,иэдэс
8,Gesicht::N,മുഖം,сирэй
9,Stirn::N,നെറ്റി,сүүс
10,Haar::N,തലമുടി,баттах
11,Schnurrbart::N,മീശ,уос бытыга
12,Bart::N,താടിരോമം,сэҥийэ бытыга
13,Kinn::N,താടി,сэҥийэ
14,Kiefer[Anatomie]::N,താടിയെല്ല്,сыҥаах
15,Kehle::N,കണ്ഠനാളം,тамах
16,Kehle::N,കണ്ഠനാളം,күөмэй
17,Hals::N,കഴുത്ത്,моой
18,Genick::N,പിടലി,кэтэх
19,Kopf::N,തല,бас
20,Rücken::N,മുതുക്,көҕүс
21,Bauch::N,നയറ്,ис
22,Nabel::N,നാഭി,киин
23,Busen::N,സ്തനം,эмиий
24,Brust::N,സ്തനം,түөс
25,Schulter::N,തോൾ,сарын
26,Arm::N,കൈ,илии
27,Ellenbogen::N,കൈമുട്ട്,тоҕонох
28,Hand::N,കൈ,илии
29,Handfläche::N,ഉള്ളം കൈ,ытыс
30,Finger::N,വിരൽ,тарбах
31,Fingernagel::N,നഖം,тыҥырах
32,Nagel[Anatomie]::N,നഖം,тыҥырах
33,Zeh::N,കാൽവിരൽ,тарбах
34,Fuß::N,കാൽപ്പാദം,уллуҥах
35,Ferse::N,ഉപ്പൂറ്റി,тилэх
36,Knie::N,കാൽമുട്ട്,тобук
37,Knie::N,കാൽമുട്ട്,дьилбэк
38,Oberschenkel::N,തുട,уллук
39,Oberschenkel::N,തുട,өттүк
40,Bein::N,കാൽ,атах
41,Körper::N,ശരീരം,бэйэ
42,Haut::N,ചർമ്മം,тирии
43,Blut::N,രക്തം,хаан
44,Ader::N,ഞരമ്പ്,вена
45,Ader::N,ഞരമ്പ്,күөх_тымыр
46,Sehne::N,സ്നായു,иҥиир
47,Knochen::N,അസ്ഥി,уҥуох
48,Knochen::N,അസ്ഥി,уҥгуох
49,Gehirn::N,തലച്ചോറ്,мэйии
50,Herz::N,ഹൃദയം,сүрэх
51,Magen::N,വയർ,куртах
52,Leber::N,കരൾ,быар
53,Atem::N,ശ്വാസം,тыын
54,Hunger::N,വിശപ്പ്,аас
55,Träne::N,കണ്ണീർ,харах уута
56,Geschmack::N,രുചി,амтан
57,Geruch::N,ഗന്ധം,сыт
58,Schlaf::N,ഉറകും,утуйуу
59,Traum::N,സ്വപ്നം,түүл
60,Himmel::N,ആകാശം,халлаан
61,Sonne::N,സൂര്യൻ,күн
62,Mond::N,ചന്ദ്രൻ,ый
63,Stern::N,നക്ഷത്രം,сулус
64,Luft::N,കാറ്റ്,салгын
65,Wind::N,കാറ്റ്,тыал
66,Welle::N,തിരമാല,долгун
67,Welle::N,തിരമാല,балхаан
68,Wasser::N,വെള്ളം,уу
69,Stein::N,ശില,таас
70,Stein::N,കല്ല്,таас
71,Boden::N,തറ,сир
72,Boden::N,നിലം,сир
73,Erde::N,മണ്ണ്,буор
74,Staub::N,പൊടി,быыл
75,Rauch::N,പുക,буруо
76,Funke::N,തീപ്പൊരി,кыым
77,Feuer::N,തീ,уот
78,Licht::N,വിളക്ക്,уот
79,Licht::N,സൂര്യപ്രകാശം,уот
80,Schatten::N,തണൽ,күлүк
81,Wetter::N,കാലാവസ്ഥ,күн-дьыл
82,Nebel::N,മൂടൽമഞ്ഞ്,туман
83,Wolke::N,മേഘം,былыт
84,Regen::N,മഴ,самыыр
85,Schnee::N,മഞ്ഞ്,хаар
86,Eis::N,ഐസ്,муус
87,Frost::N,മൂടൽമഞ്ഞ്,тымныы
88,Kälte::N,തണുപ്പ്,тымныы
89,Hitze::N,ചൂട്,куйаас
90,Raureif::N,കോടമഞ്ഞ്,кырыа
91,Regenbogen::N,മഴവില്ല്,кустук
92,Donner::N,ഇടി,этиҥ
93,Strömung::N,പ്രവാഹം,сүүрүк
94,Tropfen::N,തുള്ളി,таммах
95,Tropfen::N,തുള്ളി,хааппыла
96,Schaum::N,നുര,күүгэн
97,Schmutz::N,അഴുക്ക്,кир
98,See::N,തടാകം,күөл
99,Sumpf::N,ചതുപ്പുനിലം,бадараан
100,Moor::N,പാഴ്നിലം,дьэбэрэ
101,Wiese::N,പുൽത്തകിടി,ходуһа
102,Wald::N,വനം,ойуур
103,Wald::N,കാട്,ойуур
104,Hügel::N,കുന്ന്,булгунньах
105,Anhöhe::N,ഉയർന്ന ഭൂമി,үрдэл
106,Berg::N,പർവ്വതം,хайа
107,Gipfel::N,ഉച്ചകോടി,чыпчаал
108,Höhle::N,ഗുഹ,хайа_хаспаҕа
109,Höhle::N,ഗുഹ,көҥүс
110,Abhang::N,ചരിവ്,эниэ
111,Quelle::N,ഉറവിടം,дьүүктэ
112,Bach::N,അരുവി,үрүйэ
113,Fluss::N,നദി,өрүс
114,Ufer::N,തീരം,биэрэк
115,Küste::N,കടൽത്തീരം,кытыл
116,Festland::N,കര,кураанах сир
117,Meer::N,കടൽ,муора
118,Bucht::N,ഉൾക്കടല്,хомо
119,Bucht::N,ഉൾക്കടല്,бухта
120,Insel::N,ദ്വീപ്,арыы
121,Blume::N,പൂവ്,сибэкки
122,Gras::N,പുല്ല്,от
123,Wurzel::N,വേര്,силис
124,Baum::N,മരം,мас
