,Concept_ID,lv,av
0,Auge::N,син,
1,Auge::N,acs,
2,Ohr::N,пель,гӏин
3,Ohr::N,auss,гӏин
4,Nase::N,ныр,мегӏер
5,Nase::N,deguns,мегӏер
6,Mund::N,вом,кӏал
7,Mund::N,mute,кӏал
8,Zahn::N,пинь,гӏус
9,Zahn::N,zobs,гӏус
10,Zunge::N,кыв,мацӏ
11,Zunge::N,mēle,мацӏ
12,Lippe::N,вом дор,кӏветӏ
13,Lippe::N,lūpa,кӏветӏ
14,Wange::N,бан,гӏоно
15,Wange::N,vaigs,гӏоно
16,Gesicht::N,чужӧм,гьумер
17,Gesicht::N,seja,гьумер
18,Gesicht::N,ģīmis,гьумер
19,Stirn::N,плеш,нодо
20,Stirn::N,кымӧс,нодо
21,Stirn::N,piere,нодо
22,Haar::N,си,рас
23,Haar::N,юрси,рас
24,Haar::N,mats,рас
25,Schnurrbart::N,ус,михъ
26,Schnurrbart::N,пыртсим,михъ
27,Schnurrbart::N,ūsas,михъ
28,Bart::N,тош,мегеж
29,Bart::N,bārda,мегеж
30,Kinn::N,тшӧка,нилъу
31,Kinn::N,zods,нилъу
32,Kinn::N,smakrs,нилъу
33,Kiefer[Anatomie]::N,черлы,чанагъ
34,Kiefer[Anatomie]::N,алака лы,чанагъ
35,Kiefer[Anatomie]::N,вомкӧтш лы,чанагъ
36,Kiefer[Anatomie]::N,žoklis,чанагъ
37,Kehle::N,голя,щекъер
38,Kehle::N,rīkle,щекъер
39,Hals::N,сьылі,габур
40,Hals::N,kakls,габур
41,Genick::N,юрбӧр,гъванща
42,Genick::N,балябӧж,гъванща
43,Genick::N,sprands,гъванща
44,Kopf::N,юр,бетӏер
45,Kopf::N,galva,бетӏер
46,Rücken::N,мыш,мугъ
47,Rücken::N,mugura,мугъ
48,Bauch::N,рушку,чехь
49,Bauch::N,vēders,чехь
50,Nabel::N,гӧг,цӏину
51,Nabel::N,naba,цӏину
52,Busen::N,морӧс,керен
53,Busen::N,krūts,керен
54,Brust::N,морӧс,керен
55,Brust::N,krūts,керен
56,Schulter::N,пельпом,гъажазубетӏер
57,Schulter::N,plecs,гъажазубетӏер
58,Arm::N,ки,гъеж
59,Arm::N,roka,гъеж
60,Arm::N,delms,гъеж
61,Ellenbogen::N,гырддза,гӏункӏрукь
62,Ellenbogen::N,elkonis,гӏункӏрукь
63,Hand::N,ки,квер
64,Hand::N,roka,квер
65,Hand::N,plauksta,квер
66,Handfläche::N,ки пыдӧс,огъохъат
67,Handfläche::N,ки пыдӧс,жанисахъат
68,Handfläche::N,delna,огъохъат
69,Handfläche::N,delna,жанисахъат
70,Handfläche::N,plauksta,огъохъат
71,Handfläche::N,plauksta,жанисахъат
72,Finger::N,чунь,килищ
73,Finger::N,pirksts,килищ
74,Fingernagel::N,гыж,малъ
75,Fingernagel::N,nags,малъ
76,Nagel[Anatomie]::N,гыж,малъ
77,Nagel[Anatomie]::N,nags,малъ
78,Zeh::N,кок чунь,килищ
79,Zeh::N,pirksts,килищ
