,Concept_ID,vep,ka
0,Auge::N,sil'm,თვალი
1,Ohr::N,korv,ყური
2,Nase::N,nena,ცხვირი
3,Mund::N,su,პირი
4,Zahn::N,pi,კბილი
5,Zahn::N,hambaz,კბილი
6,Zunge::N,kel',ენა
7,Lippe::N,hul',ბაგე
8,Wange::N,modpolišk,ლოყა
9,Gesicht::N,mod,სახე
10,Stirn::N,oc,შუბლი
11,Haar::N,tuk,თმა
12,Haar::N,hibuz,თმა
13,Schnurrbart::N,habinod,ულვაში
14,Bart::N,bard,წვერი
15,Kinn::N,löug,ნიკაპი
16,Kiefer[Anatomie]::N,hambazlu,ყბა
17,Kehle::N,kurk,ყელი
18,Hals::N,kagl,ყელი
19,Hals::N,kagl,კისერი
20,Genick::N,tagarai,კეფა
21,Kopf::N,pä,თავი
22,Rücken::N,sel'g,ზურგი
23,Bauch::N,vac,მუცელი
24,Bauch::N,koht,მუცელი
25,Nabel::N,naba,ჭიპი
26,Busen::N,niža,ძუძუ
27,Brust::N,rind,მკერდი
28,Schulter::N,oug,მხარი
29,Schulter::N,oug,მკლავი
30,Arm::N,käzi,ხელი
31,Ellenbogen::N,künambruz,იდაყვი
32,Hand::N,käzi,ხელი
33,Hand::N,käzitera,ხელი
34,Handfläche::N,kämen,ნები
35,Handfläche::N,kämen,ხელისგული
36,Finger::N,sor'm,თითი
37,Fingernagel::N,künz',ფრჩხილი
38,Nagel[Anatomie]::N,künz',ფრჩხილი
39,Zeh::N,barbaz,ფეხის თითი
40,Fuß::N,jaug,ტერფი
41,Fuß::N,jaug,ფეხისგული
42,Ferse::N,kand,ქუსლი
43,Knie::N,komb,მუხლი
44,Knie::N,pol'v,მუხლი
45,Oberschenkel::N,riiže,ბარძაყი
46,Bein::N,jaug,ფეხი
47,Körper::N,hibj,ტანი
48,Körper::N,hibj,სხეული
49,Haut::N,nahk,კანი
50,Blut::N,čak,სისხლი
51,Blut::N,veri,სისხლი
52,Ader::N,son',ძარღვი
53,Sehne::N,jände,მყესი
54,Knochen::N,lu,ძვალი
55,Gehirn::N,aivod,ტვინი
56,Herz::N,südäin,გული
57,Magen::N,südäikoht,კუჭი
58,Leber::N,maks,ღვიძლი
59,Atem::N,hengaiduz,სუნთქვა
60,Hunger::N,näl'g,შიმშილი
61,Träne::N,kündal',ცრემლი
62,Geschmack::N,magu,გემო
63,Geruch::N,haju,სუნი
64,Schlaf::N,uni,ძილი
65,Traum::N,unikuva,სიზმარი
66,Himmel::N,taivaz,ცა
67,Sonne::N,päiväine,მზე
68,Mond::N,kudmaine,მთვარე
69,Stern::N,tähtaz,ვარსკვლავი
70,Luft::N,il'm,ჰაერი
71,Wind::N,döl,ქარი
72,Wind::N,tullei,ქარი
73,Welle::N,ald,ტალღა
74,Welle::N,laineh,ტალღა
75,Wasser::N,vezi,წყალი
76,Stein::N,kivi,ქვა
77,Boden::N,ma,მიწა
78,Boden::N,pohj,მიწა
79,Erde::N,ma,ნიადაგი
80,Staub::N,pölü,მტვერი
81,Rauch::N,savu,ბოლი
82,Rauch::N,savu,კვამლი
83,Funke::N,kibin,ნაკვესი
84,Feuer::N,lämoi,ცეცხლი
85,Licht::N,vauktuz,შუქი
86,Licht::N,vauktuz,სინათლე
87,Schatten::N,pil'vez,ლანდი
88,Schatten::N,pil'vez,ჩრდილი
89,Schatten::N,kuvahaine,ლანდი
90,Schatten::N,kuvahaine,ჩრდილი
91,Wetter::N,sä,ამინდი
92,Nebel::N,sumeg,ნისლი
93,Wolke::N,pil'v,ღრუბელი
94,Regen::N,vihm,წვიმა
95,Schnee::N,lumi,თოვლი
96,Eis::N,jä,თოში
97,Eis::N,jä,ყინული
98,Frost::N,hala,ყინვა
99,Frost::N,pakaine,ყინვა
100,Kälte::N,vilu,სიცივე
101,Hitze::N,räk,სიცხე
102,Raureif::N,hüde,ჭირხლი
103,Raureif::N,hüde,თრთვილი
104,Regenbogen::N,jumalanbembel',ცისარტყელა
105,Donner::N,juru,ქუხილი
106,Donner::N,jumalanjuru,ქუხილი
107,Strömung::N,joksmuz,დინება
108,Tropfen::N,tilkuine,წვეთი
109,Schaum::N,vaht,ქაფი
110,Schaum::N,vaht,დორბლი
111,Schmutz::N,redu,ჭუჭყი
112,Schmutz::N,redu,ტალახი
113,Schmutz::N,pačak,ჭუჭყი
114,Schmutz::N,pačak,ტალახი
115,See::N,järv,ტბა
116,Sumpf::N,so,ჭაობი
117,Moor::N,so,ტორფნარი
118,Wiese::N,nit,ველი
